seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_likelihood
0.375471891851681047E-01,0.122144750926577603E+06,0.477475264419638779E+00,0.281952144999999973E+03,0.556281871899999969E+05,0.380330016151677108E+00,0.422405903869023269E+00,0.553470683205548412E+05,0.556276844504360997E+05,0.559101344862141195E+05,0.561929552825434512E+05,0.776712317179011734E+03
0.973999552069922725E+00,0.613756825228427829E+03,0.194309117787934049E+01,0.281952144999999973E+03,0.556281871899999969E+05,0.792607705403888030E+00,0.210733019155298018E+00,0.553467807080399143E+05,0.556291030812353274E+05,0.559101677552080218E+05,0.561920457818433424E+05,0.778188375360799000E+03
0.280512823836669596E-01,0.271540895352130574E+05,0.324922206485682541E+00,0.281952144999999973E+03,0.556281871899999969E+05,0.277278102572326213E+00,0.746015437952734173E+00,0.553462483465260884E+05,0.556277607462480883E+05,0.559101212601105362E+05,0.561912410347764308E+05,0.778246478814216516E+03
0.301565452366410608E-01,0.673969777257775713E+05,0.533944563327575894E+00,0.281952144999999973E+03,0.556281871899999969E+05,0.374396768370992561E+00,0.180383952514716256E+00,0.553458222714006406E+05,0.556286705495716815E+05,0.559101466485754936E+05,0.561929821785857275E+05,0.779422178491930708E+03
0.991320250664909225E-01,0.887187719911957629E+03,0.105308430706803935E+01,0.281952144999999973E+03,0.556281871899999969E+05,0.476878281699062712E+00,0.317022868600951746E+00,0.553457630884392347E+05,0.556276083286115318E+05,0.559101760351883131E+05,0.561920744004123262E+05,0.781038727895522584E+03
0.548690534387368700E+00,0.915070301163667637E+03,0.151667344938861115E+01,0.281952144999999973E+03,0.556281871899999969E+05,0.313225461387169946E+00,0.727188729014066282E+00,0.553470264601935924E+05,0.556285916366785168E+05,0.559101165194250789E+05,0.561920717811452341E+05,0.781439493908854047E+03
0.402212812602340708E+00,0.117302958812647084E+05,0.136074731236009683E+01,0.281952144999999973E+03,0.556281871899999969E+05,0.502663660774802401E+00,0.615258852008614521E+00,0.553471130552087343E+05,0.556273955947142313E+05,0.559101576717385105E+05,0.561920919650255819E+05,0.781575807262779108E+03
0.974135451032195121E+00,0.729696835271321015E+04,0.193483112908922283E+01,0.281952144999999973E+03,0.556281871899999969E+05,0.666716043425559901E+00,0.323187487635306081E+00,0.553462279012200015E+05,0.556289416058938878E+05,0.559101598276620571E+05,0.561911654476332697E+05,0.781829054007527589E+03
0.307489190177956603E-01,0.300871886197173211E+06,0.219745654839597376E+00,0.281952144999999973E+03,0.556281871899999969E+05,0.875846252042043583E+00,0.993688825887330207E+00,0.553454906860754127E+05,0.556285156982107364E+05,0.559101400795708250E+05,0.561920906588744474E+05,0.781989084144152116E+03
0.352662220670424478E-01,0.113573156418920291E+06,0.245383261506210010E+00,0.281952144999999973E+03,0.556281871899999969E+05,0.370452857642438127E+00,0.107498527802541904E+00,0.553454401563254651E+05,0.556290170416584879E+05,0.559101455774302667E+05,0.561920496813958889E+05,0.782154240242731817E+03
