seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_likelihood
0.454026460647583008E-02,0.417148567195265741E+03,0.904062986373901367E+00,0.168768057999999996E+03,0.555726229739999981E+05,0.568451583385467529E+00,0.830305695533752441E+00,0.552358040851013284E+05,0.555729067376470775E+05,0.559101091970976267E+05,0.498900088799142213E+04
0.234915435314178467E+00,0.108950667560563379E+05,0.134471333026885986E+01,0.168768057999999996E+03,0.555726229739999981E+05,0.557124614715576172E-02,0.583710670471191406E-01,0.552351841896431069E+05,0.555726883111810894E+05,0.559093562262829219E+05,0.498918477441467985E+04
0.331232607364654541E+00,0.458016162900340452E+06,0.175994193553924561E+01,0.168768057999999996E+03,0.555726229739999981E+05,0.986524403095245361E+00,0.257702529430389404E+00,0.552356712668792825E+05,0.555721901841974468E+05,0.559096315288122569E+05,0.498918477441467985E+04
0.616168916225433350E+00,0.771952834036557586E+06,0.193040621280670166E+01,0.168768057999999996E+03,0.555726229739999981E+05,0.139233112335205078E+00,0.685000956058502197E+00,0.552351878268377404E+05,0.555731392790889950E+05,0.559097754482801829E+05,0.498918477441467985E+04
0.390965998172760010E+00,0.273420602451185579E+06,0.191400718688964844E+01,0.168768057999999996E+03,0.555726229739999981E+05,0.112184047698974609E+00,0.258529424667358398E+00,0.552346185880558114E+05,0.555724499752140255E+05,0.559096480258282099E+05,0.498918477441467985E+04
0.619240760803222656E+00,0.748755143850878113E+02,0.164524149894714355E+01,0.168768057999999996E+03,0.555726229739999981E+05,0.247908234596252441E+00,0.875206410884857178E+00,0.552345317123787027E+05,0.555716378651476116E+05,0.559106260311182414E+05,0.498918477441467985E+04
0.298475384712219238E+00,0.127561590022236651E+02,0.157684385776519775E+01,0.168768057999999996E+03,0.555726229739999981E+05,0.456066787242889404E+00,0.257741391658782959E+00,0.552350762669698815E+05,0.555717660817718715E+05,0.559100805861528788E+05,0.498918477441467985E+04
0.346106290817260742E-02,0.641925498117826995E+06,0.779724001884460449E+00,0.168768057999999996E+03,0.555726229739999981E+05,0.799843072891235352E+00,0.970881581306457520E+00,0.552353674609319787E+05,0.555719193287706585E+05,0.559099617775257502E+05,0.498920028096635087E+04
0.837275376587169551E+00,0.110945605336152381E+06,0.181791544876526068E+01,0.168768057999999996E+03,0.555726229739999981E+05,0.998647278361931678E+00,0.801511991722435369E+00,0.552344058081139447E+05,0.555727463078409855E+05,0.559107731310695017E+05,0.498921876736280865E+04
0.511660695075988770E+00,0.140467076590794131E+05,0.149743628501892090E+01,0.168768057999999996E+03,0.555726229739999981E+05,0.520976722240447998E+00,0.499367713928222656E-01,0.552356838801757913E+05,0.555733930059290142E+05,0.559102730546768580E+05,0.498922455177178836E+04
