seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_tau5,seg0_tau6,seg0_tau7,seg0_likelihood
0.137838415186035835E-01,0.330970192415418808E+03,0.161191057792313353E+00,0.125957819999999998E+03,0.557234140199999965E+05,0.258644240408368198E+00,0.737418877809505435E+00,0.549678308442556954E+05,0.552196467666471435E+05,0.554720999686422292E+05,0.555976216153786736E+05,0.558503637078743195E+05,0.559751777977531528E+05,0.562271136691484717E+05,0.563532232585253732E+05,0.507485549975781214E+04
0.790314933613193937E+00,0.513105790748419643E+01,0.176971343739922604E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.845814227724611345E+00,0.180234923106873696E+00,0.549676550975385617E+05,0.552197615642113160E+05,0.554712739371330317E+05,0.555976240697226531E+05,0.558500243080532018E+05,0.559756026314631963E+05,0.562271906479692698E+05,0.563530536699526128E+05,0.507500908878153223E+04
0.256340704342229275E+00,0.266693499517697141E+01,0.123815911435680515E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.584693240578621598E+00,0.797150145163663226E+00,0.549676933948629812E+05,0.552195200998141227E+05,0.554721331967833321E+05,0.555973843721823941E+05,0.558503545313726136E+05,0.559752386952968009E+05,0.562273193483559517E+05,0.563530212981843579E+05,0.507507630981610873E+04
0.678408228228877808E-01,0.617318923252186735E+01,0.103731437813977578E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.469508625902617660E+00,0.303860644333257490E+00,0.549676951997737560E+05,0.552195006898573120E+05,0.554715664225366927E+05,0.555976408501019105E+05,0.558495068015462966E+05,0.559753854917944191E+05,0.562273994109304331E+05,0.563530090099209629E+05,0.507514654600613085E+04
0.807536081356278412E+00,0.788874012741811459E+01,0.178345754543008961E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.776454998394696116E+00,0.876758811979109987E+00,0.549677375292571960E+05,0.552197572166105747E+05,0.554714667481068900E+05,0.555975247252597983E+05,0.558502111279613091E+05,0.559753706688253296E+05,0.562271837634510302E+05,0.563528788324559355E+05,0.507526370090723503E+04
0.298015979259026842E+00,0.149618554234331427E+02,0.127740133357208885E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.332198555091556935E+00,0.948252957257678553E+00,0.549676976998626487E+05,0.552197532268826035E+05,0.554719325541377839E+05,0.555975216818284607E+05,0.558502821298872223E+05,0.559753963693353871E+05,0.562272727147534169E+05,0.563537144319691506E+05,0.507544953215763599E+04
0.263545085688310032E+00,0.114191441064277166E+01,0.125026803595701441E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.921048560312466291E-01,0.327507367780549730E+00,0.549677526178506305E+05,0.552196502958906058E+05,0.554723717534481984E+05,0.555975499456571342E+05,0.558499930343562592E+05,0.559755414813525203E+05,0.562272576593799095E+05,0.563529972149442765E+05,0.507557379247228801E+04
0.225249408786042313E-01,0.919427570891469514E+02,0.874544580140869110E+00,0.125957819999999998E+03,0.557234140199999965E+05,0.981933209679219710E+00,0.243315086774206712E+00,0.549677606069734320E+05,0.552197293609609551E+05,0.554718613669923798E+05,0.555975845545858319E+05,0.558501581126002930E+05,0.559752955686992718E+05,0.562272251910100167E+05,0.563529175540625001E+05,0.507565147444743252E+04
0.206501701945326632E-01,0.161052120555984379E+04,0.520708944497805470E+00,0.125957819999999998E+03,0.557234140199999965E+05,0.913402429578958563E+00,0.774553038137377747E+00,0.549676185394156637E+05,0.552195961621476526E+05,0.554721273251817111E+05,0.555974825440106288E+05,0.558499254300868779E+05,0.559754238617457449E+05,0.562273736726171846E+05,0.563529566725358600E+05,0.507585846866438897E+04
0.360546111279163584E+00,0.138030569632281761E+02,0.134538028243205576E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.301891617780216281E+00,0.825913757344961752E+00,0.549676506228951330E+05,0.552196414924917699E+05,0.554717862197393479E+05,0.555974440823521436E+05,0.558495260380303444E+05,0.559754762741467785E+05,0.562272833480528134E+05,0.563530754177293202E+05,0.507593138184225973E+04
