seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_likelihood
0.360972414704920919E-01,0.946400280058775243E+05,0.510028911838843815E-01,0.276879729999999995E+03,0.555632829599999968E+05,0.209065072419084258E+00,0.426900812553247522E+00,0.550095345840935552E+05,0.552864079979092057E+05,0.561170502419841869E+05,0.563944122568990060E+05,0.138130982414225891E+05
0.496232578547069134E-01,0.837860189095360838E+05,0.718670684995477038E+00,0.276879729999999995E+03,0.555632829599999968E+05,0.866349775148729129E+00,0.483890523006843487E+00,0.550095213599338676E+05,0.552863913103508239E+05,0.561170183204037094E+05,0.563939842963238916E+05,0.138137791717302316E+05
0.919580742007468921E-01,0.469653644435442766E+04,0.100819770226028238E+01,0.276879729999999995E+03,0.555632829599999968E+05,0.854867610681334211E+00,0.851101078952516271E-01,0.550095164127484750E+05,0.552863950625152138E+05,0.561170256972507777E+05,0.563943118942940273E+05,0.138143377208607581E+05
0.137715231729788057E+00,0.445538312350986598E+04,0.106099890051336998E+01,0.276879729999999995E+03,0.555632829599999968E+05,0.869793718108349601E+00,0.382208062928830750E+00,0.550095444356413282E+05,0.552863906486374472E+05,0.561170574502895615E+05,0.563939185830642527E+05,0.138145221441975245E+05
0.663449091811814995E+00,0.133419275344383141E+04,0.161819382494172581E+01,0.276879729999999995E+03,0.555632829599999968E+05,0.551097563397166312E+00,0.921126916807833096E+00,0.550095192672831035E+05,0.552863959467472814E+05,0.561170652809192179E+05,0.563942184170995679E+05,0.138153476998362130E+05
0.655455590542042277E-01,0.119539109740625863E+05,0.905501793401946142E+00,0.276879729999999995E+03,0.555632829599999968E+05,0.874244466681898702E+00,0.770423635229578130E+00,0.550095386225442053E+05,0.552863883061367451E+05,0.561170611921302916E+05,0.563939931306740327E+05,0.138157458277947644E+05
0.420535028126585858E-01,0.112128622279669842E+06,0.180032297885053982E+00,0.276879729999999995E+03,0.555632829599999968E+05,0.834989515488973932E+00,0.461874646619929941E+00,0.550095318922796650E+05,0.552863935875810275E+05,0.561170497085372554E+05,0.563940672685649770E+05,0.138158368485103747E+05
0.511375916064293223E+00,0.411578736860662957E+04,0.144370008752793111E+01,0.276879729999999995E+03,0.555632829599999968E+05,0.805210627900435072E+00,0.689415194785690244E+00,0.550094945241239184E+05,0.552863897998996326E+05,0.561170287420470268E+05,0.563939810041493765E+05,0.138163794677331498E+05
0.233355311285189965E+00,0.178544306726233049E+04,0.117816423136047477E+01,0.276879729999999995E+03,0.555632829599999968E+05,0.530199282634614244E+00,0.526214598027214042E+00,0.550095208995241919E+05,0.552863813636045670E+05,0.561170277833296204E+05,0.563940792103020794E+05,0.138164944665995281E+05
0.389195094552330992E-01,0.213427701512473315E+06,0.312606464997993716E+00,0.276879729999999995E+03,0.555632829599999968E+05,0.595217817824091000E+00,0.565116884603757752E+00,0.550095395461717781E+05,0.552863939085368984E+05,0.561170323801173727E+05,0.563940815092407283E+05,0.138166570051175786E+05
