seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_likelihood
0.441774566182227268E+00,0.383518108642436175E+03,0.140083504378568247E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.473485572204672800E+00,0.907143591039100250E+00,0.555004616751105423E+05,0.562385684915237798E+05,0.940415080068166571E+04
0.345168905887472746E-01,0.437514621698373958E+04,0.883703032445198877E+00,0.369079152000000022E+03,0.558695496039999998E+05,0.269249127826468315E+00,0.294130939359524113E+00,0.555004340732123892E+05,0.562386127048407943E+05,0.940490500351012815E+04
0.316044057327224057E-01,0.322473328430337970E+05,0.417147892998925629E+00,0.369079152000000022E+03,0.558695496039999998E+05,0.473188956275112649E+00,0.690675604907664997E+00,0.555004811344837217E+05,0.562385870143815846E+05,0.940640809032524339E+04
0.978860142260868232E-01,0.339358163319501386E+03,0.103643505738657815E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.895430849874744417E+00,0.460479704151726676E+00,0.555004440436264049E+05,0.562386151776205006E+05,0.940678467460526736E+04
0.213864216413225783E+00,0.383692144395351818E+03,0.117606969584233911E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.280867476666447458E+00,0.541418316906974173E+00,0.555004263090997556E+05,0.562386032397996096E+05,0.940680610969780537E+04
0.971056323193958515E+00,0.242411142903825464E+03,0.193570056521317180E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.919490881429119944E+00,0.182039007471683140E+00,0.555004691191006496E+05,0.562385965253052491E+05,0.940711692147165741E+04
0.285736772560172991E+00,0.577672792108728686E+03,0.123805735793707483E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.751713090232825953E+00,0.113932877988649317E+00,0.555004623371497510E+05,0.562385756499409763E+05,0.940745983000773049E+04
0.824332167954778816E+00,0.342149224428575565E+03,0.179358547575430038E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.570744192470334255E+00,0.672344258282798424E+00,0.555004322572744713E+05,0.562385962884093387E+05,0.940756357918757203E+04
0.278871026188042617E-01,0.209012511020517777E+05,0.473267500958766352E+00,0.369079152000000022E+03,0.558695496039999998E+05,0.997319312137783798E+00,0.860237058634228280E+00,0.555004700214362019E+05,0.562385981286918613E+05,0.940761522332469031E+04
0.125391341009915142E+00,0.595570272988318266E+03,0.107234310757795526E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.427198648660845559E+00,0.341374360276207267E+00,0.555004361292694812E+05,0.562385841239769652E+05,0.940773513235111750E+04
0.787543556178948778E+00,0.387288568144886597E+03,0.175987466897229572E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.260101018684089635E+00,0.266406522300671911E+00,0.555004515325617831E+05,0.562385671849373030E+05,0.940775751789895730E+04
0.583759032835500014E+00,0.180863344174303109E+03,0.155547684821325083E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.163245209850315487E+00,0.664380306572953105E+00,0.555004610108901325E+05,0.562386132792015705E+05,0.940785692933515747E+04
0.267017871320994922E-01,0.340978805817209941E+05,0.273723360846295838E+00,0.369079152000000022E+03,0.558695496039999998E+05,0.404430724976217959E+00,0.827482826536463545E+00,0.555004518536873147E+05,0.562385997603720243E+05,0.940797946521236372E+04
0.324439388103035728E-01,0.439056386422102951E+05,0.554416137485547966E+00,0.369079152000000022E+03,0.558695496039999998E+05,0.185637803575517402E-01,0.519354195615436831E+00,0.555004606788243618E+05,0.562385930955729564E+05,0.940800592178519219E+04
0.238979427620250012E+00,0.162397651442040598E+03,0.120676754468286118E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.339911905934727199E+00,0.150418706256929907E+00,0.555004399023556980E+05,0.562385835030186208E+05,0.940815975478080145E+04
0.665433297574091198E-01,0.467841221377896090E+03,0.101170098323354418E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.368482388776857850E+00,0.795646170051155566E+00,0.555004785965597039E+05,0.562386009911046349E+05,0.940817546187794142E+04
0.316694779422016653E-01,0.463650751275235525E+05,0.362993287515032070E+00,0.369079152000000022E+03,0.558695496039999998E+05,0.319595248312801949E+00,0.148934458554758287E+00,0.555004546541352684E+05,0.562386088928555037E+05,0.940819910791773145E+04
0.343278044568576690E+00,0.209117486502062292E+03,0.131327173675113373E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.288166255544236860E+00,0.535358403564211160E-01,0.555004316163918047E+05,0.562386041625421276E+05,0.940823014209617759E+04
0.749233583088526167E+00,0.541636549705901302E+03,0.170512678389467087E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.980560065492908639E+00,0.341235395659746976E+00,0.555004408718910054E+05,0.562385720929883246E+05,0.940823461245434373E+04
0.286700080668487178E-01,0.280748275089550298E+05,0.438134981279462432E+00,0.369079152000000022E+03,0.558695496039999998E+05,0.618317883715879257E+00,0.279641364827741712E+00,0.555004803450160689E+05,0.562386106687297142E+05,0.940833853991080832E+04
0.983730296018486050E+00,0.315586614894553747E+03,0.194807868799185790E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.621243104389634038E+00,0.590528595828863634E+00,0.555004410417717299E+05,0.562385849810215514E+05,0.940842232555958617E+04
0.287993208747077400E+00,0.146743751232112345E+03,0.125151311375376340E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.471254053224704039E+00,0.164835084092894629E+00,0.555004675638439876E+05,0.562385958247035887E+05,0.940845077303667858E+04
0.980687323805289224E+00,0.161300514891655354E+03,0.195670388907165615E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.305175815694095909E+00,0.105978145374686666E+00,0.555004409914087009E+05,0.562386113180404354E+05,0.940847900579190173E+04
0.262299331702693039E+00,0.197990587407844004E+03,0.122182640748847970E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.578951476236682860E+00,0.269052625301721637E+00,0.555004286940511665E+05,0.562385962776423767E+05,0.940857186876286141E+04
0.501748158811511288E-01,0.140936926229970413E+04,0.944914631494474078E+00,0.369079152000000022E+03,0.558695496039999998E+05,0.937464528023096766E+00,0.632916889893769707E+00,0.555004498948552136E+05,0.562385778696486159E+05,0.940868073024547266E+04
0.247914356595322599E+00,0.265786481006879228E+03,0.120309531127053670E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.553618584324351071E+00,0.988164130043076572E+00,0.555004684882511283E+05,0.562386204213652745E+05,0.940873675565638769E+04
0.916665773834533737E+00,0.469724809345266067E+03,0.187344990837234615E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.957992696257553455E+00,0.527100080889800648E+00,0.555004747896913614E+05,0.562385882921859084E+05,0.940886028515009457E+04
0.427153301927627849E+00,0.153630100691375930E+03,0.140056172941401758E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.305552486121881128E-01,0.141064239472619868E+00,0.555004579954891597E+05,0.562385747955576880E+05,0.940889725762469607E+04
0.296806805228886750E+00,0.676931257681173520E+03,0.124840084811905339E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.909605271826862460E+00,0.120033950850264068E+00,0.555004555836763539E+05,0.562385988817377365E+05,0.940891515032601819E+04
0.313466300440594092E-01,0.210218255964481395E+05,0.302998099970271606E+00,0.369079152000000022E+03,0.558695496039999998E+05,0.484434695993068098E+00,0.299599522494294361E-02,0.555004490554103977E+05,0.562385777271283660E+05,0.940895018194288423E+04
0.694289837676562827E+00,0.457249357547576324E+03,0.164675896503892205E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.834325808575167915E+00,0.570800259955295486E+00,0.555004689919256416E+05,0.562386034637457124E+05,0.940897688446654865E+04
0.510296128196720433E+00,0.354003193257616488E+03,0.147197313346428826E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.577226491832385613E+00,0.313437218680357399E+00,0.555004774160916495E+05,0.562386000891422373E+05,0.940897775415867000E+04
0.447583709827416187E+00,0.190809301702353423E+03,0.140904801760813769E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.663949881716569434E+00,0.422200748035283568E+00,0.555004625324479130E+05,0.562386122468303292E+05,0.940902053051945404E+04
0.974451651993732293E+00,0.567159920284464079E+03,0.194889345413114601E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.121306590808610282E+00,0.257835050528429477E+00,0.555004479370295376E+05,0.562385838828759734E+05,0.940902245344765106E+04
0.898972332797393747E+00,0.627992938021026362E+03,0.186933221600641342E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.317172816345657693E+00,0.711427033045905155E+00,0.555004502851454599E+05,0.562385803560743661E+05,0.940903888058708981E+04
0.914766034192614597E+00,0.113677673426538036E+04,0.185722443844190077E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.863066157313270743E+00,0.974146127545423179E+00,0.555004671725402804E+05,0.562386175275700880E+05,0.940910252390224923E+04
0.115477249968454820E+00,0.633536924440130065E+03,0.105815318999688501E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.511434744902145022E+00,0.191541137649841958E+00,0.555004645363160525E+05,0.562385968297718791E+05,0.940910832247697908E+04
0.343142421602249878E-01,0.148570499926987359E+05,0.780195081156696446E+00,0.369079152000000022E+03,0.558695496039999998E+05,0.271116993241331088E-01,0.778946135289148023E+00,0.555004730469551941E+05,0.562385974258309579E+05,0.940912715828958972E+04
0.292470513916367525E+00,0.533144222920791549E+03,0.123622989115675974E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.737713865229351007E+00,0.998514920932681460E+00,0.555004772880281889E+05,0.562386089828042750E+05,0.940919799847769173E+04
0.400812504488856081E-01,0.134024054460843877E+04,0.896846403646965662E+00,0.369079152000000022E+03,0.558695496039999998E+05,0.696790069367763887E+00,0.663032291043325062E+00,0.555004614288866942E+05,0.562386143534118091E+05,0.940926192093943246E+04
0.251316744419808613E+00,0.294450623903418489E+03,0.121136995841080308E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.424576133515284559E+00,0.966223919248660357E+00,0.555004478402625682E+05,0.562385681780158120E+05,0.940935681808635127E+04
0.688421495359384017E+00,0.167898943281254731E+03,0.166465173437832381E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.220509377223871927E+00,0.965479757466365274E+00,0.555004386225929993E+05,0.562386084553525143E+05,0.940938903957346338E+04
0.409314495513421958E-01,0.395759689093880206E+04,0.847743777547917410E+00,0.369079152000000022E+03,0.558695496039999998E+05,0.833331669188173474E+00,0.880181554128366961E+00,0.555004291206123453E+05,0.562386017839300475E+05,0.940942308218036123E+04
0.306310870040158376E-01,0.247551116451973940E+05,0.177602239487366392E+00,0.369079152000000022E+03,0.558695496039999998E+05,0.510678843483499567E+00,0.809143261125106816E+00,0.555004426282877394E+05,0.562385791947496473E+05,0.940951124337295551E+04
0.732958117714083479E+00,0.351233826050855271E+03,0.170535943293873649E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.375397476341787273E+00,0.135035449303952143E+00,0.555004390410641063E+05,0.562385847848194535E+05,0.940955505547217763E+04
0.335934677656284514E-01,0.529068437281509468E+05,0.247873864795086135E+00,0.369079152000000022E+03,0.558695496039999998E+05,0.741233546870051913E-01,0.854194310091185516E+00,0.555004670952040178E+05,0.562385914857411335E+05,0.940955550302877600E+04
0.597356360840438416E+00,0.186585198808134237E+03,0.157169665392102798E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.154425325599948815E+00,0.705476992671988934E+00,0.555004503354889966E+05,0.562385693340905782E+05,0.940956590044751647E+04
0.908111456508173820E+00,0.351215766336517902E+03,0.185653990928101353E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.989356006978051261E+00,0.688893464994713045E+00,0.555004508015222891E+05,0.562386060923615951E+05,0.940959922796385217E+04
0.905403117651157552E+00,0.531166398396188697E+03,0.187675953295570119E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.202238274089461822E+00,0.327905068859470572E+00,0.555004413262323797E+05,0.562386036485979930E+05,0.940960892244497154E+04
0.359454558484890510E-01,0.155543286943039061E+04,0.896023598134840893E+00,0.369079152000000022E+03,0.558695496039999998E+05,0.430445314253759592E+00,0.249826592328414310E+00,0.555004682167497376E+05,0.562386073972985760E+05,0.940974447912747928E+04
0.924981172140852292E+00,0.425741030956509292E+03,0.187746838786565617E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.925424721488157909E+00,0.530089697858397324E+00,0.555004567357418491E+05,0.562386073564089602E+05,0.940977896322816741E+04
0.510142205900636969E+00,0.366377263184171454E+03,0.148388001708709316E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.482644697068229170E-01,0.603614250237851202E+00,0.555004450825180829E+05,0.562386111957408284E+05,0.940978021028257353E+04
0.462679041401162783E+00,0.468037500966708649E+03,0.143324314733996738E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.158158139391433583E+00,0.267011637668528756E+00,0.555004493402878652E+05,0.562386011034583062E+05,0.940986406885606266E+04
0.961407280455574276E-01,0.387358044636000784E+03,0.104762932836230971E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.284492701333055431E+00,0.803204204348824224E+00,0.555004574390312846E+05,0.562386227670803273E+05,0.940992224457431803E+04
0.743714822816907373E+00,0.594013284287601778E+03,0.171338604558103813E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.284127539714726318E+00,0.834364268730780179E+00,0.555004453481711826E+05,0.562386065045123178E+05,0.940994257033577742E+04
0.662663124884346866E+00,0.242502413337766427E+03,0.163811364317270081E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.236088171956267412E-01,0.521540663487412237E+00,0.555004650129884103E+05,0.562385742272441566E+05,0.940995552520129058E+04
0.690659971819607699E+00,0.644663466293868964E+03,0.165530785300719363E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.612707260635756423E+00,0.248094133693370744E+00,0.555004537664528034E+05,0.562385861628794810E+05,0.940998967795221688E+04
0.575116231076292839E+00,0.362604980140518933E+03,0.154093722800059774E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.412172226746288117E+00,0.112747744648507578E+00,0.555004555057080433E+05,0.562386180589144351E+05,0.940998988191900571E+04
0.627298929203580213E+00,0.401908417256745395E+03,0.160097796904323442E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.168404017026089065E+00,0.283077398769178035E+00,0.555004391047655372E+05,0.562385930141579229E+05,0.940999824157227704E+04
0.432327825932618703E+00,0.841508283865106137E+03,0.137719374757158874E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.878105225648367571E+00,0.594644681772537598E+00,0.555004398316835795E+05,0.562385920867640452E+05,0.941000639833780588E+04
0.115847408591777445E+00,0.176119933315041578E+03,0.107559156059993311E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.154619049592828739E+00,0.568255180841745533E+00,0.555004452324444792E+05,0.562386174854773708E+05,0.941001717185098460E+04
0.649266788010704698E+00,0.682085759500245331E+03,0.160555147025524514E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.911271285755203442E+00,0.273491053904152348E+00,0.555004421584462325E+05,0.562386098851448332E+05,0.941003701357749378E+04
0.741587488721836441E+00,0.755889695363740429E+03,0.169822073573446986E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.889583535796735991E+00,0.388604723414440800E+00,0.555004402228810141E+05,0.562385861063650227E+05,0.941004093579598702E+04
0.469332248101444471E+00,0.366117797384668393E+03,0.143932183264566715E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.179087627341300598E+00,0.605537585416417029E-01,0.555004710234193553E+05,0.562386075494964098E+05,0.941007102155486064E+04
0.316888896362960970E-01,0.214641869806147952E+05,0.421931599449585304E+00,0.369079152000000022E+03,0.558695496039999998E+05,0.199207034811602485E+00,0.204056025202749819E+00,0.555004725799184744E+05,0.562385690143313914E+05,0.941008222548852427E+04
0.692408094184399969E+00,0.433895623757459703E+03,0.165995587920435872E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.616174950516719666E+00,0.259889508437424643E+00,0.555004477072294176E+05,0.562386059178533906E+05,0.941008754964438776E+04
0.280997168574402822E-01,0.111473111548113684E+05,0.516518919920490815E+00,0.369079152000000022E+03,0.558695496039999998E+05,0.304165283233032935E+00,0.616337732480215506E+00,0.555004692749544338E+05,0.562385737577947148E+05,0.941010721075820402E+04
0.538210198976440957E+00,0.387978246184304226E+03,0.149085620923255968E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.801829941927860390E+00,0.718437464724558827E+00,0.555004535862391640E+05,0.562386221966505473E+05,0.941019381301484827E+04
0.360948609335970505E+00,0.313009674634666283E+03,0.132673491521617204E+01,0.369079152000000022E+03,0.558695496039999998E+05,0.465935073480884532E+00,0.394911138737202183E+00,0.555004435098249814E+05,0.562385797745140444E+05,0.941019561878590321E+04
