seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_likelihood
0.630530893802642822E+00,0.154863317597456218E+06,0.159178364276885986E+01,0.205418880000000001E+03,0.557448983399999997E+05,0.517657101154327393E+00,0.691258311271667480E+00,0.555388227599849342E+05,0.557448348649872205E+05,0.559493500755107088E+05,0.645597589352411978E+04
0.143957734107971191E-01,0.709372428872613818E+04,0.361914515495300293E+00,0.205418880000000001E+03,0.557448983399999997E+05,0.582035183906555176E-01,0.996924459934234619E+00,0.555399362381686806E+05,0.557447638297212980E+05,0.559508391087329073E+05,0.645622941129403989E+04
0.768031001091003418E+00,0.446133143079491492E+05,0.174263715744018555E+01,0.205418880000000001E+03,0.557448983399999997E+05,0.861844182014465332E+00,0.379280269145965576E+00,0.555400776401748299E+05,0.557451210553778074E+05,0.559512918213879748E+05,0.645635443097490406E+04
0.569225311279296875E+00,0.553907252781486477E+03,0.156228590011596680E+01,0.205418880000000001E+03,0.557448983399999997E+05,0.366210222244262695E+00,0.154518008232116699E+00,0.555390850176801323E+05,0.557444015016687772E+05,0.559506164078986330E+05,0.645677113194937465E+04
0.535215377807617188E+00,0.320417043312115202E+05,0.152958083152770996E+01,0.205418880000000001E+03,0.557448983399999997E+05,0.314674079418182373E+00,0.636870682239532471E+00,0.555387129565467476E+05,0.557455227245224378E+05,0.559496276638781710E+05,0.645683100224565715E+04
0.782620906829833984E-02,0.113479541895710776E+06,0.842479586601257324E+00,0.205418880000000001E+03,0.557448983399999997E+05,0.856156110763549805E+00,0.612366259098052979E+00,0.555404019653787254E+05,0.557443381000889203E+05,0.559510924470698519E+05,0.645700877838734323E+04
0.642411649227142334E+00,0.163189787161639135E+06,0.163200044631958008E+01,0.205418880000000001E+03,0.557448983399999997E+05,0.279622673988342285E+00,0.543898105621337891E+00,0.555403006771793007E+05,0.557456353455913923E+05,0.559507374797141238E+05,0.645701573324696983E+04
0.945079326629638672E-02,0.259542243594591797E+06,0.978103637695312500E+00,0.205418880000000001E+03,0.557448983399999997E+05,0.177590847015380859E-01,0.751663863658905029E+00,0.555400410330285667E+05,0.557444368415010831E+05,0.559498577388798876E+05,0.645702798619242822E+04
0.183106184005737305E+00,0.176821661523872608E+05,0.114667570590972900E+01,0.205418880000000001E+03,0.557448983399999997E+05,0.685220479965209961E+00,0.818910181522369385E+00,0.555397191914310097E+05,0.557454627564085386E+05,0.559505312776839419E+05,0.645712734076648394E+04
0.105113267898559570E+00,0.115937137725010034E+05,0.110399723052978516E+01,0.205418880000000001E+03,0.557448983399999997E+05,0.179348230361938477E+00,0.883416175842285156E+00,0.555401574020375847E+05,0.557452332047356031E+05,0.559509697231328173E+05,0.645713000115475097E+04
