seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_likelihood
0.575832388677837287E-01,0.330028443902551260E+03,0.999114280264388532E+00,0.217791570000000007E+03,0.559148648800000010E+05,0.101891285762901976E+00,0.258926441032099552E+00,0.554792945911475472E+05,0.559148483164184581E+05,0.561326718603544869E+05,0.913368622993012082E+03
0.765164322013251463E+00,0.120938167191167349E+04,0.172800822310460145E+01,0.217791570000000007E+03,0.559148648800000010E+05,0.341681953432560193E+00,0.306667001083356205E+00,0.554792727046568980E+05,0.559148534419282296E+05,0.561326654543801415E+05,0.915173497413983227E+03
0.204372559281404131E+00,0.868966505093653154E+03,0.111592661385248526E+01,0.217791570000000007E+03,0.559148648800000010E+05,0.903385283448559728E+00,0.986511647519829338E+00,0.554792801099191129E+05,0.559148460764442934E+05,0.561326464963620019E+05,0.915534580470038804E+03
0.359393769770360999E-01,0.290353467703647511E+05,0.309619308937731263E+00,0.217791570000000007E+03,0.559148648800000010E+05,0.212628670516174983E+00,0.351706948820254606E+00,0.554792865907404557E+05,0.559148690534250927E+05,0.561326754820874630E+05,0.916282065838935637E+03
0.363479447474417267E-01,0.114785914318209798E+05,0.673789685775615155E+00,0.217791570000000007E+03,0.559148648800000010E+05,0.371124367130493404E+00,0.107914752797136165E+00,0.554792942671952114E+05,0.559148539741812783E+05,0.561326515846520269E+05,0.916529952976610161E+03
0.255233050615121859E+00,0.177702640383755488E+04,0.117907010132149592E+01,0.217791570000000007E+03,0.559148648800000010E+05,0.815966687865838813E+00,0.811880405243742276E+00,0.554792844209136820E+05,0.559148492167855729E+05,0.561326673390797878E+05,0.917167479973680315E+03
0.175020004385847083E+00,0.378192611969980419E+03,0.113361415396441778E+01,0.217791570000000007E+03,0.559148648800000010E+05,0.223968602998486810E+00,0.837382746707438924E-01,0.554792810744499147E+05,0.559148625733844747E+05,0.561326678667799933E+05,0.918022264512232027E+03
0.389178435021867442E+00,0.740718961845547938E+03,0.134270843483540059E+01,0.217791570000000007E+03,0.559148648800000010E+05,0.525171703516785326E+00,0.599129942982983610E+00,0.554792836190085291E+05,0.559148278487532589E+05,0.561326586088620243E+05,0.918029773084039448E+03
0.713357549957906789E+00,0.324745726720077130E+03,0.168092088989875710E+01,0.217791570000000007E+03,0.559148648800000010E+05,0.243830322544711459E+00,0.916606339863747954E+00,0.554792726260402487E+05,0.559148577231331365E+05,0.561326630073249980E+05,0.918087498476787800E+03
0.819917767537414632E+00,0.561939173819322036E+03,0.178816272946493671E+01,0.217791570000000007E+03,0.559148648800000010E+05,0.358034883092226586E+00,0.142080412864614924E+00,0.554792709302853909E+05,0.559148507977377158E+05,0.561326555168880004E+05,0.918100908599816989E+03
0.959540102240532877E+00,0.697510485526067555E+03,0.191879863488676672E+01,0.217791570000000007E+03,0.559148648800000010E+05,0.570907602884533572E+00,0.167224865471049561E+00,0.554792890141821263E+05,0.559148603929568999E+05,0.561326580462727798E+05,0.918153246005245705E+03
0.599677207862106432E+00,0.738764335021098418E+03,0.153821177071443183E+01,0.217791570000000007E+03,0.559148648800000010E+05,0.934511783059472800E+00,0.619003554822591062E+00,0.554792759917987933E+05,0.559148310155456711E+05,0.561326584535067886E+05,0.918503536975906059E+03
0.150660611875947231E+00,0.359121392815726267E+03,0.109837401866164419E+01,0.217791570000000007E+03,0.559148648800000010E+05,0.418054904622255141E+00,0.482291891921930505E+00,0.554792842471713157E+05,0.559148339906989277E+05,0.561326626528431370E+05,0.918534453762311955E+03
0.338557021580093778E-01,0.309991292902607129E+05,0.100251508831938174E+00,0.217791570000000007E+03,0.559148648800000010E+05,0.435926884451894703E+00,0.428459977787336244E+00,0.554792961611051651E+05,0.559148345610377655E+05,0.561326726817523886E+05,0.918671485654814774E+03
0.299135010736856187E-01,0.276083743475203883E+05,0.295605979562757859E+00,0.217791570000000007E+03,0.559148648800000010E+05,0.748059571661323863E+00,0.988969617693471803E+00,0.554792815727937268E+05,0.559148488431854203E+05,0.561326468108105109E+05,0.918768052207402320E+03
0.345242782782357940E-01,0.278601485519819071E+05,0.525488163191016530E-01,0.217791570000000007E+03,0.559148648800000010E+05,0.601831682244070354E+00,0.237451991565202580E+00,0.554792725189890043E+05,0.559148662812919647E+05,0.561326728649563083E+05,0.918850588515293225E+03
0.290068001861704061E+00,0.304382599762848542E+03,0.125041846962123349E+01,0.217791570000000007E+03,0.559148648800000010E+05,0.164761242506189676E+00,0.428087741215116724E+00,0.554792799165814868E+05,0.559148556816425335E+05,0.561326634698395792E+05,0.918914266477777232E+03
0.147685328374770997E+00,0.125864263815054392E+04,0.104985090819246341E+01,0.217791570000000007E+03,0.559148648800000010E+05,0.953312703014907004E+00,0.834908222121858778E+00,0.554792741822858516E+05,0.559148336063580573E+05,0.561326682886618364E+05,0.918922595593761002E+03
0.955973325999011858E+00,0.786437629237350166E+03,0.191871078129693129E+01,0.217791570000000007E+03,0.559148648800000010E+05,0.620237805716228108E+00,0.299548159093140198E+00,0.554792794431184375E+05,0.559148608462403499E+05,0.561326585214109000E+05,0.919027636006581702E+03
0.927310870932061826E-01,0.527914196089128836E+03,0.104476813761751175E+01,0.217791570000000007E+03,0.559148648800000010E+05,0.332526812442249797E-01,0.267726627932598660E+00,0.554792686927305112E+05,0.559148633288463752E+05,0.561326612319768537E+05,0.919040363550518919E+03
0.323877378113228004E-01,0.435595247293065695E+05,0.397811580389507112E-02,0.217791570000000007E+03,0.559148648800000010E+05,0.491373508205228959E+00,0.426857212403165542E+00,0.554792659301683234E+05,0.559148397217837555E+05,0.561326594574539922E+05,0.919093640412089940E+03
0.426440715495884748E+00,0.439309789779043172E+03,0.138063162852113419E+01,0.217791570000000007E+03,0.559148648800000010E+05,0.652697286480241057E+00,0.500866766806584374E+00,0.554792753629194704E+05,0.559148576569481156E+05,0.561326691255711703E+05,0.919173306721096537E+03
0.353690458729956289E-01,0.212242420868893823E+05,0.373158514696984855E+00,0.217791570000000007E+03,0.559148648800000010E+05,0.952703102071313590E+00,0.706671364705292598E-01,0.554792678151727450E+05,0.559148630343863115E+05,0.561326676917047225E+05,0.919208034387349358E+03
0.384819201387803164E-01,0.203023896807118108E+05,0.544729246767936992E+00,0.217791570000000007E+03,0.559148648800000010E+05,0.502455794515108245E+00,0.309737041843017424E+00,0.554792878068608406E+05,0.559148321424148235E+05,0.561326699123294311E+05,0.919363664814682238E+03
0.346766387694651193E-01,0.492681972218489973E+05,0.699609865887924898E-01,0.217791570000000007E+03,0.559148648800000010E+05,0.194547396662331062E+00,0.597848513777393231E+00,0.554792758174214323E+05,0.559148295016157645E+05,0.561326672598793375E+05,0.919398956033567060E+03
0.611785749789410027E+00,0.115495193599017557E+04,0.155870784292912012E+01,0.217791570000000007E+03,0.559148648800000010E+05,0.630387519594938883E+00,0.757110950817975636E+00,0.554792871110470587E+05,0.559148473019853773E+05,0.561326645895189213E+05,0.919603146736340136E+03
0.511242703080620253E+00,0.410207368729655570E+03,0.147462938756634698E+01,0.217791570000000007E+03,0.559148648800000010E+05,0.282936161973935729E+00,0.966117147514465091E+00,0.554792845201467571E+05,0.559148521687780740E+05,0.561326512761334743E+05,0.919632495021495856E+03
0.438761226308640451E-01,0.866122149701885610E+04,0.793504991368254586E+00,0.217791570000000007E+03,0.559148648800000010E+05,0.434257779986555958E+00,0.744273774158769275E+00,0.554792835572482945E+05,0.559148446460332998E+05,0.561326776141049704E+05,0.919652804508066197E+03
0.873944794072299413E+00,0.102215810329177157E+04,0.182292078563443316E+01,0.217791570000000007E+03,0.559148648800000010E+05,0.770366313401271152E+00,0.797628430092756968E+00,0.554792707157986079E+05,0.559148353799707838E+05,0.561326597322950838E+05,0.919666733075177376E+03
0.784313177658977123E+00,0.686045282442503321E+03,0.174921315615957318E+01,0.217791570000000007E+03,0.559148648800000010E+05,0.311243217480760170E+00,0.154276068991442084E+00,0.554792926206673437E+05,0.559148361700603418E+05,0.561326644023088229E+05,0.919717058582082359E+03
0.712678693631531246E+00,0.110977719459430864E+04,0.165863759031058677E+01,0.217791570000000007E+03,0.559148648800000010E+05,0.841081148440412152E+00,0.388428103326993179E+00,0.554792737676543838E+05,0.559148461347338016E+05,0.561326676057712612E+05,0.919733736019961611E+03
0.102866263576326555E+00,0.867154984387071067E+03,0.102831515568182108E+01,0.217791570000000007E+03,0.559148648800000010E+05,0.581298806123202394E+00,0.905196150527667553E+00,0.554792890401601035E+05,0.559148325941524963E+05,0.561326653129948609E+05,0.919743349682962503E+03
0.355695413099462454E-01,0.395902832636608000E+05,0.241827727860430636E+00,0.217791570000000007E+03,0.559148648800000010E+05,0.580396746992595733E-01,0.547849295660878810E+00,0.554793022135721403E+05,0.559148422485319388E+05,0.561326584005065160E+05,0.919764118904781867E+03
0.823723068219509136E+00,0.133771725446130654E+04,0.175772813689178875E+01,0.217791570000000007E+03,0.559148648800000010E+05,0.988059115836599444E+00,0.621811964311887011E+00,0.554792861476108956E+05,0.559148541632395572E+05,0.561326680519036599E+05,0.919818454729452583E+03
0.336431686219192741E-01,0.159704519184517267E+05,0.548599453861130626E+00,0.217791570000000007E+03,0.559148648800000010E+05,0.490839515419323746E+00,0.252952676506530971E+00,0.554792880727273950E+05,0.559148443874375153E+05,0.561326574396582437E+05,0.920021757823495932E+03
0.387911018282141098E-01,0.499269149869402172E+05,0.825712246487482759E-01,0.217791570000000007E+03,0.559148648800000010E+05,0.507181629863566297E+00,0.545503480641877370E+00,0.554792829251177100E+05,0.559148445668972490E+05,0.561326570346507579E+05,0.920113136098044492E+03
0.343159245519866971E-01,0.154351636208217569E+05,0.540600565648939546E+00,0.217791570000000007E+03,0.559148648800000010E+05,0.398251647622001659E+00,0.385825010914999655E+00,0.554792832499787837E+05,0.559148482108781536E+05,0.561326566245900103E+05,0.920114618494407637E+03
0.417005114144935796E+00,0.436812526321694520E+03,0.138242619441664716E+01,0.217791570000000007E+03,0.559148648800000010E+05,0.167451912433477068E+00,0.299930412320416173E+00,0.554792933853163267E+05,0.559148466030028358E+05,0.561326549732912463E+05,0.920127180713002076E+03
0.370031846369870410E-01,0.480166417629621137E+05,0.220043385738278446E+00,0.217791570000000007E+03,0.559148648800000010E+05,0.552559998788426543E+00,0.349036748093508112E-01,0.554792722447459018E+05,0.559148567661545385E+05,0.561326673895541244E+05,0.920135727417189059E+03
0.552383840836775608E+00,0.661551274798234658E+03,0.151827389239725896E+01,0.217791570000000007E+03,0.559148648800000010E+05,0.122465593515266966E+00,0.934435901717544315E+00,0.554792743562228352E+05,0.559148399017083575E+05,0.561326677889908751E+05,0.920144759286728799E+03
0.179678578866843880E+00,0.642476466780140640E+03,0.112132178647868797E+01,0.217791570000000007E+03,0.559148648800000010E+05,0.478273904410638939E+00,0.773581960265512625E+00,0.554792882999937137E+05,0.559148596193606063E+05,0.561326555187321137E+05,0.920234004990520702E+03
0.855432489026596743E+00,0.802717556095896839E+03,0.180747325664590841E+01,0.217791570000000007E+03,0.559148648800000010E+05,0.846892191769992975E+00,0.487091279662353466E-01,0.554792760502811725E+05,0.559148459745314030E+05,0.561326598900698009E+05,0.920258950922548479E+03
0.753483851856757259E+00,0.110756361753313445E+04,0.169958840439456194E+01,0.217791570000000007E+03,0.559148648800000010E+05,0.804546411116608962E+00,0.786956531856113251E+00,0.554792772348618237E+05,0.559148380665199802E+05,0.561326691178725741E+05,0.920389699761071711E+03
0.879163282152799153E+00,0.769674218145041550E+03,0.184501710935149466E+01,0.217791570000000007E+03,0.559148648800000010E+05,0.221402221747844380E+00,0.384454227908658352E+00,0.554792777475472030E+05,0.559148454367819722E+05,0.561326523234234555E+05,0.920402326588034271E+03
0.342300960740944793E+00,0.706207143417367433E+03,0.128382370706416959E+01,0.217791570000000007E+03,0.559148648800000010E+05,0.831714359109168244E+00,0.557506668783757098E+00,0.554792717030062995E+05,0.559148407957825402E+05,0.561326699903259941E+05,0.920414028498176663E+03
