seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_likelihood
0.907903527227164608E-01,0.225631244793162250E+04,0.249397934241651548E+00,0.282525503000000015E+03,0.557611227700000018E+05,0.483682597052787600E+00,0.294318734294692019E+00,0.551960720480041200E+05,0.554785982724591449E+05,0.557611238006968488E+05,0.560436478630383936E+05,0.563261745518625175E+05,0.105273696314894351E+05
0.925973248404747540E-01,0.193983548602705991E+04,0.407806693856322955E+00,0.282525503000000015E+03,0.557611227700000018E+05,0.350343065666946007E+00,0.335933461739587269E+00,0.551960718411551279E+05,0.554785973024912746E+05,0.557611231090772490E+05,0.560436478982906337E+05,0.563261734565523948E+05,0.105298767154574180E+05
0.902261573356583912E-01,0.242094538360858314E+04,0.121708729566201837E+00,0.282525503000000015E+03,0.557611227700000018E+05,0.472752573912107232E+00,0.313325440368869279E+00,0.551960707581871029E+05,0.554785973213827092E+05,0.557611223486228046E+05,0.560436478932450264E+05,0.563261735667625544E+05,0.105300610254122330E+05
0.897739134896462787E-01,0.239576726194365528E+04,0.104353024697118588E+00,0.282525503000000015E+03,0.557611227700000018E+05,0.562648367990455922E+00,0.261965510400140766E+00,0.551960706213219455E+05,0.554785978818787480E+05,0.557611236807935420E+05,0.560436473237540195E+05,0.563261742711724437E+05,0.105301053863654961E+05
0.905523349081808065E-01,0.230032678736431990E+04,0.224660319176428203E+00,0.282525503000000015E+03,0.557611227700000018E+05,0.477214869870162928E+00,0.276053396949882124E+00,0.551960714817081316E+05,0.554785983645101296E+05,0.557611227747584853E+05,0.560436475759416790E+05,0.563261750206883298E+05,0.105302630396772802E+05
0.906303289918408833E-01,0.232172132579615391E+04,0.214511722801085297E+00,0.282525503000000015E+03,0.557611227700000018E+05,0.438398791466949822E+00,0.315539799211161098E+00,0.551960710005691581E+05,0.554785974335961437E+05,0.557611220832045219E+05,0.560436481735054622E+05,0.563261734463973698E+05,0.105302791162604772E+05
0.909986511212140387E-01,0.212313688844438593E+04,0.306711191059755972E+00,0.282525503000000015E+03,0.557611227700000018E+05,0.511262090664040492E+00,0.275067301210309867E+00,0.551960715104381743E+05,0.554785979403786696E+05,0.557611235441792523E+05,0.560436478656509207E+05,0.563261749262177618E+05,0.105304176841616645E+05
0.909539305915729596E-01,0.237137252116321406E+04,0.195062072536588527E+00,0.282525503000000015E+03,0.557611227700000018E+05,0.418664556361240670E+00,0.316478280505706755E+00,0.551960714549118857E+05,0.554785980934118925E+05,0.557611231359079320E+05,0.560436480678909938E+05,0.563261746012165604E+05,0.105305681087608100E+05
0.912072749915135150E-01,0.230351941134553317E+04,0.242279716760414210E+00,0.282525503000000015E+03,0.557611227700000018E+05,0.384606818948029061E+00,0.357798279536942654E+00,0.551960713762958549E+05,0.554785981973003945E+05,0.557611233540420799E+05,0.560436482595450361E+05,0.563261736481127155E+05,0.105306760429990354E+05
0.922407987740870433E-01,0.209791848805761447E+04,0.350723611663039669E+00,0.282525503000000015E+03,0.557611227700000018E+05,0.336673067983915164E+00,0.413252360615845193E+00,0.551960718031118740E+05,0.554785973103042852E+05,0.557611231340160812E+05,0.560436476666696035E+05,0.563261742573731099E+05,0.105307098420482835E+05
