seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_tau5,seg0_tau6,seg0_tau7,seg0_likelihood
0.267740699228897205E-01,0.880990657741961627E+03,0.580620272916355651E+00,0.134251900000000006E+03,0.556869630000000034E+05,0.860735293653662525E+00,0.212678631900853170E-01,0.551499603304767152E+05,0.552842082100723856E+05,0.554184506010128316E+05,0.556869616400373779E+05,0.558212154005929551E+05,0.559554920672361768E+05,0.560897484787908616E+05,0.562239975428393955E+05,0.569652869213748272E+04
0.260482313236281050E-01,0.145296580007055036E+04,0.149688194041774285E-02,0.134251900000000006E+03,0.556869630000000034E+05,0.279722821504956309E+00,0.361619994646893650E+00,0.551499653198103479E+05,0.552842143976354346E+05,0.554184654530732078E+05,0.556869758997276513E+05,0.558212144775941124E+05,0.559554738313628695E+05,0.560897317231943962E+05,0.562239782903052037E+05,0.569682710008382674E+04
0.289024200864312075E-01,0.408563667450763035E+03,0.767675388791358992E+00,0.134251900000000006E+03,0.556869630000000034E+05,0.347359121367241119E+00,0.516693138431438936E+00,0.551499513486011783E+05,0.552842119838089420E+05,0.554184520752517346E+05,0.556869689668291685E+05,0.558212216783193362E+05,0.559554657345803207E+05,0.560897288540665904E+05,0.562239877124694831E+05,0.569857917812213782E+04
0.283593339684639241E-01,0.774784479797932022E+03,0.630690258122375780E+00,0.134251900000000006E+03,0.556869630000000034E+05,0.151644084820887926E+00,0.866782105339065523E+00,0.551499507463277259E+05,0.552841980466959722E+05,0.554184591837454209E+05,0.556869565218842108E+05,0.558212121324928303E+05,0.559554688747821201E+05,0.560897556855513249E+05,0.562239958586895882E+05,0.569961369657703472E+04
0.259673343009765474E-01,0.165674443442684469E+04,0.771404136938800278E-01,0.134251900000000006E+03,0.556869630000000034E+05,0.627630961845869861E+00,0.266601212096513052E+00,0.551499548019934155E+05,0.552842190457612814E+05,0.554184569492855589E+05,0.556869630825616405E+05,0.558212229109701802E+05,0.559554746208200304E+05,0.560897435655437366E+05,0.562239701757391158E+05,0.569967491873677500E+04
0.261041737347583735E-01,0.113605486942160906E+04,0.406871380701716356E+00,0.134251900000000006E+03,0.556869630000000034E+05,0.712700974701713341E+00,0.143017918075543388E-01,0.551499538647095615E+05,0.552842193252452635E+05,0.554184612923152454E+05,0.556869670356467977E+05,0.558212222207492305E+05,0.559554717540856800E+05,0.560897163908638831E+05,0.562239731246065639E+05,0.570015427439121231E+04
0.274803833115167435E-01,0.102588507451116811E+04,0.483632403206650352E+00,0.134251900000000006E+03,0.556869630000000034E+05,0.370814684837470931E+00,0.372958929227413527E+00,0.551499519730846514E+05,0.552842049790047531E+05,0.554184715199131897E+05,0.556869595169706445E+05,0.558212044935348604E+05,0.559554807794657972E+05,0.560897344615341281E+05,0.562239779544647754E+05,0.570068303674157687E+04
0.265714146332811096E-01,0.151701840099922811E+04,0.126706604847727333E+00,0.134251900000000006E+03,0.556869630000000034E+05,0.562611183651606117E+00,0.267704900232565546E+00,0.551499530250397584E+05,0.552841976306737706E+05,0.554184654283840500E+05,0.556869630786540583E+05,0.558212046041428184E+05,0.559554789943126889E+05,0.560897192630067730E+05,0.562239792548840633E+05,0.570078889386087030E+04
0.264366842746094205E-01,0.118354911602971515E+04,0.367775050995939490E+00,0.134251900000000006E+03,0.556869630000000034E+05,0.432050012890354995E+00,0.576924734030398789E+00,0.551499639330033096E+05,0.552842086908283454E+05,0.554184553948988032E+05,0.556869607589517982E+05,0.558211996260249434E+05,0.559554669887920099E+05,0.560897263387592320E+05,0.562239762005514058E+05,0.570079569438086401E+04
0.295264662504971763E-01,0.187562155584546076E+03,0.862354993784505974E+00,0.134251900000000006E+03,0.556869630000000034E+05,0.518813128376626964E+00,0.572610852624307470E-01,0.551499608177111368E+05,0.552842065717970909E+05,0.554184547722414572E+05,0.556869618070913784E+05,0.558212149352800479E+05,0.559554869129391373E+05,0.560897354518626453E+05,0.562239779726625347E+05,0.570121765367112312E+04
