seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_tau5,seg0_tau6,seg0_tau7,seg0_likelihood
0.268255303454441943E-01,0.926216890172582907E+03,0.202890114519545972E+00,0.158692399999999992E+03,0.556417079000000012E+05,0.296453308880217925E+00,0.266601154304434929E+00,0.550069427206660330E+05,0.551656341291305143E+05,0.553243295010137881E+05,0.554830105256595634E+05,0.556416955666729118E+05,0.558003827988152043E+05,0.561177403204615621E+05,0.562764186741211743E+05,0.752010238255864897E+04
0.279303079789917606E-01,0.706200436743766659E+03,0.426981508097374673E+00,0.158692399999999992E+03,0.556417079000000012E+05,0.247637720074004614E+00,0.509986323384075235E+00,0.550069416750886594E+05,0.551656387960682987E+05,0.553243305355203556E+05,0.554830200791635070E+05,0.556417085415322217E+05,0.558003853220147648E+05,0.561177482979609558E+05,0.562764238759887085E+05,0.752274723660303425E+04
0.280107023545287590E-01,0.526996325984954296E+03,0.604223320231104477E+00,0.158692399999999992E+03,0.556417079000000012E+05,0.273832153817891444E+00,0.439612062862249908E+00,0.550069338971967809E+05,0.551656341174457193E+05,0.553243300053563362E+05,0.554830122618759051E+05,0.556417046341676469E+05,0.558003831825329180E+05,0.561177473377891001E+05,0.562764157655513991E+05,0.752467208684791512E+04
0.271978966155964202E-01,0.903350228242007233E+03,0.257256599943361586E+00,0.158692399999999992E+03,0.556417079000000012E+05,0.192939988796581252E+00,0.841050637517088751E+00,0.550069444873505490E+05,0.551656353116102982E+05,0.553243331585946216E+05,0.554830158365342140E+05,0.556417104616639917E+05,0.558003776849200221E+05,0.561177457819560950E+05,0.562764119395458474E+05,0.752663064320832200E+04
0.278238248977892740E-01,0.599389784200141321E+03,0.514365298239289670E+00,0.158692399999999992E+03,0.556417079000000012E+05,0.485266629676507188E+00,0.341454266859341937E+00,0.550069322903866996E+05,0.551656361421655092E+05,0.553243311768666026E+05,0.554830201624683323E+05,0.556417095316502455E+05,0.558003868734581119E+05,0.561177427652953047E+05,0.562764239169705179E+05,0.752683720727698346E+04
0.272400630182522627E-01,0.959774082987817451E+03,0.968018754964645872E-01,0.158692399999999992E+03,0.556417079000000012E+05,0.748901318864816923E+00,0.967954358069911605E-02,0.550069403303598592E+05,0.551656375497111512E+05,0.553243328121388477E+05,0.554830137730793795E+05,0.556417052895833112E+05,0.558003866846184246E+05,0.561177433229286908E+05,0.562764157810179095E+05,0.752689265912822884E+04
0.272587653697395418E-01,0.902026633165168960E+03,0.151189141264941679E+00,0.158692399999999992E+03,0.556417079000000012E+05,0.326998211612842316E+00,0.447625713327228114E+00,0.550069420603577091E+05,0.551656374638062189E+05,0.553243195157849623E+05,0.554830101051752645E+05,0.556416909850146403E+05,0.558003811371488846E+05,0.561177484027689934E+05,0.562764204571018854E+05,0.752700316266903792E+04
0.268722031691947874E-01,0.855845142456860231E+03,0.285262951035176238E+00,0.158692399999999992E+03,0.556417079000000012E+05,0.475307362255129318E+00,0.196320783172892227E+00,0.550069366290416947E+05,0.551656354131849948E+05,0.553243265914546573E+05,0.554830136931608795E+05,0.556417150220340773E+05,0.558003834788134700E+05,0.561177476206761858E+05,0.562764113316218281E+05,0.752715582963947054E+04
0.279771639865540531E-01,0.702032559708259441E+03,0.445756061159264694E+00,0.158692399999999992E+03,0.556417079000000012E+05,0.309689374988325217E+00,0.437914519749629583E+00,0.550069442627087992E+05,0.551656344702652423E+05,0.553243302415911603E+05,0.554830172951492059E+05,0.556417061262051284E+05,0.558003835255778104E+05,0.561177366646013761E+05,0.562764142648495254E+05,0.752716383598340144E+04
0.267248537086363855E-01,0.913337716941736062E+03,0.107320935539374870E+00,0.158692399999999992E+03,0.556417079000000012E+05,0.648287310393967919E+00,0.215796209351083013E+00,0.550069287835242358E+05,0.551656368654158068E+05,0.553243211265289865E+05,0.554830187560588238E+05,0.556416995944469527E+05,0.558003822851045770E+05,0.561177401107651967E+05,0.562764136621275611E+05,0.752723685382993972E+04
0.288857231946510300E-01,0.487641413966826008E+03,0.617883318821291216E+00,0.158692399999999992E+03,0.556417079000000012E+05,0.183607660732933969E+00,0.891884279207621478E+00,0.550069427452719247E+05,0.551656311365161819E+05,0.553243267781729155E+05,0.554830130361073461E+05,0.556417006408718589E+05,0.558003819995434606E+05,0.561177354377657175E+05,0.562764216928805763E+05,0.752729084056373540E+04
0.299906357471315388E-01,0.348098384082250561E+03,0.702665316040684718E+00,0.158692399999999992E+03,0.556417079000000012E+05,0.300805462552187652E+00,0.782880400182424552E+00,0.550069350949451837E+05,0.551656369553790573E+05,0.553243277614242252E+05,0.554830126828328866E+05,0.556416870745612177E+05,0.558003859778633778E+05,0.561177481707227707E+05,0.562764204408404403E+05,0.752735600774325394E+04
0.274050471730240518E-01,0.827852441071521298E+03,0.310062516398758203E+00,0.158692399999999992E+03,0.556417079000000012E+05,0.710305555192278115E+00,0.102315174504412951E+00,0.550069353989438314E+05,0.551656310665650381E+05,0.553243297292091593E+05,0.554830085527095289E+05,0.556417071425800896E+05,0.558003812546693589E+05,0.561177446723060493E+05,0.562764258653848010E+05,0.752735965814682095E+04
0.270733896475032383E-01,0.867484679386508901E+03,0.260651316192918370E+00,0.158692399999999992E+03,0.556417079000000012E+05,0.268778774673320564E+00,0.642664520214868640E+00,0.550069484992068974E+05,0.551656340138390151E+05,0.553243315035861524E+05,0.554830112272261758E+05,0.556417041463741843E+05,0.558003850074234069E+05,0.561177422941423429E+05,0.562764189780268207E+05,0.752749495557828413E+04
0.267442040243849009E-01,0.953067253739470516E+03,0.527044058906033022E-01,0.158692399999999992E+03,0.556417079000000012E+05,0.223474185871199521E+00,0.692712988176872324E+00,0.550069353775374402E+05,0.551656428567756302E+05,0.553243240655690242E+05,0.554830125108020147E+05,0.556417038373533433E+05,0.558003830998316480E+05,0.561177440618625478E+05,0.562764186839343456E+05,0.752771072157554045E+04
0.274981980545972483E-01,0.727627397068943083E+03,0.438880443652439223E+00,0.158692399999999992E+03,0.556417079000000012E+05,0.262367233152074109E+00,0.539866656939486877E+00,0.550069425210749250E+05,0.551656335429307146E+05,0.553243270089509970E+05,0.554830164123570139E+05,0.556417085192370141E+05,0.558003804093788931E+05,0.561177547764847404E+05,0.562764130657887144E+05,0.752791531986325390E+04
0.286798903635927527E-01,0.461760287879533792E+03,0.634779964860425316E+00,0.158692399999999992E+03,0.556417079000000012E+05,0.375742680258374762E+00,0.376587804614849253E+00,0.550069332805629238E+05,0.551656296242218305E+05,0.553243282397033763E+05,0.554830079627806917E+05,0.556417004210601517E+05,0.558003903175536179E+05,0.561177457870263970E+05,0.562764082170562469E+05,0.752792089916856821E+04
0.284271623091381515E-01,0.619936902867084996E+03,0.519528217756347832E+00,0.158692399999999992E+03,0.556417079000000012E+05,0.186545975215503035E+00,0.441489541327698853E+00,0.550069373939813959E+05,0.551656320212905266E+05,0.553243333418771654E+05,0.554830131381252359E+05,0.556417018707277530E+05,0.558003803033776057E+05,0.561177367386665283E+05,0.562764140185168435E+05,0.752795917453566108E+04
0.270053262564640614E-01,0.927376272920847214E+03,0.779811575436624577E-01,0.158692399999999992E+03,0.556417079000000012E+05,0.477398004249823427E+00,0.305151820207179514E+00,0.550069324679661368E+05,0.551656343026031755E+05,0.553243277482523699E+05,0.554830193826076938E+05,0.556417090927964673E+05,0.558003900797398383E+05,0.561177437448425553E+05,0.562764190412864846E+05,0.752801495511390567E+04
0.281348046919822244E-01,0.822996835945041198E+03,0.379252460788173706E+00,0.158692399999999992E+03,0.556417079000000012E+05,0.116655767847796091E+00,0.917621480422401214E+00,0.550069420174631014E+05,0.551656350844719564E+05,0.553243247942308153E+05,0.554830131738367782E+05,0.556416971668570404E+05,0.558003808200594503E+05,0.561177484864853614E+05,0.562764211424502137E+05,0.752813761738923131E+04
0.270325713491955631E-01,0.958179595098138520E+03,0.427299488196275917E-01,0.158692399999999992E+03,0.556417079000000012E+05,0.676461289992377868E+00,0.417620760494570795E-01,0.550069357967942997E+05,0.551656337229777419E+05,0.553243304824943843E+05,0.554830188430870112E+05,0.556416983260622001E+05,0.558003885591143844E+05,0.561177462451439933E+05,0.562764107157997641E+05,0.752826332760101650E+04
0.272036035941302101E-01,0.930832838002643484E+03,0.167064639115399233E+00,0.158692399999999992E+03,0.556417079000000012E+05,0.226897908579568125E+00,0.695264611220646200E+00,0.550069427823960359E+05,0.551656305986751104E+05,0.553243356579874671E+05,0.554830118209391730E+05,0.556417073809218127E+05,0.558003817648528129E+05,0.561177402481568060E+05,0.562764235114117837E+05,0.752827282247585390E+04
