seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_tau5,seg0_tau6,seg0_tau7,seg0_likelihood
0.239014991117915375E-01,0.146667232471937996E+04,0.447435132812761815E+00,0.169134166999999991E+03,0.557113484479999970E+05,0.766775964597749993E+00,0.262442039861439547E+00,0.550348378080137845E+05,0.552039155250434196E+05,0.553730787031631044E+05,0.555422357019247647E+05,0.557113325661633935E+05,0.558804563962324901E+05,0.562187697693303999E+05,0.563878841783355165E+05,0.499166442015930534E+04
0.281208611107407434E-01,0.257822482526571264E+03,0.892370570301451060E+00,0.169134166999999991E+03,0.557113484479999970E+05,0.443079464169712944E+00,0.364046643941165593E+00,0.550348266435341939E+05,0.552039481135527967E+05,0.553731099510467175E+05,0.555421970123379870E+05,0.557113345377305377E+05,0.558804745733189775E+05,0.562187369320732905E+05,0.563878900609755365E+05,0.499250622886083693E+04
0.229452280044865446E-01,0.218932056782067230E+04,0.306014385527428767E+00,0.169134166999999991E+03,0.557113484479999970E+05,0.504667949071253341E+00,0.383879410030293522E+00,0.550348244163301424E+05,0.552039877007834875E+05,0.553730716779126815E+05,0.555421521879962384E+05,0.557113376319956078E+05,0.558804556803830710E+05,0.562187376150128039E+05,0.563878928190333245E+05,0.499328699898652394E+04
0.259284677835958342E-01,0.460583206820351506E+03,0.832038270300973992E+00,0.169134166999999991E+03,0.557113484479999970E+05,0.857052814183420497E-01,0.737337028987756660E+00,0.550348143245386455E+05,0.552039859690486846E+05,0.553730321226885280E+05,0.555422034493371102E+05,0.557113440347228388E+05,0.558804542459210425E+05,0.562187579460820052E+05,0.563878793623638921E+05,0.499372961293813114E+04
0.213745687958580462E-01,0.128928870928760261E+04,0.392487146620422944E+00,0.169134166999999991E+03,0.557113484479999970E+05,0.859418128595579867E+00,0.928419523457569174E+00,0.550348063523369201E+05,0.552039524832767929E+05,0.553730854220377005E+05,0.555422016135029626E+05,0.557113403207705778E+05,0.558804814207501040E+05,0.562187403700813811E+05,0.563878971176606137E+05,0.499433476093365789E+04
0.242844736247558243E-01,0.197733718065453445E+04,0.313775450253675592E+00,0.169134166999999991E+03,0.557113484479999970E+05,0.148950336609780382E+00,0.230810034785733711E-01,0.550347954379701041E+05,0.552039966027864866E+05,0.553730912987353586E+05,0.555422276330796012E+05,0.557113502439605945E+05,0.558804793123222480E+05,0.562187495367166193E+05,0.563878874304054480E+05,0.499444395799667836E+04
0.225670251458740222E-01,0.217449480477442239E+04,0.676483755575913309E-01,0.169134166999999991E+03,0.557113484479999970E+05,0.890970181425261520E+00,0.116966669130643477E+00,0.550348332425162953E+05,0.552039477499240311E+05,0.553730488937410410E+05,0.555422241053874750E+05,0.557113259038585456E+05,0.558805183871934642E+05,0.562187545786204064E+05,0.563878856561199209E+05,0.499508853308944254E+04
0.306005320528589357E-01,0.218194231746684238E+03,0.911724400860860262E+00,0.169134166999999991E+03,0.557113484479999970E+05,0.470509090316306111E+00,0.393330464296842208E+00,0.550348486159375825E+05,0.552039812535712845E+05,0.553730695935821714E+05,0.555422212920323727E+05,0.557113555205827506E+05,0.558804940705397967E+05,0.562187555977895172E+05,0.563879022389596430E+05,0.499517522397721768E+04
0.292709111064443604E-01,0.303241299042218657E+03,0.875680497397395619E+00,0.169134166999999991E+03,0.557113484479999970E+05,0.584123321631394243E+00,0.597164919624094903E+00,0.550348139993795266E+05,0.552039660192478404E+05,0.553730306348298545E+05,0.555422205173815018E+05,0.557113631885654686E+05,0.558805037224893749E+05,0.562187388558972671E+05,0.563878912234045711E+05,0.499530406647495147E+04
0.243539676661848614E-01,0.230073637494540617E+04,0.716374223603901761E-03,0.169134166999999991E+03,0.557113484479999970E+05,0.861914640394299658E+00,0.557887214049827048E-02,0.550347606858593572E+05,0.552039261018010002E+05,0.553730749160888226E+05,0.555422123750770770E+05,0.557113556828311630E+05,0.558804666553513889E+05,0.562187364865164127E+05,0.563878880354892899E+05,0.499532556706312062E+04
