seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_likelihood
0.580603802712886252E-01,0.104045680101995513E+05,0.405517010183365501E+00,0.305056500000000028E+03,0.557371802000000025E+05,0.698507905437399823E+00,0.375761182388159309E+00,0.551270684102366213E+05,0.557372201111465911E+05,0.560422991010643746E+05,0.563473742710856095E+05,0.495432621848549388E+04
0.569490429740973844E-01,0.130164383362765930E+05,0.211808294062059171E+00,0.305056500000000028E+03,0.557371802000000025E+05,0.942307818875308234E+00,0.214251756818501310E+00,0.551270684046224051E+05,0.557372177194818578E+05,0.560422985521289229E+05,0.563473731765836783E+05,0.495510530104030477E+04
0.621226888605123442E-01,0.524106431055103076E+04,0.718689082188587292E+00,0.305056500000000028E+03,0.557371802000000025E+05,0.316260487595532547E+00,0.120762258714579421E+00,0.551270695870183481E+05,0.557372191200131056E+05,0.560422966514391155E+05,0.563473686854289408E+05,0.495562451705258718E+04
0.587261693464076334E-01,0.853834374296219175E+04,0.492739326554100188E+00,0.305056500000000028E+03,0.557371802000000025E+05,0.863608091177407111E+00,0.204894697338392856E+00,0.551270666392854546E+05,0.557372202607746513E+05,0.560422970325221540E+05,0.563473726251255430E+05,0.495576869621871447E+04
0.636487076169081067E-01,0.478756778591526199E+04,0.721724517750913952E+00,0.305056500000000028E+03,0.557371802000000025E+05,0.637358013199822770E+00,0.266087348557955738E+00,0.551270668702609546E+05,0.557372182954907403E+05,0.560422989817793350E+05,0.563473726056449013E+05,0.495599058616601360E+04
0.628784780553856559E-01,0.494473849386225811E+04,0.722893727733289970E+00,0.305056500000000028E+03,0.557371802000000025E+05,0.397324620937009487E+00,0.438325047774381693E+00,0.551270687287061883E+05,0.557372170829778333E+05,0.560422974729423076E+05,0.563473717299337732E+05,0.495601311672553675E+04
0.662694468818998544E-01,0.403741329165800607E+04,0.773730093596319390E+00,0.305056500000000028E+03,0.557371802000000025E+05,0.313281386335522827E+00,0.722071908017572484E+00,0.551270705191135130E+05,0.557372227103550613E+05,0.560422976785837091E+05,0.563473725609913381E+05,0.495619168687546880E+04
0.622390803114317021E-01,0.484743930323757195E+04,0.716454843948591713E+00,0.305056500000000028E+03,0.557371802000000025E+05,0.557010672743298740E+00,0.100194230841994081E+00,0.551270677693125981E+05,0.557372168075250593E+05,0.560422988997210850E+05,0.563473752722943318E+05,0.495623752627696194E+04
0.624254871397997985E-01,0.689582188427642632E+04,0.645450507812096896E+00,0.305056500000000028E+03,0.557371802000000025E+05,0.290376810325629342E+00,0.735979687277932615E+00,0.551270686116104189E+05,0.557372199184608617E+05,0.560422970562273113E+05,0.563473750624127279E+05,0.495630773066064103E+04
0.581647972316949452E-01,0.105395368083987869E+05,0.404765456856312156E+00,0.305056500000000028E+03,0.557371802000000025E+05,0.680957771358140174E+00,0.222864899544917561E+00,0.551270682575204337E+05,0.557372179205277062E+05,0.560422994542317610E+05,0.563473745994574419E+05,0.495636512361459972E+04
