seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_likelihood
0.783555668699645325E+00,0.175964632766483242E+01,0.176211002878136713E+01,0.232045335999999992E+03,0.557913620079999964E+05,0.991840895496359343E+00,0.149981238587264032E+00,0.550953449221773189E+05,0.553263561102332897E+05,0.557913813542929638E+05,0.560234491513129615E+05,0.562553184861843620E+05,0.147103808795167533E+05
0.257028806842734658E+00,0.484315034932233868E+01,0.122387267691254453E+01,0.232045335999999992E+03,0.557913620079999964E+05,0.918083163169211125E+00,0.782831516534703620E+00,0.550952469340187163E+05,0.553263103949758151E+05,0.557914985970430134E+05,0.560233287240076825E+05,0.562553714637623780E+05,0.147106452721367968E+05
0.435372079469482864E+00,0.196022853393030094E+01,0.141896132169066314E+01,0.232045335999999992E+03,0.557913620079999964E+05,0.476418974205893631E+00,0.642664446963554958E+00,0.550952042171859503E+05,0.553263123554787453E+05,0.557914905595868331E+05,0.560234925348610777E+05,0.562553202829596703E+05,0.147108518377009386E+05
0.646391787692713327E+00,0.190719964993597402E+01,0.163208803996246754E+01,0.232045335999999992E+03,0.557913620079999964E+05,0.444358320243222582E+00,0.727066340526357990E+00,0.550952661126295789E+05,0.553262958852980082E+05,0.557915016744543391E+05,0.560236285049197104E+05,0.562554669445102627E+05,0.147109581324497703E+05
0.634563284562843388E+00,0.227411105562063698E+01,0.161500060635875231E+01,0.232045335999999992E+03,0.557913620079999964E+05,0.782439806512128522E+00,0.348585005709518558E+00,0.550953502976996897E+05,0.553262731142322082E+05,0.557914912384829149E+05,0.560236068224663759E+05,0.562553740451020858E+05,0.147110092606087492E+05
0.968294466382289554E+00,0.185329605105496675E+01,0.195610510131354909E+01,0.232045335999999992E+03,0.557913620079999964E+05,0.395450841149805832E+00,0.768157449455118879E+00,0.550952607528683147E+05,0.553263528365129459E+05,0.557914792220208183E+05,0.560235636244288253E+05,0.562553587764408803E+05,0.147115917247536709E+05
0.135433571432743149E+00,0.110673766808246499E+01,0.110785598113573180E+01,0.232045335999999992E+03,0.557913620079999964E+05,0.833626627301174317E+00,0.344401137116167932E+00,0.550953403651562330E+05,0.553263617418932627E+05,0.557914901626341380E+05,0.560234182346360903E+05,0.562554403591617083E+05,0.147116617326067098E+05
0.317892451015768018E+00,0.102811095471239056E+01,0.130562255394324866E+01,0.232045335999999992E+03,0.557913620079999964E+05,0.110545591539203347E+00,0.753811211705740503E+00,0.550952606652360118E+05,0.553264252267039119E+05,0.557914415943621279E+05,0.560233354725418903E+05,0.562554090898898794E+05,0.147119502273470425E+05
0.108418469127210745E+00,0.241997498673425060E+01,0.107888111835091882E+01,0.232045335999999992E+03,0.557913620079999964E+05,0.776979880172565363E+00,0.186095616533841240E+00,0.550952231836357532E+05,0.553263449182810145E+05,0.557914864283472707E+05,0.560233383584993426E+05,0.562553515037841280E+05,0.147120286648550318E+05
0.982279502661554726E+00,0.142279717034142417E+01,0.197134664852019981E+01,0.232045335999999992E+03,0.557913620079999964E+05,0.308618097562643412E+00,0.186020809901570799E+00,0.550952321785531531E+05,0.553263157949140004E+05,0.557914477954237300E+05,0.560235361590875400E+05,0.562554629014210004E+05,0.147126407391820976E+05
0.273645937245878657E+00,0.161150365007771423E+01,0.125496647116857707E+01,0.232045335999999992E+03,0.557913620079999964E+05,0.465927707137163194E+00,0.350453977728224342E+00,0.550953750943594277E+05,0.553263108999372562E+05,0.557914387057790518E+05,0.560235544343956644E+05,0.562554103400548556E+05,0.147127674702390032E+05
0.906535635816608232E+00,0.498620697073045260E+01,0.189395593006060525E+01,0.232045335999999992E+03,0.557913620079999964E+05,0.255799953546382408E+00,0.251297405205723468E-01,0.550953209693538520E+05,0.553263228549841078E+05,0.557914256490850239E+05,0.560235552504457810E+05,0.562554182053981349E+05,0.147129549059894889E+05
0.246588247711384490E+00,0.343138400062045479E+01,0.122051852792071580E+01,0.232045335999999992E+03,0.557913620079999964E+05,0.740474463348255840E+00,0.123828371610774049E+00,0.550953138246428789E+05,0.553263018878202274E+05,0.557914502590259290E+05,0.560233683432006073E+05,0.562554598324552935E+05,0.147132061511650500E+05
0.219670481625300756E-01,0.905601929177163072E+02,0.862761169139518835E+00,0.232045335999999992E+03,0.557913620079999964E+05,0.614906071605345939E+00,0.760408299628917983E+00,0.550952232085708456E+05,0.553263619571623203E+05,0.557914657110104890E+05,0.560234433602115096E+05,0.562554572013330908E+05,0.147135073732743476E+05
0.598326305188493723E+00,0.362458318170339089E+01,0.157187379993825393E+01,0.232045335999999992E+03,0.557913620079999964E+05,0.857900807160117740E+00,0.786495365719588668E+00,0.550952572127520398E+05,0.553264293065378297E+05,0.557914795167249031E+05,0.560233916605007253E+05,0.562554918807632130E+05,0.147137568994189605E+05
0.129040594888936433E+00,0.258854170603982325E+01,0.111249671088670210E+01,0.232045335999999992E+03,0.557913620079999964E+05,0.588358859205705478E-01,0.689243587402331270E+00,0.550952122453553093E+05,0.553263999119602959E+05,0.557914486548035420E+05,0.560234011986875194E+05,0.562554574771402986E+05,0.147138371009182338E+05
0.918364959381514745E+00,0.248182503712088254E+01,0.190339328136974362E+01,0.232045335999999992E+03,0.557913620079999964E+05,0.550180999461644671E+00,0.605743630521510368E+00,0.550951999926860080E+05,0.553262888667661900E+05,0.557915140422183104E+05,0.560233869610666152E+05,0.562555000115983348E+05,0.147138902015701970E+05
0.174924663849452613E-01,0.120819908221250421E+04,0.260827408215803969E+00,0.232045335999999992E+03,0.557913620079999964E+05,0.699491909387992328E+00,0.114182024039624283E-01,0.550953100063234233E+05,0.553262727189043871E+05,0.557914787766799564E+05,0.560234441005603294E+05,0.562554672951536486E+05,0.147139272279266079E+05
0.147249589583951113E-01,0.441371565572691168E+03,0.921183470840883922E-01,0.232045335999999992E+03,0.557913620079999964E+05,0.579719687032216879E+00,0.697370967792646845E+00,0.550952401086473619E+05,0.553263020248402390E+05,0.557914728772265516E+05,0.560234416761741231E+05,0.562554560946379570E+05,0.147141415509975523E+05
0.547427027817810163E+00,0.159054084908053706E+01,0.153533731351490865E+01,0.232045335999999992E+03,0.557913620079999964E+05,0.102828530751093078E+00,0.972482554458737658E+00,0.550952197520048576E+05,0.553263766260588527E+05,0.557914003505846558E+05,0.560234831946776685E+05,0.562554953529675404E+05,0.147141945299957370E+05
0.453865880009410527E+00,0.420337776767631155E+01,0.143548738533019327E+01,0.232045335999999992E+03,0.557913620079999964E+05,0.618175482314116342E+00,0.423785797893106220E+00,0.550952093936360325E+05,0.553263582665743234E+05,0.557914349222242527E+05,0.560235441446466939E+05,0.562554671016534048E+05,0.147142313590032609E+05
0.166916978517753223E+00,0.114230809399004052E+01,0.115029161160239246E+01,0.232045335999999992E+03,0.557913620079999964E+05,0.270192405926909074E+00,0.707010196806862834E+00,0.550952878242004663E+05,0.553263041774681187E+05,0.557915131078128179E+05,0.560234002524479511E+05,0.562553236535332617E+05,0.147142571659510104E+05
0.751828038108432795E+00,0.348701218926516354E+01,0.173410061196252752E+01,0.232045335999999992E+03,0.557913620079999964E+05,0.566997170281206886E+00,0.698256079454954270E+00,0.550951750103172890E+05,0.553262719959700844E+05,0.557914303470316954E+05,0.560234925572328721E+05,0.562554120709265044E+05,0.147143042759632772E+05
0.621934398339860417E+00,0.160929752447913454E+01,0.160243373414425716E+01,0.232045335999999992E+03,0.557913620079999964E+05,0.737430912845279396E+00,0.510648734366595192E+00,0.550952135780494864E+05,0.553262877398051642E+05,0.557914281339252775E+05,0.560234536690998648E+05,0.562554314167319753E+05,0.147143147268246867E+05
0.410739353959658049E+00,0.760775402233170972E+01,0.138617377267784581E+01,0.232045335999999992E+03,0.557913620079999964E+05,0.819663711661420713E+00,0.572234414998901930E+00,0.550953144939900958E+05,0.553263050856187110E+05,0.557914338054279579E+05,0.560234529134219119E+05,0.562555182988741944E+05,0.147143194684872869E+05
0.307820299534107722E+00,0.250286485055779639E+01,0.128534999676720019E+01,0.232045335999999992E+03,0.557913620079999964E+05,0.748962001485592888E+00,0.120918359722505142E+00,0.550952890654399453E+05,0.553262741130135037E+05,0.557914617735425491E+05,0.560234938741082660E+05,0.562555667367453207E+05,0.147143285141257547E+05
0.594332963619751742E+00,0.263799685295504904E+01,0.158037431008344065E+01,0.232045335999999992E+03,0.557913620079999964E+05,0.355164352581224252E+00,0.672408224415526945E+00,0.550953074460639546E+05,0.553264294344597147E+05,0.557914031769467765E+05,0.560235130432034275E+05,0.562554639147582566E+05,0.147143312236886522E+05
