seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_tau5,seg0_tau6,seg0_likelihood
0.197344720363616943E+00,0.117898049295631546E+01,0.122354769706726074E+01,0.107905569999999997E+03,0.556403745429999981E+05,0.535647392272949219E+00,0.670399367809295654E+00,0.549939024733217666E+05,0.551001938025561976E+05,0.552083314115309622E+05,0.558565984686493030E+05,0.559643645728404299E+05,0.561807471194432874E+05,0.562868339360815880E+05,0.105795328951232641E+05
0.271034240722656250E-01,0.490743223155557818E+06,0.100598108768463135E+01,0.107905569999999997E+03,0.556403745429999981E+05,0.749969899654388428E+00,0.592923462390899658E+00,0.549925638567121932E+05,0.551005995739309001E+05,0.552091597872280981E+05,0.558568864323972812E+05,0.559634964991385714E+05,0.561798804251121182E+05,0.562869633468253014E+05,0.105799825469400184E+05
0.329141676425933838E+00,0.397254004727291613E+05,0.132409155368804932E+01,0.107905569999999997E+03,0.556403745429999981E+05,0.419067144393920898E-01,0.215208172798156738E+00,0.549937563491972396E+05,0.551003841182796168E+05,0.552083497674965765E+05,0.558563805667041888E+05,0.559632640089566485E+05,0.561790728620456357E+05,0.562874173099858162E+05,0.105800487062796255E+05
0.541622570264119640E+00,0.114564756772899763E+02,0.153071605637025954E+01,0.107905569999999997E+03,0.556403745429999981E+05,0.916697274707617638E+00,0.524054931900580240E-02,0.549919876169187919E+05,0.551002326968797788E+05,0.552094456747815930E+05,0.558564085884921296E+05,0.559637292523340657E+05,0.561792408328263700E+05,0.562877837537734886E+05,0.105811625609066778E+05
0.184267277468713520E+00,0.108219392238780521E+01,0.117964189542462705E+01,0.107905569999999997E+03,0.556403745429999981E+05,0.758218017211905071E+00,0.200070857698442434E+00,0.549929921766141197E+05,0.551017174862660686E+05,0.552087818132414322E+05,0.558558694676878877E+05,0.559638258624743539E+05,0.561805700201316649E+05,0.562872069785922286E+05,0.105812824411790225E+05
0.605560732908908602E-02,0.108471204061178899E+02,0.414750480478017824E+00,0.107905569999999997E+03,0.556403745429999981E+05,0.893770720911469807E+00,0.301098366840117149E+00,0.549920099389374082E+05,0.551009371865711801E+05,0.552096013379651631E+05,0.558569729116613235E+05,0.559631973554263532E+05,0.561808376459039864E+05,0.562868882744241564E+05,0.105823743025100539E+05
0.141632600730006494E-01,0.170310504127125496E+05,0.739846037832469827E+00,0.107905569999999997E+03,0.556403745429999981E+05,0.396765201481359020E+00,0.556090116907776655E+00,0.549930586819758246E+05,0.551003794757184878E+05,0.552080399444910363E+05,0.558568882702201736E+05,0.559637916902732832E+05,0.561802427168063150E+05,0.562875952001210098E+05,0.105834074483819004E+05
0.881448892354961600E+00,0.481279264186867373E+01,0.187574960422770198E+01,0.107905569999999997E+03,0.556403745429999981E+05,0.571832984063234129E+00,0.951901789019518718E+00,0.549929823431428085E+05,0.551007614276113236E+05,0.552090163865393770E+05,0.558562164688419580E+05,0.559641384306250038E+05,0.561803389105874812E+05,0.562882544025643874E+05,0.105844321312502962E+05
0.609913478513476534E-02,0.104510978053601811E+01,0.847845520919085160E+00,0.107905569999999997E+03,0.556403745429999981E+05,0.121829999737284186E+00,0.899522789495438513E+00,0.549930981757196496E+05,0.551017437928821746E+05,0.552085483084738007E+05,0.558552689511245917E+05,0.559639397109599959E+05,0.561801480650122903E+05,0.562874892309822317E+05,0.105846630744838058E+05
0.821392174727082237E-02,0.612953615587711909E+02,0.194423057951456840E+00,0.107905569999999997E+03,0.556403745429999981E+05,0.248662019367502540E+00,0.316355981467707603E+00,0.549933539400901791E+05,0.551013640166471378E+05,0.552089512423823035E+05,0.558560300887762423E+05,0.559649660389379642E+05,0.561799394061627536E+05,0.562873091072665993E+05,0.105850515698640502E+05
0.539517945310795735E-02,0.609415966188629881E+02,0.492281872302119616E+00,0.107905569999999997E+03,0.556403745429999981E+05,0.473615302228097945E+00,0.632674815828380588E+00,0.549923833606953776E+05,0.551011187598139149E+05,0.552085602102029879E+05,0.558559895742448207E+05,0.559639542175508686E+05,0.561800229536134138E+05,0.562878714522558803E+05,0.105853195920836934E+05
0.101726699385745051E-01,0.103986970142543544E+01,0.993992679319054773E+00,0.107905569999999997E+03,0.556403745429999981E+05,0.687157845197957085E-01,0.897248490243730878E+00,0.549934659225768337E+05,0.551003235365838409E+05,0.552086848548870621E+05,0.558564357820669684E+05,0.559638081134254244E+05,0.561805301248713731E+05,0.562878900313796257E+05,0.105857507750764216E+05
0.594300930056348466E-02,0.431375790593348142E+03,0.725493856318854324E+00,0.107905569999999997E+03,0.556403745429999981E+05,0.242955137802500554E+00,0.286991447438818714E+00,0.549935990488718016E+05,0.551015299849892399E+05,0.552081287121564819E+05,0.558566548310956205E+05,0.559638639081694928E+05,0.561803714663241408E+05,0.562878768946985947E+05,0.105858478268614253E+05
0.788694836934203281E+00,0.870096347628963684E+01,0.177865378511798555E+01,0.107905569999999997E+03,0.556403745429999981E+05,0.900042966273597478E+00,0.474189165022849746E+00,0.549931653222288296E+05,0.551010905196683452E+05,0.552087086717654238E+05,0.558561044558350113E+05,0.559646773202931290E+05,0.561805212188423102E+05,0.562878124385217379E+05,0.105859968349569517E+05
