seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_likelihood
0.348003506660461426E-01,0.201307662830442657E+01,0.233498454093933105E+00,0.282000323999999978E+03,0.549956138999999966E+05,0.453675031661987305E+00,0.360091447830200195E+00,0.549946969341577496E+05,0.552771328456831179E+05,0.789745990673119991E+03
0.103700459003448486E+00,0.595613061943545290E+04,0.109607505798339844E+01,0.282000323999999978E+03,0.549956138999999966E+05,0.490104436874389648E+00,0.419943451881408691E+00,0.549954780473054852E+05,0.552780599779319964E+05,0.790522530397634114E+03
0.163368523120880127E+00,0.577272555457381750E+05,0.115774667263031006E+01,0.282000323999999978E+03,0.549956138999999966E+05,0.886558294296264648E-01,0.952889680862426758E+00,0.549952233092130627E+05,0.552769229326677523E+05,0.790626195953478145E+03
0.613044321537017822E+00,0.412588519604281771E+03,0.161229300498962402E+01,0.282000323999999978E+03,0.549956138999999966E+05,0.586918950080871582E+00,0.720036029815673828E-01,0.549952370690645184E+05,0.552767467021179400E+05,0.790654910776328165E+03
0.326442718505859375E-02,0.160815238788487215E+06,0.320980787277221680E+00,0.282000323999999978E+03,0.549956138999999966E+05,0.415849685668945312E-02,0.142943918704986572E+00,0.549951196132244077E+05,0.552768798120451174E+05,0.790655894789150580E+03
0.195026397705078125E-03,0.170709138301260355E+01,0.178715586662292480E+00,0.282000323999999978E+03,0.549956138999999966E+05,0.573246419429779053E+00,0.842492163181304932E+00,0.549949180313886609E+05,0.552783604580593310E+05,0.790656831251561016E+03
0.149035632610321045E+00,0.584959562571303977E+05,0.181751728057861328E+00,0.282000323999999978E+03,0.549956138999999966E+05,0.126067399978637695E+00,0.471464633941650391E+00,0.549957887116016354E+05,0.552768190874290667E+05,0.790656899386129226E+03
0.690597534179687500E+00,0.370957991806823411E+05,0.137275779247283936E+01,0.282000323999999978E+03,0.549956138999999966E+05,0.698160767555236816E+00,0.399672985076904297E-01,0.549948400682748761E+05,0.552767146048975192E+05,0.790656899386129226E+03
0.174278616905212402E+00,0.109065087447878906E+01,0.161373782157897949E+01,0.282000323999999978E+03,0.549956138999999966E+05,0.914631485939025879E+00,0.345904886722564697E+00,0.549953773272575345E+05,0.552776283430290423E+05,0.790656899386129226E+03
0.338386416435241699E+00,0.569670145078740316E+05,0.164239954948425293E+01,0.282000323999999978E+03,0.549956138999999966E+05,0.889430046081542969E-01,0.451599121093750000E+00,0.549963090954364743E+05,0.552766147950124941E+05,0.790656899386129226E+03
0.151687085628509521E+00,0.682837441680783668E+05,0.122548866271972656E+01,0.282000323999999978E+03,0.549956138999999966E+05,0.520869970321655273E+00,0.532033026218414307E+00,0.549957075269760098E+05,0.552776404465866290E+05,0.790656899386129226E+03
0.541194260120391846E+00,0.483038665054688136E+04,0.154683375358581543E+01,0.282000323999999978E+03,0.549956138999999966E+05,0.385819435119628906E+00,0.280194461345672607E+00,0.549952675080837216E+05,0.552780783619117938E+05,0.790656899386129226E+03
