seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_likelihood
0.290641203220935895E+00,0.102628242051419093E+03,0.127781098020142325E+01,0.280920706999999993E+03,0.558306615210000018E+05,0.297824039167053134E+00,0.890718816030333982E+00,0.552687976351223406E+05,0.558313883070484153E+05,0.561115969022310455E+05,0.673566181690668782E+04
0.740871459048197734E+00,0.841243239612245379E+05,0.171744678518549465E+01,0.280920706999999993E+03,0.558306615210000018E+05,0.452735805691429183E+00,0.929862415758439642E+00,0.552688528511360128E+05,0.558315759466444069E+05,0.561116534017864542E+05,0.673903305247215849E+04
0.226447769505826818E+00,0.635350482108030519E+04,0.119228468342662164E+01,0.280920706999999993E+03,0.558306615210000018E+05,0.466355775425608354E+00,0.349936738676601411E-01,0.552680168110899103E+05,0.558308531288738959E+05,0.561116130400070324E+05,0.673958088033838521E+04
0.223052346997357522E-01,0.226529617095693175E+05,0.762587505755205841E+00,0.280920706999999993E+03,0.558306615210000018E+05,0.378918418641271182E+00,0.386834477181676573E+00,0.552698194321546325E+05,0.558315401607999229E+05,0.561116405842435342E+05,0.673980084378648189E+04
0.580257752123284273E-01,0.287860297309585767E+05,0.100363352713832987E+01,0.280920706999999993E+03,0.558306615210000018E+05,0.138235462650251190E+00,0.724021524353774870E+00,0.552693566702020325E+05,0.558303485634931858E+05,0.561116027339329667E+05,0.674011478078155506E+04
0.439728683744952442E+00,0.127309822014057363E+04,0.141410844782267908E+01,0.280920706999999993E+03,0.558306615210000018E+05,0.612414268943682449E+00,0.369405787513259753E+00,0.552687694009434417E+05,0.558306580368797222E+05,0.561116356184091492E+05,0.674036909492283212E+04
0.213815655987362081E-01,0.350502234077799367E+05,0.649757983739469358E+00,0.280920706999999993E+03,0.558306615210000018E+05,0.782233637392514503E+00,0.603896290562169424E+00,0.552680467958063746E+05,0.558306671547933656E+05,0.561116715169661329E+05,0.674038206561002698E+04
0.299493164747441157E-01,0.506980170472460086E+05,0.698862243227791557E+00,0.280920706999999993E+03,0.558306615210000018E+05,0.191374252124954736E+00,0.425137439290470209E+00,0.552685308820574355E+05,0.558306682191987857E+05,0.561116341621679749E+05,0.674065752702809732E+04
0.237269348456631349E-01,0.934429623949494999E+05,0.179361155691497437E+00,0.280920706999999993E+03,0.558306615210000018E+05,0.238386152456109501E+00,0.621731861236318073E+00,0.552688028164870557E+05,0.558302024595896946E+05,0.561116061755126357E+05,0.674119496342793536E+04
0.377833106822207498E+00,0.188817968533251792E+04,0.134680093196283024E+01,0.280920706999999993E+03,0.558306615210000018E+05,0.485820567050051055E+00,0.219909051632141112E+00,0.552685624707730603E+05,0.558315955359069558E+05,0.561116098926851628E+05,0.674133211542450226E+04
0.919453266218193788E+00,0.200314509655664710E+04,0.189508137826584955E+01,0.280920706999999993E+03,0.558306615210000018E+05,0.482632284494507013E+00,0.732282003398264880E+00,0.552693896212484033E+05,0.558308810744946604E+05,0.561116393341756921E+05,0.674133952492703247E+04
0.330622474089989904E-01,0.321706068567340204E+06,0.633560646598345212E+00,0.280920706999999993E+03,0.558306615210000018E+05,0.576867440621948502E+00,0.539357535326485782E+00,0.552693557020851513E+05,0.558301469078391165E+05,0.561116276300046593E+05,0.674162891042945284E+04
0.898853684135974107E+00,0.206769780746238848E+04,0.187788879260778807E+01,0.280920706999999993E+03,0.558306615210000018E+05,0.220328351378555970E+00,0.278842598159074306E+00,0.552690230297140661E+05,0.558303670788642121E+05,0.561116347204582271E+05,0.674191489901723980E+04
0.383814331613010762E+00,0.335003901719957881E+06,0.133702682554078600E+01,0.280920706999999993E+03,0.558306615210000018E+05,0.640530611619637313E+00,0.230836214638730441E+00,0.552689656582464522E+05,0.558298284388371248E+05,0.561116144212957297E+05,0.674218596285683088E+04
0.315227144194788894E-01,0.644373471407990321E+06,0.521983291959275064E+00,0.280920706999999993E+03,0.558306615210000018E+05,0.962870901679617863E+00,0.538661106070063289E-01,0.552694540679972706E+05,0.558306494728062171E+05,0.561116279287368889E+05,0.674222060945565227E+04
0.335926869818404042E-01,0.359547138721445881E+05,0.649624198918715146E+00,0.280920706999999993E+03,0.558306615210000018E+05,0.885454164872168992E+00,0.748934947206296386E+00,0.552687355779081408E+05,0.558315794351335862E+05,0.561116447810855825E+05,0.674223979446184603E+04
0.109484671385919163E+00,0.141750368150238046E+04,0.103681868962275403E+01,0.280920706999999993E+03,0.558306615210000018E+05,0.983764641409723639E+00,0.587936347088408251E+00,0.552693935609544860E+05,0.558306465822386235E+05,0.561116293206945629E+05,0.674225365831274667E+04
0.346297139131784282E-01,0.481342786419464464E+05,0.599024067016119655E+00,0.280920706999999993E+03,0.558306615210000018E+05,0.657075534884781626E-01,0.949522488853909219E+00,0.552693842567675238E+05,0.558308427239072626E+05,0.561116046329138189E+05,0.674233822604827583E+04
0.380703459014628681E-01,0.349894356520242800E+05,0.756542777367249175E+00,0.280920706999999993E+03,0.558306615210000018E+05,0.753395084362820433E+00,0.871219088020581234E+00,0.552681718424343780E+05,0.558307033170496798E+05,0.561116162441289562E+05,0.674235605628756912E+04
