seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_likelihood
0.139522976117717717E+00,0.226601997988139594E+02,0.110703160557871882E+01,0.225582091999999989E+03,0.557825406959999964E+05,0.293748952553642861E+00,0.287419558692538435E+00,0.551058353210200294E+05,0.553313369931989655E+05,0.557825680147919775E+05,0.560080877343669854E+05,0.562337638319934122E+05,0.394837240654769812E+04
0.228213361674917889E-01,0.139226509895584945E+04,0.302286897000001220E+00,0.225582091999999989E+03,0.557825406959999964E+05,0.896304073969431236E+00,0.865629801832287549E+00,0.551057705104025736E+05,0.553313607018543771E+05,0.557825460151719744E+05,0.560081003948999496E+05,0.562337668106341443E+05,0.395017430947214871E+04
0.583978974321668010E+00,0.776714058620725112E+01,0.156153698108395078E+01,0.225582091999999989E+03,0.557825406959999964E+05,0.439999041552314618E+00,0.414987163267682424E+00,0.551058058023366466E+05,0.553314112834224725E+05,0.557825424431639112E+05,0.560081642527861113E+05,0.562337608422493868E+05,0.395089920170297864E+04
0.576672000548345665E+00,0.192397302669985777E+02,0.154323293595212863E+01,0.225582091999999989E+03,0.557825406959999964E+05,0.777923386314920640E+00,0.509724533848875172E+00,0.551058337066398017E+05,0.553313794957061400E+05,0.557825793947018537E+05,0.560081045464321360E+05,0.562338698954818756E+05,0.395131308682884992E+04
0.202222387650922597E+00,0.227437843293080313E+02,0.114788114334352831E+01,0.225582091999999989E+03,0.557825406959999964E+05,0.826603871548545199E+00,0.910188006546177597E+00,0.551058595432941001E+05,0.553313989622620647E+05,0.557825111682265415E+05,0.560080785230146575E+05,0.562337384029357927E+05,0.395172894372698556E+04
0.504376877766151255E+00,0.666277160244933508E+01,0.147756385213616959E+01,0.225582091999999989E+03,0.557825406959999964E+05,0.553221984398109878E+00,0.902808951835788881E-01,0.551058126183670538E+05,0.553314010262508673E+05,0.557825540199647148E+05,0.560081227726096258E+05,0.562338301835251623E+05,0.395192037315370817E+04
0.892651082914435179E+00,0.229147882236624518E+02,0.185729631543172369E+01,0.225582091999999989E+03,0.557825406959999964E+05,0.975975948891534717E+00,0.446804182788805293E+00,0.551058180281817040E+05,0.553314012988075483E+05,0.557825291713760525E+05,0.560081573317271686E+05,0.562338220884591283E+05,0.395217347886855805E+04
0.620181900045057910E+00,0.140961313436036573E+02,0.159706429126995597E+01,0.225582091999999989E+03,0.557825406959999964E+05,0.269499619327458195E+00,0.573323678762790001E+00,0.551058416357113820E+05,0.553313081252449119E+05,0.557825519850148194E+05,0.560082043804276545E+05,0.562338030718449736E+05,0.395227081020418245E+04
0.662605259223307042E+00,0.180247561679645756E+02,0.163850972263739014E+01,0.225582091999999989E+03,0.557825406959999964E+05,0.256719916387567193E+00,0.151938533751450722E+00,0.551058655964206337E+05,0.553313347613108272E+05,0.557825252772335662E+05,0.560081095299626613E+05,0.562338216604255722E+05,0.395251711641539805E+04
0.449049574316188471E+00,0.226347337765391146E+02,0.140650476535425817E+01,0.225582091999999989E+03,0.557825406959999964E+05,0.866539333482920560E+00,0.685744559102068330E+00,0.551058270254826202E+05,0.553313942950471464E+05,0.557825998110941655E+05,0.560082076523339274E+05,0.562337938035383268E+05,0.395257171525421199E+04
