seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_tau5,seg0_tau6,seg0_likelihood
0.676202472870769511E+00,0.238708221661714237E+01,0.166230197120978218E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.170152724554883950E+00,0.271770169102125869E+00,0.550242318410873049E+05,0.551768992500914974E+05,0.553303566106621147E+05,0.557902159131542066E+05,0.559434656174556221E+05,0.560969345807371792E+05,0.564036234574660411E+05,0.499350681913193694E+04
0.181017145760237419E+00,0.324682433868028664E+01,0.116027789382035951E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.391538405536185019E+00,0.564616237003087496E+00,0.550240910886207348E+05,0.551767896844501884E+05,0.553302156532661902E+05,0.557902205426078071E+05,0.559436975147330595E+05,0.560969650712206712E+05,0.564036318834049380E+05,0.499368907074438721E+04
0.119729950953864850E+00,0.796538963199272487E+01,0.109126456708494346E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.454476212395413415E+00,0.778255595061899008E+00,0.550241870926717456E+05,0.551768538247544566E+05,0.553302771234465035E+05,0.557900858954418218E+05,0.559435132631307788E+05,0.560970713600465751E+05,0.564036188599114030E+05,0.499375557637377824E+04
0.626555672892574744E-01,0.820155567292051124E+01,0.102418929777989276E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.862824105117363183E+00,0.733821012327022792E-01,0.550242080300578673E+05,0.551768274474033678E+05,0.553301945612128475E+05,0.557901244585842505E+05,0.559435913339538092E+05,0.560969320761490599E+05,0.564035267868926821E+05,0.499386744313531835E+04
0.199504685526034550E-01,0.711655021038486097E+03,0.291025168397602341E+00,0.153356672000000003E+03,0.556368870880000031E+05,0.545940162905867929E-01,0.506378818389389362E+00,0.550244253268670582E+05,0.551768434718537465E+05,0.553301867288670182E+05,0.557902307185484970E+05,0.559435185061742523E+05,0.560970840441256514E+05,0.564036498627258843E+05,0.499389487064612513E+04
0.840059807253047519E+00,0.109443921338148051E+02,0.182070585763463466E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.562461060597450602E+00,0.400578527167462506E+00,0.550236604857620623E+05,0.551768413541043628E+05,0.553302282692790905E+05,0.557901906367582051E+05,0.559437139718478793E+05,0.560969687362250188E+05,0.564036362869966833E+05,0.499408055172095101E+04
0.258135504757453171E+00,0.595914738345828976E+01,0.123772710652161089E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.501769606528418177E+00,0.822622835679478359E+00,0.550242765800094130E+05,0.551768713665789255E+05,0.553302608913413424E+05,0.557902550040474671E+05,0.559435826391302253E+05,0.560971172765810188E+05,0.564036739922267006E+05,0.499414930070259743E+04
0.892296810075234870E-01,0.281799227377362911E+02,0.100734078494296364E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.976744269256372477E+00,0.979667169182613207E+00,0.550233250135501366E+05,0.551768728309951766E+05,0.553301919076508493E+05,0.557901968728659267E+05,0.559435797301732819E+05,0.560969900222385695E+05,0.564035884532043783E+05,0.499415823837107655E+04
0.671390336986402492E+00,0.648952300073184496E+01,0.164750511356594398E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.765003235113283941E+00,0.575378823368782100E+00,0.550244524409686128E+05,0.551769212110342269E+05,0.553300883207896040E+05,0.557902380585455612E+05,0.559435123090448833E+05,0.560970237989912785E+05,0.564036121073517788E+05,0.499422483142712554E+04
0.195212998054996173E-01,0.141360224835730975E+03,0.840525732851997720E+00,0.153356672000000003E+03,0.556368870880000031E+05,0.573053712621939826E+00,0.171216790759569554E+00,0.550244013221264031E+05,0.551769773182396675E+05,0.553301955607031196E+05,0.557901791748824835E+05,0.559435668001229060E+05,0.560969359775702178E+05,0.564036375269677519E+05,0.499422636495988991E+04
