seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_likelihood
0.883128656170708015E+00,0.653308791395046473E+01,0.185944050605441258E+01,0.381357820000000004E+03,0.557048836200000005E+05,0.870855753973032609E+00,0.813048943681940472E+00,0.553237508105158922E+05,0.557050305841888985E+05,0.560860370360385859E+05,0.366805308675089236E+04
0.128000882688771057E-01,0.273212305208437272E+03,0.611411862000072248E+00,0.381357820000000004E+03,0.557048836200000005E+05,0.888932240026038878E+00,0.123148554495240717E+00,0.553243795676436202E+05,0.557049725261473359E+05,0.560863762199868434E+05,0.366916023527041580E+04
0.252174327532614817E+00,0.592904854699391226E+01,0.123643852906987006E+01,0.381357820000000004E+03,0.557048836200000005E+05,0.744513341426266129E+00,0.920072800549369796E+00,0.553236472211765285E+05,0.557049106193449916E+05,0.560862140426038168E+05,0.366985190198008149E+04
0.122714772846982973E-01,0.548833865064183442E+03,0.201706654815195841E+00,0.381357820000000004E+03,0.557048836200000005E+05,0.760062357924475740E+00,0.332837759502644381E+00,0.553238519808352648E+05,0.557051773231471088E+05,0.560863667668058988E+05,0.367004761626428717E+04
0.302279002599346980E+00,0.346662717115928931E+01,0.129172964958106373E+01,0.381357820000000004E+03,0.557048836200000005E+05,0.142060020448569913E+00,0.763676454859299692E+00,0.553239501743450164E+05,0.557049736641829513E+05,0.560864396563901391E+05,0.367058183922214266E+04
0.374308228397291332E+00,0.122770421788638355E+02,0.135009365367776990E+01,0.381357820000000004E+03,0.557048836200000005E+05,0.938509556908970421E+00,0.206518806636220187E+00,0.553236151782623710E+05,0.557049854394011563E+05,0.560864719230867850E+05,0.367086896777673519E+04
0.165476966070886682E-01,0.255397394976976955E+02,0.931443777301585563E+00,0.381357820000000004E+03,0.557048836200000005E+05,0.950273406905234208E+00,0.759926324015925636E+00,0.553240489590368597E+05,0.557049557188019608E+05,0.560862116537935799E+05,0.367093610235292908E+04
0.988986358662380494E+00,0.178570604678576683E+01,0.198009898828317432E+01,0.381357820000000004E+03,0.557048836200000005E+05,0.463539326994743539E+00,0.212010564673691060E+00,0.553237142935106676E+05,0.557051465849235610E+05,0.560862211329384154E+05,0.367097900329250115E+04
0.508936951948203764E+00,0.122315078350101314E+01,0.149019885124449414E+01,0.381357820000000004E+03,0.557048836200000005E+05,0.924478404164696399E+00,0.254332570560527715E+00,0.553240814340930010E+05,0.557050719511870557E+05,0.560863079987768069E+05,0.367098465870016935E+04
0.484999536604157691E-01,0.227571779414366659E+01,0.101227719168129404E+01,0.381357820000000004E+03,0.557048836200000005E+05,0.891412342576593186E+00,0.602336177491307634E+00,0.553239081344696169E+05,0.557050803525467418E+05,0.560860519960075981E+05,0.367101782393918802E+04
0.205356667087489675E+00,0.229875278027054053E+01,0.119522818411723808E+01,0.381357820000000004E+03,0.557048836200000005E+05,0.264757235949220293E+00,0.344688445355514975E-01,0.553239002841390902E+05,0.557048950769075018E+05,0.560862288295926628E+05,0.367125341660330650E+04
0.388197404827302570E-01,0.129911042742713558E+02,0.101072412186804939E+01,0.381357820000000004E+03,0.557048836200000005E+05,0.580244661470970646E+00,0.630597775900434199E+00,0.553238815501040881E+05,0.557050125840299515E+05,0.560863902167638516E+05,0.367140253852244587E+04
0.112115623116027970E-01,0.129211710780458520E+04,0.442408246327678167E+00,0.381357820000000004E+03,0.557048836200000005E+05,0.363147115637228624E+00,0.507049015441961570E+00,0.553236317355942592E+05,0.557049853400234570E+05,0.560862460953574191E+05,0.367152205073416008E+04
0.874131394588615662E+00,0.681055858751087051E+01,0.186410137651255869E+01,0.381357820000000004E+03,0.557048836200000005E+05,0.254919282588662921E+00,0.148557137339928508E+00,0.553235518254761555E+05,0.557049893375200409E+05,0.560863256402322659E+05,0.367179672310164005E+04
0.449707005700731965E+00,0.106323695612925455E+02,0.142537111061821853E+01,0.381357820000000004E+03,0.557048836200000005E+05,0.808958703090208120E+00,0.821572700519038523E+00,0.553238584943404639E+05,0.557049652919043147E+05,0.560864714218363151E+05,0.367193460804700771E+04
0.359233421349787141E+00,0.107269075166850336E+01,0.134628047180980115E+01,0.381357820000000004E+03,0.557048836200000005E+05,0.507072387142776915E+00,0.651325556510974679E+00,0.553238883411742936E+05,0.557047409192890991E+05,0.560864155778226341E+05,0.367225446128560088E+04
0.462792934625333829E+00,0.507398349094826795E+01,0.144092132698963149E+01,0.381357820000000004E+03,0.557048836200000005E+05,0.858548634725091908E+00,0.231898558957542633E+00,0.553239303130651315E+05,0.557048282654466093E+05,0.560863600442419702E+05,0.367230431551294532E+04
0.191283324015693555E-01,0.560358959965654968E+01,0.970452874224613571E+00,0.381357820000000004E+03,0.557048836200000005E+05,0.643757087597092936E+00,0.867797470272433480E+00,0.553235704372958571E+05,0.557049391899863040E+05,0.560861840576416362E+05,0.367235793410049246E+04
