seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_likelihood
0.118785962242433166E-01,0.208280223984882689E+02,0.360970250902045375E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.273145769285161544E+00,0.931389569934506500E+00,0.553818300644685005E+05,0.452843778184640723E+04
0.112280742758491519E-01,0.703924867004941834E+01,0.364133898273041712E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.642618448232829542E+00,0.891784870158320975E+00,0.553817115022805228E+05,0.452860419179484325E+04
0.102934954747198985E-01,0.150043558351988899E+02,0.798222588320097043E-01,0.289882299999999987E+03,0.553814018999999971E+05,0.959209067570234386E+00,0.972543557248403689E+00,0.553814911568235111E+05,0.452920624840634173E+04
0.130666618695819779E-01,0.267234243279959216E+02,0.450919939498269751E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.439024857183609563E+00,0.612327132193302287E-01,0.553816113678839247E+05,0.452950272703843166E+04
0.164326964640405249E-01,0.572699883970967871E+01,0.916754733525652732E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.599182850050540727E+00,0.631540216012596356E+00,0.553818134254758115E+05,0.452959785704305432E+04
0.147154890925547920E-01,0.439450473318639965E+02,0.276356520568137087E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.851000297202766792E-01,0.284347362733830322E+00,0.553819046733892683E+05,0.452968873030084706E+04
0.134224585479996317E-01,0.822546828233310379E+01,0.325486966520507737E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.182558679337833374E+00,0.355614621591120894E+00,0.553820652320875815E+05,0.452979382061885372E+04
0.138525668163546889E-01,0.173198672152737849E+02,0.380052013863651728E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.764309538212439854E+00,0.730586071451466701E+00,0.553817075411856713E+05,0.452982262122726115E+04
0.122755433901472113E-01,0.943607348753140407E+01,0.581813430831231826E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.653820720802769761E+00,0.229187449773110875E-01,0.553817486603234502E+05,0.452987581525843325E+04
0.133494294665881634E-01,0.374341864359106591E+01,0.715506881437321329E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.152430868476391312E+00,0.299205456835695938E+00,0.553820858631075826E+05,0.452988645076026842E+04
0.152963670278652396E-01,0.131726654099231988E+01,0.859264740314128805E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.462531922764862713E+00,0.803095031066501930E+00,0.553819071621992261E+05,0.452994428516121843E+04
0.109471823816781836E-01,0.195777525798778171E+02,0.497588154778820346E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.795793741948444544E+00,0.712038826146742299E+00,0.553815821473124670E+05,0.452995085591643601E+04
0.108420212994990856E-01,0.108911613228688218E+02,0.106440490071880875E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.295147062909793034E+00,0.902923881853793131E+00,0.553820135083548739E+05,0.452999657135108373E+04
0.114868478994285227E-01,0.321802610972500736E+01,0.611716277013474308E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.842762961109322029E+00,0.253965313158600825E+00,0.553820488718100460E+05,0.452999849051151796E+04
0.119344212111777599E-01,0.114592503570049562E+02,0.281375563757442326E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.850515471355054231E+00,0.262454609678981876E+00,0.553820589597219805E+05,0.453000590710293181E+04
0.123687663447487762E-01,0.300017857281611278E+01,0.634866921882981883E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.841183086318660123E+00,0.938203136698723683E+00,0.553821192374504171E+05,0.453000878864944752E+04
0.157340649535074803E-01,0.292150910676445408E+01,0.839984505947461990E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.810286970808978713E+00,0.392549387477577394E+00,0.553816295729622725E+05,0.453005121636743934E+04
0.133332241625404545E-01,0.218362184021557226E+02,0.495349295860175121E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.347200060759655760E+00,0.502955815618353008E+00,0.553816997241071731E+05,0.453006581232882309E+04
0.115560543951114311E-01,0.108051894023805755E+02,0.771415642677191066E-01,0.289882299999999987E+03,0.553814018999999971E+05,0.142139897966199857E+00,0.100132869257652992E-01,0.553819312844440719E+05,0.453008341947833378E+04
0.130498315686559396E-01,0.134940435916034751E+02,0.408408176228728104E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.146265361119231552E+00,0.208115842260622574E+00,0.553820330556927511E+05,0.453009447005750917E+04
0.124785092844088806E-01,0.426592520458980662E+01,0.544489471095962241E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.912214155481095523E+00,0.985258356042367889E+00,0.553821109153917205E+05,0.453010161661271468E+04
0.177860718830949310E-01,0.156852046354297414E+01,0.958154950497068447E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.593690284863884754E+00,0.638130935600804361E+00,0.553815998475743545E+05,0.453011791583070226E+04
0.134199632742218813E-01,0.104183431936223485E+02,0.488131319703479394E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.433225776320258493E+00,0.174277001588124120E+00,0.553822402840833602E+05,0.453012852944797487E+04
0.129028644608999796E-01,0.430484331678282750E+01,0.685513559292792007E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.147202807396138946E+00,0.844716952168456325E+00,0.553818808375071967E+05,0.453022697040095682E+04
0.150459544242297315E-01,0.233528884820013705E+01,0.824946512656560937E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.294017778406755859E+00,0.181729567201709796E+00,0.553822091008101779E+05,0.453023842927952228E+04
0.112558133341146629E-01,0.492785963845326336E+01,0.487722190953591150E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.773146839553392473E+00,0.877875370685879286E+00,0.553818235952403920E+05,0.453024669381223794E+04
0.126585258738038994E-01,0.194120979540742624E+02,0.198217372674277664E-01,0.289882299999999987E+03,0.553814018999999971E+05,0.664388889167808472E+00,0.283894675719103484E+00,0.553817337599188977E+05,0.453027685674918121E+04
0.109138816490597628E-01,0.941085309946017112E+01,0.282355535619257636E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.698207984905902301E+00,0.930216465382587843E-01,0.553822223340920755E+05,0.453028701344957426E+04
0.107648874958880501E-01,0.273356423829861548E+02,0.196711064360060195E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.474836786740969796E+00,0.584845085140463850E+00,0.553815762537126575E+05,0.453028844291682617E+04
0.148141011662336359E-01,0.132909609035393803E+02,0.858033891358901624E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.395448086516491382E+00,0.839358834792073183E+00,0.553817844082206502E+05,0.453029669176549123E+04
0.118340272152894169E-01,0.147244049287700935E+02,0.356561722941287740E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.659160167997681956E+00,0.670487404621189165E+00,0.553819991084161884E+05,0.453030891518993576E+04
0.115796445600911558E-01,0.669915962287755633E+02,0.316649713178388803E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.310391809211949310E+00,0.578627333062585181E+00,0.553817739596867614E+05,0.453037208820614887E+04
0.119281913943318670E-01,0.196527389111059456E+02,0.253498652972559468E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.855399359387115976E+00,0.792310692211052880E+00,0.553818810740250628E+05,0.453037745971536424E+04
0.118121524101929328E-01,0.124630672060806020E+02,0.350185074344027958E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.909000518892416842E+00,0.414316791097840420E+00,0.553817219592090405E+05,0.453038317706793350E+04
0.132866896709686304E-01,0.115751242368542577E+02,0.852681050954042341E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.234147325418311930E+00,0.976680696004955884E+00,0.553817850451943305E+05,0.453039439639768079E+04
0.112157536826121406E-01,0.140184487426918345E+02,0.453721546417762966E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.349201200451524751E+00,0.754289800918214071E+00,0.553816771287538868E+05,0.453042872395528320E+04
0.116251064949995844E-01,0.225289968234235509E+02,0.902093092456818652E-01,0.289882299999999987E+03,0.553814018999999971E+05,0.381342924555151674E+00,0.799903396412207202E+00,0.553815838986884191E+05,0.453045291379301398E+04
0.158269868411753563E-01,0.108159135156830715E+03,0.762953154767368087E-02,0.289882299999999987E+03,0.553814018999999971E+05,0.186715333521865451E+00,0.377059192793328724E+00,0.553817258032557293E+05,0.453046821858477051E+04
0.120980739593505859E-01,0.108316691683116630E+02,0.632941603660583496E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.798764407634735107E+00,0.921284556388854980E+00,0.553817515500253648E+05,0.453047868465724150E+04
0.128814798449190752E-01,0.796219345882891627E+01,0.378393699125638860E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.531080468962325858E+00,0.269052792469783641E+00,0.553820492644026162E+05,0.453048652865847271E+04
0.124509070816342642E-01,0.733852641237908365E+01,0.487314666996336077E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.248143534992868037E+00,0.831061197504089216E-01,0.553819800549056381E+05,0.453052939041818081E+04
0.125880988967181709E-01,0.557320777644620957E+01,0.564278750350077907E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.568667385479391330E+00,0.523296382666625481E+00,0.553821572945797525E+05,0.453055493703149205E+04
0.149203280488170512E-01,0.277404606216339511E+01,0.871343750126284400E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.661860914340361650E+00,0.326204909902404805E+00,0.553815641299642157E+05,0.453055643620277351E+04
0.129985238895022771E-01,0.204577276251819651E+01,0.743453872069804289E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.858977119702539094E+00,0.972904624349586022E+00,0.553818814719640286E+05,0.453056893283559657E+04
0.123785522536220740E-01,0.126777760590089006E+02,0.127392119868706327E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.771147362138536151E-02,0.863573175724022035E+00,0.553823022595421935E+05,0.453057483404169761E+04
0.120590242947716565E-01,0.395659695150081792E+01,0.742212622666668320E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.551919968580742104E+00,0.216221224245536969E+00,0.553821194470824557E+05,0.453062703821006562E+04
0.158790319186232383E-01,0.101779139765610394E+01,0.939475904369592385E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.758579906266261039E+00,0.392448215852184923E+00,0.553815913444396720E+05,0.453062728262638211E+04
0.129338216609562653E-01,0.338581153529072552E+02,0.587337012378614465E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.575217724413169762E+00,0.695998529767626994E+00,0.553816080558467584E+05,0.453065792184946531E+04
0.147914238055406062E-01,0.818627845030413823E+02,0.369541045801618562E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.595858513711436166E+00,0.363317422788842381E+00,0.553817370205405387E+05,0.453066316715063203E+04
0.158149722031969489E-01,0.428641710548280930E+01,0.834526274723763506E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.734866622806884751E+00,0.950143581333335763E+00,0.553817992624657491E+05,0.453069444080004632E+04
0.129110475547551951E-01,0.162062208442290974E+02,0.547023103169008373E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.497039383416034763E+00,0.336199519884548548E+00,0.553817614782877063E+05,0.453069514331383562E+04
0.145862742925632945E-01,0.256165534495735017E+02,0.789944351718903870E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.648436596128759923E+00,0.266877478069617424E+00,0.553816436315868486E+05,0.453070591644782053E+04
0.130025268408861666E-01,0.167184331684194660E+02,0.504900664435496527E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.408467572216748356E-01,0.840474337931288007E+00,0.553816309395182179E+05,0.453075874836398816E+04
0.139449862671748616E-01,0.787937492316106898E+02,0.156023219686179104E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.231921406462653606E-01,0.675969427974991266E+00,0.553816297423194192E+05,0.453077597256867557E+04
0.141667416665574256E-01,0.950032940053792885E+01,0.779841339739482886E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.154986570371669546E+00,0.838273211664216311E+00,0.553818712442095784E+05,0.453078903392543543E+04
0.107948809305331173E-01,0.684900780646213914E+01,0.371228347373680267E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.736310262916220148E+00,0.419726434913431146E+00,0.553821036977712065E+05,0.453079905460120426E+04
0.131324252448454682E-01,0.155575569503226880E+02,0.597657646206795179E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.925115157330545945E+00,0.416696293297945553E+00,0.553814965916500369E+05,0.453081439857536589E+04
0.156147593833584428E-01,0.889067925122062519E+02,0.424305170791313024E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.213511250175816736E+00,0.847234290827074021E+00,0.553816896060040744E+05,0.453082670686553138E+04
0.112011340773154906E-01,0.422787646716319898E+02,0.126864704891297454E-01,0.289882299999999987E+03,0.553814018999999971E+05,0.557687119409149390E+00,0.669659408796192568E+00,0.553818341376728422E+05,0.453088607798520752E+04
0.144228254804025183E-01,0.535824954329241550E+02,0.560238081094742713E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.828276626272408723E+00,0.310121200764091831E+00,0.553816087916810138E+05,0.453088617873098974E+04
0.115076342520360406E-01,0.129840898990065448E+02,0.105810422891442879E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.809047034205964688E+00,0.975650901786683455E+00,0.553816398309997676E+05,0.453088832547836137E+04
0.164500914788683270E-01,0.507964494538040245E+01,0.864740008442057007E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.463557137545745734E+00,0.555495097239193103E+00,0.553818922446178913E+05,0.453091861725968829E+04
0.140308960694572483E-01,0.264335144092136716E+02,0.732129653751974807E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.889666499884987361E+00,0.331472600295278974E+00,0.553816244838778439E+05,0.453094624592370110E+04
