seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_tau5,seg0_tau6,seg0_tau7,seg0_likelihood
0.109344124794006348E-01,0.300345712112102265E+05,0.487329602241516113E+00,0.190313400000000001E+03,0.557166214000000036E+05,0.550977468490600586E+00,0.189926266670227051E+00,-0.292083144620834201E+01,0.551458772123777380E+05,0.553355455908199292E+05,0.555258159338550540E+05,0.557166309447301901E+05,0.559060152171562222E+05,0.560976338427669543E+05,0.562878627062145242E+05,0.781885268444284407E+03
0.293431222438812256E+00,0.334568272255451575E+03,0.126974940299987793E+01,0.190313400000000001E+03,0.557166214000000036E+05,0.275795638561248779E+00,0.437849342823028564E+00,-0.295314743172121874E+01,0.551454769216501227E+05,0.553351839219947797E+05,0.555259219700412723E+05,0.557171148107065237E+05,0.559060712661455182E+05,0.560966879935867328E+05,0.562869348680082330E+05,0.782174427718828497E+03
0.131974816322326660E-01,0.560319806108196266E+06,0.890558958053588867E+00,0.190313400000000001E+03,0.557166214000000036E+05,0.572580397129058838E+00,0.392298042774200439E+00,-0.303630257950570259E+01,0.551456062077009192E+05,0.553352968119998914E+05,0.555271782745437595E+05,0.557174670918001211E+05,0.559078621413419751E+05,0.560968229828483600E+05,0.562881697179380426E+05,0.783059590674276137E+03
0.870728492736816406E-02,0.428161772978669906E+06,0.558894038200378418E+00,0.190313400000000001E+03,0.557166214000000036E+05,0.173644602298736572E+00,0.475618600845336914E+00,-0.292821762581811029E+01,0.551457184263193121E+05,0.553350552970787030E+05,0.555266100771741840E+05,0.557166066350950277E+05,0.559071811977336911E+05,0.560964112634069461E+05,0.562872502260509500E+05,0.783988733307593975E+03
0.538032650947570801E+00,0.400533055638255320E+01,0.153534674644470215E+01,0.190313400000000001E+03,0.557166214000000036E+05,0.151989817619323730E+00,0.859198689460754395E+00,-0.296477632979456196E+01,0.551460142116271963E+05,0.553354068042655927E+05,0.555259230933504077E+05,0.557163499938262976E+05,0.559069183325479535E+05,0.560978436011678714E+05,0.562872249104085931E+05,0.784233238834395706E+03
0.120490193367004395E-01,0.652516543503241664E+01,0.835788011550903320E+00,0.190313400000000001E+03,0.557166214000000036E+05,0.687685072422027588E+00,0.332457244396209717E+00,-0.305479305688792424E+01,0.551454002233469000E+05,0.553357791929861050E+05,0.555256241594867679E+05,0.557171662701381720E+05,0.559066352044055966E+05,0.560976584474451083E+05,0.562874227518144617E+05,0.784247683938689534E+03
0.363210797309875488E+00,0.296789130445468459E+02,0.135723781585693359E+01,0.190313400000000001E+03,0.557166214000000036E+05,0.951862633228302002E+00,0.704639136791229248E+00,-0.285122078502583598E+01,0.551460263797962180E+05,0.553368739733119946E+05,0.555253583350496265E+05,0.557160913051380194E+05,0.559069776906679181E+05,0.560977364298707980E+05,0.562872226152721414E+05,0.784260558200112541E+03
0.210657775402069092E+00,0.203934769676543183E+05,0.120382034778594971E+01,0.190313400000000001E+03,0.557166214000000036E+05,0.586497783660888672E-01,0.359807848930358887E+00,-0.309637186234099016E+01,0.551459286197149268E+05,0.553365161494632703E+05,0.555255814783887836E+05,0.557166300255073584E+05,0.559079324081848172E+05,0.560966778962022800E+05,0.562885217314067850E+05,0.784331839608698033E+03
0.295535862445831299E+00,0.472093260475436836E+02,0.127201008796691895E+01,0.190313400000000001E+03,0.557166214000000036E+05,0.930685043334960938E+00,0.711719095706939697E+00,-0.287161835099083573E+01,0.551453923393213263E+05,0.553356089403053265E+05,0.555256512087898227E+05,0.557160058128847159E+05,0.559073251865814236E+05,0.560975502662069339E+05,0.562875544377866754E+05,0.784426650776502925E+03
0.295535862445831299E+00,0.472093260475436836E+02,0.127201008796691895E+01,0.190313400000000001E+03,0.557166214000000036E+05,0.930685043334960938E+00,0.711719095706939697E+00,-0.287161835099083573E+01,0.551453923393213263E+05,0.553356089403053265E+05,0.555256512087898227E+05,0.557160058128847159E+05,0.559073251865814236E+05,0.560975502662069339E+05,0.562875544377866754E+05,0.784426650776502925E+03
0.221561789512634277E-01,0.130733572412682975E+04,0.219268679618835449E+00,0.190313400000000001E+03,0.557166214000000036E+05,0.299907803535461426E+00,0.294206142425537109E-01,-0.300115464299142021E+01,0.551457038933956137E+05,0.553364983959814053E+05,0.555256394642906162E+05,0.557166687785400427E+05,0.559074739054153470E+05,0.560963189231760043E+05,0.562870096090141305E+05,0.784492363750978370E+03
0.510846376419067383E-01,0.122053599947969271E+01,0.609337329864501953E+00,0.190313400000000001E+03,0.557166214000000036E+05,0.132894933223724365E+00,0.536502063274383545E+00,-0.292310851661826954E+01,0.551453379838191977E+05,0.553352783399244290E+05,0.555260638455467197E+05,0.557170336463464773E+05,0.559068623094270733E+05,0.560976396135694522E+05,0.562880271567407617E+05,0.784557618701104616E+03
0.686395168304443359E-02,0.186970761112194239E+02,0.381361484527587891E+00,0.190313400000000001E+03,0.557166214000000036E+05,0.120364904403686523E+00,0.223806858062744141E+00,-0.305022186486531854E+01,0.551454085871898642E+05,0.553354211278577786E+05,0.555265802263336154E+05,0.557165898460163153E+05,0.559064759047935513E+05,0.560981807550794620E+05,0.562885606177154550E+05,0.784672657360393032E+03
0.728601217269897461E-02,0.862959103097275744E+02,0.322309732437133789E+00,0.190313400000000001E+03,0.557166214000000036E+05,0.317194342613220215E+00,0.696785807609558105E+00,-0.299211670442425248E+01,0.551449270411455145E+05,0.553356172176023465E+05,0.555272120950536701E+05,0.557172451769126928E+05,0.559072442725608853E+05,0.560970712752944964E+05,0.562872017631832132E+05,0.784905705256658962E+03
0.385361909866333008E-02,0.134648023161809579E+05,0.835465192794799805E-01,0.190313400000000001E+03,0.557166214000000036E+05,0.707484722137451172E+00,0.201733410358428955E+00,-0.289872670025270907E+01,0.551451247880184164E+05,0.553360392292161923E+05,0.555262287845926257E+05,0.557169906544698752E+05,0.559075211778591183E+05,0.560973666365749377E+05,0.562884641191068658E+05,0.784913688551961286E+03
0.610418498516082764E+00,0.774151381967391499E+05,0.378569602966308594E+00,0.190313400000000001E+03,0.557166214000000036E+05,0.195493280887603760E+00,0.695793032646179199E+00,-0.300480233110211259E+01,0.551462209207736960E+05,0.553354922489543897E+05,0.555258080994205447E+05,0.557175032114995993E+05,0.559060769709060696E+05,0.560975302935249347E+05,0.562879307328763971E+05,0.785009943284076371E+03
0.763127565383911133E+00,0.444807539686083910E+06,0.806782960891723633E+00,0.190313400000000001E+03,0.557166214000000036E+05,0.910500288009643555E+00,0.659612357616424561E+00,-0.276511152791468318E+01,0.551458965178453436E+05,0.553364813380857449E+05,0.555254378983097049E+05,0.557175025575174368E+05,0.559075146124074963E+05,0.560968732365972537E+05,0.562874049911800394E+05,0.785019757152301395E+03
0.753949582576751709E+00,0.211055063432064599E+05,0.107611083984375000E+01,0.190313400000000001E+03,0.557166214000000036E+05,0.853262007236480713E+00,0.840719997882843018E+00,-0.315649372632234915E+01,0.551449799884283057E+05,0.553351291939636212E+05,0.555259165128784152E+05,0.557174860422624624E+05,0.559060261541317013E+05,0.560967538164264697E+05,0.562873345401588449E+05,0.785041559907280543E+03
0.962976217269897461E+00,0.275076042387179723E+04,0.183583962917327881E+01,0.190313400000000001E+03,0.557166214000000036E+05,0.436909198760986328E+00,0.647283315658569336E+00,-0.283354260400893354E+01,0.551462631233655920E+05,0.553369658241888028E+05,0.555257664845304462E+05,0.557172084207548178E+05,0.559062496252964047E+05,0.560968252877599734E+05,0.562873380439582834E+05,0.785045870035763983E+03
0.784670114517211914E+00,0.107689774619312466E+02,0.178044068813323975E+01,0.190313400000000001E+03,0.557166214000000036E+05,0.847187221050262451E+00,0.417807698249816895E-01,-0.299499610700037566E+01,0.551455804291688910E+05,0.553366399632116299E+05,0.555259346500949832E+05,0.557163221782459295E+05,0.559076728962371853E+05,0.560972863711721438E+05,0.562868743799034128E+05,0.785131490642006952E+03
0.783699750900268555E-02,0.201396867138948301E+04,0.892826914787292480E+00,0.190313400000000001E+03,0.557166214000000036E+05,0.920567512512207031E+00,0.677288651466369629E+00,-0.290426897200483003E+01,0.551460380946123114E+05,0.553364965490718823E+05,0.555263370889739963E+05,0.557169287954582251E+05,0.559066411194513348E+05,0.560970878260738391E+05,0.562873950145545969E+05,0.785157098897323863E+03
