seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_likelihood
0.363591989563308154E-01,0.111483459918326389E+05,0.363450855209414170E+00,0.187746499999999997E+03,0.555535998000000036E+05,0.422295893446773596E+00,0.545266711210296795E+00,0.549903703505510348E+05,0.551781107775390337E+05,0.553659234907198916E+05,0.557413111815396987E+05,0.561168276279582278E+05,0.197509476930597748E+04
0.406094639531768831E-01,0.558136211225931402E+04,0.559415453621211478E+00,0.187746499999999997E+03,0.555535998000000036E+05,0.568784711209114113E+00,0.341288525118623731E+00,0.549903742913530659E+05,0.551781134309361369E+05,0.553658297887958179E+05,0.557413544306627955E+05,0.561168472338535430E+05,0.197771569370509997E+04
0.882666949155296421E+00,0.256143069913923455E+03,0.182530153084782598E+01,0.187746499999999997E+03,0.555535998000000036E+05,0.847578409312180758E+00,0.458022278000754623E+00,0.549903802773483476E+05,0.551781128805901317E+05,0.553658632441788359E+05,0.557413242404604607E+05,0.561168299955449693E+05,0.197824665051127658E+04
0.386907405834231610E+00,0.108487175708838748E+03,0.134948278235819541E+01,0.187746499999999997E+03,0.555535998000000036E+05,0.117183523017648741E+00,0.213232152463380870E+00,0.549903949932608739E+05,0.551781006238750342E+05,0.553658758951451746E+05,0.557413529004145748E+05,0.561168858655965887E+05,0.197885543175534804E+04
0.370538766593411506E-01,0.631185120399245898E+04,0.221917158504076367E+00,0.187746499999999997E+03,0.555535998000000036E+05,0.584000745678041056E+00,0.289240921943598406E+00,0.549903816942099584E+05,0.551781091460652096E+05,0.553658503661814029E+05,0.557413147497874015E+05,0.561168243063065602E+05,0.197888093864003486E+04
0.335171748447195203E-01,0.657264755562042319E+04,0.279486410978630362E+00,0.187746499999999997E+03,0.555535998000000036E+05,0.985105684492619704E+00,0.133099503729592422E+00,0.549903758973028089E+05,0.551781171529482745E+05,0.553658586649792851E+05,0.557413212564402347E+05,0.561168145570912311E+05,0.197890474168799483E+04
0.494578613057993222E-01,0.138735636379457469E+04,0.859960316440823713E+00,0.187746499999999997E+03,0.555535998000000036E+05,0.901837043942764094E+00,0.693221351802934982E+00,0.549903541433272039E+05,0.551780805551143203E+05,0.553658576372061871E+05,0.557413637852561078E+05,0.561168603340327318E+05,0.197909499342745130E+04
0.411705081037192888E+00,0.204023952112048789E+03,0.136630698552068353E+01,0.187746499999999997E+03,0.555535998000000036E+05,0.529171223189627948E+00,0.621775565652077811E+00,0.549903662752942109E+05,0.551781048409305149E+05,0.553658743246210506E+05,0.557413050135066151E+05,0.561168546196111056E+05,0.197912447856900826E+04
0.373048830182971386E-01,0.107469514497774271E+05,0.290685065122438580E+00,0.187746499999999997E+03,0.555535998000000036E+05,0.366203532831849976E+00,0.899262157241088267E+00,0.549903711213376155E+05,0.551780857873075147E+05,0.553658679132361431E+05,0.557413182102306673E+05,0.561168068350660469E+05,0.197918513879005150E+04
0.933109413923299935E+00,0.166886952167388841E+03,0.189071133306911165E+01,0.187746499999999997E+03,0.555535998000000036E+05,0.632081313814957357E+00,0.389164853960796531E+00,0.549903820607328598E+05,0.551780925466125846E+05,0.553658387609139099E+05,0.557413334872615087E+05,0.561168233988988650E+05,0.197919636618299319E+04
0.386864479585066201E-01,0.748883787999154720E+04,0.341014750028780067E+00,0.187746499999999997E+03,0.555535998000000036E+05,0.434048552937126297E-01,0.761308344248445179E+00,0.549903854356656302E+05,0.551780864123503270E+05,0.553658987725920015E+05,0.557413576485606536E+05,0.561168307407622488E+05,0.197921442692565643E+04
0.978373609618722051E-01,0.293430294149099723E+03,0.101466810475994329E+01,0.187746499999999997E+03,0.555535998000000036E+05,0.689061175940610227E+00,0.457682301495326682E+00,0.549903593763056633E+05,0.551780855927583980E+05,0.553658718368422851E+05,0.557413650767174622E+05,0.561168278141196861E+05,0.197931877250824664E+04
0.349269863537037678E-01,0.490517507119130551E+04,0.583127883137465330E+00,0.187746499999999997E+03,0.555535998000000036E+05,0.436458480127311144E+00,0.956687053042366564E+00,0.549903678364517473E+05,0.551781246069808985E+05,0.553658762101797329E+05,0.557413184296198160E+05,0.561168375918865058E+05,0.197945128652821268E+04
0.668091996391652065E+00,0.118534731343176148E+03,0.163581717947908789E+01,0.187746499999999997E+03,0.555535998000000036E+05,0.380074888868941474E-01,0.545256231056307605E+00,0.549903582171893722E+05,0.551780789275495190E+05,0.553658471720180823E+05,0.557413338624707903E+05,0.561168658050682570E+05,0.197978184517417185E+04
0.410573962420722471E-01,0.500338444772735875E+04,0.647515146687612564E+00,0.187746499999999997E+03,0.555535998000000036E+05,0.434628720547268477E+00,0.754124723570476219E+00,0.549904120513392991E+05,0.551781085928121684E+05,0.553658466277201442E+05,0.557413466634920114E+05,0.561168408122812325E+05,0.197979827806168578E+04
0.765707140590462632E+00,0.131220908362432681E+03,0.173110443381308277E+01,0.187746499999999997E+03,0.555535998000000036E+05,0.338080210341421661E+00,0.941153237836989343E+00,0.549903640505553340E+05,0.551780856489044018E+05,0.553658829843779167E+05,0.557413280904937783E+05,0.561168167250536862E+05,0.197981604006681573E+04
0.919366173554644117E+00,0.230264382495001342E+03,0.188151936961486865E+01,0.187746499999999997E+03,0.555535998000000036E+05,0.209477114356041605E+00,0.313652029688945067E+00,0.549903740269634145E+05,0.551780929468197210E+05,0.553658930820277092E+05,0.557413242376261551E+05,0.561168745803784332E+05,0.197983194162151813E+04
0.343753549575472536E-01,0.556700134413869455E+04,0.951694391550764185E-01,0.187746499999999997E+03,0.555535998000000036E+05,0.723894845123299824E+00,0.884493667646579884E+00,0.549903573413472623E+05,0.551780998650203255E+05,0.553658725946444756E+05,0.557412968886321032E+05,0.561168318653064707E+05,0.197983619841142126E+04
0.500013117806003771E+00,0.118071074548416576E+03,0.146812719435043415E+01,0.187746499999999997E+03,0.555535998000000036E+05,0.469954967760483761E-01,0.551900303230913769E+00,0.549903511358920878E+05,0.551780926503873925E+05,0.553658865954548164E+05,0.557413277828080245E+05,0.561168838891407795E+05,0.197996078492654897E+04
0.418024918975734919E-01,0.136096862593313813E+04,0.877925964327766817E+00,0.187746499999999997E+03,0.555535998000000036E+05,0.505695721655836303E-01,0.758648807469017195E+00,0.549903678665467014E+05,0.551781084172899136E+05,0.553658505302411213E+05,0.557413037086121331E+05,0.561168133870964157E+05,0.198002727865579345E+04
0.360738896951545318E+00,0.215083429685192044E+03,0.131253050333050614E+01,0.187746499999999997E+03,0.555535998000000036E+05,0.532653171147710491E+00,0.701390961418268816E-01,0.549903667037053310E+05,0.551780979591302166E+05,0.553658633139777958E+05,0.557413070764884105E+05,0.561168206468172793E+05,0.198007305978415570E+04
0.442470967655285152E-01,0.313383985897832190E+04,0.739181965810490005E+00,0.187746499999999997E+03,0.555535998000000036E+05,0.973331350492875114E+00,0.520085461603983390E+00,0.549903726237395458E+05,0.551781029177259115E+05,0.553658544501874931E+05,0.557413718046411086E+05,0.561168526283860774E+05,0.198008271301938657E+04
0.125921044780481273E+00,0.286830109068863919E+03,0.107009437695739185E+01,0.187746499999999997E+03,0.555535998000000036E+05,0.993496141137454186E-01,0.394995498442657411E+00,0.549903804947714307E+05,0.551781016696649385E+05,0.553658974335848980E+05,0.557413418745678719E+05,0.561168552835872470E+05,0.198010999930488197E+04
0.612983861288388318E-01,0.303081788100828135E+03,0.957311995212910327E+00,0.187746499999999997E+03,0.555535998000000036E+05,0.718991527430213995E+00,0.800483055034265534E+00,0.549903592972534316E+05,0.551781091665389758E+05,0.553658822830728168E+05,0.557413592783089698E+05,0.561168507109326383E+05,0.198015420062187104E+04
0.863723193667762623E+00,0.256078912729210970E+03,0.181051063359279762E+01,0.187746499999999997E+03,0.555535998000000036E+05,0.958316538570677112E+00,0.816174898195898418E-01,0.549903956722749426E+05,0.551781033258965545E+05,0.553658803788713776E+05,0.557413572022879453E+05,0.561168562078274190E+05,0.198016499279309119E+04
0.430926219353716528E-01,0.365695880386903264E+04,0.721507791312575031E+00,0.187746499999999997E+03,0.555535998000000036E+05,0.930166445322280766E+00,0.302117922136713291E+00,0.549903465110602265E+05,0.551781031227242129E+05,0.553658561028599215E+05,0.557413112989454603E+05,0.561168248560139691E+05,0.198026541711282061E+04
0.372291409413923052E-01,0.588252334711997537E+04,0.620615100112644202E+00,0.187746499999999997E+03,0.555535998000000036E+05,0.395087271016459018E+00,0.468937603780319012E+00,0.549903707668391071E+05,0.551781063428033667E+05,0.553659039394418505E+05,0.557413334565490877E+05,0.561168637240363169E+05,0.198034554025353600E+04
0.981729364357682099E+00,0.201476670201998985E+03,0.193944384831456307E+01,0.187746499999999997E+03,0.555535998000000036E+05,0.624689830615779318E+00,0.699775199100665768E+00,0.549903935740327070E+05,0.551781054840215729E+05,0.553658952384322984E+05,0.557413443234745719E+05,0.561168540680916703E+05,0.198037887742511839E+04
0.360167979757783432E-01,0.594391876961632079E+04,0.773463104977748783E-01,0.187746499999999997E+03,0.555535998000000036E+05,0.322352514007991198E+00,0.326297919043351259E+00,0.549903693203830335E+05,0.551780691997889226E+05,0.553658630362596741E+05,0.557413269345697481E+05,0.561168585164488322E+05,0.198044791380034940E+04
0.396928874562747225E+00,0.206796017070384494E+03,0.134112980012153615E+01,0.187746499999999997E+03,0.555535998000000036E+05,0.769996114335871007E+00,0.668480366795243586E+00,0.549903702525471017E+05,0.551780907750572806E+05,0.553658653887595137E+05,0.557413224713061500E+05,0.561168241531771346E+05,0.198047365484781585E+04
0.425713935249717512E+00,0.182684590050049678E+03,0.137881524760768581E+01,0.187746499999999997E+03,0.555535998000000036E+05,0.454278797534194090E+00,0.642616281333423522E+00,0.549903976669718031E+05,0.551780770995420025E+05,0.553658923597324901E+05,0.557413244808181480E+05,0.561168297339179262E+05,0.198050570393952967E+04
0.332897479048214096E+00,0.144875806405865944E+03,0.128464345122365708E+01,0.187746499999999997E+03,0.555535998000000036E+05,0.453277036761526586E+00,0.670630928830559414E+00,0.549904091901637439E+05,0.551780784400535267E+05,0.553658725030505157E+05,0.557413239319359782E+05,0.561168445919201695E+05,0.198051141454036087E+04
0.348703804072761775E-01,0.539428687439009173E+04,0.501557529741391117E+00,0.187746499999999997E+03,0.555535998000000036E+05,0.326304702500256505E+00,0.749738674054564624E+00,0.549903742758388180E+05,0.551780936610940771E+05,0.553659029082789784E+05,0.557413117829118128E+05,0.561168473204372494E+05,0.198052096468174932E+04
0.386881278959974484E+00,0.126139270131217742E+03,0.134601686041382185E+01,0.187746499999999997E+03,0.555535998000000036E+05,0.202822935244004965E+00,0.164474330524775725E+00,0.549903841677485761E+05,0.551781100324251966E+05,0.553658777626804585E+05,0.557413661123931815E+05,0.561168517904361070E+05,0.198054399611068220E+04
0.215306649213954093E+00,0.245393895274780704E+03,0.114078371606353390E+01,0.187746499999999997E+03,0.555535998000000036E+05,0.971772307522817180E+00,0.324720539141739484E+00,0.549903704422092633E+05,0.551781229250183533E+05,0.553658741354901940E+05,0.557413391233381917E+05,0.561168796824557940E+05,0.198055809622008928E+04
0.865326234571256014E+00,0.223228994929178697E+03,0.183213972815639203E+01,0.187746499999999997E+03,0.555535998000000036E+05,0.132577328122720578E+00,0.985747572183127835E-01,0.549903730223390521E+05,0.551780898397979618E+05,0.553658523659417406E+05,0.557413041961270428E+05,0.561168410595242749E+05,0.198059602875473365E+04
0.345898667109133529E+00,0.212931874652644723E+03,0.129344668039874189E+01,0.187746499999999997E+03,0.555535998000000036E+05,0.697830254682421325E+00,0.241361040250941267E+00,0.549903822996309827E+05,0.551780805034273726E+05,0.553658960730608815E+05,0.557413486107250137E+05,0.561168518796013886E+05,0.198059911339502105E+04
0.731736925023027784E+00,0.592959375166071936E+03,0.163220206262544409E+01,0.187746499999999997E+03,0.555535998000000036E+05,0.997025472408591629E+00,0.968800124631144510E+00,0.549903511197120533E+05,0.551781105325452081E+05,0.553658704794329897E+05,0.557413256784371115E+05,0.561168713734846606E+05,0.198060806542251748E+04
0.307937744040465144E+00,0.131601562355121331E+03,0.126066947288576725E+01,0.187746499999999997E+03,0.555535998000000036E+05,0.495288557522811368E+00,0.211661690763578700E-01,0.549903823794163327E+05,0.551780884264370325E+05,0.553658568020540770E+05,0.557413239519290873E+05,0.561168866662970177E+05,0.198066908597213251E+04
