seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_likelihood
0.761151248792206525E+00,0.115186036949025645E+02,0.171747523364158439E+01,0.642736349999999987E+02,0.557909971200000000E+05,0.839997033023694772E+00,0.346979031204625588E+00,0.553411045223747496E+05,0.554053571995990933E+05,0.557910483862578767E+05,0.561124167528671387E+05,0.561766913264473478E+05,0.358071269628435948E+04
0.138226898378408153E+00,0.674310908923209151E+01,0.109328461788937137E+01,0.642736349999999987E+02,0.557909971200000000E+05,0.171013045893278093E+00,0.808972761052707434E+00,0.553411116220691329E+05,0.554053052505455562E+05,0.557910372714819387E+05,0.561123936661341359E+05,0.561766570059332007E+05,0.358323255444594361E+04
0.860332035223671299E+00,0.586604578619854600E+01,0.183092220901572222E+01,0.642736349999999987E+02,0.557909971200000000E+05,0.379853947639085476E+00,0.454638713114225990E+00,0.553410602168484838E+05,0.554053345230165796E+05,0.557910621467541932E+05,0.561123810700235845E+05,0.561766453854641368E+05,0.358358923363111717E+04
0.326006307855343791E-01,0.158728734923147272E+03,0.686363197846305284E+00,0.642736349999999987E+02,0.557909971200000000E+05,0.570360697364486580E+00,0.734735764219629939E+00,0.553411283691157587E+05,0.554053276988300495E+05,0.557910230652930550E+05,0.561123508523152996E+05,0.561766224708572627E+05,0.358410933696555003E+04
0.506298206889354785E+00,0.528311880979000215E+01,0.147814849039712937E+01,0.642736349999999987E+02,0.557909971200000000E+05,0.203183600714731738E+00,0.660791037841259921E+00,0.553410764597125963E+05,0.554053037266749307E+05,0.557909976955617749E+05,0.561123773022691676E+05,0.561766305349561808E+05,0.358420133585570966E+04
0.997973462232089936E+00,0.106633240594785068E+02,0.195909757116790662E+01,0.642736349999999987E+02,0.557909971200000000E+05,0.678210166437743567E+00,0.504879197463191209E+00,0.553410944944611474E+05,0.554053565421317908E+05,0.557909530526089147E+05,0.561124004126695290E+05,0.561766557195083224E+05,0.358430051544523758E+04
0.498397389184322526E+00,0.630166744511148735E+01,0.146764637298200173E+01,0.642736349999999987E+02,0.557909971200000000E+05,0.360466257966103654E+00,0.124655356696385666E+00,0.553411024843469349E+05,0.554053508094211065E+05,0.557910391112625803E+05,0.561123695276394574E+05,0.561766294515382178E+05,0.358440592507445945E+04
0.801011447954906197E+00,0.366691354748172094E+01,0.177802971974007384E+01,0.642736349999999987E+02,0.557909971200000000E+05,0.117179478696198006E+00,0.485460445617448555E-02,0.553410899986033037E+05,0.554053400639281826E+05,0.557909996755371758E+05,0.561123716866084142E+05,0.561766105194956399E+05,0.358448921485647861E+04
0.385057204740961445E-01,0.114766777580916468E+03,0.743649017338904650E+00,0.642736349999999987E+02,0.557909971200000000E+05,0.936513497863260214E+00,0.928129668937909269E+00,0.553410775052440222E+05,0.554053287900656287E+05,0.557909749886829668E+05,0.561124135396730126E+05,0.561766389006801182E+05,0.358468939251825213E+04
0.870937743299058376E+00,0.661222737438139152E+01,0.184247417704089456E+01,0.642736349999999987E+02,0.557909971200000000E+05,0.238488832689758262E+00,0.829480564513701668E+00,0.553411183468075105E+05,0.554053549983929406E+05,0.557910237048195631E+05,0.561123844314322778E+05,0.561766933952677282E+05,0.358486835421206524E+04
0.230172190779274116E+00,0.863569173635461240E+01,0.118333327890837769E+01,0.642736349999999987E+02,0.557909971200000000E+05,0.546783414254564670E+00,0.836866219815451284E+00,0.553411251961988382E+05,0.554053538055108220E+05,0.557910111080253628E+05,0.561123887142865569E+05,0.561765955161198799E+05,0.358487458021283601E+04
0.274106196932116554E-01,0.518831047974450826E+03,0.626536390352427780E-01,0.642736349999999987E+02,0.557909971200000000E+05,0.811850284141714007E+00,0.271154700135091353E+00,0.553411065074288708E+05,0.554053499057335430E+05,0.557909557964287378E+05,0.561123615497807114E+05,0.561766200150023724E+05,0.358504996701536402E+04
