seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_likelihood
0.603005409240722656E+00,0.213396666815525459E+05,0.155417048931121826E+01,0.276541679999999985E+03,0.555609542599999986E+05,0.898923158645629883E+00,0.295978426933288574E+00,0.550082475607046144E+05,0.552834381484852565E+05,0.563906424452798819E+05,0.193332401394140720E+04
0.559446632862091064E+00,0.699782878017960815E+06,0.127761995792388916E+01,0.276541679999999985E+03,0.555609542599999986E+05,0.778605639934539795E+00,0.641921639442443848E+00,0.550088067168840425E+05,0.552844392024145855E+05,0.563910499913232779E+05,0.193352847699634845E+04
0.247885584831237793E+00,0.187149342578054615E+03,0.122391951084136963E+01,0.276541679999999985E+03,0.555609542599999986E+05,0.587333917617797852E+00,0.199763715267181396E+00,0.550084889984973925E+05,0.552846657602654232E+05,0.563899186696546531E+05,0.193404951953706473E+04
0.194346904754638672E-01,0.283341199205986470E+03,0.505003213882446289E+00,0.276541679999999985E+03,0.555609542599999986E+05,0.513763189315795898E+00,0.327651619911193848E+00,0.550080783818611162E+05,0.552835531636343730E+05,0.563909318733947730E+05,0.193436862170995414E+04
0.881857872009277344E+00,0.829050089444425794E+04,0.737627387046813965E+00,0.276541679999999985E+03,0.555609542599999986E+05,0.410004675388336182E+00,0.549692869186401367E+00,0.550081762940534609E+05,0.552842090508805049E+05,0.563911885265844321E+05,0.193439056396611909E+04
0.715897440910339355E+00,0.159439728154694671E+01,0.169948124885559082E+01,0.276541679999999985E+03,0.555609542599999986E+05,0.254132986068725586E+00,0.475200533866882324E+00,0.550078507237085360E+05,0.552837388344870342E+05,0.563908031070964789E+05,0.193452614806059569E+04
0.471338272094726562E+00,0.589532582039911540E+04,0.143428468704223633E+01,0.276541679999999985E+03,0.555609542599999986E+05,0.344971954822540283E+00,0.575633764266967773E+00,0.550081170977005022E+05,0.552834309301243557E+05,0.563904820218818641E+05,0.193480601855898772E+04
0.206447482109069824E+00,0.703005940467724155E+01,0.117792391777038574E+01,0.276541679999999985E+03,0.555609542599999986E+05,0.972730696201324463E+00,0.638610720634460449E+00,0.550084274040111559E+05,0.552835744018421901E+05,0.563897316293256736E+05,0.193489667798543064E+04
0.855002522468566895E+00,0.108821162681182022E+04,0.183245050907135010E+01,0.276541679999999985E+03,0.555609542599999986E+05,0.934625387191772461E+00,0.183578312397003174E+00,0.550073398401388185E+05,0.552845991232262386E+05,0.563902697623508429E+05,0.193490615220739187E+04
0.116963386535644531E-01,0.124533550254631264E+01,0.332563996315002441E+00,0.276541679999999985E+03,0.555609542599999986E+05,0.738285183906555176E+00,0.406143426895141602E+00,0.550080884146341341E+05,0.552838882292376293E+05,0.563900317302482581E+05,0.193494526346862244E+04
0.968975722789764404E+00,0.125858756675888781E+02,0.196228349208831787E+01,0.276541679999999985E+03,0.555609542599999986E+05,0.148721575736999512E+00,0.712510943412780762E-01,0.550080490461238878E+05,0.552836722218857540E+05,0.563902531277673697E+05,0.193506356770145953E+04
0.139181017875671387E-01,0.126575357330340155E+01,0.992810726165771484E-01,0.276541679999999985E+03,0.555609542599999986E+05,0.815463244915008545E+00,0.197586715221405029E+00,0.550079277813085573E+05,0.552839636270867122E+05,0.563906954156892753E+05,0.193506982816158438E+04
