seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_tau5,seg0_likelihood
0.149532709748417137E-01,0.668999332625082502E+03,0.313298435568127587E+00,0.242467700000000008E+03,0.554687954000000027E+05,0.771190231097777401E+00,0.554602307920810333E+00,0.549838449700634010E+05,0.552263532260705106E+05,0.554687603515181981E+05,0.557112930069269860E+05,0.559536815403926958E+05,0.561962511542460052E+05,0.535894094840550406E+04
0.187291499354868309E-01,0.461380723269660734E+03,0.680832027763566550E+00,0.242467700000000008E+03,0.554687954000000027E+05,0.525151853430034010E+00,0.466768012918248043E+00,0.549838721707467121E+05,0.552262942059545530E+05,0.554688107403973918E+05,0.557111982857336334E+05,0.559537332118284539E+05,0.561962055975598632E+05,0.536159005166971292E+04
0.428328707002389619E+00,0.460929673039442189E+01,0.141002309535696946E+01,0.242467700000000008E+03,0.554687954000000027E+05,0.588215381167639273E+00,0.242107283671023112E-01,0.549837866465575498E+05,0.552263259948297855E+05,0.554688083597158402E+05,0.557113334094722377E+05,0.559537061183621627E+05,0.561961948741826491E+05,0.536216361643880100E+04
0.169351892774485500E-01,0.130632308948190075E+04,0.662736580701670519E-01,0.242467700000000008E+03,0.554687954000000027E+05,0.159026511119004024E-01,0.738851081668203818E-01,0.549838180813036379E+05,0.552263134362919009E+05,0.554688188521062766E+05,0.557112663750869906E+05,0.559537351924141840E+05,0.561961829210667638E+05,0.536279876133456855E+04
0.176285316866428218E-01,0.191252322013932087E+03,0.805575416231640196E+00,0.242467700000000008E+03,0.554687954000000027E+05,0.882250051081673092E+00,0.297318613006993058E-02,0.549838184823679185E+05,0.552263412180794767E+05,0.554688039692330422E+05,0.557113494303225161E+05,0.559537446543147889E+05,0.561962229032932009E+05,0.536293856393630267E+04
0.150941038231699413E-01,0.404649225154548219E+03,0.509181124185266287E+00,0.242467700000000008E+03,0.554687954000000027E+05,0.977812277205400759E+00,0.987856560094252822E+00,0.549838745944476614E+05,0.552263034603386623E+05,0.554688317799089564E+05,0.557112414972060360E+05,0.559536906506116284E+05,0.561962131182925368E+05,0.536345584920569036E+04
0.180408070720105666E-01,0.417353175244255283E+03,0.690368871318044364E+00,0.242467700000000008E+03,0.554687954000000027E+05,0.864792241349072399E+00,0.507555943153768618E+00,0.549838652210406581E+05,0.552262718110589849E+05,0.554688352181206355E+05,0.557112776917756346E+05,0.559537193349713780E+05,0.561962385246189733E+05,0.536409843758314037E+04
0.158602880415552386E-01,0.103592570052835094E+04,0.714146992696021859E-01,0.242467700000000008E+03,0.554687954000000027E+05,0.183160218032763222E-01,0.696106289037573767E+00,0.549838641903073585E+05,0.552263278991874031E+05,0.554688270089762300E+05,0.557112887334487677E+05,0.559537462376035619E+05,0.561962510546660342E+05,0.536418717919482879E+04
0.152874670726752000E-01,0.100727757710050901E+04,0.788462012035648502E-01,0.242467700000000008E+03,0.554687954000000027E+05,0.586940349054599242E+00,0.778787021138217184E+00,0.549838159597491322E+05,0.552263218229979539E+05,0.554688198749588628E+05,0.557111960876492521E+05,0.559536834219459488E+05,0.561962005373093853E+05,0.536426776821632666E+04
0.144109404651712424E-01,0.879961864279370502E+03,0.305211340224999760E-01,0.242467700000000008E+03,0.554687954000000027E+05,0.925795201290769088E+00,0.367420319551524932E+00,0.549838818018195889E+05,0.552262907293718381E+05,0.554688050716255675E+05,0.557112980227794396E+05,0.559536991426714303E+05,0.561962039944367789E+05,0.536448693389109394E+04
