seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_tau5,seg0_likelihood
0.253468929694943210E-01,0.108693506714023169E+04,0.764613449656927902E+00,0.207248396000000014E+03,0.556677754879999993E+05,0.420564092711037674E+00,0.284264097035595353E+00,0.550460877316256592E+05,0.554611625796252411E+05,0.556677258552646890E+05,0.558750537652718776E+05,0.560822400843162686E+05,0.562894644732038068E+05,0.381330473242828793E+04
0.657077206660648061E+00,0.156894340570144664E+03,0.162078089527539126E+01,0.207248396000000014E+03,0.556677754879999993E+05,0.771037879300313422E+00,0.505271919770907796E+00,0.550460189578402133E+05,0.554611169781714270E+05,0.556677597173219910E+05,0.558750141039049704E+05,0.560822440475172116E+05,0.562895293302248465E+05,0.381529825024587535E+04
0.309481414909648200E+00,0.589734102079862765E+02,0.127627008779702567E+01,0.207248396000000014E+03,0.556677754879999993E+05,0.639034178765415128E+00,0.419563871308477221E+00,0.550460741465150204E+05,0.554605214110011293E+05,0.556677994519160347E+05,0.558749793432177539E+05,0.560821595463913618E+05,0.562894863004361614E+05,0.381627949070822069E+04
0.243605983864698637E-01,0.256307355174694794E+04,0.422302658454129509E+00,0.207248396000000014E+03,0.556677754879999993E+05,0.764593708077574763E+00,0.543742643631417888E+00,0.550459667681296487E+05,0.554605147498437436E+05,0.556678157779905014E+05,0.558750111998063730E+05,0.560822659456119145E+05,0.562894435966788587E+05,0.381646127515508306E+04
0.265101124676725627E-01,0.347603706636659490E+04,0.336952363251474651E+00,0.207248396000000014E+03,0.556677754879999993E+05,0.164054189292979047E+00,0.173364513375232510E+00,0.550460800593155727E+05,0.554605443176160406E+05,0.556678260439719743E+05,0.558749497849943436E+05,0.560822583245940623E+05,0.562894232736547638E+05,0.381658910735647351E+04
0.285932730147979847E-01,0.357550040729272780E+02,0.969033142407505488E+00,0.207248396000000014E+03,0.556677754879999993E+05,0.275646016379986980E+00,0.261595174704516487E+00,0.550460440144886525E+05,0.554605259869752845E+05,0.556677886364898441E+05,0.558750239439472934E+05,0.560822886735835637E+05,0.562895199058963481E+05,0.381675644820793059E+04
0.850416676381074432E+00,0.635864481647512534E+02,0.182527283491793701E+01,0.207248396000000014E+03,0.556677754879999993E+05,0.510822422351306260E+00,0.153137104482523850E+00,0.550460774626380808E+05,0.554605155557186445E+05,0.556678519127151667E+05,0.558750059645227302E+05,0.560822727955856390E+05,0.562894371689207328E+05,0.381736059117293189E+04
0.146253990183474236E+00,0.265018008211993603E+02,0.110534998974218923E+01,0.207248396000000014E+03,0.556677754879999993E+05,0.861415958405105986E+00,0.256110001516887564E+00,0.550460426499805544E+05,0.554606639225766558E+05,0.556678113695885550E+05,0.558749772752101853E+05,0.560823011302115046E+05,0.562894771941543513E+05,0.381740915383564607E+04
0.543411042780988396E+00,0.144555493120403128E+03,0.151577145669004376E+01,0.207248396000000014E+03,0.556677754879999993E+05,0.387819085406576725E+00,0.493580057392848048E+00,0.550460938942231223E+05,0.554606205471156936E+05,0.556678216038358005E+05,0.558750162340650641E+05,0.560822507196791194E+05,0.562895128747074341E+05,0.381747909991294455E+04
0.348944174820456851E-01,0.179137641558046397E+03,0.932564373956992654E+00,0.207248396000000014E+03,0.556677754879999993E+05,0.584934519167201739E+00,0.871666273906311018E+00,0.550460015276008417E+05,0.554605280455525208E+05,0.556677972635073311E+05,0.558750497168942093E+05,0.560822421827236394E+05,0.562894273934899538E+05,0.381809420980272807E+04
0.150587826117996343E+00,0.917652513761640165E+02,0.110085418042977867E+01,0.207248396000000014E+03,0.556677754879999993E+05,0.788642972191378799E+00,0.174523330829489370E+00,0.550460041604717626E+05,0.554605856225125899E+05,0.556678195411716733E+05,0.558749556120257184E+05,0.560822682569608151E+05,0.562895332353010017E+05,0.381829519433371024E+04
0.249274886545275236E-01,0.188096877147818327E+04,0.526469817780296556E+00,0.207248396000000014E+03,0.556677754879999993E+05,0.217659336175570151E+00,0.777626426505070412E+00,0.550459718226716141E+05,0.554605777383988971E+05,0.556677884664485246E+05,0.558749673330378646E+05,0.560822422633840179E+05,0.562894815540058698E+05,0.381835164218780847E+04
0.293460454048371198E-01,0.201079543028513569E+03,0.944419260201340816E+00,0.207248396000000014E+03,0.556677754879999993E+05,0.254469702289051858E+00,0.879434448373113548E-01,0.550460375623698710E+05,0.554605433512034942E+05,0.556677458052129878E+05,0.558750033890858685E+05,0.560823347933730256E+05,0.562894750625092274E+05,0.381839927065371558E+04
0.457815088817164817E+00,0.246256905890636553E+02,0.142749184763305692E+01,0.207248396000000014E+03,0.556677754879999993E+05,0.646191202531178677E+00,0.335165104388175872E+00,0.550460800675835344E+05,0.554605075522530824E+05,0.556678737957085687E+05,0.558749620864328463E+05,0.560822496135747278E+05,0.562895543791735836E+05,0.381878674304127435E+04
0.227395722322771103E-01,0.801103128701482433E+03,0.675187545932379840E+00,0.207248396000000014E+03,0.556677754879999993E+05,0.958368612778683238E+00,0.301222728357928626E+00,0.550460572062488063E+05,0.554605489065101865E+05,0.556677270589752225E+05,0.558749893816586700E+05,0.560822372030705737E+05,0.562894685709717087E+05,0.381890592781996656E+04
0.869764067378807182E+00,0.261574416477784304E+02,0.185012887015069327E+01,0.207248396000000014E+03,0.556677754879999993E+05,0.122015723644335508E+00,0.132284938007182495E+00,0.550461076407973233E+05,0.554605272570722445E+05,0.556677941323956184E+05,0.558749777446866719E+05,0.560822235538762397E+05,0.562895655052829170E+05,0.381891634865698597E+04
0.491104549835987059E+00,0.455161358005003720E+02,0.146563479692381060E+01,0.207248396000000014E+03,0.556677754879999993E+05,0.407194435024055279E+00,0.871689571194963375E+00,0.550460940998844380E+05,0.554605509976544708E+05,0.556678315628297278E+05,0.558749577996809530E+05,0.560822639845903614E+05,0.562895566267278045E+05,0.381895527973100980E+04
0.537745183586716191E+00,0.152184960519419157E+02,0.151800977837135442E+01,0.207248396000000014E+03,0.556677754879999993E+05,0.297357767760715264E+00,0.317992753467787159E+00,0.550460631324880378E+05,0.554606079834863049E+05,0.556677945714991947E+05,0.558750051000026360E+05,0.560821963299488489E+05,0.562895054369340069E+05,0.381902321339776972E+04
0.295902810727267443E-01,0.576380832899762481E+03,0.830351243499757419E+00,0.207248396000000014E+03,0.556677754879999993E+05,0.619098129926505480E+00,0.631524442340774761E+00,0.550460479311932868E+05,0.554606161896125632E+05,0.556677820876140904E+05,0.558749327083760654E+05,0.560822662587126179E+05,0.562895049478671062E+05,0.381905650222633176E+04
0.776205866814153378E+00,0.116740662667658313E+03,0.173082285197334307E+01,0.207248396000000014E+03,0.556677754879999993E+05,0.969036824225324334E+00,0.670217485224053555E+00,0.550460442362650356E+05,0.554606127845682786E+05,0.556678507082982178E+05,0.558750340074834676E+05,0.560822035533192829E+05,0.562894748172967447E+05,0.381941841194441531E+04
0.218223009067603502E-01,0.395053291161037851E+04,0.475654564437759039E-01,0.207248396000000014E+03,0.556677754879999993E+05,0.965639066517216427E+00,0.271310684306603156E+00,0.550460494280525236E+05,0.554605334153595468E+05,0.556677610270432633E+05,0.558750134165081981E+05,0.560822279514266120E+05,0.562895957313362451E+05,0.381947073951073617E+04
0.254825634297993313E-01,0.119434537474152035E+04,0.594579533328529530E+00,0.207248396000000014E+03,0.556677754879999993E+05,0.951985053848510399E+00,0.955276722822748336E+00,0.550459915491604988E+05,0.554605623032160584E+05,0.556678430026854476E+05,0.558749769336399550E+05,0.560822796532179709E+05,0.562895619173142186E+05,0.381961429362308991E+04
0.243547600959870582E-01,0.527234435450644651E+04,0.566413816923474062E-01,0.207248396000000014E+03,0.556677754879999993E+05,0.833826270240947687E+00,0.523977302020502300E+00,0.550460407998863157E+05,0.554605053465355522E+05,0.556677689517371764E+05,0.558749327218287290E+05,0.560822353893501277E+05,0.562895070211122147E+05,0.381962737005673807E+04
0.234636740833816838E-01,0.324995435857373968E+04,0.385791747533362039E+00,0.207248396000000014E+03,0.556677754879999993E+05,0.509377584760760227E+00,0.592680557604336355E+00,0.550460498495285792E+05,0.554604705394834455E+05,0.556678664691541417E+05,0.558749580788226085E+05,0.560822738128863639E+05,0.562894750363263884E+05,0.381966496998985895E+04
0.260735178122927028E-01,0.370108949921237718E+04,0.136007532271656711E+00,0.207248396000000014E+03,0.556677754879999993E+05,0.991612441604617145E+00,0.932719966463360362E-01,0.550459914411572681E+05,0.554605335907514309E+05,0.556677434764932405E+05,0.558749519625254761E+05,0.560822599739881698E+05,0.562894736136653300E+05,0.381990642389324148E+04
0.285470442057271408E-01,0.600514107906027675E+03,0.848599694993768749E+00,0.207248396000000014E+03,0.556677754879999993E+05,0.604564236626142892E+00,0.680752487216536362E+00,0.550460628504639026E+05,0.554605514573938781E+05,0.556677288694011586E+05,0.558750268232816088E+05,0.560822163399681813E+05,0.562895424376539740E+05,0.382002443456051151E+04
0.250906967308271112E+00,0.280737923351615706E+02,0.121385440882192408E+01,0.207248396000000014E+03,0.556677754879999993E+05,0.676390295609419545E+00,0.694416773093416206E+00,0.550460606698903357E+05,0.554605557612689372E+05,0.556677300650125690E+05,0.558750225042866441E+05,0.560822546975519581E+05,0.562895529920319314E+05,0.382008319812381978E+04
0.634412821278162231E+00,0.105711871439660300E+03,0.157800937869692048E+01,0.207248396000000014E+03,0.556677754879999993E+05,0.960975121114939212E+00,0.935919770859636180E+00,0.550460796160691825E+05,0.554606059105777385E+05,0.556678445135560978E+05,0.558749629938110593E+05,0.560822299057802447E+05,0.562895495430704032E+05,0.382011089898229238E+04
0.297222400869218903E-01,0.179701215657407488E+04,0.712904273987175041E+00,0.207248396000000014E+03,0.556677754879999993E+05,0.379107992827372342E+00,0.265478422469635628E-01,0.550460353890148835E+05,0.554605163796504785E+05,0.556678427249267552E+05,0.558749655201157511E+05,0.560822657015175355E+05,0.562894965608678394E+05,0.382027957678109397E+04
