seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_likelihood
0.872356344151071106E+00,0.248224562763930662E+05,0.183608617155716525E+01,0.303226553000000024E+03,0.557835056859999968E+05,0.194467385572477086E+00,0.661562127460581739E+00,0.551766232507052264E+05,0.557835026294278941E+05,0.560867252066305737E+05,0.563899481805911637E+05,0.497773071533736015E+03
0.327712657095593329E+00,0.795594228824197944E+04,0.125941753319180672E+01,0.303226553000000024E+03,0.557835056859999968E+05,0.988837864405281985E+00,0.435442691225852885E+00,0.551761279105599533E+05,0.557835191957307834E+05,0.560867441598944570E+05,0.563899752989745684E+05,0.498173543584396157E+03
0.290958059574091960E-01,0.144235289639161638E+06,0.397601222643394481E-01,0.303226553000000024E+03,0.557835056859999968E+05,0.870133636551902123E+00,0.793277443242157210E+00,0.551762164963147297E+05,0.557835007832722986E+05,0.560867204582875565E+05,0.563899742283164596E+05,0.498553636967114585E+03
0.406429917749293948E-01,0.337719722649523464E+06,0.550518780480256598E+00,0.303226553000000024E+03,0.557835056859999968E+05,0.557627721183518665E+00,0.475482440507297988E+00,0.551765793657940885E+05,0.557835103775891475E+05,0.560867393950150727E+05,0.563899466430755419E+05,0.498925973598422843E+03
0.538500536194106871E+00,0.249796883933148747E+05,0.149826173379677874E+01,0.303226553000000024E+03,0.557835056859999968E+05,0.336044700068003077E+00,0.479218366294061393E+00,0.551775679368675555E+05,0.557835216740756150E+05,0.560867381297254979E+05,0.563899526056650138E+05,0.499591525675770754E+03
0.263852507373752654E+00,0.468772324037063809E+05,0.118413250715930718E+01,0.303226553000000024E+03,0.557835056859999968E+05,0.901312250136389492E+00,0.389284037865504029E+00,0.551779512156968849E+05,0.557835217415663865E+05,0.560867370576837420E+05,0.563899570176565612E+05,0.499624035285105947E+03
0.155089410344685208E+00,0.240902437766392313E+04,0.111444886226040363E+01,0.303226553000000024E+03,0.557835056859999968E+05,0.133413900496860000E+00,0.458271989876664398E+00,0.551773665783149772E+05,0.557835083176641565E+05,0.560867438667972456E+05,0.563899697301317574E+05,0.499673646002283249E+03
0.574916466533562875E+00,0.228072163900869127E+05,0.152172404006113093E+01,0.303226553000000024E+03,0.557835056859999968E+05,0.838166939239350262E+00,0.595754638329862196E+00,0.551777457507633808E+05,0.557835039458603133E+05,0.560867338109431003E+05,0.563899694873501649E+05,0.499814747738167625E+03
0.339468749681920354E-01,0.171711023686322558E+06,0.325493417988880762E+00,0.303226553000000024E+03,0.557835056859999968E+05,0.607462435802072487E+00,0.826699246671140142E+00,0.551778340929565602E+05,0.557835147577687967E+05,0.560867331988813312E+05,0.563899621499128189E+05,0.500043919212096625E+03
0.353838362748689558E-01,0.209497998632876668E+06,0.397028623935224090E+00,0.303226553000000024E+03,0.557835056859999968E+05,0.642952283928476032E+00,0.796944414282212299E+00,0.551779437018678727E+05,0.557835166347674312E+05,0.560867338355134707E+05,0.563899806173809920E+05,0.500112123329950919E+03
