seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_likelihood
0.416241407394409180E+00,0.105594512103689840E+04,0.141114306449890137E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.472392737865447998E+00,0.215031921863555908E+00,0.558839418907187501E+05,0.563655516384349467E+05,0.175439533791320082E+04
0.460492432117462158E+00,0.941744000773106563E+03,0.180766022205352783E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.569082319736480713E+00,0.170217692852020264E+00,0.558838662053368607E+05,0.563654703508124949E+05,0.175442179340950679E+04
0.689975202083587646E+00,0.272176990684365023E+03,0.199390494823455811E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.215890049934387207E+00,0.866839289665222168E-01,0.558828757385037461E+05,0.563662345985875727E+05,0.175442179340950679E+04
0.389829993247985840E+00,0.943058349872878665E+02,0.176141858100891113E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.420746028423309326E+00,0.637803673744201660E-01,0.558839297137282410E+05,0.563666753258214594E+05,0.175442179340950679E+04
0.564008355140686035E+00,0.222168167703133979E+06,0.170862388610839844E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.107963740825653076E+00,0.453412830829620361E+00,0.558826671807787934E+05,0.563673337771402003E+05,0.175442179340950679E+04
0.129353404045104980E-01,0.467343161231164238E+06,0.140851068496704102E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.563104212284088135E+00,0.427789509296417236E+00,0.558837448929570237E+05,0.563672190902934672E+05,0.175442179340950679E+04
0.274746417999267578E-01,0.127604805013178586E+06,0.124090850353240967E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.874796152114868164E+00,0.765782296657562256E+00,0.558831515203736344E+05,0.563657842229114176E+05,0.175442179340950679E+04
0.308506965637207031E+00,0.117948058849939525E+04,0.156735932826995850E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.857677221298217773E+00,0.652116119861602783E+00,0.558828208344004670E+05,0.563655869791017176E+05,0.175442179340950679E+04
0.262583494186401367E-01,0.472373764977652812E+06,0.295616388320922852E-01,0.241653652999999991E+03,0.561248147820000013E+05,0.482003450393676758E+00,0.669945359230041504E+00,0.558836660093091050E+05,0.563668216716752650E+05,0.175442179340950679E+04
0.794189929962158203E+00,0.823863096977913898E+02,0.189205145835876465E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.183875560760498047E-01,0.833901166915893555E+00,0.558833950984499970E+05,0.563666710555062891E+05,0.175442179340950679E+04
0.784986138343811035E+00,0.300162252820861717E+02,0.192002999782562256E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.536193370819091797E+00,0.144472718238830566E-01,0.558832531929038087E+05,0.563657685180411936E+05,0.175442179340950679E+04
0.760840713977813721E+00,0.272352988989022776E+03,0.185016727447509766E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.185539186000823975E+00,0.450501978397369385E+00,0.558824408178351441E+05,0.563654820893512369E+05,0.175442179340950679E+04
0.714796125888824463E+00,0.828501610360652558E+05,0.179775142669677734E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.626973807811737061E+00,0.146323144435882568E+00,0.558826865776799241E+05,0.563670012058721186E+05,0.175442179340950679E+04
0.105553984642028809E+00,0.767569184452799618E+04,0.133189463615417480E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.495012283325195312E+00,0.390401840209960938E+00,0.558824117701075593E+05,0.563670547658906580E+05,0.175442179340950679E+04
0.130838572978973389E+00,0.549915255416765802E+01,0.137004530429840088E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.489798367023468018E+00,0.180152714252471924E+00,0.558823048788331071E+05,0.563657324686751963E+05,0.175442179340950679E+04
0.657771527767181396E+00,0.232847462432638928E+02,0.185071098804473877E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.572286844253540039E+00,0.599731802940368652E-01,0.558835961645863572E+05,0.563664500783191324E+05,0.175442179340950679E+04
0.413991928100585938E+00,0.357220549951573412E+05,0.958804965019226074E+00,0.241653652999999991E+03,0.561248147820000013E+05,0.434054136276245117E-01,0.841667175292968750E+00,0.558841338802598038E+05,0.563664959573255182E+05,0.175442179340950679E+04
0.652755379676818848E+00,0.104144004406949264E+01,0.193783986568450928E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.353271365165710449E-01,0.342257320880889893E+00,0.558827593884490052E+05,0.563659098476873041E+05,0.175442179340950679E+04
0.251769185066223145E+00,0.963824454137579210E+03,0.148550343513488770E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.789431512355804443E+00,0.161130905151367188E+00,0.558835437663815537E+05,0.563672557439313532E+05,0.175442179340950679E+04
0.372465610504150391E+00,0.625700944860236685E+01,0.188249063491821289E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.423917889595031738E+00,0.652221560478210449E+00,0.558833512870095292E+05,0.563659855733619333E+05,0.175442179340950679E+04
0.452435016632080078E-02,0.556796255861471145E+01,0.152153468132019043E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.386788725852966309E+00,0.767054557800292969E-01,0.558835640318415681E+05,0.563672578838573099E+05,0.175442179340950679E+04
0.514921069145202637E+00,0.455926438784461861E+05,0.172288644313812256E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.179646492004394531E+00,0.851413011550903320E-01,0.558837584084294358E+05,0.563655492758260370E+05,0.175442179340950679E+04
0.433539509773254395E+00,0.257684813412185409E+06,0.162395095825195313E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.743045508861541748E+00,0.324523031711578369E+00,0.558826172136090318E+05,0.563659897365079523E+05,0.175442179340950679E+04
0.307944238185882568E+00,0.107926838051891318E+06,0.133637392520904541E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.651873230934143066E+00,0.285310745239257812E+00,0.558835116589091340E+05,0.563667599259124399E+05,0.175442179340950679E+04
0.270102381706237793E+00,0.238519046535688267E+04,0.146072316169738770E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.954561769962310791E+00,0.355697214603424072E+00,0.558828652683518449E+05,0.563662619391189219E+05,0.175442179340950679E+04
0.827609419822692871E+00,0.571548405655320153E+03,0.184070742130279541E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.732479810714721680E+00,0.576018095016479492E-01,0.558834723064921418E+05,0.563664111835466028E+05,0.175442179340950679E+04
0.325617969036102295E+00,0.311067554104894400E+06,0.138426470756530762E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.476927280426025391E+00,0.296895086765289307E+00,0.558833886387370148E+05,0.563672701836333872E+05,0.175442179340950679E+04
0.989772439002990723E+00,0.724301573743425615E+04,0.934179186820983887E+00,0.241653652999999991E+03,0.561248147820000013E+05,0.561994254589080811E+00,0.434045076370239258E+00,0.558841039875767747E+05,0.563668910204873682E+05,0.175442179340950679E+04
0.919636726379394531E+00,0.728625694479183892E+02,0.187497210502624512E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.490785062313079834E+00,0.594533801078796387E+00,0.558838747780345002E+05,0.563667515377507807E+05,0.175442179340950679E+04
0.467411041259765625E+00,0.155740999975660088E+03,0.187566745281219482E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.158317446708679199E+00,0.547891378402709961E+00,0.558822175259612122E+05,0.563658734900460840E+05,0.175442179340950679E+04
0.158194243907928467E+00,0.244026564152702292E+03,0.192819559574127197E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.352505028247833252E+00,0.776039719581604004E+00,0.558831917427800217E+05,0.563668569584594370E+05,0.175442179340950679E+04
0.680401325225830078E-01,0.353992988735833424E+05,0.141246330738067627E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.535227358341217041E+00,0.871004879474639893E+00,0.558840468199275056E+05,0.563662154197202326E+05,0.175442179340950679E+04
