seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_tau5,seg0_tau6,seg0_likelihood
0.105128012835226520E+00,0.491964401210857795E+04,0.905065148408043668E-01,0.141241723000000007E+03,0.559366544789999971E+05,0.582948965747182246E+00,0.264229744776294240E+00,0.555129311822910604E+05,0.556541700359191746E+05,0.557954117848097740E+05,0.559366534031206611E+05,0.560778976799095180E+05,0.562191390217997032E+05,0.563603782806159870E+05,0.857869520256959731E+04
0.107513369011833365E+00,0.504342597681789903E+04,0.203168450319007765E+00,0.141241723000000007E+03,0.559366544789999971E+05,0.250689553414637667E+00,0.582511061675911379E+00,0.555129302230806061E+05,0.556541713067125311E+05,0.557954113986688171E+05,0.559366526106126184E+05,0.560778958154209686E+05,0.562191397776428275E+05,0.563603798318653644E+05,0.857987649076591151E+04
0.107073292480174054E+00,0.509137248753923450E+04,0.179220886748523711E+00,0.141241723000000007E+03,0.559366544789999971E+05,0.237264147322374719E+00,0.625126404761504717E+00,0.555129312981608964E+05,0.556541719585196988E+05,0.557954116983556814E+05,0.559366538318742751E+05,0.560778979493604274E+05,0.562191386992329280E+05,0.563603785759264356E+05,0.858093252818503606E+04
0.107168049131029064E+00,0.536811390126072911E+04,0.589549722967012066E-01,0.141241723000000007E+03,0.559366544789999971E+05,0.227999752795088800E+00,0.585427127636211075E+00,0.555129289993685597E+05,0.556541731098604650E+05,0.557954128746022980E+05,0.559366531995759578E+05,0.560778972281759634E+05,0.562191390382694372E+05,0.563603780516786574E+05,0.858117376532706476E+04
0.108791942592296562E+00,0.428664698745970418E+04,0.374850227146187931E+00,0.141241723000000007E+03,0.559366544789999971E+05,0.276956058390524062E+00,0.514149790018300079E+00,0.555129307900794738E+05,0.556541706105718913E+05,0.557954108691715737E+05,0.559366532641448066E+05,0.560778976235373048E+05,0.562191397969907121E+05,0.563603790320651678E+05,0.858141302955771789E+04
0.106629023125138792E+00,0.532451722339423850E+04,0.515356407257513624E-01,0.141241723000000007E+03,0.559366544789999971E+05,0.278140256019033083E+00,0.452467676836766697E+00,0.555129304493074378E+05,0.556541720631052667E+05,0.557954116571494014E+05,0.559366520173541940E+05,0.560778947192955748E+05,0.562191400811552958E+05,0.563603779135930527E+05,0.858158341312029370E+04
0.106226872936171141E+00,0.533017917050036067E+04,0.322376349088216649E-01,0.141241723000000007E+03,0.559366544789999971E+05,0.311794775839893956E+00,0.416283593975170174E+00,0.555129312037221825E+05,0.556541712434603614E+05,0.557954117325440238E+05,0.559366519817803273E+05,0.560778966670065420E+05,0.562191388602578008E+05,0.563603795219398089E+05,0.858189453795959344E+04
0.107591177053146345E+00,0.467443309005696756E+04,0.279569429538169767E+00,0.141241723000000007E+03,0.559366544789999971E+05,0.287439479408513721E+00,0.454487105194246233E+00,0.555129305401484380E+05,0.556541707157871424E+05,0.557954130913729023E+05,0.559366526653441033E+05,0.560778986029676962E+05,0.562191405585651592E+05,0.563603780251742064E+05,0.858212682059401232E+04
0.106299505042659184E+00,0.540176597496941395E+04,0.485103582744728611E-02,0.141241723000000007E+03,0.559366544789999971E+05,0.361105436598427976E+00,0.350476853563187973E+00,0.555129296382015018E+05,0.556541719171861114E+05,0.557954117221296619E+05,0.559366542587648873E+05,0.560778957459787416E+05,0.562191392497226188E+05,0.563603786713158333E+05,0.858226265419847732E+04
0.104887652365919626E+00,0.484089142303827794E+04,0.141589462148768747E+00,0.141241723000000007E+03,0.559366544789999971E+05,0.677767256986465338E+00,0.245279031518255752E+00,0.555129293567872883E+05,0.556541714659380668E+05,0.557954114559386799E+05,0.559366529363464942E+05,0.560778975970846077E+05,0.562191390881227708E+05,0.563603788234634121E+05,0.858240925623516705E+04
