seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_tau5,seg0_tau6,seg0_likelihood
0.336727619171142578E+00,0.175779576702661798E+05,0.172740161418914795E+01,0.201621555999999998E+03,0.556996406980000029E+05,0.208687067031860352E+00,0.834776461124420166E+00,0.550945190136988458E+05,0.552968730161309577E+05,0.554979034595172780E+05,0.556987860509596358E+05,0.559005617853406002E+05,0.561035936382575601E+05,0.563037255561674247E+05,0.242412511458436484E+04
0.127966403961181641E+00,0.561325803672098900E+01,0.116866827011108398E+01,0.201621555999999998E+03,0.556996406980000029E+05,0.154737412929534912E+00,0.930171966552734375E+00,0.550946097193320093E+05,0.552969399864793158E+05,0.554987653925102131E+05,0.556988300502739439E+05,0.559021265094283153E+05,0.561033200283809274E+05,0.563048601384485373E+05,0.242412511458436484E+04
0.202321887016296387E+00,0.717083484664614446E+02,0.148380601406097412E+01,0.201621555999999998E+03,0.556996406980000029E+05,0.860979199409484863E+00,0.214229822158813477E+00,0.550948028275330362E+05,0.552956370546937324E+05,0.554987037466447728E+05,0.556989927663050184E+05,0.559007481309178402E+05,0.561035117648406595E+05,0.563040266690576682E+05,0.242412511458436484E+04
0.914403796195983887E-01,0.250135789762015754E+02,0.118537938594818115E+01,0.201621555999999998E+03,0.556996406980000029E+05,0.314025402069091797E+00,0.203790545463562012E+00,0.550953063390810785E+05,0.552971925877452231E+05,0.554977448168676274E+05,0.556986938419781218E+05,0.559017964594367077E+05,0.561032731334729760E+05,0.563035155809248099E+05,0.242412511458436484E+04
0.394663095474243164E+00,0.138044977056757845E+01,0.164516830444335938E+01,0.201621555999999998E+03,0.556996406980000029E+05,0.451020002365112305E-01,0.385815203189849854E+00,0.550953035150130090E+05,0.552961346782565452E+05,0.554974633074682133E+05,0.557004337764225493E+05,0.559008682628872921E+05,0.561034990340037912E+05,0.563051776844585547E+05,0.242412511458436484E+04
0.156494081020355225E+00,0.310215898828683692E+02,0.129203867912292480E+01,0.201621555999999998E+03,0.556996406980000029E+05,0.910630285739898682E+00,0.490463018417358398E+00,0.550951786047776041E+05,0.552973443888545371E+05,0.554974275283496754E+05,0.556999986252031813E+05,0.559002991024258663E+05,0.561035684349103540E+05,0.563046305442178855E+05,0.242412511458436484E+04
0.551734685897827148E+00,0.742936834367808796E+01,0.174994111061096191E+01,0.201621555999999998E+03,0.556996406980000029E+05,0.658716261386871338E+00,0.168067216873168945E+00,0.550942988384325799E+05,0.552960282577395774E+05,0.554971717015188115E+05,0.556993890443287382E+05,0.559013804013732006E+05,0.561028293447061151E+05,0.563047904851759085E+05,0.242412511458436484E+04
0.864561378955841064E+00,0.638662982430015180E+01,0.193623745441436768E+01,0.201621555999999998E+03,0.556996406980000029E+05,0.558027148246765137E+00,0.153642654418945312E+00,0.550947490885813531E+05,0.552960695371747352E+05,0.554977910757940190E+05,0.556999915084085951E+05,0.559017599526646663E+05,0.561035444547696679E+05,0.563035835675323615E+05,0.242412511458436484E+04
0.182390809059143066E-01,0.754184782266739603E+03,0.118866086006164551E+01,0.201621555999999998E+03,0.556996406980000029E+05,0.701585412025451660E-01,0.880321860313415527E-01,0.550940611472685632E+05,0.552963673249602653E+05,0.554987663759868519E+05,0.556993097899399290E+05,0.559011564929488231E+05,0.561023353071971505E+05,0.563054497645223746E+05,0.242412511458436484E+04
0.575072050094604492E+00,0.124200028233271986E+02,0.157247817516326904E+01,0.201621555999999998E+03,0.556996406980000029E+05,0.973919868469238281E+00,0.779147028923034668E+00,0.550944255585034189E+05,0.552956415662885047E+05,0.554984635251443760E+05,0.557005230739555846E+05,0.559005524357560207E+05,0.561021299123330682E+05,0.563050970887268195E+05,0.242412980020502846E+04
