seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_likelihood
0.157692432403564453E+00,0.976351642609825603E+03,0.135915648937225342E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.299983620643615723E-01,0.586140215396881104E+00,0.550431197713298825E+05,0.552789242538860781E+05,0.557512849530168023E+05,0.287651566165886425E+04
0.246569275856018066E+00,0.396665940388339706E+02,0.181382215023040771E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.498301029205322266E+00,0.233718752861022949E-01,0.550437410396022824E+05,0.552794792119911654E+05,0.557519755203910318E+05,0.287651566165886425E+04
0.154961347579956055E+00,0.116923383105806852E+04,0.193831491470336914E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.780495822429656982E+00,0.480685532093048096E+00,0.550439103197736767E+05,0.552793774946382982E+05,0.557506829908080545E+05,0.287651566165886425E+04
0.152316749095916748E+00,0.310216154281840536E+05,0.192416167259216309E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.543772578239440918E+00,0.298725366592407227E-01,0.550425957698507336E+05,0.552784796397140963E+05,0.557511265099235025E+05,0.287651566165886425E+04
0.476980984210968018E+00,0.271105526330209216E+03,0.178496921062469482E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.105360090732574463E+00,0.636381447315216064E+00,0.550432832423133877E+05,0.552796934713772280E+05,0.557521162914224115E+05,0.287651566165886425E+04
0.105427742004394531E+00,0.244495088725938604E+04,0.197184491157531738E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.974209666252136230E+00,0.171401321887969971E+00,0.550433103139085797E+05,0.552792310836962206E+05,0.557507468201108422E+05,0.287651566165886425E+04
0.547797322273254395E+00,0.173478355081683198E+02,0.162000823020935059E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.564133346080780029E+00,0.392237782478332520E+00,0.550429050986452130E+05,0.552788347995928270E+05,0.557519406217523065E+05,0.287651566165886425E+04
0.397875726222991943E+00,0.914430380156805356E+01,0.145115792751312256E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.886588811874389648E+00,0.459186613559722900E+00,0.550438679085655240E+05,0.552796053775003893E+05,0.557514921333976235E+05,0.287651566165886425E+04
0.558120012283325195E-01,0.368814802206505465E+04,0.160218226909637451E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.745058596134185791E+00,0.502525329589843750E+00,0.550432161663455990E+05,0.552796129015139086E+05,0.557511243514008966E+05,0.287651566165886425E+04
0.379007399082183838E+00,0.697679278984347591E+06,0.193259966373443604E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.397556185722351074E+00,0.584365606307983398E+00,0.550428196493072537E+05,0.552783170097521288E+05,0.557522071929164376E+05,0.287651566165886425E+04
0.206905186176300049E+00,0.459952192310158080E+04,0.141229844093322754E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.776970863342285156E+00,0.712151587009429932E+00,0.550420297658128766E+05,0.552781802741936190E+05,0.557521902052350488E+05,0.287651566165886425E+04
0.312380015850067139E+00,0.287382666028271487E+06,0.192321562767028809E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.651818454265594482E+00,0.530555605888366699E+00,0.550430238005800275E+05,0.552799680081060869E+05,0.557503301602788415E+05,0.287651566165886425E+04
