seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_likelihood
0.830686127335816038E+00,0.374077680386956057E+01,0.181231073985946134E+01,0.265749852999999973E+03,0.560630302119999978E+05,0.672920684800258573E+00,0.287227850993048289E-01,0.560630059341147135E+05,0.369494452493777590E+04
0.102072452698061492E+00,0.591684946891426655E+01,0.104139053247907620E+01,0.265749852999999973E+03,0.560630302119999978E+05,0.968068844768715908E+00,0.957620453495351409E+00,0.560629162783446154E+05,0.369695268322552602E+04
0.996165798645019668E-01,0.175104416183346001E+01,0.107660586386920332E+01,0.265749852999999973E+03,0.560630302119999978E+05,0.455431368680043802E+00,0.909375099894424166E-01,0.560629923546595674E+05,0.369718742128577742E+04
0.665290523912592691E+00,0.210479770586949488E+01,0.164282967594263463E+01,0.265749852999999973E+03,0.560630302119999978E+05,0.785227413517988193E+00,0.377505427816881678E+00,0.560628866829062245E+05,0.369745994846361737E+04
0.989568002435787686E+00,0.393744155546368813E+01,0.196296087423621479E+01,0.265749852999999973E+03,0.560630302119999978E+05,0.940642535981505268E+00,0.495906439613162053E+00,0.560630028762667207E+05,0.369766270705649004E+04
0.167045371961296873E-01,0.392695150599259222E+02,0.770286029690054885E+00,0.265749852999999973E+03,0.560630302119999978E+05,0.806598179793314274E+00,0.688090904743583365E+00,0.560629235488966806E+05,0.369775052803884682E+04
0.455945119139863242E+00,0.430899461022423313E+01,0.142489145226570213E+01,0.265749852999999973E+03,0.560630302119999978E+05,0.901683003610072586E+00,0.793932712752222547E+00,0.560629451428784450E+05,0.369797370670163309E+04
0.834088846160330633E+00,0.191881503035812107E+01,0.181392675900638389E+01,0.265749852999999973E+03,0.560630302119999978E+05,0.776544560104640347E+00,0.889035620864360610E+00,0.560629122071495731E+05,0.369806408180676772E+04
0.783548609914638927E+00,0.146742585776530476E+01,0.176295937048346918E+01,0.265749852999999973E+03,0.560630302119999978E+05,0.735512410899013980E+00,0.807907330623800046E+00,0.560628708458434921E+05,0.369814593249146765E+04
0.923945034104569518E+00,0.803932680915431952E+01,0.188418377185250585E+01,0.265749852999999973E+03,0.560630302119999978E+05,0.995068397683582462E+00,0.858944962061878536E+00,0.560629474096492049E+05,0.369826614307216187E+04
0.414577770621965602E+00,0.169588047945305953E+01,0.139828235058300931E+01,0.265749852999999973E+03,0.560630302119999978E+05,0.251128917837056376E+00,0.532645634400361279E+00,0.560629887263344208E+05,0.369830463167851576E+04
0.151625533223061701E-01,0.169134718996623349E+03,0.386549445598850405E+00,0.265749852999999973E+03,0.560630302119999978E+05,0.410221183160715042E+00,0.515241038925843164E+00,0.560629759051547371E+05,0.369837014109776919E+04
