seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_likelihood
0.143323387547830104E-01,0.207633986669537904E+03,0.593514305828380051E+00,0.284697260000000028E+03,0.556600816199999972E+05,0.932032848249730206E+00,0.932654019290426017E+00,0.550909484183886234E+05,0.553760317640870780E+05,0.559448454585421423E+05,0.562297583792452788E+05,0.382888394499984724E+04
0.136225558386170523E-01,0.184751466787849921E+03,0.619335445235537518E+00,0.284697260000000028E+03,0.556600816199999972E+05,0.657584126072939923E+00,0.710892505694184162E+00,0.550916518255393166E+05,0.553760434649188974E+05,0.559449392144718950E+05,0.562297744111595239E+05,0.382893689571188997E+04
0.472141700386529028E+00,0.206702788565019979E+01,0.145355749098412135E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.871106759773230821E+00,0.995497252650223985E-01,0.550908891037101566E+05,0.553761295765278992E+05,0.559450372392699501E+05,0.562297405034937037E+05,0.382910756177267149E+04
0.220764880038292269E-01,0.245181190601400587E+02,0.942706568947888401E+00,0.284697260000000028E+03,0.556600816199999972E+05,0.994501714537291748E+00,0.470234108404100348E+00,0.550903360644604982E+05,0.553760289183731074E+05,0.559449075238421065E+05,0.562297157326949527E+05,0.382918976109755704E+04
0.139689894890360471E-01,0.498317033492249664E+03,0.377695992385183699E+00,0.284697260000000028E+03,0.556600816199999972E+05,0.849572608760229109E+00,0.461315164330545868E+00,0.550905545189719342E+05,0.553760563326034098E+05,0.559448900476418639E+05,0.562296702266971115E+05,0.382925528881564378E+04
0.150178661769242664E-01,0.595105109658871925E+03,0.137033785908675126E+00,0.284697260000000028E+03,0.556600816199999972E+05,0.319764390252440800E+00,0.892827599088219737E+00,0.550906432484403485E+05,0.553761638261210246E+05,0.559449506139663499E+05,0.562297080057829953E+05,0.382926081608131835E+04
0.160472108908241255E-01,0.408161827172660651E+03,0.406591143140895783E+00,0.284697260000000028E+03,0.556600816199999972E+05,0.235476478228175828E+00,0.752386820977232751E+00,0.550916326654623481E+05,0.553760773289097779E+05,0.559447587677663614E+05,0.562297209487762229E+05,0.382926372128058529E+04
0.949887679774693128E+00,0.321955745988813513E+01,0.193504734590702743E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.520003315543457800E+00,0.408340322045192439E+00,0.550907118794070702E+05,0.553760864863796451E+05,0.559449356969406872E+05,0.562297942577870344E+05,0.382926781360019277E+04
0.544229573752507689E+00,0.194653063563030782E+01,0.153328002906884442E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.126165914143138071E-01,0.807094494079732661E+00,0.550906205106708585E+05,0.553760629909571726E+05,0.559449818006947462E+05,0.562297396315615406E+05,0.382927782960867489E+04
0.158426941978502267E-01,0.193061052189991585E+03,0.590900052746892279E+00,0.284697260000000028E+03,0.556600816199999972E+05,0.184475651142161703E-01,0.282767802829221107E-01,0.550916786153266148E+05,0.553759199087440575E+05,0.559450338714234385E+05,0.562297784307863258E+05,0.382934672810345864E+04
0.203811369226143818E-01,0.881888365432288737E+02,0.821562522904925707E+00,0.284697260000000028E+03,0.556600816199999972E+05,0.609351260593208544E+00,0.965619461079966990E+00,0.550909168630158892E+05,0.553759244813684854E+05,0.559449276220561442E+05,0.562297170979185612E+05,0.382937915695411129E+04
0.254433482977201697E+00,0.141057565616880010E+01,0.123585552434723067E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.716225572647310460E+00,0.610429220250652715E+00,0.550908567175487042E+05,0.553759707406685920E+05,0.559449553044022978E+05,0.562297825065231809E+05,0.382938177012417009E+04
0.150207470953214444E-01,0.153084287648963624E+03,0.774668158308752797E+00,0.284697260000000028E+03,0.556600816199999972E+05,0.408702234028830547E+00,0.444402496688493187E+00,0.550903480509145957E+05,0.553761644214593398E+05,0.559450525455545649E+05,0.562297350393829693E+05,0.382945129859901635E+04
0.743302641442225021E+00,0.187582825697288258E+01,0.173182857541908386E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.207171330718339486E+00,0.373799514950828915E+00,0.550905167966572553E+05,0.553761153880129132E+05,0.559450089815582032E+05,0.562297258745424624E+05,0.382948633372366885E+04
