seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_tau5,seg0_likelihood
0.972709015045999589E-02,0.203514685013312533E+04,0.216884811828425811E+00,0.192138849999999991E+03,0.556786263099999996E+05,0.135264552078076306E+00,0.125186233879825193E+00,0.551020664545247128E+05,0.552944689865100372E+05,0.554863792242259588E+05,0.558708506382166815E+05,0.560621324787155536E+05,0.562549418101744232E+05,0.252178966431504023E+04
0.489818427156223923E+00,0.110927785703115607E+02,0.147954220145226678E+01,0.192138849999999991E+03,0.556786263099999996E+05,0.586627415000366970E+00,0.671305853639591277E+00,0.551021811914907230E+05,0.552943972152066635E+05,0.554864217917628484E+05,0.558699365017303353E+05,0.560629364122080660E+05,0.562543164953250307E+05,0.252299885638963769E+04
0.100866772980125943E-01,0.177131759192944060E+04,0.702496374863895490E+00,0.192138849999999991E+03,0.556786263099999996E+05,0.223373100193907131E+00,0.644122677128494248E+00,0.551021811910779506E+05,0.552944191924794723E+05,0.554863867298873738E+05,0.558717473187751020E+05,0.560630079399665046E+05,0.562549936542993310E+05,0.252301011121696365E+04
0.314946590527896197E+00,0.627320782258116552E+02,0.129472878716202100E+01,0.192138849999999991E+03,0.556786263099999996E+05,0.969838245510084240E+00,0.713024539240974975E+00,0.551022090524584637E+05,0.552944167660412204E+05,0.554865211167548041E+05,0.558699386535617377E+05,0.560627807024101712E+05,0.562543677330380815E+05,0.252312183746350865E+04
0.164915366606228103E+00,0.140236494381969230E+02,0.115601291954440266E+01,0.192138849999999991E+03,0.556786263099999996E+05,0.457224121944412587E-01,0.178004589470315583E+00,0.551022420114085689E+05,0.552944456273387987E+05,0.554864960429559069E+05,0.558697885528391271E+05,0.560628892483368400E+05,0.562540657708701183E+05,0.252317725672919551E+04
0.606371981822271477E+00,0.509981695489139497E+02,0.159543785257790516E+01,0.192138849999999991E+03,0.556786263099999996E+05,0.588975458687407749E+00,0.641743977199781268E+00,0.551022145428849472E+05,0.552944269708566426E+05,0.554865552619822265E+05,0.558707128954643122E+05,0.560628697394999544E+05,0.562558743086058166E+05,0.252360454614348055E+04
0.526706834279658462E-01,0.483180509483185006E+01,0.103762657597891406E+01,0.192138849999999991E+03,0.556786263099999996E+05,0.626914572953458205E+00,0.656353676830660593E+00,0.551020989125036431E+05,0.552944562990449122E+05,0.554864337718031020E+05,0.558699069487205343E+05,0.560628065315218410E+05,0.562549869923703955E+05,0.252392041995587124E+04
0.112679599084167751E-01,0.309623718212537460E+04,0.801092338577193086E+00,0.192138849999999991E+03,0.556786263099999996E+05,0.582317156160270355E+00,0.366958999836394031E-01,0.551022020176279984E+05,0.552943908854095862E+05,0.554865209585215416E+05,0.558712939417401067E+05,0.560620554975347113E+05,0.562543783767125351E+05,0.252403967300265731E+04
0.118171604402305980E+00,0.104890597928925526E+02,0.111018467941701604E+01,0.192138849999999991E+03,0.556786263099999996E+05,0.985783556227655053E-02,0.629438951476194108E+00,0.551022082856699053E+05,0.552944128352359112E+05,0.554865016095663523E+05,0.558717009000137041E+05,0.560629135075631566E+05,0.562544318744438060E+05,0.252421936457068023E+04
0.863479034271931845E+00,0.200162166256855834E+02,0.185830607627350175E+01,0.192138849999999991E+03,0.556786263099999996E+05,0.158913662206787987E+00,0.260920300488456824E+00,0.551021801765642813E+05,0.552943556216046345E+05,0.554865024223298533E+05,0.558715390506641488E+05,0.560636657222635986E+05,0.562549991619386710E+05,0.252473096503904026E+04
0.118656174058954945E-01,0.719502212972626785E+04,0.534050498501590920E+00,0.192138849999999991E+03,0.556786263099999996E+05,0.716029014025472144E+00,0.898656573572001904E+00,0.551021682679154910E+05,0.552943710607993198E+05,0.554865055503838448E+05,0.558717372147744172E+05,0.560622308441161804E+05,0.562559897420606358E+05,0.252540908421705581E+04
0.764175489257544416E+00,0.326502274565935764E+02,0.175693241997844773E+01,0.192138849999999991E+03,0.556786263099999996E+05,0.108584690297885506E+00,0.585842683435313871E+00,0.551022017701302248E+05,0.552944013029115595E+05,0.554865103038949965E+05,0.558700195832282188E+05,0.560636111421705064E+05,0.562543205087322422E+05,0.252598260381215596E+04
0.369996087848689648E+00,0.366497923298372967E+02,0.135985960072321088E+01,0.192138849999999991E+03,0.556786263099999996E+05,0.298219784205037530E+00,0.112163780133584717E+00,0.551021988542434556E+05,0.552943678680087833E+05,0.554864960073773254E+05,0.558699811169868481E+05,0.560635849709260656E+05,0.562549723404682154E+05,0.252630597778043193E+04
0.116760965332235959E-01,0.901935002365715445E+04,0.652760035304915220E+00,0.192138849999999991E+03,0.556786263099999996E+05,0.219926529395408715E+00,0.154786386910251206E+00,0.551021940030520927E+05,0.552943514281405514E+05,0.554865178796591426E+05,0.558698988503411601E+05,0.560622201288335709E+05,0.562540842295170296E+05,0.252648463605867573E+04
0.301453187706048453E+00,0.625831971610799442E+01,0.128677121572308284E+01,0.192138849999999991E+03,0.556786263099999996E+05,0.885102520777623858E+00,0.528992872738329512E+00,0.551021985086292334E+05,0.552944264179263046E+05,0.554864334598198184E+05,0.558708400836984583E+05,0.560628411412373680E+05,0.562549710286965565E+05,0.252663185563112620E+04
0.865694502211075134E+00,0.137178045619806085E+03,0.185074094198223671E+01,0.192138849999999991E+03,0.556786263099999996E+05,0.906251246459459425E+00,0.461118918412242118E+00,0.551022067666299190E+05,0.552943810393028325E+05,0.554865518288429739E+05,0.558715117521184511E+05,0.560638447991241046E+05,0.562550443220603047E+05,0.252677840995009046E+04
0.116262508608412488E+00,0.283657380030440436E+02,0.109620515150057174E+01,0.192138849999999991E+03,0.556786263099999996E+05,0.813252579616708382E+00,0.652385871143181695E+00,0.551021948581094475E+05,0.552943584097295970E+05,0.554864930736813767E+05,0.558712923756176606E+05,0.560628409092287911E+05,0.562541840249288580E+05,0.252679292135491141E+04
0.739517868423761549E+00,0.262997526642016339E+02,0.172726828118853160E+01,0.192138849999999991E+03,0.556786263099999996E+05,0.785077832785710861E+00,0.258355200737483859E+00,0.551022243033082268E+05,0.552943526128195372E+05,0.554864971530910698E+05,0.558716827486706097E+05,0.560628181614550413E+05,0.562550428449003011E+05,0.252703810981262541E+04
0.626073765730153164E+00,0.665642144395845392E+01,0.162132612913011753E+01,0.192138849999999991E+03,0.556786263099999996E+05,0.755080915111124296E-01,0.416206218971627018E+00,0.551022107552933376E+05,0.552943802579874755E+05,0.554864127224330659E+05,0.558716154589845901E+05,0.560628562357399933E+05,0.562549995527183564E+05,0.252704016623110329E+04
0.114398421032361752E-01,0.147174815268777511E+05,0.597409767784140899E+00,0.192138849999999991E+03,0.556786263099999996E+05,0.273035823808839784E+00,0.529553838863271675E+00,0.551022242595689095E+05,0.552943489800886309E+05,0.554865272783578694E+05,0.558713814871514624E+05,0.560636947436302507E+05,0.562559396231422070E+05,0.252714130984592703E+04
0.102041126504131205E-01,0.102928306974066672E+05,0.225590000315070094E+00,0.192138849999999991E+03,0.556786263099999996E+05,0.541785103975735427E+00,0.380446268544036403E+00,0.551021686976826823E+05,0.552943623573489094E+05,0.554864864722030543E+05,0.558713591269180397E+05,0.560628669879525987E+05,0.562541793057575342E+05,0.252715918720884201E+04
0.126629001373353162E-01,0.124809567996898877E+05,0.691951487671003340E+00,0.192138849999999991E+03,0.556786263099999996E+05,0.113630472610152331E-01,0.743952110988151061E+00,0.551022142975454408E+05,0.552943939874019270E+05,0.554864902408282360E+05,0.558715865668700862E+05,0.560620609542476159E+05,0.562542348109875966E+05,0.252732989336439641E+04
0.228371220534324432E+00,0.101525329525350969E+02,0.122043106709567950E+01,0.192138849999999991E+03,0.556786263099999996E+05,0.265778214855545591E+00,0.330051835562121920E+00,0.551021893472747252E+05,0.552943915338257939E+05,0.554864957791751367E+05,0.558716584725528664E+05,0.560628381282619885E+05,0.562559452944552613E+05,0.252741384482675949E+04
0.122158614443688265E+00,0.408979506909306991E+02,0.110184121295739446E+01,0.192138849999999991E+03,0.556786263099999996E+05,0.820680596103743776E+00,0.698957513653621021E+00,0.551022000749026047E+05,0.552943592081205425E+05,0.554864765714164896E+05,0.558714234398560657E+05,0.560628972440828293E+05,0.562541384761174704E+05,0.252745253660583421E+04
0.115463542307483562E-01,0.676048955881001348E+04,0.668037365538470373E+00,0.192138849999999991E+03,0.556786263099999996E+05,0.956145849932680814E+00,0.624664306349433263E+00,0.551021765107814063E+05,0.552944209836282243E+05,0.554865155345073363E+05,0.558698557803941585E+05,0.560628675623652889E+05,0.562540713757943813E+05,0.252747317099414704E+04
0.403003096046165687E+00,0.125273684378290930E+02,0.138703767575405656E+01,0.192138849999999991E+03,0.556786263099999996E+05,0.974070139358577669E+00,0.373229435060347781E+00,0.551022366852611376E+05,0.552943701202625016E+05,0.554864898071562930E+05,0.558700244017146761E+05,0.560628965205371205E+05,0.562549665993189701E+05,0.252749699389980287E+04
0.108683349047533923E-01,0.107266987255533750E+05,0.359641907043134368E+00,0.192138849999999991E+03,0.556786263099999996E+05,0.554394727916080909E+00,0.665739432560796374E+00,0.551022088343424184E+05,0.552943642078489429E+05,0.554865026818579718E+05,0.558715454566052722E+05,0.560622388783507340E+05,0.562559894787591693E+05,0.252759492786419469E+04
0.129458027756123775E-01,0.502163834215513089E+04,0.658742385161474320E+00,0.192138849999999991E+03,0.556786263099999996E+05,0.910646508872268612E+00,0.520663491392553412E-02,0.551021770749408533E+05,0.552943801341982689E+05,0.554864943522827816E+05,0.558700902116310899E+05,0.560628681719236265E+05,0.562557826176485760E+05,0.252762218527641471E+04
