seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_likelihood
0.923459529090293052E+00,0.100762991507161215E+01,0.190282483235333810E+01,0.259344959000000017E+03,0.557767089770000021E+05,0.931794554624320259E+00,0.407930764682169766E+00,0.552581839000894615E+05,0.555172856440992036E+05,0.557768845036880448E+05,0.560361973338411190E+05,0.562956505191833639E+05,0.605517128833378592E+04
0.169225397685284808E-01,0.217167304518404052E+03,0.583122379614792324E-01,0.259344959000000017E+03,0.557767089770000021E+05,0.582251516753422238E+00,0.322709132126823339E+00,0.552582422392525696E+05,0.555174025973262396E+05,0.557767628968670324E+05,0.560361708489690209E+05,0.562956000579665342E+05,0.605532662531678579E+04
0.491784358700219637E+00,0.199986619509542551E+01,0.147720237306019575E+01,0.259344959000000017E+03,0.557767089770000021E+05,0.222085951092759692E+00,0.137689660452212481E+00,0.552580532511322672E+05,0.555174073917341593E+05,0.557769259826450652E+05,0.560359520616491282E+05,0.562954486990325895E+05,0.605533395733683938E+04
0.152347722137469981E-01,0.277130470861011531E+03,0.333572034601815892E+00,0.259344959000000017E+03,0.557767089770000021E+05,0.303955811680373167E+00,0.729489678976147582E+00,0.552579767373763971E+05,0.555175468564177791E+05,0.557768321702434478E+05,0.560360529437602236E+05,0.562955223099544091E+05,0.605555225807390343E+04
0.769936495354355488E+00,0.111785342131976528E+01,0.175746247329287386E+01,0.259344959000000017E+03,0.557767089770000021E+05,0.217577626968841642E+00,0.556489321491060673E+00,0.552580741353784688E+05,0.555174199957410892E+05,0.557766267077479060E+05,0.560360188662735964E+05,0.562952924489955185E+05,0.605567435277218101E+04
0.293089543130804417E-01,0.218379171316419640E+01,0.976166990982157645E+00,0.259344959000000017E+03,0.557767089770000021E+05,0.884031075936785316E+00,0.133845420438574031E+00,0.552579751702358553E+05,0.555175615311300717E+05,0.557768205650182572E+05,0.560362863322488993E+05,0.562953186116354846E+05,0.605574542795061097E+04
0.778314789905208970E+00,0.111720556671232774E+01,0.176236664950474164E+01,0.259344959000000017E+03,0.557767089770000021E+05,0.543644771896309553E+00,0.754046510876553500E+00,0.552582230766384237E+05,0.555174352744830103E+05,0.557764176552373829E+05,0.560361375274158636E+05,0.562954507232855394E+05,0.605587075799494232E+04
0.189353096698365891E+00,0.164256686030864874E+01,0.115438323451222935E+01,0.259344959000000017E+03,0.557767089770000021E+05,0.874511290437604782E+00,0.919078720599167731E+00,0.552579925360652633E+05,0.555174725703428994E+05,0.557768024322744677E+05,0.560359724387863826E+05,0.562954440904017029E+05,0.605608054625622026E+04
0.811648676683326520E+00,0.413594450002207203E+01,0.178902019234496823E+01,0.259344959000000017E+03,0.557767089770000021E+05,0.871556698623823678E+00,0.581503849414574780E+00,0.552578591913970522E+05,0.555173344825736131E+05,0.557766503800983337E+05,0.560360297840186540E+05,0.562954388399736636E+05,0.605611446487029389E+04
0.885199396619654300E+00,0.101457156793180059E+01,0.186089166131609218E+01,0.259344959000000017E+03,0.557767089770000021E+05,0.950098864352882155E+00,0.544369461951494715E+00,0.552581639993770077E+05,0.555172338610986772E+05,0.557766565023823568E+05,0.560364152579572983E+05,0.562954430173906439E+05,0.605635177139663938E+04
