seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_tau5,seg0_likelihood
0.438655629222839336E-01,0.641596281403971079E+05,0.558056676196435480E-01,0.321213900000000024E+03,0.556823565000000017E+05,0.964102385084451896E+00,0.755706074945598910E-01,-0.197102066633492767E+01,0.550399290167566651E+05,0.553611461232580259E+05,0.556823582486291125E+05,0.560035689124799828E+05,0.563247779576495159E+05,0.196967108922041803E+04
0.503456416647333621E-01,0.166451149449361183E+05,0.805432769678318561E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.193153491990878140E+00,0.443866973491153338E+00,-0.179904660434784014E+01,0.550399281615742948E+05,0.553611452950943640E+05,0.556823552258350173E+05,0.560035687360205338E+05,0.563247782228612559E+05,0.196984587973508246E+04
0.445654423938059915E-01,0.627912728086316638E+05,0.249253309940559477E-02,0.321213900000000024E+03,0.556823565000000017E+05,0.836372036107849270E+00,0.506829755841779542E-01,-0.157951269854187815E+01,0.550399303994664733E+05,0.553611410849088206E+05,0.556823558944007236E+05,0.560035664421396723E+05,0.563247778038284378E+05,0.196986118471016312E+04
0.517840915763158743E-01,0.831953650536251553E+04,0.876691238741634904E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.255163817791562608E+00,0.170685710363206233E+00,-0.151613680284453345E+01,0.550399320258859298E+05,0.553611454528768736E+05,0.556823569990803080E+05,0.560035638426911755E+05,0.563247768012782180E+05,0.196994559980967210E+04
0.507627301578619100E-01,0.165649738535607285E+05,0.783047898475497051E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.419563068460973410E+00,0.229414660229192546E+00,-0.119517660794689862E+01,0.550399279466216249E+05,0.553611418623083300E+05,0.556823601116750433E+05,0.560035688458274526E+05,0.563247800068997967E+05,0.196998441743503849E+04
0.525041207726171175E-01,0.544114626806079104E+04,0.911148295561067800E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.967324431483626151E-01,0.863646590768386568E+00,-0.231758043320489593E+01,0.550399312865631800E+05,0.553611450219381222E+05,0.556823567237184034E+05,0.560035693509499688E+05,0.563247794307213771E+05,0.196998733551494411E+04
0.539279817474946493E-01,0.796209970036299910E+04,0.874057099433255491E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.487315714493144425E+00,0.590700136802387643E+00,-0.186119169396425455E+01,0.550399288752423818E+05,0.553611415208762337E+05,0.556823564968179271E+05,0.560035671332297643E+05,0.563247789348487277E+05,0.197007833323304999E+04
0.436892469457512839E-01,0.642428952486427588E+05,0.836955254101452856E-01,0.321213900000000024E+03,0.556823565000000017E+05,0.764266815059692295E+00,0.276360916836951798E+00,-0.202360057032032836E+01,0.550399322468847895E+05,0.553611413965168322E+05,0.556823581372423359E+05,0.560035676157221096E+05,0.563247799186437842E+05,0.197009681468775148E+04
0.488887412000047136E-01,0.199603798803271166E+05,0.755015930205147678E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.413434521884082196E+00,0.133564459475222608E+00,-0.189346376279177253E+01,0.550399281306834600E+05,0.553611445788975616E+05,0.556823559533505322E+05,0.560035632402146657E+05,0.563247817810768320E+05,0.197010359328680147E+04
0.467082932892718058E-01,0.386872239926913753E+05,0.565947987297525379E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.738220542486843767E+00,0.291985133019561742E-01,-0.176932678913281061E+01,0.550399287879683106E+05,0.553611460608608540E+05,0.556823582110848438E+05,0.560035666384457509E+05,0.563247801441310658E+05,0.197017128940532689E+04
