seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_likelihood
0.584701001644134521E+00,0.242033903149530460E+03,0.181849980354309082E+01,0.358544559999999990E+03,0.559268947199999966E+05,0.473312973976135254E+00,0.118090212345123291E+00,0.552100398293262479E+05,0.562844578476813113E+05,0.237817241741475482E+04
0.398707514428544796E+00,0.107080887010322927E+06,0.139119615869825219E+01,0.358544559999999990E+03,0.559268947199999966E+05,0.538723480401623100E+00,0.220899430319889956E+00,0.552089140245219678E+05,0.562846505686623786E+05,0.237911884887405813E+04
0.917989289884801885E-02,0.358696314974113932E+03,0.856884630054500440E+00,0.358544559999999990E+03,0.559268947199999966E+05,0.965326439016708449E+00,0.600919761932537516E-01,0.552088827757803083E+05,0.562854674950547196E+05,0.238038634118320624E+04
0.582638382911682129E-01,0.135191385960675947E+01,0.104495787620544434E+01,0.358544559999999990E+03,0.559268947199999966E+05,0.954543650150299072E+00,0.638751745223999023E+00,0.552098531034713742E+05,0.562850660808947359E+05,0.238049799344564690E+04
0.983288824558258057E+00,0.475869347269656464E+04,0.197364783287048340E+01,0.358544559999999990E+03,0.559268947199999966E+05,0.339621543884277344E+00,0.435559034347534180E+00,0.552097005615955350E+05,0.562857653574612414E+05,0.238050096600800862E+04
0.524815122467419196E-02,0.171453840692943868E+04,0.585002609330525503E+00,0.358544559999999990E+03,0.559268947199999966E+05,0.773258873757452947E+00,0.149790142091448197E+00,0.552097238707589931E+05,0.562852828747876119E+05,0.238194435565656659E+04
0.492618185562400890E+00,0.116642085735181317E+05,0.147662191150068045E+01,0.358544559999999990E+03,0.559268947199999966E+05,0.829476769518220469E+00,0.285836767877523518E-01,0.552098053277627987E+05,0.562850421401127460E+05,0.238313406384698192E+04
0.942992945226268052E-02,0.137922641395445430E+04,0.807102482865936777E+00,0.358544559999999990E+03,0.559268947199999966E+05,0.753370465838720471E+00,0.661640780403828122E+00,0.552099166300933430E+05,0.562858468594256337E+05,0.238361231207935316E+04
0.548806508018427966E-02,0.841678024338503178E+03,0.565071341438494801E+00,0.358544559999999990E+03,0.559268947199999966E+05,0.458880233718571673E+00,0.741153228884933291E+00,0.552097676574928118E+05,0.562857497495964708E+05,0.238452682263599991E+04
0.559034217743134033E-02,0.434168445964902446E+03,0.630926404302145749E+00,0.358544559999999990E+03,0.559268947199999966E+05,0.897111336629540790E+00,0.863475791367068424E+00,0.552096950391511491E+05,0.562853932444172751E+05,0.238474324393966390E+04
0.955713766634128103E-02,0.312944264345841759E+03,0.651510198921288197E-01,0.358544559999999990E+03,0.559268947199999966E+05,0.226407479285732155E+00,0.741122210583625374E+00,0.552098158509136993E+05,0.562855307472825589E+05,0.238490656931246576E+04
0.950699535600919687E+00,0.212960577816241470E+01,0.193860703196194883E+01,0.358544559999999990E+03,0.559268947199999966E+05,0.860628388256251653E+00,0.907784784628147157E+00,0.552097333691993699E+05,0.562860440822452802E+05,0.238513131482728022E+04
0.952026626229952183E-02,0.696605687255949579E+01,0.914564087467378939E+00,0.358544559999999990E+03,0.559268947199999966E+05,0.621378795153178398E+00,0.742965793108161382E-01,0.552094782600722319E+05,0.562856791917601004E+05,0.238524035254519868E+04
0.695620346274848384E-02,0.192613417298030186E+04,0.627401173610734997E+00,0.358544559999999990E+03,0.559268947199999966E+05,0.245868636956290104E+00,0.422927803035392291E+00,0.552097834578288530E+05,0.562861771311272460E+05,0.238526857645604287E+04
0.408490158449114515E+00,0.142764173275765049E+02,0.140144164246081315E+01,0.358544559999999990E+03,0.559268947199999966E+05,0.623030623463692979E+00,0.151134159509395294E+00,0.552098067959356704E+05,0.562861181265275882E+05,0.238534880102821126E+04
0.646105374559926941E-02,0.488145615095680625E+03,0.272456300885853986E+00,0.358544559999999990E+03,0.559268947199999966E+05,0.113639669489026693E+00,0.564154564265360370E+00,0.552099595312965466E+05,0.562856386616207747E+05,0.238538141535574687E+04
0.683071743791931585E+00,0.260878976030899032E+02,0.167334115924965610E+01,0.358544559999999990E+03,0.559268947199999966E+05,0.407589488597078220E+00,0.294294003579717800E+00,0.552097957755074531E+05,0.562862459293215725E+05,0.238547642748922590E+04
0.254918789403620727E+00,0.124287456961615952E+02,0.123663571045564313E+01,0.358544559999999990E+03,0.559268947199999966E+05,0.967849546713733466E+00,0.881307017292986217E+00,0.552096618923560454E+05,0.562855414042589618E+05,0.238560244577017693E+04
0.943368014010993572E+00,0.116060270976835241E+03,0.193379356500768096E+01,0.358544559999999990E+03,0.559268947199999966E+05,0.801316341162113921E+00,0.400893890184025992E+00,0.552098452192262048E+05,0.562857028911088419E+05,0.238563648241112332E+04
