seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_likelihood
0.125837922096252441E-01,0.710280382769921853E+05,0.831202507019042969E+00,0.377311459000000013E+03,0.559992385880000002E+05,0.277403771877288818E+00,0.192362844944000244E+00,0.552448320258006279E+05,0.556214717365201068E+05,0.559986454605109102E+05,0.563755913358526886E+05,0.508204106905325261E+04
0.465011596679687500E-02,0.177008331200429355E+06,0.560356378555297852E+00,0.377311459000000013E+03,0.559992385880000002E+05,0.423964500427246094E+00,0.908294916152954102E+00,0.552451637159928505E+05,0.556211142896111560E+05,0.559998916242367632E+05,0.563766626052456559E+05,0.508268318161895968E+04
0.117536187171936035E-01,0.937575395447687479E+05,0.725920915603637695E+00,0.377311459000000013E+03,0.559992385880000002E+05,0.205037057399749756E+00,0.493084907531738281E+00,0.552448950175389473E+05,0.556221197821791720E+05,0.559991909462458498E+05,0.563764149140911759E+05,0.508268544075729642E+04
0.975547671318054199E+00,0.728817519847160522E+01,0.197274696826934814E+01,0.377311459000000013E+03,0.559992385880000002E+05,0.455658137798309326E+00,0.147548615932464600E+00,0.552442464150532905E+05,0.556221728976662707E+05,0.559998212120777971E+05,0.563758148160772980E+05,0.508281874073587187E+04
0.211387872695922852E-02,0.633126230623326620E+02,0.521237492561340332E+00,0.377311459000000013E+03,0.559992385880000002E+05,0.872167587280273438E+00,0.738456308841705322E+00,0.552450127294406120E+05,0.556225678695138049E+05,0.560001128949171907E+05,0.563762719794111908E+05,0.508309898317303214E+04
0.744342803955078125E-03,0.942659014011725560E+01,0.403956651687622070E+00,0.377311459000000013E+03,0.559992385880000002E+05,0.701687514781951904E+00,0.846902310848236084E+00,0.552450599406108086E+05,0.556211315898593020E+05,0.559999851409441835E+05,0.563756068888502778E+05,0.508314815727900441E+04
0.293427705764770508E-02,0.135745548418857879E+03,0.181234598159790039E+00,0.377311459000000013E+03,0.559992385880000002E+05,0.892919063568115234E+00,0.772506475448608398E+00,0.552439315392121498E+05,0.556224764048750949E+05,0.559995717287308580E+05,0.563761514051752747E+05,0.508314862170651577E+04
0.150684714317321777E-01,0.219671456309288624E+05,0.818925261497497559E+00,0.377311459000000013E+03,0.559992385880000002E+05,0.291201293468475342E+00,0.629859745502471924E+00,0.552451017184600059E+05,0.556219226113255572E+05,0.559995515574461824E+05,0.563764724912243546E+05,0.508315202670510462E+04
0.753641128540039062E-03,0.104006394524653381E+02,0.595377564430236816E+00,0.377311459000000013E+03,0.559992385880000002E+05,0.360594391822814941E-01,0.736924767494201660E+00,0.552447155037268822E+05,0.556222560509141040E+05,0.559989303521162874E+05,0.563760651294785202E+05,0.508316335534678001E+04
0.123023986816406250E-02,0.199409040793969871E+05,0.892915725708007812E-01,0.377311459000000013E+03,0.559992385880000002E+05,0.826197683811187744E+00,0.473432660102844238E+00,0.552440128525838081E+05,0.556210379444058490E+05,0.559987218286044008E+05,0.563757215671139420E+05,0.508317603715794303E+04
0.403013825416564941E+00,0.521131776564205065E+06,0.191071712970733643E+01,0.377311459000000013E+03,0.559992385880000002E+05,0.964288115501403809E+00,0.401815414428710938E+00,0.552442166622027580E+05,0.556227584738429141E+05,0.560000836997277147E+05,0.563764468416767777E+05,0.508318721670380910E+04
0.236817300319671631E+00,0.607728224859625215E+02,0.171022891998291016E+01,0.377311459000000013E+03,0.559992385880000002E+05,0.647330224514007568E+00,0.263704240322113037E+00,0.552454473886832420E+05,0.556226025272305560E+05,0.559990576324707872E+05,0.563770585068064393E+05,0.508318721670380910E+04
0.291382193565368652E+00,0.935741480781640625E+06,0.131233167648315430E+01,0.377311459000000013E+03,0.559992385880000002E+05,0.379828333854675293E+00,0.660254538059234619E+00,0.552437685885771934E+05,0.556215259256060672E+05,0.559987549901253587E+05,0.563758487262325943E+05,0.508318721670380910E+04
0.155262231826782227E+00,0.177957535007605543E+02,0.168350648880004883E+01,0.377311459000000013E+03,0.559992385880000002E+05,0.130174517631530762E+00,0.236066401004791260E+00,0.552453470797881309E+05,0.556222590313847613E+05,0.559997924400812990E+05,0.563764586383896531E+05,0.508318721670380910E+04
0.627745032310485840E+00,0.142489102983965975E+06,0.199776721000671387E+01,0.377311459000000013E+03,0.559992385880000002E+05,0.847816765308380127E+00,0.291136801242828369E+00,0.552441773599728767E+05,0.556225991880591464E+05,0.559983141656166918E+05,0.563766417793827713E+05,0.508318721670380910E+04
0.328681826591491699E+00,0.104939874920721422E+04,0.191167509555816650E+01,0.377311459000000013E+03,0.559992385880000002E+05,0.716269016265869141E+00,0.519173562526702881E+00,0.552446863074645225E+05,0.556224237694438052E+05,0.559985247906691438E+05,0.563756305448609055E+05,0.508318721670380910E+04
0.755575835704803467E+00,0.574622786701226942E+05,0.182130169868469238E+01,0.377311459000000013E+03,0.559992385880000002E+05,0.777861177921295166E+00,0.152466654777526855E+00,0.552437404811724846E+05,0.556211253399546695E+05,0.560000996982104189E+05,0.563761539293127717E+05,0.508318721670380910E+04
0.792710185050964355E-01,0.112932487547213984E+02,0.158560168743133545E+01,0.377311459000000013E+03,0.559992385880000002E+05,0.281606733798980713E+00,0.304685175418853760E+00,0.552439099660262291E+05,0.556216295121605945E+05,0.559992457349545366E+05,0.563766918700533570E+05,0.508318721670380910E+04
0.528424561023712158E+00,0.396015585599051905E+06,0.186810350418090820E+01,0.377311459000000013E+03,0.559992385880000002E+05,0.253151476383209229E+00,0.470719337463378906E+00,0.552440769602402870E+05,0.556225224737818789E+05,0.559999918685204393E+05,0.563768527779179276E+05,0.508318721670380910E+04
0.446219921112060547E+00,0.103818058405507818E+05,0.189466023445129395E+01,0.377311459000000013E+03,0.559992385880000002E+05,0.997887372970581055E+00,0.746808350086212158E+00,0.552447550100430672E+05,0.556217862274344516E+05,0.559999971624857790E+05,0.563757797649698914E+05,0.508318721670380910E+04
0.731022715568542480E+00,0.101757142382744381E+01,0.198248958587646484E+01,0.377311459000000013E+03,0.559992385880000002E+05,0.403184771537780762E+00,0.716306984424591064E+00,0.552450289099559013E+05,0.556228194480832171E+05,0.559996353091246492E+05,0.563772168798046769E+05,0.508318721670380910E+04
0.310045719146728516E+00,0.336793836267359792E+01,0.183477222919464111E+01,0.377311459000000013E+03,0.559992385880000002E+05,0.685541629791259766E-01,0.831907033920288086E+00,0.552439806763276283E+05,0.556227430815394473E+05,0.559993703279740221E+05,0.563758121112185181E+05,0.508318721670380910E+04
0.242226183414459229E+00,0.768622934262284434E+04,0.134276211261749268E+01,0.377311459000000013E+03,0.559992385880000002E+05,0.698585987091064453E+00,0.147953689098358154E+00,0.552437614419802849E+05,0.556224607485230517E+05,0.559993182115799791E+05,0.563767669233875931E+05,0.508318721670380910E+04
0.872696042060852051E-01,0.681883705982733446E+01,0.188317775726318359E+01,0.377311459000000013E+03,0.559992385880000002E+05,0.947834849357604980E+00,0.995030403137207031E-01,0.552451004830941383E+05,0.556210756467278552E+05,0.559985036005026705E+05,0.563763153580027283E+05,0.508318721670380910E+04
0.463979780673980713E+00,0.270350368399203435E+05,0.153538942337036133E+01,0.377311459000000013E+03,0.559992385880000002E+05,0.636867880821228027E+00,0.864483535289764404E+00,0.552455942097052757E+05,0.556220343801673007E+05,0.559993962342984087E+05,0.563770023409920395E+05,0.508318721670380910E+04
0.371713757514953613E+00,0.212905786752303655E+06,0.139101028442382813E+01,0.377311459000000013E+03,0.559992385880000002E+05,0.543513953685760498E+00,0.884131431579589844E+00,0.552441926832541649E+05,0.556226000709231448E+05,0.559992757393366701E+05,0.563773363462286652E+05,0.508318721670380910E+04
0.215629339218139648E-01,0.321489463024912103E+01,0.107739031314849854E+01,0.377311459000000013E+03,0.559992385880000002E+05,0.722246289253234863E+00,0.115986287593841553E+00,0.552444475581988518E+05,0.556220949320490909E+05,0.559992967244631654E+05,0.563760721555548371E+05,0.508318721670380910E+04
0.402366995811462402E+00,0.249438357845355284E+03,0.166396176815032959E+01,0.377311459000000013E+03,0.559992385880000002E+05,0.732805192470550537E+00,0.324300348758697510E+00,0.552448236056908790E+05,0.556212517237361026E+05,0.559989711767680055E+05,0.563766990062790574E+05,0.508318721670380910E+04
0.110374331474304199E+00,0.508997563002648967E+05,0.195987665653228760E+01,0.377311459000000013E+03,0.559992385880000002E+05,0.658955514430999756E+00,0.685429573059082031E+00,0.552444728227004234E+05,0.556209536904986453E+05,0.559986763988978273E+05,0.563771747848587693E+05,0.508318721670380910E+04
0.221371948719024658E+00,0.139678001224387590E+05,0.144841635227203369E+01,0.377311459000000013E+03,0.559992385880000002E+05,0.161734044551849365E+00,0.484434366226196289E-01,0.552451149043187324E+05,0.556217151056225848E+05,0.559991414667612917E+05,0.563775025087195099E+05,0.508318721670380910E+04
0.330313265323638916E+00,0.469293495940903449E+04,0.141323399543762207E+01,0.377311459000000013E+03,0.559992385880000002E+05,0.560692071914672852E+00,0.780476331710815430E-01,0.552443395262107078E+05,0.556209457735713077E+05,0.559993200611121065E+05,0.563757262174683274E+05,0.508318721670380910E+04
0.554563462734222412E+00,0.213427655320420919E+06,0.177287185192108154E+01,0.377311459000000013E+03,0.559992385880000002E+05,0.586926400661468506E+00,0.390921771526336670E+00,0.552444013749703590E+05,0.556228397613461566E+05,0.559995871316439516E+05,0.563766666405993165E+05,0.508318721670380910E+04
0.638479590415954590E+00,0.264637006716695282E+03,0.169132316112518311E+01,0.377311459000000013E+03,0.559992385880000002E+05,0.715818524360656738E+00,0.994204819202423096E+00,0.552439863376959984E+05,0.556216835263665271E+05,0.559995732831007845E+05,0.563759161796169938E+05,0.508318721670380910E+04
0.625693798065185547E-02,0.191943830346102804E+05,0.136791861057281494E+01,0.377311459000000013E+03,0.559992385880000002E+05,0.174789428710937500E+00,0.131234943866729736E+00,0.552454542219981377E+05,0.556222923814948153E+05,0.559983925197369463E+05,0.563765067910748185E+05,0.508318721670380910E+04
0.360087394714355469E+00,0.217170670048595866E+02,0.174384391307830811E+01,0.377311459000000013E+03,0.559992385880000002E+05,0.536705255508422852E+00,0.477421998977661133E+00,0.552443418770178978E+05,0.556214993853266787E+05,0.559996656075961000E+05,0.563764827578859986E+05,0.508318721670380910E+04
0.165409207344055176E+00,0.637960916235457560E+02,0.173442518711090088E+01,0.377311459000000013E+03,0.559992385880000002E+05,0.323939263820648193E+00,0.719472229480743408E+00,0.552443014641150658E+05,0.556212730049784732E+05,0.560000442985541231E+05,0.563761922540264786E+05,0.508318721670380910E+04
0.255725443363189697E+00,0.633037953224304850E+01,0.143539953231811523E+01,0.377311459000000013E+03,0.559992385880000002E+05,0.410742938518524170E+00,0.524059295654296875E+00,0.552452280639752571E+05,0.556210788645442080E+05,0.559993829610592729E+05,0.563757718102532090E+05,0.508318721670380910E+04
0.269813835620880127E+00,0.595342548185379565E+05,0.132748222351074219E+01,0.377311459000000013E+03,0.559992385880000002E+05,0.869199633598327637E+00,0.403929293155670166E+00,0.552448695255860512E+05,0.556217635787423205E+05,0.559995608600623018E+05,0.563760082591372193E+05,0.508318721670380910E+04
0.193042099475860596E+00,0.706684233167634517E+02,0.126306390762329102E+01,0.377311459000000013E+03,0.559992385880000002E+05,0.101871073246002197E+00,0.833210945129394531E+00,0.552447501076802437E+05,0.556227522017653537E+05,0.559991973285920030E+05,0.563768345114784897E+05,0.508318721670380910E+04
0.225122809410095215E+00,0.872750913774320725E+04,0.162608873844146729E+01,0.377311459000000013E+03,0.559992385880000002E+05,0.125328838825225830E+00,0.194727718830108643E+00,0.552442644244775001E+05,0.556219031929667544E+05,0.559994639103657610E+05,0.563763456337052048E+05,0.508318721670380910E+04
0.288939177989959717E+00,0.110072035607952166E+05,0.196276164054870605E+01,0.377311459000000013E+03,0.559992385880000002E+05,0.239775776863098145E+00,0.452610969543457031E+00,0.552450485277518455E+05,0.556214520823653293E+05,0.559986336215979463E+05,0.563773281281786622E+05,0.508318721670380910E+04
0.472426533699035645E+00,0.306699993693051631E+02,0.182348644733428955E+01,0.377311459000000013E+03,0.559992385880000002E+05,0.602401494979858398E+00,0.399048864841461182E+00,0.552454273547276680E+05,0.556217765336926532E+05,0.559997458874232179E+05,0.563761192701655091E+05,0.508318721670380910E+04
0.671131074428558350E+00,0.465326844149277531E+04,0.178528177738189697E+01,0.377311459000000013E+03,0.559992385880000002E+05,0.413290321826934814E+00,0.976310312747955322E+00,0.552448378184184257E+05,0.556212277213032794E+05,0.559985088289029009E+05,0.563769027918177308E+05,0.508318721670380910E+04
0.390860557556152344E+00,0.191520592240376922E+06,0.142701005935668945E+01,0.377311459000000013E+03,0.559992385880000002E+05,0.803955197334289551E-01,0.892920672893524170E+00,0.552455941508158867E+05,0.556216107290680957E+05,0.559996058191306001E+05,0.563762039460735978E+05,0.508318721670380910E+04
