seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_likelihood
0.180393338203430176E+00,0.364739059616307277E+05,0.114721238613128662E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.908574700355529785E+00,0.221253752708435059E+00,0.550212156510128771E+05,0.561565671398519407E+05,0.276217405555483174E+04
0.721617698669433594E+00,0.332953763539006613E+05,0.170021796226501465E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.696812331676483154E+00,0.549023449420928955E+00,0.550199391270651613E+05,0.561564595245002638E+05,0.276698915449960214E+04
0.597374379634857178E+00,0.290121613962630306E+03,0.159336352348327637E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.191717505455017090E+00,0.886067330837249756E+00,0.550194921501650606E+05,0.561559984981893431E+05,0.276705983930508091E+04
0.671744346618652344E-02,0.329513918760257002E+04,0.340245008468627930E+00,0.946783760000000001E+02,0.555885432359999977E+05,0.931961596012115479E+00,0.930603742599487305E+00,0.550214304734244142E+05,0.561566010665773283E+05,0.276740638020499455E+04
0.575941801071166992E-02,0.121135817998702419E+04,0.191790580749511719E+00,0.946783760000000001E+02,0.555885432359999977E+05,0.306028962135314941E+00,0.467873156070709229E+00,0.550200081274285112E+05,0.561573393021701704E+05,0.276807741638301468E+04
0.900948703289031982E+00,0.863587282586383331E+01,0.189329254627227783E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.782844662666320801E+00,0.405829131603240967E+00,0.550213856390490328E+05,0.561568576196311842E+05,0.276833474168883777E+04
0.560153007507324219E+00,0.138042210975676455E+06,0.154577445983886719E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.954201638698577881E+00,0.588635146617889404E+00,0.550207477286829744E+05,0.561559569263337980E+05,0.276846377939918330E+04
0.515126407146453857E+00,0.120674350818725657E+04,0.151148831844329834E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.542941987514495850E+00,0.793950676918029785E+00,0.550200846475138460E+05,0.561567139419196974E+05,0.276861402106781998E+04
0.105831623077392578E-01,0.456566012872223917E+06,0.488827109336853027E+00,0.946783760000000001E+02,0.555885432359999977E+05,0.547870397567749023E+00,0.551863908767700195E-01,0.550208828151001726E+05,0.561571038147090803E+05,0.276869406711004876E+04
0.173445343971252441E-01,0.134745816463796632E+04,0.100556147098541260E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.779235422611236572E+00,0.440749228000640869E+00,0.550203048338665758E+05,0.561572449743627440E+05,0.276871875351176368E+04
0.769824564456939697E+00,0.151418437895145216E+05,0.176824963092803955E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.423148930072784424E+00,0.888526678085327148E+00,0.550214547353758608E+05,0.561562384598134886E+05,0.276873509164672669E+04
0.377053499221801758E+00,0.107807545759453365E+06,0.137313544750213623E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.318871498107910156E+00,0.432470321655273438E+00,0.550213799280895983E+05,0.561572303830264937E+05,0.276876472136182247E+04
0.828146934509277344E-03,0.771275709348473715E+01,0.207765221595764160E+00,0.946783760000000001E+02,0.555885432359999977E+05,0.914953172206878662E+00,0.141005754470825195E+00,0.550210852497591768E+05,0.561564932361720930E+05,0.276877372375564619E+04
0.481222987174987793E+00,0.226953686997417719E+03,0.147990036010742188E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.789922654628753662E+00,0.119181632995605469E+00,0.550200569464936052E+05,0.561570265266775023E+05,0.276882833727972775E+04
0.777184963226318359E-03,0.298544915950952818E+05,0.228585004806518555E-01,0.946783760000000001E+02,0.555885432359999977E+05,0.664506018161773682E+00,0.418634951114654541E+00,0.550198578576817308E+05,0.561570001689075361E+05,0.276883466286765497E+04
0.350347697734832764E+00,0.191572906930016416E+02,0.135004413127899170E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.390803396701812744E+00,0.599218904972076416E+00,0.550204152326359545E+05,0.561559668668388258E+05,0.276883955349228017E+04
0.605944693088531494E+00,0.531813827938322265E+04,0.160456347465515137E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.453705549240112305E+00,0.383670210838317871E+00,0.550197652790322099E+05,0.561573173622964750E+05,0.276884125514570314E+04
0.372030735015869141E-01,0.132321758759118355E+06,0.103322565555572510E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.205591619014739990E+00,0.677669882774353027E+00,0.550198537641539369E+05,0.561572312406181227E+05,0.276884219539906144E+04
0.176145851612091064E+00,0.469289889102492054E+03,0.120306956768035889E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.666906416416168213E+00,0.337532162666320801E-01,0.550202091443314348E+05,0.561557852907060515E+05,0.276884398900680117E+04
0.568899989128112793E+00,0.369441680271129080E+05,0.184953880310058594E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.356663823127746582E+00,0.754781365394592285E+00,0.550207255564703737E+05,0.561566233613370787E+05,0.276884398900680117E+04
0.352716565132141113E+00,0.233363821646326032E+05,0.169291841983795166E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.188663959503173828E+00,0.585023164749145508E+00,0.550198920157923494E+05,0.561558640586017500E+05,0.276884398900680117E+04
0.172474384307861328E-01,0.136787348986913844E+04,0.171551322937011719E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.399745285511016846E+00,0.418067097663879395E+00,0.550201834052576814E+05,0.561565345990537535E+05,0.276884398900680117E+04
0.344443917274475098E+00,0.853188856705616308E+04,0.137842261791229248E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.178995251655578613E+00,0.305926859378814697E+00,0.550199677015318666E+05,0.561569212132572065E+05,0.276884398900680117E+04
0.375050008296966553E+00,0.171977678861560719E+03,0.178603434562683105E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.266160726547241211E+00,0.627595007419586182E+00,0.550199363677277361E+05,0.561571610613941084E+05,0.276884398900680117E+04
0.993642807006835938E-01,0.417035224709795216E+03,0.167300152778625488E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.169701218605041504E+00,0.680152118206024170E+00,0.550205685735716615E+05,0.561575761504053007E+05,0.276884398900680117E+04
0.318591773509979248E+00,0.258609660364822709E+02,0.161259377002716064E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.895201921463012695E+00,0.911039412021636963E+00,0.550197739978804384E+05,0.561568538946985136E+05,0.276884398900680117E+04
0.471674799919128418E+00,0.274515005435902334E+06,0.163290512561798096E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.121809840202331543E+00,0.650044798851013184E+00,0.550201275409235750E+05,0.561562354884027372E+05,0.276884398900680117E+04
0.216697335243225098E+00,0.716362851717846496E+02,0.198538768291473389E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.643264830112457275E+00,0.479312241077423096E+00,0.550202766508831774E+05,0.561572698550104033E+05,0.276884398900680117E+04
0.373918235301971436E+00,0.326420820466102577E+04,0.180961048603057861E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.539992392063140869E+00,0.833877980709075928E+00,0.550208116731419359E+05,0.561568694757102858E+05,0.276884398900680117E+04
0.158630013465881348E-01,0.139053155024581372E+03,0.137721228599548340E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.858835101127624512E+00,0.256131350994110107E+00,0.550210244682802950E+05,0.561561115831016432E+05,0.276884398900680117E+04
0.844490528106689453E-01,0.428964992463231056E+03,0.147407138347625732E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.396895885467529297E+00,0.777321934700012207E+00,0.550211120751871858E+05,0.561562603267310988E+05,0.276884398900680117E+04
0.165433406829833984E+00,0.611014493171886386E+02,0.171032774448394775E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.501913487911224365E+00,0.465548813343048096E+00,0.550203942582382952E+05,0.561558354474185835E+05,0.276884398900680117E+04
0.524097144603729248E+00,0.929952823748409173E+04,0.166008031368255615E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.236459136009216309E+00,0.674314737319946289E+00,0.550196197204365526E+05,0.561564891199945341E+05,0.276884398900680117E+04
0.211194336414337158E+00,0.260597405185704731E+06,0.141134583950042725E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.611017704010009766E+00,0.473502039909362793E+00,0.550199554384722505E+05,0.561557350389837156E+05,0.276884398900680117E+04
0.854387462139129639E+00,0.157721535656817498E+02,0.191517102718353271E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.908394098281860352E+00,0.531230449676513672E+00,0.550210083621516023E+05,0.561568495030282866E+05,0.276884398900680117E+04
0.345506072044372559E+00,0.594908838625405636E+02,0.146783673763275146E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.835805833339691162E+00,0.739196538925170898E-01,0.550197949898018633E+05,0.561571849082588087E+05,0.276884398900680117E+04
0.473077595233917236E+00,0.749563500431470689E+06,0.194635403156280518E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.164875745773315430E+00,0.847933351993560791E+00,0.550197689052595888E+05,0.561572122752546202E+05,0.276884398900680117E+04
0.241191506385803223E+00,0.641986290627706467E+03,0.162920045852661133E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.206043124198913574E-01,0.209856212139129639E+00,0.550203061717524324E+05,0.561565422798274885E+05,0.276884398900680117E+04
0.135920286178588867E+00,0.145784605869046047E+01,0.131514048576354980E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.233135879039764404E+00,0.144793689250946045E+00,0.550210652813687120E+05,0.561563924958585631E+05,0.276884398900680117E+04
0.214091122150421143E+00,0.110896221513526561E+05,0.127523756027221680E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.244359672069549561E+00,0.339916348457336426E+00,0.550204685415997301E+05,0.561574083427070509E+05,0.276884398900680117E+04
0.108233690261840820E-01,0.167386547037148326E+01,0.174805521965026855E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.248090505599975586E+00,0.210928916931152344E-01,0.550204040968193804E+05,0.561570672834991346E+05,0.276884398900680117E+04
0.187893629074096680E+00,0.102103884047682652E+04,0.125494801998138428E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.987851619720458984E-01,0.509178280830383301E+00,0.550207056486382280E+05,0.561562456910489927E+05,0.276884398900680117E+04
0.152041494846343994E+00,0.130022264332680720E+03,0.180929374694824219E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.110395252704620361E+00,0.264832794666290283E+00,0.550195925900711809E+05,0.561571917234538923E+05,0.276884398900680117E+04
0.622793316841125488E+00,0.191896787002827186E+06,0.188532376289367676E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.904503941535949707E+00,0.403494298458099365E+00,0.550211419875397478E+05,0.561571722044824492E+05,0.276884398900680117E+04
0.869518518447875977E-02,0.652417324682812421E+02,0.111769568920135498E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.476762592792510986E+00,0.418811619281768799E+00,0.550201393239273821E+05,0.561561525869249235E+05,0.276884398900680117E+04
0.551337182521820068E+00,0.145785366181648151E+05,0.182561981678009033E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.187930703163146973E+00,0.203967809677124023E+00,0.550206895484699999E+05,0.561575799409030806E+05,0.276884398900680117E+04
0.651706576347351074E+00,0.835765980010717840E+03,0.198049247264862061E+01,0.946783760000000001E+02,0.555885432359999977E+05,0.572871267795562744E+00,0.961905419826507568E+00,0.550206356615795885E+05,0.561566318347333799E+05,0.276884398900680117E+04
