seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_tau5,seg0_likelihood
0.682148157640301123E+00,0.182289916066044433E+01,0.167382314230348417E+01,0.209965042000000011E+03,0.557048629159999982E+05,0.872489148276854087E+00,0.153126968625053816E+00,0.550758095750367429E+05,0.552844027803778008E+05,0.554948036510238380E+05,0.557052603346772448E+05,0.559140163260728077E+05,0.563348010884158575E+05,0.182279209384095775E+05
0.553581354077532395E+00,0.960803419597915287E+01,0.154705586503278791E+01,0.209965042000000011E+03,0.557048629159999982E+05,0.719476664975559399E+00,0.809652420391059224E+00,0.550748647316757415E+05,0.552841676689072701E+05,0.554948989312763661E+05,0.557048717702726353E+05,0.559148714688912878E+05,0.563347035896726011E+05,0.182281957494943854E+05
0.788070916314802423E-02,0.597144154734544918E+04,0.542842936945462373E+00,0.209965042000000011E+03,0.557048629159999982E+05,0.283540749047755392E+00,0.464996380656042985E+00,0.550759187549340932E+05,0.552841450713645536E+05,0.554948167021956833E+05,0.557050685026740102E+05,0.559148146560919631E+05,0.563347456338312550E+05,0.182283687724940428E+05
0.602959956701631852E-02,0.584324397879604476E+03,0.688771037313218093E+00,0.209965042000000011E+03,0.557048629159999982E+05,0.492273676523245340E-02,0.617871658010229696E+00,0.550745817423793633E+05,0.552842566612088922E+05,0.554948836797358090E+05,0.557051975798863859E+05,0.559139016715578255E+05,0.563348271761124706E+05,0.182289716241168426E+05
0.871752149306591950E+00,0.413176539857250162E+02,0.186499020615995725E+01,0.209965042000000011E+03,0.557048629159999982E+05,0.551869217117685551E+00,0.330214034850529248E+00,0.550744270612096880E+05,0.552842056999603592E+05,0.554948496290403855E+05,0.557056035975555133E+05,0.559144250836502761E+05,0.563347841120251178E+05,0.182294879817100336E+05
0.681882880091687175E-02,0.821671554423771158E+04,0.477879036609222096E+00,0.209965042000000011E+03,0.557048629159999982E+05,0.356916541462716286E+00,0.568880782973218091E+00,0.550743783113084501E+05,0.552842442283764467E+05,0.554948754180480901E+05,0.557050676138358031E+05,0.559149448305508704E+05,0.563354788401921905E+05,0.182295971662933443E+05
0.156969009594441294E+00,0.400796083042847151E+01,0.114969844240486618E+01,0.209965042000000011E+03,0.557048629159999982E+05,0.490049716110744105E+00,0.167723186480105563E+00,0.550757945939179481E+05,0.552842333352669739E+05,0.554948771474822715E+05,0.557049064861732331E+05,0.559140088168401999E+05,0.563354433893314999E+05,0.182296330777344083E+05
0.726833530749698351E-02,0.710281400820831004E+04,0.621514995418834468E-01,0.209965042000000011E+03,0.557048629159999982E+05,0.597676613699531512E+00,0.173185923098612360E+00,0.550752040814298743E+05,0.552841748979775948E+05,0.554948513618939396E+05,0.557052101342069000E+05,0.559140189655689246E+05,0.563352329460053297E+05,0.182311255108327896E+05
0.594181577878848729E-02,0.977002620068878628E+03,0.601449314446681038E+00,0.209965042000000011E+03,0.557048629159999982E+05,0.325369772423548864E+00,0.644266468910075663E+00,0.550744232925808319E+05,0.552841601657334249E+05,0.554948844368708087E+05,0.557053494227406991E+05,0.559142147295122559E+05,0.563347520687927754E+05,0.182311984160026004E+05
0.111955168352603121E+00,0.456437935934095496E+01,0.110270242517600625E+01,0.209965042000000011E+03,0.557048629159999982E+05,0.587833878679425492E+00,0.161335173105267765E+00,0.550744870324332951E+05,0.552842431733905032E+05,0.554948884309180212E+05,0.557052804960683716E+05,0.559139981223967698E+05,0.563340195466489604E+05,0.182312600584940337E+05
0.493526817782513672E+00,0.269618588089396276E+02,0.148363151354770650E+01,0.209965042000000011E+03,0.557048629159999982E+05,0.784468099521419493E+00,0.710597271153531884E+00,0.550744580121366816E+05,0.552841506566056123E+05,0.554949085117406721E+05,0.557048452771858792E+05,0.559148268696770319E+05,0.563349479291437310E+05,0.182316018960190668E+05
0.338853461314423898E+00,0.202701832542970486E+02,0.132556465529138978E+01,0.209965042000000011E+03,0.557048629159999982E+05,0.946440300123969958E+00,0.625075848208276108E+00,0.550744579438143628E+05,0.552843478692484568E+05,0.554949587881895204E+05,0.557052900008179276E+05,0.559148864732271395E+05,0.563348069687030293E+05,0.182319151731292586E+05
0.283943913593287522E+00,0.238307139778837218E+02,0.127847238851076184E+01,0.209965042000000011E+03,0.557048629159999982E+05,0.115581206954917873E+00,0.124635342185170223E+00,0.550743326830766746E+05,0.552842579075911199E+05,0.554948325568329092E+05,0.557044182099283571E+05,0.559147981011196316E+05,0.563347785153684817E+05,0.182320503923335928E+05
0.128080860906511357E-01,0.227365959418819301E+03,0.983571013157340857E+00,0.209965042000000011E+03,0.557048629159999982E+05,0.674463402560198100E+00,0.841910745286539752E+00,0.550744680485899371E+05,0.552842667555245935E+05,0.554949190765104286E+05,0.557051731449021099E+05,0.559139890348525587E+05,0.563347129265494586E+05,0.182321144783465752E+05
0.851899715503931509E-02,0.950016595103352847E+04,0.125423203477127796E-01,0.209965042000000011E+03,0.557048629159999982E+05,0.394636034893088919E-01,0.754404129072391183E+00,0.550743791288009670E+05,0.552844310564628395E+05,0.554948777556609566E+05,0.557050733510485006E+05,0.559148726928377146E+05,0.563346973873601964E+05,0.182321401726752047E+05
0.354317261744752143E+00,0.567086557994493887E+03,0.134264889247853758E+01,0.209965042000000011E+03,0.557048629159999982E+05,0.749649098276099046E+00,0.773245012941486953E+00,0.550758363110288919E+05,0.552843214853720783E+05,0.554949225060186873E+05,0.557052331227376708E+05,0.559148547800045199E+05,0.563347806697852502E+05,0.182321406018286907E+05
0.158132206111058736E-01,0.349661092983576438E+01,0.100384122855229729E+01,0.209965042000000011E+03,0.557048629159999982E+05,0.510198911628932938E+00,0.438033881803445657E+00,0.550757321273820926E+05,0.552842086965833587E+05,0.554947589589854470E+05,0.557052076919348910E+05,0.559140558720294721E+05,0.563347842876210707E+05,0.182322433447645635E+05
0.145791863732740973E+00,0.239571969034108223E+01,0.113938928304671117E+01,0.209965042000000011E+03,0.557048629159999982E+05,0.417159514777315832E+00,0.484001894460794835E+00,0.550752750762917567E+05,0.552843403150770318E+05,0.554948571356298562E+05,0.557052349398222941E+05,0.559140600163785493E+05,0.563347163951559487E+05,0.182322440409020419E+05
0.573328795308275518E+00,0.112228496637623074E+02,0.156690890023644913E+01,0.209965042000000011E+03,0.557048629159999982E+05,0.515722955416690887E+00,0.142192830702223244E+00,0.550757069329882506E+05,0.552841851564733734E+05,0.554949044324542047E+05,0.557057698771283976E+05,0.559148055813805113E+05,0.563347328137083532E+05,0.182324354126238068E+05
0.600184752134675259E+00,0.201011783499087251E+02,0.159462037636568432E+01,0.209965042000000011E+03,0.557048629159999982E+05,0.338765303350698321E+00,0.768858362379289395E+00,0.550745149827223358E+05,0.552842948610312014E+05,0.554948905522540736E+05,0.557053407218185021E+05,0.559148109121224552E+05,0.563342342242984741E+05,0.182325413552052742E+05
0.765839049897669044E+00,0.633970637581720187E+01,0.175979191262942569E+01,0.209965042000000011E+03,0.557048629159999982E+05,0.387435591366471821E+00,0.132985014530840814E-02,0.550744095471142718E+05,0.552840693144918769E+05,0.554948987433163566E+05,0.557051128145968178E+05,0.559142788000162618E+05,0.563347476179655569E+05,0.182327981356733690E+05
0.866126761150235770E-02,0.339832145966509779E+05,0.479862570926750776E+00,0.209965042000000011E+03,0.557048629159999982E+05,0.711203919839099724E-01,0.265149171126051797E+00,0.550744499437447812E+05,0.552843248912274066E+05,0.554949294355906968E+05,0.557049960029748254E+05,0.559148252116079748E+05,0.563354743623848699E+05,0.182328059421583857E+05
0.955567378467418044E-02,0.541790382520109915E+03,0.890566147214745363E+00,0.209965042000000011E+03,0.557048629159999982E+05,0.370296671007821099E+00,0.209163018982322452E+00,0.550752056953309148E+05,0.552843089873889694E+05,0.554948725231243006E+05,0.557050783452491087E+05,0.559142803874889360E+05,0.563347338514618823E+05,0.182328139206572778E+05
0.887226140831050628E-02,0.337621286622158223E+05,0.121988281742779134E-01,0.209965042000000011E+03,0.557048629159999982E+05,0.599286268535335509E+00,0.209756539598851127E+00,0.550744440926528623E+05,0.552846068679448508E+05,0.554948609260502926E+05,0.557051909887117727E+05,0.559139918982978488E+05,0.563347557028895098E+05,0.182328184391942195E+05
0.540360823635773098E-02,0.101782965896146322E+04,0.770872426706701308E-01,0.209965042000000011E+03,0.557048629159999982E+05,0.909310343335377080E+00,0.704839262493745178E+00,0.550757585675651644E+05,0.552843284351828261E+05,0.554948457070325385E+05,0.557051381432799317E+05,0.559139910040735849E+05,0.563347977089483829E+05,0.182329623164309342E+05
0.759522793826399728E-02,0.360043878585818732E+03,0.933856690055424044E+00,0.209965042000000011E+03,0.557048629159999982E+05,0.220582661419367915E+00,0.159479264941947058E+00,0.550745185437157706E+05,0.552843284720836673E+05,0.554948789237685778E+05,0.557050470298720902E+05,0.559141129474776026E+05,0.563347568141569282E+05,0.182329971146281423E+05
0.846026771037823935E-02,0.208623537092247389E+05,0.111926281990976165E+00,0.209965042000000011E+03,0.557048629159999982E+05,0.610801258466690089E+00,0.477971194820208944E+00,0.550744534082098544E+05,0.552839797305330940E+05,0.554948736141445406E+05,0.557052609257206641E+05,0.559147711964361952E+05,0.563347292239423477E+05,0.182330022179457992E+05
0.184348749600421080E+00,0.282352912055399798E+02,0.117775071560681499E+01,0.209965042000000011E+03,0.557048629159999982E+05,0.150881488986121692E+00,0.307855735212173243E+00,0.550757438581587776E+05,0.552845214332436517E+05,0.554948574454519621E+05,0.557051914573544200E+05,0.559148132958279311E+05,0.563347822452684923E+05,0.182330300914272957E+05
0.874719342993487102E-02,0.611574422250450766E+03,0.798911377023607039E+00,0.209965042000000011E+03,0.557048629159999982E+05,0.779303485072694091E+00,0.590277298790968019E+00,0.550758026020749894E+05,0.552841316383448211E+05,0.554947874970731791E+05,0.557051843800547867E+05,0.559138322345084161E+05,0.563347703206319638E+05,0.182330386602601466E+05
0.772094541473045348E+00,0.149049613220106973E+02,0.176511394236582797E+01,0.209965042000000011E+03,0.557048629159999982E+05,0.715812754915823746E+00,0.499883891057806506E+00,0.550744605972540885E+05,0.552845074590785007E+05,0.554948719077195346E+05,0.557050339657960067E+05,0.559148624192078496E+05,0.563348341228487989E+05,0.182330650900445071E+05
0.352401811370044560E+00,0.557804320712613162E+02,0.134253031406730972E+01,0.209965042000000011E+03,0.557048629159999982E+05,0.642225210899130095E+00,0.159481695332622103E+00,0.550757269598709026E+05,0.552842290642909938E+05,0.554948140922781240E+05,0.557052117719607850E+05,0.559148603635911713E+05,0.563348730806315943E+05,0.182330701001508969E+05
0.749515864204960969E+00,0.760405179292105959E+01,0.174497181080558805E+01,0.209965042000000011E+03,0.557048629159999982E+05,0.838734237492003987E-01,0.488646548887803622E+00,0.550757841757352217E+05,0.552842100020395883E+05,0.554949122115325081E+05,0.557051100560852719E+05,0.559138394243693983E+05,0.563348285423125490E+05,0.182331939232880322E+05
0.602789799568119369E-02,0.791418189988803442E+04,0.580657602855750021E-01,0.209965042000000011E+03,0.557048629159999982E+05,0.663147080406877754E+00,0.615472304229615630E+00,0.550752264441326333E+05,0.552842004163155725E+05,0.554948422886229455E+05,0.557050112079602914E+05,0.559147612785102465E+05,0.563347928058872567E+05,0.182332907673234622E+05
0.704463914161999272E+00,0.556532862021462993E+01,0.169810879311577900E+01,0.209965042000000011E+03,0.557048629159999982E+05,0.705876997442953735E+00,0.274798382780970685E+00,0.550745664593386828E+05,0.552841779717845347E+05,0.554949118673101038E+05,0.557052547655174931E+05,0.559140334609762067E+05,0.563348266102615526E+05,0.182333154585838238E+05
0.300393180694746076E+00,0.167545193893297695E+01,0.129457308135335092E+01,0.209965042000000011E+03,0.557048629159999982E+05,0.493001492702130117E+00,0.954125592857136717E+00,0.550744353613153435E+05,0.552840982336645320E+05,0.554949339865967340E+05,0.557052422977968381E+05,0.559143226127009693E+05,0.563347604878474303E+05,0.182333248733532964E+05
0.215939645423414532E-01,0.803466739917990509E+02,0.999014900464307853E+00,0.209965042000000011E+03,0.557048629159999982E+05,0.693410895305010211E+00,0.575263838177681341E+00,0.550744627887915121E+05,0.552842197590683718E+05,0.554948765105549683E+05,0.557049509529855568E+05,0.559141032941376907E+05,0.563347635135003729E+05,0.182333573721729372E+05
0.313959048991862555E+00,0.952867850228737012E+01,0.130800283771951609E+01,0.209965042000000011E+03,0.557048629159999982E+05,0.470839632641944283E+00,0.650762050889766464E+00,0.550758660673869599E+05,0.552842224886309486E+05,0.554948794475884060E+05,0.557052672560676147E+05,0.559148469562167302E+05,0.563352376166360918E+05,0.182333863057799717E+05
