seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_likelihood
0.562010572151574583E-02,0.292657731116463502E+02,0.409719970856291138E+00,0.322549373000000003E+03,0.551009237999999968E+05,0.871949134570588646E+00,0.712704217733260537E+00,0.551013671036041487E+05,0.554242368758494704E+05,0.513788004570935027E+04
0.618995007194889178E-02,0.276738450715129325E+02,0.435422957703432034E+00,0.322549373000000003E+03,0.551009237999999968E+05,0.792176971381083200E-01,0.583090838624289565E+00,0.551012414828521287E+05,0.554243402689950381E+05,0.513798924044546857E+04
0.562451556494146434E-02,0.408122091164532019E+01,0.666355065568695504E+00,0.322549373000000003E+03,0.551009237999999968E+05,0.510198732004085498E+00,0.796746758107654968E-01,0.551016350670811080E+05,0.554243276107590573E+05,0.513852050456974212E+04
0.809301583762340841E-02,0.577905282247485275E+01,0.711137207955639616E+00,0.322549373000000003E+03,0.551009237999999968E+05,0.650207152398830424E+00,0.297065798889658006E+00,0.551012506976039585E+05,0.554243749662647460E+05,0.513927739884683069E+04
0.521597101567009697E-02,0.142062087750745718E+02,0.217697501319980335E+00,0.322549373000000003E+03,0.551009237999999968E+05,0.925279027879842397E+00,0.755382223397524588E+00,0.551018188139650883E+05,0.554244488509623770E+05,0.513936871017397061E+04
0.618198935137323404E-02,0.104499265791603726E+02,0.130696373626232650E-01,0.322549373000000003E+03,0.551009237999999968E+05,0.331026880337503104E+00,0.113094082330109300E+00,0.551015495035261119E+05,0.554241514126645343E+05,0.513938159451865977E+04
0.613470268019796795E-02,0.378589787653308321E+02,0.773196068315995383E-01,0.322549373000000003E+03,0.551009237999999968E+05,0.793588409628460778E+00,0.235108434532656507E+00,0.551012254390616363E+05,0.554244365721311042E+05,0.513944598465098989E+04
0.535811390043801784E-02,0.174867630537003222E+02,0.449086035593626198E+00,0.322549373000000003E+03,0.551009237999999968E+05,0.467561762987654395E+00,0.220428137197884289E+00,0.551013471975093344E+05,0.554244390821637498E+05,0.514005531798326410E+04
0.663637845072995863E-02,0.757459547814267697E+01,0.820063459715106302E+00,0.322549373000000003E+03,0.551009237999999968E+05,0.286362396523183071E+00,0.172037447552034276E-01,0.551013021262521725E+05,0.554243726209343440E+05,0.514006810687469806E+04
0.508114414636403472E-02,0.204292085104051466E+02,0.930700619434910725E-01,0.322549373000000003E+03,0.551009237999999968E+05,0.306781328997821789E+00,0.819747994812459746E+00,0.551017385037385102E+05,0.554243218257076223E+05,0.514009394208315189E+04
0.712725819684781933E-02,0.146310716140006942E+02,0.591564234845519232E+00,0.322549373000000003E+03,0.551009237999999968E+05,0.780580295750618380E+00,0.859960548203274056E+00,0.551015397497903905E+05,0.554243279780414159E+05,0.514031406406989936E+04
