seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_tau5,seg0_tau6,seg0_likelihood
0.613066073209153559E-01,0.293343489647814204E+04,0.886059485957146453E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.774263886295389336E+00,0.296698277635321417E+00,0.551250479220143243E+05,0.553271678782628296E+05,0.555292839711316410E+05,0.557314026022499020E+05,0.559335191040501522E+05,0.561356374436302576E+05,0.563377527184635692E+05,0.776407560512896089E+04
0.553453039163267838E-01,0.319886540793278300E+04,0.906557271969826273E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.595164463514194636E-01,0.673440903403860314E+00,0.551250493991592739E+05,0.553271648261138253E+05,0.555292847683825239E+05,0.557314054385743366E+05,0.559335138598424892E+05,0.561356335423890123E+05,0.563377550416596496E+05,0.776463836025045930E+04
0.540636763621239400E-01,0.240943610861474963E+04,0.923432282777936320E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.548582105756782457E-01,0.511279342220709920E+00,0.551250486560922000E+05,0.553271652641750406E+05,0.555292832705092005E+05,0.557313954836408011E+05,0.559335158877429349E+05,0.561356379204416153E+05,0.563377618944994101E+05,0.776510999914797321E+04
0.555736838722175816E-01,0.252743772861105435E+04,0.914342432249567127E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.132621719559283119E+00,0.619822070180107931E+00,0.551250466880620079E+05,0.553271693565573296E+05,0.555292823642853036E+05,0.557313962052158167E+05,0.559335122505217660E+05,0.561356380679530484E+05,0.563377555201975483E+05,0.776572433086048477E+04
0.576437158172097425E-01,0.239112510585971177E+04,0.908636026553504839E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.393844006823875603E+00,0.191625801071127783E+00,0.551250476339835077E+05,0.553271686132931936E+05,0.555292790453163543E+05,0.557314017779544156E+05,0.559335119168876408E+05,0.561356376486440131E+05,0.563377543157661712E+05,0.776590409352946881E+04
0.619721753154821448E-01,0.319812521872534762E+04,0.888696107831737248E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.596841594737789527E+00,0.580458384745647704E+00,0.551250534175214780E+05,0.553271626955420652E+05,0.555292828703307023E+05,0.557313972321713809E+05,0.559335165357733276E+05,0.561356360651859504E+05,0.563377562068983243E+05,0.776591653670434971E+04
0.579136310694405715E-01,0.344945274700823938E+04,0.885897576290106237E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.421117132450513187E+00,0.526489623725614364E+00,0.551250481842938898E+05,0.553271646637793747E+05,0.555292843303916234E+05,0.557314023677297009E+05,0.559335169398678336E+05,0.561356437698103182E+05,0.563377576116296405E+05,0.776603407359977791E+04
0.571630556401628853E-01,0.360749587559508700E+04,0.896805519643295468E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.228932943639804265E+00,0.611198027913051223E+00,0.551250504952017218E+05,0.553271677944644398E+05,0.555292869097197254E+05,0.557313984110043311E+05,0.559335140232920530E+05,0.561356363238494087E+05,0.563377538793015337E+05,0.776625650890574798E+04
0.558360327489074437E-01,0.293319258640453654E+04,0.899942679695791115E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.302912327316361862E+00,0.146072041237928302E+00,0.551250442766407941E+05,0.553271662003481615E+05,0.555292896519409769E+05,0.557313991123533488E+05,0.559335163336945916E+05,0.561356389495644617E+05,0.563377563463024926E+05,0.776628644285872360E+04
0.558658554612167860E-01,0.265531117163201679E+04,0.912744410467418055E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.158329980901654899E+00,0.593148451910170738E+00,0.551250544459527810E+05,0.553271709518724019E+05,0.555292808323526842E+05,0.557314029869094084E+05,0.559335197698432676E+05,0.561356360595830556E+05,0.563377552058012370E+05,0.776639475815762489E+04
0.568031596829053909E-01,0.388452639874360239E+04,0.875483803215684531E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.539123978526270919E+00,0.248702821363316728E+00,0.551250501981234993E+05,0.553271711760170219E+05,0.555292841108316934E+05,0.557313980956120286E+05,0.559335186169689332E+05,0.561356369472290753E+05,0.563377521885216775E+05,0.776665184386787041E+04
0.561883298660790648E-01,0.266391498007213113E+04,0.905996864204499985E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.362079957023110077E+00,0.170670947853034174E-01,0.551250444724961926E+05,0.553271715057336478E+05,0.555292867140082453E+05,0.557314020637025751E+05,0.559335164890370288E+05,0.561356344118897396E+05,0.563377518557818839E+05,0.776687760230230015E+04
0.555838005563175017E-01,0.239798080927934825E+04,0.924987377084515616E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.637560303471920720E-01,0.618603494606618343E+00,0.551250553973275964E+05,0.553271632112974694E+05,0.555292841636653466E+05,0.557314006925988069E+05,0.559335173039101137E+05,0.561356352286738620E+05,0.563377567472873634E+05,0.776697489668163507E+04
0.597195447678055408E-01,0.406342543252569658E+04,0.854018445581676833E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.963329611052210599E+00,0.410409798261248515E+00,0.551250501435637780E+05,0.553271654690141004E+05,0.555292816623044928E+05,0.557314030255846301E+05,0.559335143155163169E+05,0.561356378779803053E+05,0.563377584152083000E+05,0.776714470394645286E+04
0.579711297140580589E-01,0.300086285843401129E+04,0.884011761327598289E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.818651150463155841E+00,0.144393675470740807E+00,0.551250506949121191E+05,0.553271659190372375E+05,0.555292883420770886E+05,0.557314021959469319E+05,0.559335152736365999E+05,0.561356327400665105E+05,0.563377594210616517E+05,0.776717761104430065E+04
0.612112514447769526E-01,0.326546821716356362E+04,0.894382995123963020E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.445141317531162373E+00,0.688575295704602852E+00,0.551250538899096282E+05,0.553271656824303645E+05,0.555292830778505595E+05,0.557313955077960709E+05,0.559335190310543549E+05,0.561356364490633277E+05,0.563377550077802662E+05,0.776719816104585698E+04
0.555327018007771497E-01,0.195949651069101060E+04,0.929229132447755513E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.785580075788244458E-01,0.921202320229813743E+00,0.551250496172389539E+05,0.553271666349330044E+05,0.555292836150910225E+05,0.557313996325350672E+05,0.559335213462567190E+05,0.561356349165672436E+05,0.563377503832915390E+05,0.776720488956201007E+04
0.584093907791025657E-01,0.261742597563067875E+04,0.901236492223610242E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.385814343742329147E+00,0.521536849130527225E+00,0.551250528955564077E+05,0.553271658166339330E+05,0.555292820500868838E+05,0.557314028422746342E+05,0.559335160008612002E+05,0.561356349093768149E+05,0.563377587378300450E+05,0.776723277415902339E+04
0.614052192305656677E-01,0.284783527722611007E+04,0.902803713951690012E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.481097293466963949E+00,0.514910081440651979E+00,0.551250446901623000E+05,0.553271653771845231E+05,0.555292833458487657E+05,0.557314006555899759E+05,0.559335168707200501E+05,0.561356361263786530E+05,0.563377508965268207E+05,0.776730973568058653E+04
0.565805958554486330E-01,0.517102158879335548E+04,0.838411786873227038E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.739318378828915379E+00,0.225457071081973326E+00,0.551250491286541364E+05,0.553271662422269001E+05,0.555292852818254541E+05,0.557314020441632092E+05,0.559335143333735759E+05,0.561356371557798338E+05,0.563377575490303934E+05,0.776732400302701717E+04
0.596771609307581857E-01,0.484250170593135499E+04,0.853466099790539334E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.630895257499372031E+00,0.610582031876047204E+00,0.551250483086741224E+05,0.553271658840560267E+05,0.555292866482849568E+05,0.557313995384393347E+05,0.559335150270661907E+05,0.561356352466908575E+05,0.563377571664083298E+05,0.776733994547572911E+04
0.580147999184381230E-01,0.454908002093724735E+04,0.870880166481608819E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.385243298081123287E+00,0.689151928801084890E+00,0.551250486304117730E+05,0.553271667516019661E+05,0.555292853450866533E+05,0.557314011426437792E+05,0.559335159690725559E+05,0.561356333678672599E+05,0.563377598594773517E+05,0.776737508487595915E+04
0.610953632915714889E-01,0.304620681315622551E+04,0.899533582926604680E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.380201690637914147E+00,0.791278893077121959E+00,0.551250540822270268E+05,0.553271655436407891E+05,0.555292803923114698E+05,0.557314047602601786E+05,0.559335153588907997E+05,0.561356314375516959E+05,0.563377542758384152E+05,0.776742874156793914E+04
0.547424767985929955E-01,0.285808450768285320E+04,0.913102359188774804E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.734250880980451409E-01,0.858175059201086388E+00,0.551250504499283270E+05,0.553271630439481305E+05,0.555292817523813865E+05,0.557313987018186526E+05,0.559335204461720787E+05,0.561356363680882278E+05,0.563377537040888274E+05,0.776749482438024097E+04
0.561802011892869463E-01,0.337475778681739848E+04,0.869538039750922698E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.790876651727880797E+00,0.192437972214426246E-01,0.551250520954739113E+05,0.553271664916826849E+05,0.555292832637086467E+05,0.557314008676025551E+05,0.559335172096335227E+05,0.561356391896087516E+05,0.563377513219082030E+05,0.776755361604461177E+04
0.562595446706098332E-01,0.407562765001194384E+04,0.869756902360887207E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.554700726200587413E+00,0.161382942094042914E+00,0.551250487291890095E+05,0.553271639992241689E+05,0.555292802122608773E+05,0.557313996827864248E+05,0.559335169819889998E+05,0.561356393253214555E+05,0.563377538045496112E+05,0.776755740055512433E+04
0.562214391282909037E-01,0.358382265039753065E+04,0.866154104265806635E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.906341827343786210E+00,0.812396709080063784E-01,0.551250476664634189E+05,0.553271695909910413E+05,0.555292804826241045E+05,0.557314021234523098E+05,0.559335168937097114E+05,0.561356310806173351E+05,0.563377566073419948E+05,0.776766494946012608E+04
0.543955562510079205E-01,0.253485690960203692E+04,0.914315563169830536E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.101286551681237652E+00,0.194610580222418922E+00,0.551250505688034100E+05,0.553271646499890267E+05,0.555292892733434564E+05,0.557314033643932489E+05,0.559335218039301762E+05,0.561356371183286392E+05,0.563377536388098888E+05,0.776768372736298625E+04
0.604855104373827196E-01,0.281739993088822212E+04,0.895390581609140535E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.649778250445351091E+00,0.401978444583826200E+00,0.551250485326647977E+05,0.553271680712864982E+05,0.555292900170377907E+05,0.557314030935815972E+05,0.559335166748336196E+05,0.561356384653005298E+05,0.563377528875129647E+05,0.776777318302362073E+04
0.556182196854100794E-01,0.264848486551382439E+04,0.914909622694447311E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.947586677315579301E-01,0.714965483794530621E+00,0.551250537766029956E+05,0.553271683457739782E+05,0.555292798694892044E+05,0.557313986338001705E+05,0.559335149313303191E+05,0.561356392077196942E+05,0.563377579897694377E+05,0.776781233608647744E+04
0.546302560065779000E-01,0.265827678544755327E+04,0.910358985819845201E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.146478855210571135E+00,0.394971329743599997E+00,0.551250467955093845E+05,0.553271648666805922E+05,0.555292882409770245E+05,0.557313992067162471E+05,0.559335185951086314E+05,0.561356337787018347E+05,0.563377565176168864E+05,0.776799300931624748E+04
0.570966077385552384E-01,0.336468275607997748E+04,0.870476790633638808E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.856703626204863733E+00,0.100179427654247102E+00,0.551250460687017621E+05,0.553271670524926303E+05,0.555292871442136748E+05,0.557313988217171209E+05,0.559335142637301396E+05,0.561356341801528906E+05,0.563377534951739581E+05,0.776804968799285962E+04
0.541193670852604045E-01,0.310314076396858900E+04,0.906961015506881019E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.280922034537638664E-01,0.652602365202883061E+00,0.551250455565344091E+05,0.553271666413506027E+05,0.555292837334366923E+05,0.557313981908335772E+05,0.559335157392204637E+05,0.561356339603419983E+05,0.563377566446152487E+05,0.776813684617544641E+04
0.638295753933777604E-01,0.353003250750534517E+04,0.881003469306711695E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.538351292478169041E+00,0.959718095243237923E+00,0.551250480152066593E+05,0.553271685009561406E+05,0.555292832513697722E+05,0.557314025557870118E+05,0.559335189891363552E+05,0.561356368310299295E+05,0.563377495033643791E+05,0.776815346116051114E+04
0.586384959240090625E-01,0.394178438113131006E+04,0.876797918883113314E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.432175220093309886E+00,0.573255653542860344E+00,0.551250493679198335E+05,0.553271685403222873E+05,0.555292835948335633E+05,0.557314023497007438E+05,0.559335185419785485E+05,0.561356288347629452E+05,0.563377567468460693E+05,0.776819298116801110E+04
0.572241987366624016E-01,0.195755419789972143E+04,0.932510708191563786E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.968414497918922146E-01,0.998261222856866692E+00,0.551250433775508282E+05,0.553271660858781033E+05,0.555292862717526368E+05,0.557314018180696803E+05,0.559335141807764376E+05,0.561356342333354332E+05,0.563377568116095208E+05,0.776821181071292267E+04
0.544002521730212532E-01,0.232048529568143886E+04,0.923728495630464774E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.672013221479444423E-01,0.101016634839944056E-01,0.551250534481637733E+05,0.553271640352690447E+05,0.555292858433316433E+05,0.557314046240305615E+05,0.559335185621497149E+05,0.561356314337806689E+05,0.563377585511296420E+05,0.776824550724065011E+04
0.589583622568586735E-01,0.322932730240506862E+04,0.898276276907302496E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.369672137943921841E+00,0.660271212096389615E+00,0.551250533004154568E+05,0.553271678429699750E+05,0.555292846462653470E+05,0.557314038919466548E+05,0.559335188521734963E+05,0.561356318328933994E+05,0.563377545161220478E+05,0.776832125862191242E+04
0.599858875436360059E-01,0.352768041383522859E+04,0.887617382008498490E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.383184714691576167E+00,0.737111263365691660E+00,0.551250511963686804E+05,0.553271683581217803E+05,0.555292773960406048E+05,0.557314036167112572E+05,0.559335164712852929E+05,0.561356379977567485E+05,0.563377560852094321E+05,0.776832915172607682E+04
0.586023198854873084E-01,0.367968414882902835E+04,0.869289155348833331E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.860598110590124921E+00,0.265737856197820921E+00,0.551250466714927024E+05,0.553271648066081761E+05,0.555292865074541623E+05,0.557314012540955664E+05,0.559335170254749974E+05,0.561356326734969625E+05,0.563377593848128890E+05,0.776834294217768729E+04
0.560335177899252482E-01,0.288096720540788328E+04,0.907242183525384771E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.283241536994291332E+00,0.738630762000325319E-01,0.551250450829431720E+05,0.553271669664707515E+05,0.555292823506196000E+05,0.557314007993616979E+05,0.559335134389334853E+05,0.561356399545986642E+05,0.563377566022437677E+05,0.776843649071066102E+04
0.580898650621866838E-01,0.277744439165696940E+04,0.916091143509766836E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.170922443741270996E+00,0.979553372601718486E+00,0.551250505791172327E+05,0.553271648392404750E+05,0.555292862907967065E+05,0.557314046880081878E+05,0.559335188504618927E+05,0.561356406905629847E+05,0.563377552519884775E+05,0.776844942951939811E+04
0.602513481905140036E-01,0.239296820227198441E+04,0.917068718301286223E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.257018364887364459E+00,0.971415087839235358E+00,0.551250539166880189E+05,0.553271633442419261E+05,0.555292804330910876E+05,0.557314012178749690E+05,0.559335178463315169E+05,0.561356331132425621E+05,0.563377539904041550E+05,0.776846312966171536E+04
0.584763317373506106E-01,0.236897029608916773E+04,0.914309928243894010E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.242445622849509129E+00,0.708262391458402196E+00,0.551250439954916219E+05,0.553271672911388014E+05,0.555292820934153933E+05,0.557314036981876488E+05,0.559335169241324256E+05,0.561356367711681960E+05,0.563377510209155662E+05,0.776853867810042721E+04
0.645528152774920289E-01,0.283666503580189192E+04,0.902553152143763526E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.541228062979258073E+00,0.799749491754058961E+00,0.551250495707118607E+05,0.553271675512470392E+05,0.555292786833365317E+05,0.557314012585753007E+05,0.559335200077841655E+05,0.561356332958321582E+05,0.563377526669591098E+05,0.776856206730604754E+04
0.544357797099885715E-01,0.333384601062462616E+04,0.902727825472234624E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.104691688413866335E+00,0.179615311294522545E+00,0.551250495309228427E+05,0.553271651886528052E+05,0.555292826680890357E+05,0.557313974797288101E+05,0.559335167784920923E+05,0.561356320471259241E+05,0.563377580843593823E+05,0.776857511294417600E+04
0.570175658640188696E-01,0.277690114679968246E+04,0.910482900185648258E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.304643752727026595E+00,0.104761438926735284E+00,0.551250473427423203E+05,0.553271678895357691E+05,0.555292791169013872E+05,0.557314034400610763E+05,0.559335187347682950E+05,0.561356363570675385E+05,0.563377518802986888E+05,0.776864070799566434E+04
0.636892254017701470E-01,0.247052739687755047E+04,0.910299472998726600E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.561509582332393897E+00,0.617002293091817533E+00,0.551250487147220047E+05,0.553271670222254543E+05,0.555292880185020913E+05,0.557314018372325518E+05,0.559335197635671138E+05,0.561356370247374216E+05,0.563377529411467694E+05,0.776865708368647938E+04
0.580973661682512160E-01,0.316962490134492191E+04,0.894962370771449578E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.432910327477800450E+00,0.154852111540639242E+00,0.551250491807494327E+05,0.553271689939956923E+05,0.555292862677507219E+05,0.557314028033364011E+05,0.559335153376957314E+05,0.561356344792785821E+05,0.563377600700144831E+05,0.776868732080033806E+04
0.527474663061208923E-01,0.239973777981704916E+04,0.919807275143442737E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.907510732390586286E-02,0.453752931340593468E+00,0.551250515507175296E+05,0.553271690122466171E+05,0.555292841688529370E+05,0.557314033669455312E+05,0.559335159997389346E+05,0.561356388754300642E+05,0.563377495004122757E+05,0.776869746206122727E+04
0.555697075969041748E-01,0.408819198935945360E+04,0.854662347328579597E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.811665730101375216E+00,0.152296602383151600E-01,0.551250485795517307E+05,0.553271663674960000E+05,0.555292848891740505E+05,0.557313992791641576E+05,0.559335135485031133E+05,0.561356381816625071E+05,0.563377535564927166E+05,0.776869843266350290E+04
0.633972876823791498E-01,0.334351186872869312E+04,0.892657712513402979E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.452789044422827913E+00,0.947573109818525827E+00,0.551250512006599020E+05,0.553271678661862461E+05,0.555292807214895511E+05,0.557314070045205808E+05,0.559335208928952852E+05,0.561356365661027594E+05,0.563377584710864176E+05,0.776872823739842352E+04
0.563422114880508529E-01,0.205952703068835172E+04,0.930564227299101487E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.917008172357298423E-01,0.615804736407605691E+00,0.551250421217449912E+05,0.553271670775875755E+05,0.555292818712946028E+05,0.557313996781688475E+05,0.559335179430761491E+05,0.561356362310063778E+05,0.563377564554294295E+05,0.776874808306004525E+04
0.581398397175843101E-01,0.391523144274346123E+04,0.875940467791129329E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.422454057265049199E+00,0.586239882332590279E+00,0.551250468335387341E+05,0.553271706816503793E+05,0.555292840667710116E+05,0.557314055132133726E+05,0.559335196963631097E+05,0.561356349776187635E+05,0.563377524093118773E+05,0.776877710181424482E+04
0.563431821956945078E-01,0.484247026985198681E+04,0.845836221977745661E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.651332692087394527E+00,0.255838016611336816E+00,0.551250503528424088E+05,0.553271660562312172E+05,0.555292872535542992E+05,0.557314031109762582E+05,0.559335157158270522E+05,0.561356379836137057E+05,0.563377587693884343E+05,0.776878778723655341E+04
0.557796021622982627E-01,0.238844817811647590E+04,0.924695262634924409E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.890593069953429933E-01,0.339395559848825745E+00,0.551250492786714385E+05,0.553271711619561829E+05,0.555292882775403123E+05,0.557314022439910623E+05,0.559335160207628578E+05,0.561356347864070049E+05,0.563377567174389696E+05,0.776884681412010286E+04
0.532917477900774553E-01,0.316581870684115620E+04,0.902849972668480660E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.288256700149862287E-01,0.535627027211758477E+00,0.551250492786929244E+05,0.553271646792755491E+05,0.555292818215339430E+05,0.557314001763927008E+05,0.559335181622792443E+05,0.561356327268833411E+05,0.563377526924889753E+05,0.776884875511795326E+04
0.646944960917344436E-01,0.370797200727992549E+04,0.873403374621850248E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.664321767890755144E+00,0.787285943812574440E+00,0.551250467638511982E+05,0.553271666481429638E+05,0.555292865762668589E+05,0.557314028897693715E+05,0.559335180374757692E+05,0.561356386087582941E+05,0.563377570696926487E+05,0.776887337761717026E+04
0.556967418851480808E-01,0.180671553187740847E+04,0.934112332809939439E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.912985598864466813E-01,0.383895229286824180E+00,0.551250486914139037E+05,0.553271712090395158E+05,0.555292852653533046E+05,0.557314000426081329E+05,0.559335185013848532E+05,0.561356385768408727E+05,0.563377542870043253E+05,0.776889828463372942E+04
0.572382855046649763E-01,0.210486622292398488E+04,0.922419090857622415E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.274611863240926901E+00,0.218561070388992168E+00,0.551250497804654224E+05,0.553271705239732182E+05,0.555292819320606650E+05,0.557314002409425666E+05,0.559335184935997531E+05,0.561356411568625408E+05,0.563377587110670793E+05,0.776889994662459685E+04
0.549543354461747083E-01,0.213232654815744399E+04,0.927824579791481807E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.664154221004289030E-01,0.551793823138539308E+00,0.551250431409059747E+05,0.553271674874273303E+05,0.555292803261551089E+05,0.557313985844034178E+05,0.559335159818700413E+05,0.561356355178316371E+05,0.563377533327517667E+05,0.776894549743438802E+04
0.545765470032108443E-01,0.207665453946636489E+04,0.929038358716676838E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.222458045578252904E-01,0.203790444481514260E+00,0.551250508270333667E+05,0.553271677805039653E+05,0.555292811274531632E+05,0.557314023924499779E+05,0.559335145700293579E+05,0.561356303840255423E+05,0.563377562269217960E+05,0.776895111037272727E+04
0.530863147138133859E-01,0.192746785593120558E+04,0.930918643257491407E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.756831632919002534E-02,0.711298695364567801E+00,0.551250503008731976E+05,0.553271685699091540E+05,0.555292804010900945E+05,0.557314009371942011E+05,0.559335222040032240E+05,0.561356385260473980E+05,0.563377537708565651E+05,0.776895675807748739E+04
0.544768891110628192E-01,0.196060576552683938E+04,0.931411422399032407E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.163418616386846668E-01,0.895327748918371080E+00,0.551250447239104396E+05,0.553271655390641827E+05,0.555292858589039533E+05,0.557314042185013677E+05,0.559335133231678410E+05,0.561356360626950263E+05,0.563377531711712145E+05,0.776902055592189754E+04
0.549741416712331704E-01,0.254457834538979432E+04,0.913510158337822675E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.927255090460326198E-01,0.171079044224396987E+00,0.551250435459270302E+05,0.553271688731927861E+05,0.555292835925433756E+05,0.557314031823696714E+05,0.559335163716006282E+05,0.561356364727387117E+05,0.563377585863606801E+05,0.776902770363447235E+04
0.561096098785305100E-01,0.365185729598324451E+04,0.885324734154341542E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.307116462313520078E+00,0.164253860448056510E+00,0.551250494479055633E+05,0.553271659706140126E+05,0.555292836481504637E+05,0.557314007280598089E+05,0.559335221336636168E+05,0.561356375192110863E+05,0.563377562723999945E+05,0.776903290687453409E+04
0.572161604671185750E-01,0.198884541007473558E+04,0.922404021561116783E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.236237433977228767E+00,0.255725011826689108E+00,0.551250493708322247E+05,0.553271662746542206E+05,0.555292846637451876E+05,0.557313995553160494E+05,0.559335173325656942E+05,0.561356335290742209E+05,0.563377585237408493E+05,0.776906277147376386E+04
0.614516247929227516E-01,0.281730148426027381E+04,0.907266481879337783E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.341510325211460519E+00,0.984316034260749206E+00,0.551250470491754822E+05,0.553271651846313762E+05,0.555292852602888743E+05,0.557313989474080299E+05,0.559335212145621408E+05,0.561356413459161704E+05,0.563377564064014441E+05,0.776909959128806440E+04
0.544005264536193966E-01,0.248969747454436811E+04,0.919820406738001140E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.717881461616236283E-01,0.772371915693478406E+00,0.551250507366831880E+05,0.553271657457457841E+05,0.555292870191605980E+05,0.557314011928155596E+05,0.559335170044966944E+05,0.561356344734916929E+05,0.563377514153746306E+05,0.776912733848013704E+04
0.645221487472732863E-01,0.272417278678092453E+04,0.909687737418209075E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.447324830635072335E+00,0.981552112334470150E+00,0.551250504075233694E+05,0.553271652991153460E+05,0.555292827355730551E+05,0.557314044589199038E+05,0.559335198101750648E+05,0.561356396724091828E+05,0.563377583599377249E+05,0.776914807269929224E+04
0.614037206202520808E-01,0.221307193518085069E+04,0.919076770499615558E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.318279832108539662E+00,0.914747709952107413E+00,0.551250488135480628E+05,0.553271673754278454E+05,0.555292850481430651E+05,0.557313966980353798E+05,0.559335170038703873E+05,0.561356386120968018E+05,0.563377589732063279E+05,0.776918437291740884E+04
0.586643615296096599E-01,0.241197804577118632E+04,0.916557866589645664E+00,0.202117796999999996E+03,0.557314013110000014E+05,0.397367415242915301E+00,0.187400517729876342E+00,0.551250475135510787E+05,0.553271649353013490E+05,0.555292874243785845E+05,0.557314029241496828E+05,0.559335180062215368E+05,0.561356411141365024E+05,0.563377564025432948E+05,0.776918804458335762E+04
