seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_likelihood
0.367928746770632767E-01,0.622466707947223858E+04,0.282203072299483992E+00,0.284042300000000012E+03,0.556019358999999968E+05,0.464269370460350994E+00,0.712502012546060937E+00,0.550338490853462135E+05,0.553178635427607223E+05,0.556019580124132262E+05,0.558860628622160875E+05,0.528145917829219979E+04
0.427793821282123551E-01,0.219058938117844718E+04,0.739264931350436250E+00,0.284042300000000012E+03,0.556019358999999968E+05,0.934569604451905178E+00,0.144652876425386878E+00,0.550338530106763792E+05,0.553178558193717035E+05,0.556019572444720470E+05,0.558860682385623659E+05,0.528149899971783998E+04
0.376236293446674877E-01,0.753767995325801257E+04,0.135728394090437354E+00,0.284042300000000012E+03,0.556019358999999968E+05,0.759063818781654298E+00,0.594422023776071604E-01,0.550338600999396294E+05,0.553178581655981179E+05,0.556019563760468736E+05,0.558860721408641984E+05,0.528172974075009006E+04
0.470219101208959739E-01,0.965561845251122236E+03,0.865583696144610504E+00,0.284042300000000012E+03,0.556019358999999968E+05,0.681218705431348437E+00,0.469015512628555842E+00,0.550338522772660872E+05,0.553178469064740493E+05,0.556019469002304322E+05,0.558860614791937478E+05,0.528215355571500095E+04
0.392194288747346326E-01,0.356443147680009361E+04,0.569449643617682577E+00,0.284042300000000012E+03,0.556019358999999968E+05,0.814373350181523903E+00,0.486585414102058023E+00,0.550338546667389819E+05,0.553178602855951031E+05,0.556019543753093531E+05,0.558860616111379059E+05,0.528289416292871556E+04
0.434339436044388558E-01,0.217585824110761905E+04,0.753048941383185566E+00,0.284042300000000012E+03,0.556019358999999968E+05,0.405364295838645194E+00,0.702653419370170784E+00,0.550338400741705336E+05,0.553178601176140801E+05,0.556019528022758604E+05,0.558860685273460113E+05,0.528304033960649394E+04
0.431709141759768628E-01,0.924654142163270080E+03,0.883098000629136126E+00,0.284042300000000012E+03,0.556019358999999968E+05,0.190314960490238716E+00,0.665340555985112880E+00,0.550338511986132726E+05,0.553178591341919746E+05,0.556019481214169064E+05,0.558860573564501174E+05,0.528334475940885841E+04
0.439605490028638635E-01,0.158090672105429576E+04,0.789656028849189839E+00,0.284042300000000012E+03,0.556019358999999968E+05,0.562331420053623687E+00,0.646169783011392829E+00,0.550338543597239477E+05,0.553178529966043861E+05,0.556019582932906560E+05,0.558860676680885736E+05,0.528344228222690981E+04
0.390999620552718793E-01,0.498218951020103941E+04,0.498118841298418547E+00,0.284042300000000012E+03,0.556019358999999968E+05,0.682489894134807873E+00,0.594309556842663872E-01,0.550338552138312152E+05,0.553178499771427523E+05,0.556019523519150607E+05,0.558860623978199728E+05,0.528360817041658629E+04
0.391392956910298004E-01,0.345691335360245284E+04,0.580875113047699454E+00,0.284042300000000012E+03,0.556019358999999968E+05,0.879500003325568325E+00,0.531954524333791756E+00,0.550338562693063504E+05,0.553178521750928921E+05,0.556019509219386964E+05,0.558860680353975549E+05,0.528371040241762512E+04
0.427683008660308256E-01,0.142970946462454185E+04,0.819068637463827076E+00,0.284042300000000012E+03,0.556019358999999968E+05,0.586248669262855349E+00,0.176179730267336743E+00,0.550338475863573476E+05,0.553178649865817279E+05,0.556019533532987407E+05,0.558860580442547362E+05,0.528375762744171061E+04
0.396552835096525766E-01,0.362356482396785168E+04,0.630997593489287856E+00,0.284042300000000012E+03,0.556019358999999968E+05,0.977865764957555395E+00,0.198567171877318843E+00,0.550338465138863030E+05,0.553178570970868750E+05,0.556019465309549341E+05,0.558860665287930897E+05,0.528376882090989056E+04
0.418984902634170764E-01,0.216099834788856060E+04,0.728558469613348025E+00,0.284042300000000012E+03,0.556019358999999968E+05,0.594263419957162475E+00,0.580152369326085715E+00,0.550338426848296076E+05,0.553178611720057306E+05,0.556019582388509516E+05,0.558860665552806895E+05,0.528384446430650860E+04
