seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_tau5,seg0_tau6,seg0_likelihood
0.583165265575760414E-01,0.547413516445781511E+03,0.741372451161066093E+00,0.224797120000000007E+03,0.556494787599999981E+05,0.325965168320808407E+00,0.916589003169345634E-01,0.549750918684480057E+05,0.551998833125100355E+05,0.554246832774193390E+05,0.556494403640769742E+05,0.558741799419475137E+05,0.560989451706685213E+05,0.563238220671951713E+05,0.122767386893321509E+05
0.575432948520091386E-01,0.689472940603687789E+03,0.671809322756876437E+00,0.224797120000000007E+03,0.556494787599999981E+05,0.695057192522097744E+00,0.126344608815356835E+00,0.549750892778854250E+05,0.551998854551040276E+05,0.554246857102970098E+05,0.556494395713161575E+05,0.558741819742959851E+05,0.560989425133810873E+05,0.563238236845684514E+05,0.122772892345250948E+05
0.574823453659305053E-01,0.705398129843609468E+03,0.669459965395516554E+00,0.224797120000000007E+03,0.556494787599999981E+05,0.477877131764838370E+00,0.204898700315423926E+00,0.549750872488426903E+05,0.551998825094691420E+05,0.554246926792076265E+05,0.556494391864877980E+05,0.558741787783242471E+05,0.560989443800714362E+05,0.563238230474253141E+05,0.122775273334120448E+05
0.587178913412272352E-01,0.623093796894028173E+03,0.713153171768881489E+00,0.224797120000000007E+03,0.556494787599999981E+05,0.301994501535652937E+00,0.429359056042744935E+00,0.549750934802474148E+05,0.551998841723498772E+05,0.554246842599540105E+05,0.556494408139595398E+05,0.558741769662613951E+05,0.560989441895764976E+05,0.563238285475719094E+05,0.122777951044195997E+05
0.549645179226837047E-01,0.110898393527098960E+04,0.491981608263644399E+00,0.224797120000000007E+03,0.556494787599999981E+05,0.879170153899174744E+00,0.109107337496628723E+00,0.549750899433628874E+05,0.551998801514031584E+05,0.554246865021278645E+05,0.556494381917458304E+05,0.558741817588292834E+05,0.560989441002713793E+05,0.563238247314481632E+05,0.122778709800189681E+05
0.575767616686379616E-01,0.732350866683155800E+03,0.659554305499198468E+00,0.224797120000000007E+03,0.556494787599999981E+05,0.458830864319576426E+00,0.173011799470849909E+00,0.549750880756806146E+05,0.551998849310666992E+05,0.554246898930856332E+05,0.556494400172994501E+05,0.558741809349174800E+05,0.560989446637538495E+05,0.563238272209942952E+05,0.122782031336151249E+05
0.563589807586099764E-01,0.935534002928920017E+03,0.584235440562881014E+00,0.224797120000000007E+03,0.556494787599999981E+05,0.424905836134178538E+00,0.381522425119816155E+00,0.549750883557889465E+05,0.551998834057254717E+05,0.554246864632202050E+05,0.556494396556103966E+05,0.558741818940608136E+05,0.560989431345566845E+05,0.563238253099772264E+05,0.122782466433145419E+05
0.582298839297114290E-01,0.520952195973775360E+03,0.749230987350582578E+00,0.224797120000000007E+03,0.556494787599999981E+05,0.390924975802132035E+00,0.122283327183883295E-01,0.549750932986087428E+05,0.551998810592414666E+05,0.554246908722349617E+05,0.556494382695118838E+05,0.558741767089174828E+05,0.560989427340946204E+05,0.563238252792955100E+05,0.122782820454667381E+05
0.577669380442754829E-01,0.632784725179683505E+03,0.694457879926400401E+00,0.224797120000000007E+03,0.556494787599999981E+05,0.546940932420468595E+00,0.108018565328990193E+00,0.549750895531256028E+05,0.551998788227626210E+05,0.554246895141066707E+05,0.556494367470848229E+05,0.558741786631647192E+05,0.560989434100472645E+05,0.563238263421191004E+05,0.122783658446172358E+05
0.584429361916984219E-01,0.634655695172300511E+03,0.707796827681363649E+00,0.224797120000000007E+03,0.556494787599999981E+05,0.503824884984314547E+00,0.129636389417325082E+00,0.549750906756306795E+05,0.551998844727487885E+05,0.554246906473524068E+05,0.556494380940181945E+05,0.558741806258178185E+05,0.560989436483984318E+05,0.563238264088556243E+05,0.122783812227009712E+05
