seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_likelihood
0.815275967121124268E+00,0.127121974173057743E+04,0.180169451236724854E+01,0.273169054000000017E+03,0.556891822079999984E+05,0.950236022472381592E+00,0.898330330848693848E+00,0.551425608460918447E+05,0.554150454573332827E+05,0.559626508029965480E+05,0.562353675516796284E+05,0.482618220892324359E+03
0.484229922294616699E-01,0.318091389519921449E+04,0.999688863754272461E+00,0.273169054000000017E+03,0.556891822079999984E+05,0.641583621501922607E+00,0.436648130416870117E+00,0.551436862233892462E+05,0.554155599354207079E+05,0.559625447730092128E+05,0.562350189279270344E+05,0.482670085119702605E+03
0.971341073513031006E+00,0.656876226612974165E+03,0.158233177661895752E+01,0.273169054000000017E+03,0.556891822079999984E+05,0.573736488819122314E+00,0.879005372524261475E+00,0.551418472186342260E+05,0.554165839168726961E+05,0.559631786421803554E+05,0.562349870532703571E+05,0.482862056254242646E+03
0.245925784111022949E-01,0.268457367463462906E+05,0.634015440940856934E+00,0.273169054000000017E+03,0.556891822079999984E+05,0.987300336360931396E+00,0.864032328128814697E+00,0.551425807896867773E+05,0.554157827716767351E+05,0.559625793715981563E+05,0.562346137772751026E+05,0.482879079726734687E+03
0.444420337677001953E+00,0.846586915094265016E+06,0.142567574977874756E+01,0.273169054000000017E+03,0.556891822079999984E+05,0.313428044319152832E-01,0.293175697326660156E+00,0.551429162088647863E+05,0.554162987426220934E+05,0.559623519432810863E+05,0.562357264447164707E+05,0.483191603910344327E+03
0.281256437301635742E-02,0.118633847954033076E+02,0.694532394409179688E+00,0.273169054000000017E+03,0.556891822079999984E+05,0.990371704101562500E-01,0.451424539089202881E+00,0.551437287390247366E+05,0.554159454767405550E+05,0.559628594320086559E+05,0.562346185450506382E+05,0.483226215991947072E+03
0.295448303222656250E-02,0.706794226926964184E+05,0.613144993782043457E+00,0.273169054000000017E+03,0.556891822079999984E+05,0.514420807361602783E+00,0.470312118530273438E+00,0.551432754120842001E+05,0.554167100156247179E+05,0.559632107576397975E+05,0.562357333517027073E+05,0.483247643027810170E+03
0.788017630577087402E+00,0.204921746653263508E+05,0.165564227104187012E+01,0.273169054000000017E+03,0.556891822079999984E+05,0.774525642395019531E+00,0.822766244411468506E+00,0.551431417664304754E+05,0.554169329468905489E+05,0.559630281765727123E+05,0.562352848521423512E+05,0.483265880344157324E+03
0.399744212627410889E+00,0.519053194553355279E+05,0.137541723251342773E+01,0.273169054000000017E+03,0.556891822079999984E+05,0.787184417247772217E+00,0.464667081832885742E-01,0.551430142505184194E+05,0.554152284692227404E+05,0.559626240878371318E+05,0.562362853910875492E+05,0.483268012719886599E+03
0.321657657623291016E-01,0.178926709676528706E+01,0.103715062141418457E+00,0.273169054000000017E+03,0.556891822079999984E+05,0.621845722198486328E-01,0.378350734710693359E+00,0.551430109080091497E+05,0.554165828162133257E+05,0.559614765886334499E+05,0.562353822054815464E+05,0.483277311535107913E+03
