seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_likelihood
0.215378284454345703E+00,0.829580486819601447E+03,0.122441411018371582E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.950614273548126221E+00,0.628124535083770752E+00,0.551954126170591771E+05,0.554873191491925027E+05,0.557779595390767281E+05,0.560688102995015724E+05,0.563595706586345696E+05,0.969953511335038638E+04
0.102971553802490234E+00,0.185174671151989787E+05,0.122785258293151855E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.454541563987731934E+00,0.699150741100311279E+00,0.551955471628622472E+05,0.554866136036478783E+05,0.557785710438698952E+05,0.560691963454343422E+05,0.563598760551914238E+05,0.969953511335038638E+04
0.307441473007202148E+00,0.313174611728581309E+06,0.193572521209716797E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.786169648170471191E+00,0.137299895286560059E-01,0.551954210160688817E+05,0.554874596630894448E+05,0.557769491715640252E+05,0.560695418094255074E+05,0.563606241927846932E+05,0.969953511335038638E+04
0.234194099903106689E+00,0.148828580113122544E+01,0.151453554630279541E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.609226584434509277E+00,0.479274392127990723E+00,0.551953767118172109E+05,0.554865800325238015E+05,0.557781767206401055E+05,0.560694766733504875E+05,0.563596823939785027E+05,0.969953511335038638E+04
0.881503939628601074E+00,0.667269085356098913E+03,0.199204564094543457E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.378613650798797607E+00,0.867472708225250244E+00,0.551957983886913717E+05,0.554873394444548394E+05,0.557783656617612069E+05,0.560697870812274559E+05,0.563603624780878090E+05,0.969953511335038638E+04
0.804647743701934814E+00,0.119430512875661665E+01,0.184935045242309570E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.512459874153137207E-01,0.540174007415771484E+00,0.551947992641643941E+05,0.554863171340786721E+05,0.557781683981627648E+05,0.560692951093770607E+05,0.563608154314264320E+05,0.969953511335038638E+04
0.493558824062347412E+00,0.182751958374841159E+02,0.162570750713348389E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.703017890453338623E+00,0.335836529731750488E+00,0.551954149878935277E+05,0.554860687988364007E+05,0.557781563239306633E+05,0.560682789792873009E+05,0.563597116388782524E+05,0.969953511335038638E+04
0.442591309547424316E-01,0.801646677511368296E+06,0.138355362415313721E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.106988906860351562E+00,0.137138366699218750E-01,0.551952125632481038E+05,0.554868348808848168E+05,0.557782250292510216E+05,0.560687922916270836E+05,0.563608859058126473E+05,0.969953511335038638E+04
0.400569021701812744E+00,0.151225584842075361E+06,0.147169828414916992E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.938230037689208984E+00,0.691661655902862549E+00,0.551948579138235509E+05,0.554860230833851601E+05,0.557769303158730690E+05,0.560695148850537880E+05,0.563601025675043129E+05,0.969953511335038638E+04
0.365413546562194824E+00,0.137484559723003885E+01,0.137926018238067627E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.572289228439331055E+00,0.846245884895324707E+00,0.551947175688461721E+05,0.554861622624956872E+05,0.557770906820506279E+05,0.560683458436586006E+05,0.563606143660053276E+05,0.969953511335038638E+04
0.247274518013000488E+00,0.199425133737492833E+05,0.156266736984252930E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.953069567680358887E+00,0.562498092651367188E+00,0.551951369300798833E+05,0.554863387040459420E+05,0.557780530220479195E+05,0.560686097749330147E+05,0.563600470035776161E+05,0.969953511335038638E+04
0.945382177829742432E+00,0.175287877970607660E+06,0.194913101196289063E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.196631371974945068E+00,0.923425674438476562E+00,0.551960149939970433E+05,0.554858367453181054E+05,0.557779831860274498E+05,0.560684266221381768E+05,0.563611720226511025E+05,0.969953511335038638E+04
0.189795315265655518E+00,0.701546498465754098E+02,0.124005150794982910E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.309452712535858154E+00,0.582941889762878418E+00,0.551946446262316167E+05,0.554867914294564034E+05,0.557773003956288521E+05,0.560686001541473015E+05,0.563612605360254311E+05,0.969953511335038638E+04
0.447145879268646240E+00,0.808348902692272731E+02,0.199736976623535156E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.173788070678710938E+00,0.533400774002075195E+00,0.551945336563305318E+05,0.554863173108660485E+05,0.557773077039927666E+05,0.560689645612098320E+05,0.563609085888370537E+05,0.969953511335038638E+04
0.521053910255432129E+00,0.455966612752652409E+02,0.176908612251281738E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.923351168632507324E+00,0.922618567943572998E+00,0.551957813310341298E+05,0.554865491371714379E+05,0.557777562601775353E+05,0.560686036134816750E+05,0.563606598093017601E+05,0.969953511335038638E+04
0.184464395046234131E+00,0.197535536825262059E+01,0.156538403034210205E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.812140464782714844E+00,0.259981572628021240E+00,0.551962855289892614E+05,0.554858839707934167E+05,0.557786299833268349E+05,0.560687819753743752E+05,0.563601157322629952E+05,0.969953511335038638E+04
0.235484421253204346E+00,0.169291840430756963E+03,0.173996448516845703E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.566678643226623535E-01,0.713500678539276123E+00,0.551943334339575231E+05,0.554863192713820245E+05,0.557769199507445519E+05,0.560696051164723976E+05,0.563613155742391609E+05,0.969953511335038638E+04
0.157445430755615234E+00,0.374909708820245129E+02,0.199354135990142822E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.911252737045288086E+00,0.260163307189941406E+00,0.551961427610830724E+05,0.554865312139355447E+05,0.557777104042977517E+05,0.560682556733943566E+05,0.563613347900613808E+05,0.969953511335038638E+04
0.529953539371490479E+00,0.325339809319218039E+06,0.181895685195922852E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.607944667339324951E+00,0.132773756980895996E+00,0.551961100636438787E+05,0.554873204991184975E+05,0.557772082152575676E+05,0.560695184159137352E+05,0.563610306289896034E+05,0.969953511335038638E+04
0.452932894229888916E+00,0.125864007915960747E+04,0.177917194366455078E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.836946785449981689E+00,0.703909635543823242E+00,0.551959813158230245E+05,0.554868223568760659E+05,0.557777296587437813E+05,0.560689553402520760E+05,0.563604356293186211E+05,0.969953511335038638E+04
