seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_likelihood
0.526876670745244469E+00,0.578006124488160609E+02,0.146669059968297133E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.884214690878307841E+00,0.520223505923567697E+00,0.553157877451671375E+05,0.698451613354593746E+03
0.887200130402753917E+00,0.338511963712430699E+02,0.185710885909799872E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.190236198042967840E-01,0.487920156347830869E+00,0.553158255008674969E+05,0.698835702635316011E+03
0.938495616142049460E+00,0.262567677984908094E+02,0.190832583018742841E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.320466635066122621E-01,0.687638053391349313E+00,0.553158196260083423E+05,0.699283135543982098E+03
0.542536480460158677E+00,0.477244910730532084E+02,0.150038220442865167E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.273237102983848512E+00,0.852715565848100376E+00,0.553158268051547930E+05,0.699630643703570513E+03
0.427183929188085440E-01,0.107943817894879430E+04,0.575738792263214783E+00,0.941777069999999981E+02,0.553158280010000017E+05,0.623892293676191589E+00,0.553531246757286044E+00,0.553157950502978492E+05,0.699798465759765122E+03
0.233134017485071260E+00,0.395032578778971697E+02,0.116688438603642575E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.935294508889846443E+00,0.277406719192964668E+00,0.553158044050675599E+05,0.699865526983899144E+03
0.402350398434749776E-01,0.138925806785316558E+04,0.413107744218849382E+00,0.941777069999999981E+02,0.553158280010000017E+05,0.596268434009439630E+00,0.569617413423554875E+00,0.553157985925219546E+05,0.699897350898843342E+03
0.888242540009334558E+00,0.139535015163611149E+03,0.183816792533407969E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.597479090911742006E+00,0.536446784280202649E+00,0.553158127871999604E+05,0.700048625971930960E+03
0.824691519514515692E+00,0.142478900049621075E+03,0.176351140551917540E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.956797077993055689E+00,0.209404653029784615E+00,0.553157957373464233E+05,0.700191980612444468E+03
0.713426881347369313E+00,0.271909114828553804E+02,0.167829551380995490E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.103997250666055446E+00,0.927205383410844131E+00,0.553158188029202865E+05,0.700319869594998181E+03
0.499780903053239411E+00,0.827032810670511367E+02,0.144021373349687098E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.550971454550375661E+00,0.841374559313815551E+00,0.553158277274314896E+05,0.700400125766663905E+03
0.493035513469893480E-01,0.131997531902093147E+04,0.749558546586878149E+00,0.941777069999999981E+02,0.553158280010000017E+05,0.927907556246537313E+00,0.327190771146828929E+00,0.553158115304557068E+05,0.700561265750679695E+03
0.470200262743855457E+00,0.903475031730542923E+02,0.141004104929127472E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.595476142625779303E+00,0.913192057814033453E+00,0.553158266988460309E+05,0.700665729587987016E+03
0.397486994143500874E-01,0.397833889743272721E+04,0.666085356879883711E-01,0.941777069999999981E+02,0.553158280010000017E+05,0.944026227050109190E+00,0.221366205229300006E+00,0.553158082315860083E+05,0.700734257375181869E+03
0.417260955693455407E-01,0.120366875956679382E+04,0.606401217005853921E+00,0.941777069999999981E+02,0.553158280010000017E+05,0.872449325985694357E+00,0.590441180639033947E+00,0.553158260223987454E+05,0.700764118906741260E+03
0.160768378778250370E+00,0.656715515896693347E+02,0.106886391400301850E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.763525920933633917E+00,0.699686067232090814E+00,0.553158174459821021E+05,0.700764243976133912E+03
0.409868920491584035E-01,0.189784979676834905E+04,0.455329116008219015E+00,0.941777069999999981E+02,0.553158280010000017E+05,0.536060604679242325E+00,0.570325770219025419E+00,0.553158169830670668E+05,0.700885024086443309E+03
0.935371643577155409E+00,0.199362456598779630E+03,0.187308908782362282E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.705818334736286301E+00,0.741303307390252852E+00,0.553158177530105022E+05,0.700905632745439107E+03
0.684584843872226512E+00,0.444075491063591983E+02,0.164776125039246035E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.107921873233981034E-01,0.962567362503653490E+00,0.553157884198490283E+05,0.700977395641703879E+03
0.205611761543700727E+00,0.352715938515773715E+02,0.115704712620276462E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.271173152139580542E+00,0.226472802241336368E+00,0.553158030132617350E+05,0.701086116593116913E+03
0.137591180018575232E+00,0.517979223556580521E+02,0.104066474534326514E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.710973552056520908E+00,0.957813201384076773E+00,0.553157942593387052E+05,0.701089220587093678E+03
0.382375183536237284E+00,0.233012606585412421E+02,0.134161558455439045E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.103252653880670744E+00,0.649736307948762359E+00,0.553157847545974582E+05,0.701280566042944656E+03
0.380178804794066086E-01,0.200411505328161434E+04,0.216441041576449396E-01,0.941777069999999981E+02,0.553158280010000017E+05,0.784189744621879292E+00,0.545877910558978607E+00,0.553158017371327587E+05,0.701355894563105494E+03
0.530683477381472923E+00,0.470792436245871428E+02,0.148685881407754406E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.192999837520619361E+00,0.172626035886748908E+00,0.553157849705570843E+05,0.701362079463096734E+03
0.415663692419590142E-01,0.328676995950522269E+04,0.295691794023968724E+00,0.941777069999999981E+02,0.553158280010000017E+05,0.348550438208269586E+00,0.308472351564676672E+00,0.553158168607349944E+05,0.701380311997523222E+03
0.399736403906140070E+00,0.521106625198749995E+02,0.134524727807840350E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.389079295014284676E+00,0.899721612843041862E+00,0.553157844761244996E+05,0.701456855857129995E+03
0.422538166614327748E+00,0.524759720875314386E+02,0.136047901504914015E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.612351730453391419E+00,0.802530041982162379E+00,0.553157831487824587E+05,0.701458033443611839E+03
0.743205453064230359E+00,0.471415885390771763E+02,0.168490670327296121E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.871260017454414726E+00,0.209189904488985029E+00,0.553158059103090563E+05,0.701540974353532420E+03
0.414919153578830469E+00,0.670873988344228991E+02,0.134498386269912396E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.663544831712470473E+00,0.922778634056423575E+00,0.553158214911384785E+05,0.701588485618019604E+03
0.585949146529276210E+00,0.336775185889461284E+02,0.153886689892967166E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.511691118973519155E+00,0.719901446843307702E+00,0.553158102571768104E+05,0.701635146778105309E+03
0.123429428547706874E+00,0.408149819782447665E+02,0.104448006515766045E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.722593356792954888E+00,0.146147451166109499E+00,0.553157859282091740E+05,0.701647074766747437E+03
0.761369528253804884E+00,0.725353767006147478E+02,0.172657874270182687E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.481885163301224578E-01,0.119373915418760676E+00,0.553158097610599580E+05,0.701667102660985620E+03
0.696252346080347251E+00,0.883252709533885394E+02,0.164417581235223786E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.530479324695318000E+00,0.572292971329929956E+00,0.553157892534579369E+05,0.701771198211303044E+03
0.212502511765901042E+00,0.293285680564171685E+02,0.115213610500355745E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.664120460701924764E+00,0.952767087974664834E-01,0.553157889946918294E+05,0.701786968840311829E+03
0.166587650680338373E+00,0.499872941868215577E+02,0.110243385954124307E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.518376103180455128E+00,0.124942895112067132E+00,0.553157842693708517E+05,0.701849884846517170E+03
0.206863083617587762E+00,0.797036537091932189E+02,0.114253912308881089E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.362143842482436862E+00,0.528302628865243262E+00,0.553158244478593042E+05,0.701901888722388549E+03
0.310382363176430809E+00,0.102004629914454299E+03,0.125256633845040666E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.295301596335825034E+00,0.853325622578313570E+00,0.553158151790219345E+05,0.701904816913191553E+03
0.154914070049790603E+00,0.463147592359176343E+02,0.105838625777814710E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.991312033426584360E+00,0.709610766459664921E+00,0.553158023864829374E+05,0.701935746097728497E+03
0.332576230787274052E+00,0.371818183003522478E+02,0.128843468381793946E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.231206093719948824E+00,0.533388097727244492E+00,0.553157890161169998E+05,0.701981680520988675E+03
0.147859311903536961E+00,0.809993015629569868E+02,0.104390385779109618E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.875853645434393036E+00,0.753236710846384661E+00,0.553157859162952518E+05,0.701993009531551479E+03
0.407992597623453232E-01,0.179175723433895291E+04,0.351952426178214539E+00,0.941777069999999981E+02,0.553158280010000017E+05,0.678299158389833234E+00,0.971673435775523342E+00,0.553158105663048918E+05,0.702027342817079671E+03
0.248557121455619395E+00,0.545165917286333723E+02,0.117332139384196354E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.925187024494675603E+00,0.580130268739182275E+00,0.553158125026723210E+05,0.702031827683031679E+03
0.784509927019889197E+00,0.107800940385739878E+03,0.173529861793793949E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.555244192458623109E+00,0.570579093030877171E+00,0.553158049636029536E+05,0.702166463492304729E+03
0.601287854924484444E+00,0.162081180738195684E+03,0.152838495213209891E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.738074959108808715E+00,0.838986772269439074E+00,0.553158144949997441E+05,0.702223332914056527E+03
0.550872371469702804E+00,0.766839991466774649E+02,0.148304235797582451E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.994591058432980013E+00,0.519375805929637502E+00,0.553158176723666766E+05,0.702233534732127282E+03
0.746250070109324648E+00,0.744812623237881866E+02,0.168813573854088039E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.829302246843106938E+00,0.641877745334775152E-01,0.553158195076907068E+05,0.702261182564978071E+03
0.665010958187432277E+00,0.358376117965588534E+02,0.162379818433805445E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.333698533189783597E+00,0.994598672556322949E+00,0.553158160508810324E+05,0.702267190340254729E+03
0.514893908081673790E+00,0.108571879866418612E+03,0.146200987140647953E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.474582141894045961E+00,0.194108795250809096E+00,0.553158122413455640E+05,0.702339458165040696E+03
0.782338601494635633E+00,0.330671041128225625E+02,0.174758996753542228E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.794398297175170631E-01,0.127449234638677300E+00,0.553157835930381261E+05,0.702341926327572310E+03
0.248092724830613565E+00,0.920956391951617945E+02,0.118661681339739133E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.365399018932608455E+00,0.771829790911882752E+00,0.553158221808187518E+05,0.702345151395848234E+03
0.575165760513054944E-01,0.873788471813897729E+02,0.952672154241738678E+00,0.941777069999999981E+02,0.553158280010000017E+05,0.251255695579020610E+00,0.382254614870191078E+00,0.553157974282287250E+05,0.702354920882111173E+03
0.638929305390131819E+00,0.487886690977040089E+02,0.159367347950411586E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.214514433634918483E+00,0.263384919083569757E+00,0.553158102145865560E+05,0.702361427508319593E+03
0.596022542133689881E+00,0.357862104117365760E+02,0.156126422356934791E+01,0.941777069999999981E+02,0.553158280010000017E+05,0.621101751398055804E-01,0.785862755688471526E+00,0.553157871719282412E+05,0.702368947089204084E+03
