seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_likelihood
0.529018580913543701E+00,0.247349628332981286E+01,0.152861261367797852E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.628024339675903320E+00,0.322699129581451416E+00,0.562993068025368702E+05,0.676810850741646846E+03
0.200293898582458496E+00,0.369445838017371671E+04,0.266177177429199219E+00,0.222279719000000000E+03,0.562985376039999974E+05,0.218024969100952148E+00,0.980316519737243652E+00,0.562976189904469502E+05,0.676817803720125994E+03
0.413126349449157715E-01,0.146749336749237846E+06,0.190197002887725830E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.736765503883361816E+00,0.209240555763244629E+00,0.562991824784535420E+05,0.676817803720125994E+03
0.660999834537506104E+00,0.349748618850637331E+04,0.824765086174011230E+00,0.222279719000000000E+03,0.562985376039999974E+05,0.560080170631408691E+00,0.360930204391479492E+00,0.562980363542098057E+05,0.676817803720125994E+03
0.836685836315155029E+00,0.490578777278999391E+06,0.684345841407775879E+00,0.222279719000000000E+03,0.562985376039999974E+05,0.119609057903289795E+00,0.689954280853271484E+00,0.562982951761740696E+05,0.676817803720125994E+03
0.843402743339538574E-01,0.368068741296666202E+01,0.133672583103179932E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.414147675037384033E+00,0.786878466606140137E-01,0.562994657740849507E+05,0.676817803720125994E+03
0.967887461185455322E+00,0.205658860729383101E+06,0.853371262550354004E+00,0.222279719000000000E+03,0.562985376039999974E+05,0.336776494979858398E+00,0.354074776172637939E+00,0.562976070283907902E+05,0.676817803720125994E+03
0.733000576496124268E+00,0.822038572964773266E+04,0.145500671863555908E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.506209254264831543E+00,0.693231821060180664E-01,0.562979858286637318E+05,0.676817803720125994E+03
0.968513965606689453E+00,0.257866091976975556E+06,0.171504747867584229E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.698362946510314941E+00,0.443448126316070557E+00,0.562979902845877659E+05,0.676817803720125994E+03
0.725955963134765625E-01,0.310801267608469004E+03,0.154161536693572998E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.619568169116973877E+00,0.547656893730163574E+00,0.562983594419020665E+05,0.676817803720125994E+03
0.187181949615478516E+00,0.444176634224262568E+01,0.158756422996520996E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.647904038429260254E+00,0.395456731319427490E+00,0.562980641651410115E+05,0.676817803720125994E+03
0.976485788822174072E+00,0.319408164482962547E+03,0.146574032306671143E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.550749480724334717E+00,0.515691101551055908E+00,0.562977708308953297E+05,0.676817803720125994E+03
0.826757192611694336E+00,0.887853376030109794E+05,0.654458880424499512E+00,0.222279719000000000E+03,0.562985376039999974E+05,0.297991275787353516E+00,0.941716432571411133E-01,0.562984230985898030E+05,0.676817803720125994E+03
0.785284578800201416E+00,0.812292482153564066E+02,0.154266321659088135E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.967482984066009521E+00,0.732190310955047607E+00,0.562981872364539158E+05,0.676817803720125994E+03
0.181914627552032471E+00,0.867414068026449883E+02,0.183615887165069580E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.624998152256011963E+00,0.181173801422119141E+00,0.562983184038657200E+05,0.676817803720125994E+03
0.143481075763702393E+00,0.109675262043838234E+04,0.104862236976623535E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.801990628242492676E-01,0.342889606952667236E+00,0.562980946736592305E+05,0.676817803720125994E+03
0.649963974952697754E+00,0.142416334572481826E+02,0.172733592987060547E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.229032397270202637E+00,0.329366207122802734E+00,0.562981422443646443E+05,0.676817803720125994E+03
0.236078739166259766E+00,0.609193122243861853E+04,0.129580700397491455E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.743830800056457520E-01,0.156498014926910400E+00,0.562989574942845356E+05,0.676817803720125994E+03
0.898752331733703613E+00,0.131337327834443768E+05,0.935380816459655762E+00,0.222279719000000000E+03,0.562985376039999974E+05,0.516264677047729492E+00,0.583862304687500000E+00,0.562978428818243992E+05,0.676817803720125994E+03
0.415986001491546631E+00,0.731439314772340481E+03,0.163879358768463135E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.117451131343841553E+00,0.687609672546386719E+00,0.562980836227196705E+05,0.676817803720125994E+03
0.681892216205596924E+00,0.503841564733885008E+02,0.116976046562194824E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.575765967369079590E-01,0.261055946350097656E+00,0.562978534369725239E+05,0.676817803720125994E+03
0.459877669811248779E+00,0.338625818650139593E+03,0.938674926757812500E+00,0.222279719000000000E+03,0.562985376039999974E+05,0.291031658649444580E+00,0.894934773445129395E+00,0.562978563853758824E+05,0.676817803720125994E+03
0.658317685127258301E+00,0.221593478224903083E+05,0.175311517715454102E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.575271368026733398E+00,0.396755218505859375E+00,0.562980240171212208E+05,0.676817803720125994E+03
0.756124734878540039E+00,0.159777597746136308E+03,0.281216740608215332E+00,0.222279719000000000E+03,0.562985376039999974E+05,0.154600739479064941E-01,0.610798954963684082E+00,0.562976640169877064E+05,0.676817803720125994E+03
0.818607985973358154E+00,0.148530700686758883E+04,0.189596414566040039E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.575579702854156494E+00,0.159263074398040771E+00,0.562981736604231846E+05,0.676817803720125994E+03
0.226471126079559326E+00,0.313401120547115113E+03,0.710758686065673828E+00,0.222279719000000000E+03,0.562985376039999974E+05,0.142036378383636475E+00,0.294837296009063721E+00,0.562976250695246708E+05,0.676817803720125994E+03
0.367158532142639160E+00,0.147569124130359768E+03,0.185234010219573975E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.869787037372589111E+00,0.244332432746887207E+00,0.562979831030625355E+05,0.676817803720125994E+03
0.318058848381042480E+00,0.271675627728852135E+03,0.123199856281280518E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.346997380256652832E+00,0.166813969612121582E+00,0.562981570794838917E+05,0.676817803720125994E+03
0.802332520484924316E+00,0.997201111590026812E+04,0.763905048370361328E-01,0.222279719000000000E+03,0.562985376039999974E+05,0.595772385597229004E+00,0.409389257431030273E+00,0.562977481602686894E+05,0.676817803720125994E+03
0.568248033523559570E-01,0.859712246338115190E+06,0.161445438861846924E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.988358914852142334E+00,0.697973668575286865E+00,0.562978138889330876E+05,0.676817803720125994E+03
0.821659386157989502E+00,0.115343214133739131E+02,0.177325367927551270E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.615074038505554199E-01,0.655867457389831543E+00,0.562979630270260823E+05,0.676817803720125994E+03
0.788719713687896729E+00,0.107154541172083540E+03,0.187625503540039063E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.999247014522552490E+00,0.262746810913085938E+00,0.562984209430474293E+05,0.676817803720125994E+03
0.359794855117797852E+00,0.833340066141605462E+03,0.164628851413726807E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.457648098468780518E+00,0.402849555015563965E+00,0.562991829537409794E+05,0.676817803720125994E+03
0.311620414257049561E+00,0.331445924682488524E+02,0.144928586483001709E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.630829989910125732E+00,0.829342722892761230E+00,0.562976677555102360E+05,0.676817803720125994E+03
0.239037454128265381E+00,0.252854620164602153E+03,0.140939307212829590E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.121261477470397949E+00,0.152720451354980469E+00,0.562990469588297856E+05,0.676817803720125994E+03
0.581998825073242188E+00,0.749060000137362164E+06,0.518491268157958984E-01,0.222279719000000000E+03,0.562985376039999974E+05,0.198197841644287109E+00,0.628039777278900146E+00,0.562985512886303914E+05,0.676817803720125994E+03
0.979248166084289551E+00,0.141191103959384724E+06,0.390950083732604980E+00,0.222279719000000000E+03,0.562985376039999974E+05,0.268232703208923340E+00,0.165714323520660400E+00,0.562981353642004979E+05,0.676817803720125994E+03
0.879373550415039062E+00,0.895802139289965453E+04,0.944727301597595215E+00,0.222279719000000000E+03,0.562985376039999974E+05,0.848026692867279053E+00,0.728304386138916016E+00,0.562985022546309483E+05,0.676817803720125994E+03
0.752068161964416504E+00,0.103360893647333705E+04,0.189909338951110840E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.634608447551727295E+00,0.265996813774108887E+00,0.562986801166790974E+05,0.676817803720125994E+03
0.577893793582916260E+00,0.266043045647796534E+06,0.373002409934997559E+00,0.222279719000000000E+03,0.562985376039999974E+05,0.512413382530212402E+00,0.225349009037017822E+00,0.562984657676476490E+05,0.676817803720125994E+03
0.400110840797424316E+00,0.282237328291047618E+02,0.142529082298278809E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.789202094078063965E+00,0.685571968555450439E+00,0.562991056727427494E+05,0.676817803720125994E+03
0.899475812911987305E-02,0.710410046016494562E+04,0.674900650978088379E+00,0.222279719000000000E+03,0.562985376039999974E+05,0.992365241050720215E+00,0.315016508102416992E-02,0.562985397537011158E+05,0.676817803720125994E+03
0.545574069023132324E+00,0.739878307685677573E+05,0.315967440605163574E+00,0.222279719000000000E+03,0.562985376039999974E+05,0.448840141296386719E+00,0.427180230617523193E+00,0.562982895884770405E+05,0.676817803720125994E+03
0.194367527961730957E+00,0.944833725209666300E+05,0.160237562656402588E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.750476598739624023E+00,0.691506028175354004E+00,0.562978438436049473E+05,0.676817803720125994E+03
0.951994836330413818E+00,0.152614701860155183E+06,0.135653996467590332E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.481764912605285645E+00,0.134337246417999268E+00,0.562983355204123509E+05,0.676817803720125994E+03
0.293516516685485840E+00,0.147266731696213130E+06,0.102277469635009766E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.801675081253051758E+00,0.797244250774383545E+00,0.562978154540318501E+05,0.676817803720125994E+03
0.298340260982513428E+00,0.147520484226009648E+05,0.327083349227905273E+00,0.222279719000000000E+03,0.562985376039999974E+05,0.549796223640441895E-01,0.259430050849914551E+00,0.562981681114691746E+05,0.676817803720125994E+03
0.891796529293060303E+00,0.480985259818622012E+03,0.197355318069458008E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.663799941539764404E+00,0.916814267635345459E+00,0.562981432771939290E+05,0.676817803720125994E+03
0.481531023979187012E-01,0.766784345437106595E+03,0.104442715644836426E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.416480362415313721E+00,0.263344705104827881E+00,0.562983543304461491E+05,0.676817803720125994E+03
0.144380331039428711E-01,0.373543004535071668E+05,0.149021673202514648E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.432922840118408203E-01,0.422619640827178955E+00,0.562989653296727192E+05,0.676817803720125994E+03
0.194351971149444580E+00,0.191816371178973156E+03,0.162839150428771973E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.113328099250793457E-01,0.923750400543212891E+00,0.562982324664849293E+05,0.676817803720125994E+03
0.188169419765472412E+00,0.350237708392205241E+04,0.185828566551208496E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.859932303428649902E-01,0.460152864456176758E+00,0.562989423861760151E+05,0.676817803720125994E+03
0.853185117244720459E+00,0.652588907535910835E+03,0.180339467525482178E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.822848916053771973E+00,0.308061301708221436E+00,0.562975956318634999E+05,0.676817803720125994E+03
0.171972811222076416E+00,0.466066845550625992E+06,0.124686205387115479E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.754278659820556641E+00,0.850478470325469971E+00,0.562995078475731862E+05,0.676817803720125994E+03
0.220979571342468262E+00,0.636486589963123492E+03,0.113443553447723389E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.563279867172241211E+00,0.844188868999481201E+00,0.562983034591931355E+05,0.676817803720125994E+03
0.957680583000183105E+00,0.136864904891307033E+05,0.484230041503906250E+00,0.222279719000000000E+03,0.562985376039999974E+05,0.941172242164611816E-01,0.175220072269439697E+00,0.562980948701161396E+05,0.676817803720125994E+03
0.775096952915191650E+00,0.447561826807327998E+04,0.317849755287170410E+00,0.222279719000000000E+03,0.562985376039999974E+05,0.810513377189636230E+00,0.550180673599243164E+00,0.562984044817942631E+05,0.676817803720125994E+03
0.549206197261810303E+00,0.117466004050026721E+06,0.204434871673583984E+00,0.222279719000000000E+03,0.562985376039999974E+05,0.692351400852203369E+00,0.579784631729125977E+00,0.562982895694035542E+05,0.676817803720125994E+03
0.121106505393981934E-01,0.329797324081914076E+04,0.908989548683166504E+00,0.222279719000000000E+03,0.562985376039999974E+05,0.899218022823333740E+00,0.265763700008392334E+00,0.562980881374138844E+05,0.676817803720125994E+03
0.834990203380584717E+00,0.817834387000692368E+05,0.118557155132293701E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.204859495162963867E+00,0.996679425239562988E+00,0.562984302397030842E+05,0.676817803720125994E+03
0.216994047164916992E+00,0.822501944453951808E+02,0.203089714050292969E+00,0.222279719000000000E+03,0.562985376039999974E+05,0.185901463031768799E+00,0.898384451866149902E-01,0.562978871308821690E+05,0.676817803720125994E+03
0.581979513168334961E+00,0.786905645039740339E+05,0.891646385192871094E+00,0.222279719000000000E+03,0.562985376039999974E+05,0.758768022060394287E+00,0.399454951286315918E+00,0.562982662683981907E+05,0.676817803720125994E+03
0.733275353908538818E+00,0.866582321246236534E+05,0.368378400802612305E+00,0.222279719000000000E+03,0.562985376039999974E+05,0.417038500308990479E+00,0.310981392860412598E+00,0.562979393680352223E+05,0.676817803720125994E+03
0.272151589393615723E+00,0.730595954801024054E+06,0.152578747272491455E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.553441047668457031E+00,0.815745592117309570E+00,0.562990823889035237E+05,0.676817803720125994E+03
0.155372798442840576E+00,0.508779096416716766E+04,0.193767905235290527E+00,0.222279719000000000E+03,0.562985376039999974E+05,0.277171850204467773E+00,0.495566070079803467E+00,0.562981829680460942E+05,0.676817803720125994E+03
0.368045926094055176E+00,0.304617767490029451E+03,0.170968413352966309E+00,0.222279719000000000E+03,0.562985376039999974E+05,0.811304867267608643E+00,0.779203474521636963E+00,0.562976361388224614E+05,0.676817803720125994E+03
0.980959534645080566E+00,0.380714612770089434E+04,0.128922522068023682E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.702212452888488770E+00,0.254714846611022949E+00,0.562979792197007191E+05,0.676817803720125994E+03
0.220406889915466309E+00,0.176332807509757536E+02,0.193597316741943359E+01,0.222279719000000000E+03,0.562985376039999974E+05,0.747875392436981201E+00,0.411353409290313721E+00,0.562985347360629094E+05,0.676817803720125994E+03
