seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_likelihood
0.224767863379588095E+00,0.988268926026812915E+04,0.108846939339548943E+01,0.293505646000000013E+03,0.557487380419999972E+05,0.639573750697515098E+00,0.473471886909955564E+00,0.554552361588561544E+05,0.557487288196064546E+05,0.560422411524336858E+05,0.563357505136722539E+05,0.161489486753373167E+05
0.206315443210432159E+00,0.123870562880655925E+05,0.106773039728396468E+01,0.293505646000000013E+03,0.557487380419999972E+05,0.506969636261910828E+00,0.626961039236403006E+00,0.554552295027212022E+05,0.557487425415640319E+05,0.560422465146918912E+05,0.563357460181929855E+05,0.161491466332377786E+05
0.836719161496504271E+00,0.128833037531246628E+05,0.173400612754994432E+01,0.293505646000000013E+03,0.557487380419999972E+05,0.472366971344788611E+00,0.989489067962299740E+00,0.554552392450023544E+05,0.557487296921821398E+05,0.560422467275695381E+05,0.563357473888666573E+05,0.161493176288987743E+05
0.173931659069651301E+00,0.883634263132136766E+04,0.102974407908766130E+01,0.293505646000000013E+03,0.557487380419999972E+05,0.705456368566295677E+00,0.296291235217834015E+00,0.554552293127483354E+05,0.557487373919380116E+05,0.560422452886899773E+05,0.563357399500388419E+05,0.161498044582891598E+05
0.955919812063074359E-01,0.133887748501944043E+05,0.902757900323828411E+00,0.293505646000000013E+03,0.557487380419999972E+05,0.704978410705392911E+00,0.404259359855997868E+00,0.554552378188863877E+05,0.557487354070554720E+05,0.560422437477592248E+05,0.563357502813155297E+05,0.161501874760194769E+05
0.813051619543743276E+00,0.133485324519393325E+05,0.170978813624711790E+01,0.293505646000000013E+03,0.557487380419999972E+05,0.902137887769097535E+00,0.991564948908730120E-01,0.554552329757108309E+05,0.557487409879073821E+05,0.560422426217450047E+05,0.563357465096391898E+05,0.161502659818895336E+05
0.175475598569044378E+00,0.986740771328361552E+04,0.102927001069492996E+01,0.293505646000000013E+03,0.557487380419999972E+05,0.465314485597793870E+00,0.885770977200628584E+00,0.554552339958201774E+05,0.557487400429013214E+05,0.560422466261035879E+05,0.563357405585630404E+05,0.161506708845220382E+05
0.644906009331128516E+00,0.131507209401551627E+05,0.151443654708552278E+01,0.293505646000000013E+03,0.557487380419999972E+05,0.823783972108842688E+00,0.755679864168341875E+00,0.554552357771245661E+05,0.557487393524914733E+05,0.560422504143354672E+05,0.563357489307857832E+05,0.161507119965701168E+05
0.149416066461483588E+00,0.969924493182027618E+04,0.100675972162491223E+01,0.293505646000000013E+03,0.557487380419999972E+05,0.479673034600152981E+00,0.596440285930343594E+00,0.554552292860351663E+05,0.557487330253860855E+05,0.560422455633286154E+05,0.563357492359162788E+05,0.161512837199637179E+05
0.547178798872466343E+00,0.100380227356396408E+05,0.144715749953957573E+01,0.293505646000000013E+03,0.557487380419999972E+05,0.423683358888607697E+00,0.577065991614466478E+00,0.554552363654398287E+05,0.557487371640816054E+05,0.560422410319559931E+05,0.563357425191949005E+05,0.161513147504897897E+05
