seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_tau5,seg0_likelihood
0.867289577832626446E-02,0.150222242806662553E+04,0.598669319845831382E+00,0.274553317999999990E+03,0.555401922360000026E+05,0.883152595534498874E+00,0.404564922693989096E-01,0.549913039379130350E+05,0.552656861108703088E+05,0.555398329332608118E+05,0.558144914016225739E+05,0.560902303153120156E+05,0.563643612992228373E+05,0.229424565214174072E+05
0.111187681107790745E-01,0.239439651138815816E+04,0.645712650285855255E-01,0.274553317999999990E+03,0.555401922360000026E+05,0.772081057819935968E+00,0.587020303030959312E+00,0.549910300220771242E+05,0.552657821571797685E+05,0.555402282194250292E+05,0.558145807774860878E+05,0.560900259012297174E+05,0.563640605747888840E+05,0.229455700851460788E+05
0.780971155098379288E-02,0.305702668570888136E+03,0.557934704918053193E+00,0.274553317999999990E+03,0.555401922360000026E+05,0.603625579688400818E-01,0.850199945573893112E+00,0.549910471588433065E+05,0.552649802371092956E+05,0.555397587535822531E+05,0.558146263573600299E+05,0.560902967956116263E+05,0.563646704714061925E+05,0.229463095875103973E+05
0.972515363379744188E-02,0.103851180392161382E+03,0.601878837472733408E+00,0.274553317999999990E+03,0.555401922360000026E+05,0.568677329314296709E+00,0.656814620673600524E+00,0.549911314558569429E+05,0.552658862862234455E+05,0.555405563763524115E+05,0.558148393746399597E+05,0.560901416963658194E+05,0.563634428293834644E+05,0.229463335455731576E+05
0.742567669436683286E+00,0.190403977698928406E+01,0.173660302320309845E+01,0.274553317999999990E+03,0.555401922360000026E+05,0.128151606931218881E+00,0.387750545623757770E+00,0.549911062188300566E+05,0.552653002480302675E+05,0.555406308335605354E+05,0.558146204149933110E+05,0.560901127370002287E+05,0.563641371768712488E+05,0.229472121257778199E+05
0.196400459342426392E+00,0.104613919763435104E+01,0.118930257590560773E+01,0.274553317999999990E+03,0.555401922360000026E+05,0.353631083405584579E+00,0.567695234419051453E+00,0.549911973892675960E+05,0.552658507440503163E+05,0.555405285216302800E+05,0.558146114333618534E+05,0.560902780321649116E+05,0.563636428507582605E+05,0.229475624985784925E+05
0.944407731011993601E+00,0.395224938696609414E+02,0.193088377206366535E+01,0.274553317999999990E+03,0.555401922360000026E+05,0.781079438540416171E+00,0.444241487685089476E+00,0.549911095844625888E+05,0.552657175647837648E+05,0.555395384460815912E+05,0.558147809707439592E+05,0.560883682075402394E+05,0.563639820210991311E+05,0.229475707535871879E+05
0.968721702638539704E-02,0.261867344464461496E+03,0.727838678647668824E+00,0.274553317999999990E+03,0.555401922360000026E+05,0.748778931212603971E+00,0.881375788054069131E+00,0.549912219603515259E+05,0.552663475499474080E+05,0.555409553532804930E+05,0.558145133151726477E+05,0.560884335710266460E+05,0.563643744059740638E+05,0.229477174390869332E+05
0.907845241782398796E-02,0.217453217421322279E+04,0.365832328792637218E+00,0.274553317999999990E+03,0.555401922360000026E+05,0.603646894124237998E+00,0.363957917711770551E+00,0.549910361771763928E+05,0.552655889215746647E+05,0.555408283992860597E+05,0.558143640672564652E+05,0.560902364567299737E+05,0.563634693322677922E+05,0.229478046643342204E+05
0.235192278126137938E+00,0.115352275370733270E+01,0.122343631241753981E+01,0.274553317999999990E+03,0.555401922360000026E+05,0.431103113512918190E+00,0.467277475161503253E+00,0.549912662147096562E+05,0.552656934953726668E+05,0.555403875843472706E+05,0.558147922635090945E+05,0.560902700930613428E+05,0.563639350161048278E+05,0.229478503963948824E+05
0.402154493015757952E+00,0.602915773503189190E+01,0.138744649469767722E+01,0.274553317999999990E+03,0.555401922360000026E+05,0.740848891278608535E+00,0.337399631210473228E-01,0.549911745291914922E+05,0.552650269484423770E+05,0.555409391015022557E+05,0.558145025140146972E+05,0.560902552173737640E+05,0.563645812704326454E+05,0.229480617416685709E+05
0.212461954504886835E+00,0.159240531538564305E+02,0.119619183326112499E+01,0.274553317999999990E+03,0.555401922360000026E+05,0.703323698670019759E+00,0.377445193697445669E+00,0.549911574138255746E+05,0.552664546807610241E+05,0.555396132711601167E+05,0.558144964462981079E+05,0.560902063712275412E+05,0.563646533849619373E+05,0.229483295734681706E+05
0.937319443269692999E-02,0.704849950410327097E+03,0.512829066242474763E-01,0.274553317999999990E+03,0.555401922360000026E+05,0.892412462190803391E+00,0.189269186786183097E+00,0.549912599133326003E+05,0.552655630123926094E+05,0.555392273714112889E+05,0.558145520462184068E+05,0.560902428915181299E+05,0.563637079613509923E+05,0.229484249302451644E+05
0.173418825124764565E-01,0.190069876116405736E+06,0.817869517096884491E+00,0.274553317999999990E+03,0.555401922360000026E+05,0.137685628994136555E+00,0.505894722054832102E+00,0.549911569737604150E+05,0.552658915312157405E+05,0.555400955524322198E+05,0.558146137494880095E+05,0.560901638459758979E+05,0.563642999220161000E+05,0.229485244924578074E+05
0.754646721532781645E-01,0.519555650394568236E+01,0.106423768103580629E+01,0.274553317999999990E+03,0.555401922360000026E+05,0.318505532662306579E+00,0.624066026109407757E+00,0.549910814459726244E+05,0.552665056557814096E+05,0.555395953593045706E+05,0.558147497215800176E+05,0.560901808903524798E+05,0.563648060474843442E+05,0.229486421790843087E+05
0.106786756734058037E-01,0.185400964172273120E+03,0.813021864535791394E+00,0.274553317999999990E+03,0.555401922360000026E+05,0.883282872480939174E+00,0.360633752417433784E+00,0.549909939937323652E+05,0.552662302086838317E+05,0.555401557128598433E+05,0.558145269520655856E+05,0.560902440546643702E+05,0.563636223652202825E+05,0.229486720825481134E+05
0.617467789735157258E+00,0.155816438210421015E+01,0.160820868490009605E+01,0.274553317999999990E+03,0.555401922360000026E+05,0.810083765901465469E+00,0.771760045102888648E+00,0.549911438821222546E+05,0.552656199011348435E+05,0.555398436610041099E+05,0.558147054392386272E+05,0.560902944627664183E+05,0.563639190971467688E+05,0.229486758247831240E+05
0.252114988830805520E+00,0.249499827472349534E+01,0.124239665112567788E+01,0.274553317999999990E+03,0.555401922360000026E+05,0.598148406812398004E+00,0.958211809161854222E+00,0.549911382678225782E+05,0.552653149374954955E+05,0.555403390905207125E+05,0.558145467560663965E+05,0.560900668759362379E+05,0.563648178945808104E+05,0.229487626080136542E+05
0.985824295515721864E-02,0.857456991809017666E+02,0.849672578890713681E+00,0.274553317999999990E+03,0.555401922360000026E+05,0.180717340904034435E+00,0.370744136938292793E-01,0.549913027944484274E+05,0.552653764103489302E+05,0.555400811727765395E+05,0.558146610779033726E+05,0.560901421151357281E+05,0.563642224834486115E+05,0.229489423603314572E+05
0.171487425204703808E+00,0.153794289094013106E+02,0.115008372683000437E+01,0.274553317999999990E+03,0.555401922360000026E+05,0.832830722052457784E+00,0.562992122430102326E+00,0.549911172058170414E+05,0.552658008336781058E+05,0.555397141560952587E+05,0.558146763882136220E+05,0.560899810658937058E+05,0.563647689760233334E+05,0.229490496745529927E+05
0.111102257809403814E-01,0.156053221978752589E+03,0.536885111482139465E+00,0.274553317999999990E+03,0.555401922360000026E+05,0.139896134682532702E+00,0.571876475005455021E+00,0.549910152829320359E+05,0.552653962076482421E+05,0.555406010069584081E+05,0.558146904089677773E+05,0.560902837486999924E+05,0.563646599004708405E+05,0.229490518966033378E+05
0.131123531419691658E+00,0.148760707751212404E+02,0.111755534115475030E+01,0.274553317999999990E+03,0.555401922360000026E+05,0.501088825058398024E+00,0.671001544174309017E+00,0.549912025104491258E+05,0.552663302057979454E+05,0.555395991101277104E+05,0.558146301592733507E+05,0.560900481233131504E+05,0.563648084227016006E+05,0.229491418500694926E+05
0.113960420337490143E-01,0.548006256952865982E+02,0.936615140728977447E+00,0.274553317999999990E+03,0.555401922360000026E+05,0.593580869842063819E+00,0.553672173345231000E+00,0.549910774392614476E+05,0.552661139774153926E+05,0.555396489753185742E+05,0.558145822113823888E+05,0.560884485603408393E+05,0.563644976575971668E+05,0.229492094412507067E+05
