seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_likelihood
0.284035832006097159E-01,0.347367575499895224E+03,0.100831305325553355E+01,0.353361204999999984E+03,0.559519993800000011E+05,0.803739603044362760E+00,0.639774784648823092E+00,0.552452170506141338E+05,0.555986211451701238E+05,0.559526824990885652E+05,0.563051707027079901E+05,0.118146461728662052E+04
0.767610403277899533E+00,0.667051355298338944E+01,0.176521605248473490E+01,0.353361204999999984E+03,0.559519993800000011E+05,0.151562702663213450E+00,0.423348109984463331E-02,0.552451721501192515E+05,0.555986313525158839E+05,0.559519496758585810E+05,0.563054691582509477E+05,0.118443793438810872E+04
0.789013352814128210E+00,0.603910979428326229E+02,0.178611812203191511E+01,0.353361204999999984E+03,0.559519993800000011E+05,0.122704204408331449E+00,0.898200639781628674E+00,0.552449370113849945E+05,0.555986293753052305E+05,0.559520412246651322E+05,0.563050986598937816E+05,0.118455099519922646E+04
0.620957291866190308E+00,0.360214857176193837E+01,0.161786783983054083E+01,0.353361204999999984E+03,0.559519993800000011E+05,0.201781426498743810E+00,0.439409999499892734E+00,0.552450054164707326E+05,0.555986435373683635E+05,0.559519335794690924E+05,0.563053248016841389E+05,0.118593387818393103E+04
0.631184246499273335E-02,0.209594236045497018E+04,0.886507150600400529E+00,0.353361204999999984E+03,0.559519993800000011E+05,0.438635483840724427E+00,0.767160514779447245E+00,0.552452791644289246E+05,0.555986433836563228E+05,0.559519617767454474E+05,0.563051955201712190E+05,0.118614930501940307E+04
0.429762796522401125E+00,0.457362987439426050E+02,0.142373596218339626E+01,0.353361204999999984E+03,0.559519993800000011E+05,0.472237918970473847E+00,0.813281990986691961E+00,0.552448814890976137E+05,0.555985940934073515E+05,0.559520338236218158E+05,0.563057535440909705E+05,0.118631716944736900E+04
0.932324212437815603E-02,0.110602594915906971E+06,0.667194875152004152E+00,0.353361204999999984E+03,0.559519993800000011E+05,0.941487266347973528E+00,0.632140595591236365E+00,0.552453042164600556E+05,0.555986192656696876E+05,0.559520129115489399E+05,0.563058805913565157E+05,0.118646123727860959E+04
0.536862486230166476E-02,0.833868902805785183E+04,0.424114241826368032E+00,0.353361204999999984E+03,0.559519993800000011E+05,0.960735079724448937E+00,0.839867900669927114E+00,0.552453285900160845E+05,0.555986833358004878E+05,0.559519621715310423E+05,0.563045610193751272E+05,0.118651702871404609E+04
0.110860258750205332E+00,0.999326570354865140E+01,0.110432338276821262E+01,0.353361204999999984E+03,0.559519993800000011E+05,0.543988764011720694E+00,0.272724081097010851E+00,0.552449959953088328E+05,0.555986041135681589E+05,0.559519898206003490E+05,0.563051091735339869E+05,0.118670958735992508E+04
0.594472805697935855E-02,0.383879164621207237E+05,0.658657746192598426E+00,0.353361204999999984E+03,0.559519993800000011E+05,0.789332862149753206E-01,0.850364888443673084E+00,0.552444180695239338E+05,0.555986519766041165E+05,0.559520213409447097E+05,0.563058210624976346E+05,0.118673844639788786E+04
