seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_likelihood
0.945438742637634277E-01,0.171850599881792482E+04,0.106774950027465820E+01,0.188964363999999989E+03,0.557495800559999989E+05,0.619593083858489990E+00,0.240723848342895508E+00,0.557503455145838307E+05,0.125086847944758347E+04
0.932696521282196045E+00,0.172578857987570445E+05,0.192781198024749756E+01,0.188964363999999989E+03,0.557495800559999989E+05,0.320926606655120850E+00,0.636855185031890869E+00,0.557499346511843250E+05,0.125171455036212069E+04
0.100652813911437988E+00,0.398259334022985946E+06,0.122526490688323975E+01,0.188964363999999989E+03,0.557495800559999989E+05,0.191361725330352783E+00,0.976707935333251953E-01,0.557497995460512684E+05,0.125247368551327327E+04
0.391873359680175781E+00,0.239854187343741825E+06,0.155406999588012695E+01,0.188964363999999989E+03,0.557495800559999989E+05,0.914625406265258789E+00,0.986131668090820312E+00,0.557502441561701344E+05,0.125247368551327327E+04
0.155790925025939941E+00,0.316481848382949189E+06,0.197929275035858154E+01,0.188964363999999989E+03,0.557495800559999989E+05,0.585928261280059814E+00,0.384844422340393066E+00,0.557490533890011357E+05,0.125247368551327327E+04
0.276579260826110840E-01,0.447724511140045109E+02,0.186591148376464844E+01,0.188964363999999989E+03,0.557495800559999989E+05,0.604811847209930420E+00,0.498352229595184326E+00,0.557496096803429173E+05,0.125247368551327327E+04
0.339886367321014404E+00,0.924425781985133099E+01,0.153518211841583252E+01,0.188964363999999989E+03,0.557495800559999989E+05,0.697190165519714355E+00,0.638588190078735352E+00,0.557505570545675801E+05,0.125247368551327327E+04
0.344803333282470703E-01,0.389221202695208376E+04,0.113999807834625244E+01,0.188964363999999989E+03,0.557495800559999989E+05,0.439535856246948242E+00,0.351912438869476318E+00,0.557487922205212162E+05,0.125247368551327327E+04
0.363052129745483398E+00,0.232105898980486302E+03,0.187568402290344238E+01,0.188964363999999989E+03,0.557495800559999989E+05,0.453779041767120361E+00,0.960346519947052002E+00,0.557489503634455250E+05,0.125247368551327327E+04
0.791105389595031738E+00,0.334993832824925661E+02,0.190463948249816895E+01,0.188964363999999989E+03,0.557495800559999989E+05,0.902952611446380615E+00,0.635988771915435791E+00,0.557505601761820362E+05,0.125247368551327327E+04
0.157334864139556885E+00,0.614909505833222647E+04,0.149809217453002930E+01,0.188964363999999989E+03,0.557495800559999989E+05,0.328119874000549316E+00,0.628817737102508545E+00,0.557494710718872593E+05,0.125247368551327327E+04
0.152359604835510254E-01,0.327308428964551887E+06,0.103767430782318115E+01,0.188964363999999989E+03,0.557495800559999989E+05,0.397607505321502686E+00,0.630908608436584473E+00,0.557492794565441654E+05,0.125247368551327327E+04
0.754724085330963135E+00,0.699235079527345253E+06,0.194206213951110840E+01,0.188964363999999989E+03,0.557495800559999989E+05,0.468860328197479248E+00,0.557798981666564941E+00,0.557488267767908619E+05,0.125247368551327327E+04
0.240251183509826660E+00,0.108193761045244425E+02,0.154982936382293701E+01,0.188964363999999989E+03,0.557495800559999989E+05,0.897089779376983643E+00,0.404163360595703125E+00,0.557492871002438114E+05,0.125247368551327327E+04
0.518072009086608887E+00,0.911949088209455994E+02,0.156557989120483398E+01,0.188964363999999989E+03,0.557495800559999989E+05,0.737243890762329102E+00,0.135215461254119873E+00,0.557495383037807987E+05,0.125247368551327327E+04
