seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_likelihood
0.380145175129869284E-01,0.114625899405847326E+04,0.909132965424861661E+00,0.330920999999999992E+03,0.557486410000000033E+05,0.433162264393403829E+00,0.821442904509770006E-01,0.550868378947106175E+05,0.554169901302086291E+05,0.557486227511087782E+05,0.560794127598115811E+05,0.564112443544129492E+05,0.181166711538728964E+04
0.429667475358679746E-01,0.201724141275965474E+01,0.100211141531397385E+01,0.330920999999999992E+03,0.557486410000000033E+05,0.204675436145238587E+00,0.629041077071747501E+00,0.550868752768825580E+05,0.554168327726920761E+05,0.557486230336432345E+05,0.560794849654430072E+05,0.564095016790404261E+05,0.181226856251797039E+04
0.911819892422353895E-01,0.188620483668818611E+04,0.103886603712393888E+01,0.330920999999999992E+03,0.557486410000000033E+05,0.509391800946675244E+00,0.120031850931979364E+00,0.550868287115889980E+05,0.554171322638257698E+05,0.557485627425682687E+05,0.560794775342213325E+05,0.564096103097496380E+05,0.181773946033547440E+04
0.492890252893548486E+00,0.933767054374367120E+02,0.146774855454314568E+01,0.330920999999999992E+03,0.557486410000000033E+05,0.136037864854825191E+00,0.514662260995861098E+00,0.550868131765863000E+05,0.554169364300377056E+05,0.557485928793258281E+05,0.560794043174400067E+05,0.564114454909911510E+05,0.181890305139266616E+04
0.215779514089571717E-01,0.139292782768442930E+04,0.226991256793417057E+00,0.330920999999999992E+03,0.557486410000000033E+05,0.664595409913150914E+00,0.990619030270103007E+00,0.550868481025009023E+05,0.554185161894953344E+05,0.557484617813604054E+05,0.560795345174842223E+05,0.564095235908652830E+05,0.181982292302081328E+04
0.968664276357254383E+00,0.126298234555712341E+02,0.193239044078578104E+01,0.330920999999999992E+03,0.557486410000000033E+05,0.964894086952001406E+00,0.556526950895296246E+00,0.550868857646436081E+05,0.554177836063480499E+05,0.557485486286966843E+05,0.560795295783734036E+05,0.564113309369762646E+05,0.181985706539198168E+04
0.414559236737703285E+00,0.357314891119908111E+03,0.136966539504641904E+01,0.330920999999999992E+03,0.557486410000000033E+05,0.917517488855446595E+00,0.332238564438581074E+00,0.550868422964102865E+05,0.554186058840745172E+05,0.557485764845227968E+05,0.560794271083988642E+05,0.564097951118129349E+05,0.182009729633686743E+04
0.293661727706486519E-01,0.200324900015298044E+05,0.302560035012652051E+00,0.330920999999999992E+03,0.557486410000000033E+05,0.441035149355112344E+00,0.837821209371095943E+00,0.550867906609774436E+05,0.554177498838761094E+05,0.557477699082224062E+05,0.560794752318211031E+05,0.564112141905428798E+05,0.182028791111137775E+04
0.256945895354052378E-01,0.466441202770672098E+05,0.722565619739056308E+00,0.330920999999999992E+03,0.557486410000000033E+05,0.336918041520621381E+00,0.178351263028533047E+00,0.550868109490343268E+05,0.554177118794475973E+05,0.557485872834767215E+05,0.560794407239635111E+05,0.564112434031919765E+05,0.182042727819599691E+04
0.511240332685389598E+00,0.724681888418402220E+01,0.147026428808296639E+01,0.330920999999999992E+03,0.557486410000000033E+05,0.991287017590315456E+00,0.397876058470437222E+00,0.550868915363329797E+05,0.554167659458477938E+05,0.557485814191275203E+05,0.560795642737589151E+05,0.564095556255053089E+05,0.182053459007665401E+04
