seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_likelihood
0.132319876509526702E+00,0.463178126961301496E+04,0.905082732294222869E-01,0.281563499999999976E+03,0.557541225500000000E+05,0.944405471772243210E+00,0.209474964519036688E+00,0.551909979381135054E+05,0.554725625167032995E+05,0.557541204624731909E+05,0.560356824132329566E+05,0.777545553286625000E+04
0.135963938061156975E+00,0.478509001199872455E+04,0.145715597053495294E+00,0.281563499999999976E+03,0.557541225500000000E+05,0.454541675562834646E+00,0.459013007734108747E+00,0.551909965536296004E+05,0.554725615981491792E+05,0.557541224397746846E+05,0.560356850837639795E+05,0.777595871150426501E+04
0.133747331985216433E+00,0.473908901333128324E+04,0.128346131699593330E+00,0.281563499999999976E+03,0.557541225500000000E+05,0.689503875955160161E+00,0.300525996878673207E+00,0.551909983068531510E+05,0.554725569243609352E+05,0.557541211934393650E+05,0.560356864938236613E+05,0.777829144758040457E+04
0.132893710522354991E+00,0.469308585589651830E+04,0.978410070660028081E-01,0.281563499999999976E+03,0.557541225500000000E+05,0.853906889739097341E+00,0.220643389819122737E+00,0.551909935985894117E+05,0.554725593123709987E+05,0.557541238149089186E+05,0.560356834346284159E+05,0.777844660165374989E+04
0.136331010637993966E+00,0.509445067284265042E+04,0.109483971954508777E+00,0.281563499999999976E+03,0.557541225500000000E+05,0.481921341468827980E+00,0.339892375938873670E+00,0.551909953844595220E+05,0.554725614126014480E+05,0.557541228513081514E+05,0.560356870802325866E+05,0.777882754232024308E+04
0.134986443088328939E+00,0.500719635596017270E+04,0.632430822485687688E-02,0.281563499999999976E+03,0.557541225500000000E+05,0.624366416869034380E+00,0.266241535618057079E+00,0.551909991876655549E+05,0.554725619560974010E+05,0.557541227654972463E+05,0.560356830451327769E+05,0.777895725256637706E+04
0.135799755143066692E+00,0.501891502717988624E+04,0.635463843549439744E-01,0.281563499999999976E+03,0.557541225500000000E+05,0.390267057089432545E+00,0.389455584348043560E+00,0.551909955927485717E+05,0.554725597982377367E+05,0.557541207217214323E+05,0.560356823428833086E+05,0.777928177295188652E+04
0.135020411907481069E+00,0.501961414204521225E+04,0.616178097022232057E-01,0.281563499999999976E+03,0.557541225500000000E+05,0.318563901094093216E+00,0.638397407278196605E+00,0.551909987861725167E+05,0.554725602888379071E+05,0.557541224592367726E+05,0.560356873153778288E+05,0.777935246690002168E+04
0.136376506154766430E+00,0.513793449540820620E+04,0.107038486641467326E+00,0.281563499999999976E+03,0.557541225500000000E+05,0.305060467093762888E+00,0.471199719926420513E+00,0.551909970540379654E+05,0.554725581214041886E+05,0.557541207513288100E+05,0.560356872101391855E+05,0.777952597313155093E+04
0.137788170211495531E+00,0.472847849640474033E+04,0.240940582609607573E+00,0.281563499999999976E+03,0.557541225500000000E+05,0.316294224677183211E+00,0.442779368630392467E+00,0.551909969267620036E+05,0.554725572669238609E+05,0.557541228766809654E+05,0.560356858770462495E+05,0.777964837713191082E+04
0.136837617449184795E+00,0.518026388367501659E+04,0.135542706791927869E+00,0.281563499999999976E+03,0.557541225500000000E+05,0.274855098320820446E+00,0.559466528218225623E+00,0.551909979105477905E+05,0.554725628454406324E+05,0.557541230239995493E+05,0.560356854917814635E+05,0.777999885934898157E+04
0.135985095671061457E+00,0.450061176136722679E+04,0.261543495814490656E+00,0.281563499999999976E+03,0.557541225500000000E+05,0.523371750384195811E+00,0.414820179378448173E+00,0.551909977147403624E+05,0.554725620530681263E+05,0.557541227148015096E+05,0.560356842685878582E+05,0.778024010257517511E+04
0.131895200497420401E+00,0.468674229591191397E+04,0.314897572383267405E-01,0.281563499999999976E+03,0.557541225500000000E+05,0.994884355750401683E+00,0.216503197923784918E+00,0.551909948679351146E+05,0.554725601493596405E+05,0.557541212641988241E+05,0.560356821137941151E+05,0.778025551832788369E+04
0.139392422804635929E+00,0.485594535502509279E+04,0.253192054515664899E+00,0.281563499999999976E+03,0.557541225500000000E+05,0.223534674198962141E+00,0.478767628159333158E+00,0.551909965413785758E+05,0.554725602446268094E+05,0.557541212748136677E+05,0.560356857612623426E+05,0.778026914226298504E+04
0.135789574171650163E+00,0.487727026655964710E+04,0.183066788043643652E+00,0.281563499999999976E+03,0.557541225500000000E+05,0.479667129539012582E+00,0.272149097154056552E+00,0.551909977156620953E+05,0.554725604885279536E+05,0.557541230040875598E+05,0.560356859632813721E+05,0.778046274191052544E+04
0.135877150837407756E+00,0.517272360815047159E+04,0.106843394112298359E+00,0.281563499999999976E+03,0.557541225500000000E+05,0.272723044425173256E+00,0.564495289711244408E+00,0.551909983176078022E+05,0.554725614035035542E+05,0.557541220702149367E+05,0.560356837612810414E+05,0.778056112789416147E+04
0.135169767920234940E+00,0.444791230101707424E+04,0.241732321815489620E+00,0.281563499999999976E+03,0.557541225500000000E+05,0.612836087190319345E+00,0.311837347238356155E+00,0.551909972680328865E+05,0.554725626282777084E+05,0.557541229135265676E+05,0.560356848768795608E+05,0.778058690745701279E+04
0.139304292812535424E+00,0.472280318894154698E+04,0.300103280929580885E+00,0.281563499999999976E+03,0.557541225500000000E+05,0.178745800130542198E+00,0.700103348445189733E+00,0.551909973572962335E+05,0.554725616420078368E+05,0.557541202228403199E+05,0.560356856339609512E+05,0.778080885460535501E+04
0.138205927161008796E+00,0.508266252608618470E+04,0.219695634971849463E+00,0.281563499999999976E+03,0.557541225500000000E+05,0.139117353584328446E+00,0.906398668592612422E+00,0.551909952627647363E+05,0.554725611802911590E+05,0.557541210668057756E+05,0.560356853599764145E+05,0.778087106324747401E+04
0.135358312351042842E+00,0.467851482033874800E+04,0.183752043607946253E+00,0.281563499999999976E+03,0.557541225500000000E+05,0.476193220462779232E+00,0.383882419024286825E+00,0.551909971396757901E+05,0.554725594252709489E+05,0.557541235193993125E+05,0.560356829519182284E+05,0.778089865878560704E+04
0.138355666082970646E+00,0.461120470104458855E+04,0.305773574046557306E+00,0.281563499999999976E+03,0.557541225500000000E+05,0.256613739423798060E+00,0.590672750991868889E+00,0.551909956752842481E+05,0.554725585919196528E+05,0.557541245776931682E+05,0.560356846548619578E+05,0.778096517265909642E+04
0.134671646845489545E+00,0.512335051529715383E+04,0.596355579866455141E-01,0.281563499999999976E+03,0.557541225500000000E+05,0.553702851231349769E+00,0.328419309039157059E+00,0.551909970985739637E+05,0.554725599253499313E+05,0.557541234545557891E+05,0.560356865349659201E+05,0.778106279384863592E+04
0.134444219895408501E+00,0.490591221305031195E+04,0.367026329543195945E-01,0.281563499999999976E+03,0.557541225500000000E+05,0.687959524916356147E+00,0.267200808472399576E+00,0.551909973238246093E+05,0.554725629363245971E+05,0.557541229734064691E+05,0.560356849614215607E+05,0.778108796814396374E+04
0.139627594494809798E+00,0.460134687278578076E+04,0.311098385328269000E+00,0.281563499999999976E+03,0.557541225500000000E+05,0.277143034681044731E+00,0.504560407256613219E+00,0.551909969195345984E+05,0.554725585563098721E+05,0.557541201573830549E+05,0.560356846877830831E+05,0.778111913429968808E+04
0.134688753976199449E+00,0.496766595063574550E+04,0.584588587411512192E-01,0.281563499999999976E+03,0.557541225500000000E+05,0.611543279057946920E+00,0.329634734806020568E+00,0.551909970855990614E+05,0.554725586094315368E+05,0.557541200514683733E+05,0.560356832720023012E+05,0.778118824878268424E+04
0.136984092036833788E+00,0.492594093352019172E+04,0.193195833014718821E+00,0.281563499999999976E+03,0.557541225500000000E+05,0.483732343131358433E+00,0.291456878036427114E+00,0.551909958049034976E+05,0.554725579038603173E+05,0.557541233545033392E+05,0.560356849694040575E+05,0.778121983139719305E+04
0.138003174488281893E+00,0.457034694280193889E+04,0.275131734810592721E+00,0.281563499999999976E+03,0.557541225500000000E+05,0.278144051642159829E+00,0.631343162995328777E+00,0.551909969207956747E+05,0.554725597883381197E+05,0.557541194235550065E+05,0.560356844586376319E+05,0.778123685123042014E+04
0.138693229118268202E+00,0.410330815752277158E+04,0.374485281016908977E+00,0.281563499999999976E+03,0.557541225500000000E+05,0.484359592242014303E+00,0.316338111396156085E+00,0.551909957466405249E+05,0.554725600413472057E+05,0.557541239282591923E+05,0.560356855460983279E+05,0.778126157549378695E+04
0.134012488902129245E+00,0.483373181286688214E+04,0.578811674101813792E-01,0.281563499999999976E+03,0.557541225500000000E+05,0.596161922151814294E+00,0.299182945243095355E+00,0.551909948116382584E+05,0.554725587084864455E+05,0.557541218539021938E+05,0.560356833511721052E+05,0.778129728871526095E+04
0.134129395577661459E+00,0.461278964811993501E+04,0.188380605610528856E+00,0.281563499999999976E+03,0.557541225500000000E+05,0.656223969568732857E+00,0.323819575634706036E+00,0.551909971661227974E+05,0.554725577600196339E+05,0.557541224901893875E+05,0.560356869150259226E+05,0.778145692751385286E+04
0.137010910326428981E+00,0.433998496136268204E+04,0.288623628780845909E+00,0.281563499999999976E+03,0.557541225500000000E+05,0.545327471049621981E+00,0.299836107003908059E+00,0.551909980563865174E+05,0.554725597638838735E+05,0.557541213584479410E+05,0.560356848576721313E+05,0.778155585545490248E+04
0.136280285907618648E+00,0.528184032023025156E+04,0.983951820967232313E-02,0.281563499999999976E+03,0.557541225500000000E+05,0.443168422016293195E+00,0.320446726613098809E+00,0.551909945941933693E+05,0.554725593296381921E+05,0.557541222401118430E+05,0.560356846262728432E+05,0.778160233577717190E+04
