seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_tau5,seg0_likelihood
0.790046319363717719E+00,0.107737418220481587E+02,0.176791687701825428E+01,0.196435886000000011E+03,0.557924410940000016E+05,0.426463847601979973E+00,0.883055505758446269E+00,0.550066923858543087E+05,0.552031802349445934E+05,0.557924585574995654E+05,0.559888065996856822E+05,0.561852960778604174E+05,0.563818900656776532E+05,0.375928382311450423E+04
0.398655207961120667E-01,0.238662805475915611E+02,0.980552233084070801E+00,0.196435886000000011E+03,0.557924410940000016E+05,0.503659870158734368E+00,0.615713107394831094E+00,0.550067004389606227E+05,0.552031008970220428E+05,0.557924217448958298E+05,0.559888588460566898E+05,0.561854440242489727E+05,0.563817981616531906E+05,0.375929264815550960E+04
0.638524813624670839E+00,0.132666035586118216E+02,0.160808073528003881E+01,0.196435886000000011E+03,0.557924410940000016E+05,0.730751206404933074E+00,0.798769929811588231E+00,0.550066003625981175E+05,0.552031576564908246E+05,0.557923743454755750E+05,0.559888964706902989E+05,0.561853203120809922E+05,0.563818318819135748E+05,0.375988650348617011E+04
0.952989869650041510E+00,0.122077025820696754E+02,0.192870335974664964E+01,0.196435886000000011E+03,0.557924410940000016E+05,0.618028971559150153E+00,0.910974427275048848E+00,0.550065744256523685E+05,0.552031151288022447E+05,0.557924514651805584E+05,0.559889736874429655E+05,0.561853142731118860E+05,0.563817943632913593E+05,0.376049251203395033E+04
0.629646140025747481E+00,0.907962109576433285E+01,0.160478609972915454E+01,0.196435886000000011E+03,0.557924410940000016E+05,0.650932609201448131E+00,0.432323698419338043E+00,0.550065708985874808E+05,0.552031909021714018E+05,0.557925403108581013E+05,0.559889552020530027E+05,0.561853146241015493E+05,0.563817993267198181E+05,0.376053929199529830E+04
0.231281736567505482E-01,0.106497205154250560E+04,0.182562019245964213E+00,0.196435886000000011E+03,0.557924410940000016E+05,0.556295512839605211E+00,0.331312131856636327E+00,0.550066249186442947E+05,0.552030825351080930E+05,0.557925046954465433E+05,0.559889711287585596E+05,0.561853326792658263E+05,0.563817962773673135E+05,0.376095435927635026E+04
0.415325284042175558E+00,0.265157609760786706E+02,0.136617024275677945E+01,0.196435886000000011E+03,0.557924410940000016E+05,0.998749876953027860E+00,0.584670965656909680E+00,0.550066719594788810E+05,0.552031754631973599E+05,0.557925202793061399E+05,0.559889869102035445E+05,0.561853395713452264E+05,0.563817957264339129E+05,0.376200465676317890E+04
0.722794984300798582E-01,0.349793639822555136E+02,0.102572335884947052E+01,0.196435886000000011E+03,0.557924410940000016E+05,0.410338893596100929E+00,0.945673524227091944E+00,0.550065970361494037E+05,0.552031150133806732E+05,0.557924078229823717E+05,0.559888534394202288E+05,0.561853719474249810E+05,0.563817843063137334E+05,0.376237737162782196E+04
0.486486491122807840E+00,0.154102665036582653E+02,0.145965436306203622E+01,0.196435886000000011E+03,0.557924410940000016E+05,0.492578222740263083E+00,0.252912345609704547E+00,0.550067317874230721E+05,0.552031185406014192E+05,0.557924774078713672E+05,0.559888397064616802E+05,0.561852761158630456E+05,0.563817375844427734E+05,0.376240049403171452E+04
0.378402988017164210E+00,0.934774127613344774E+01,0.132967019850266621E+01,0.196435886000000011E+03,0.557924410940000016E+05,0.961449743174240035E+00,0.778105955420836048E+00,0.550065540377458747E+05,0.552031872049512676E+05,0.557925187718646630E+05,0.559888240335838564E+05,0.561853482277971270E+05,0.563818081509434269E+05,0.376245464280987289E+04
0.777282614236689540E+00,0.698451645616487582E+01,0.175950559323979050E+01,0.196435886000000011E+03,0.557924410940000016E+05,0.142573167311979915E+00,0.841649819492666595E+00,0.550067020437067404E+05,0.552031164893779642E+05,0.557925167784534642E+05,0.559887726836322399E+05,0.561853700315436654E+05,0.563818040372175383E+05,0.376251104466579636E+04
0.349767381618054374E+00,0.661262704976079707E+01,0.132792774031314065E+01,0.196435886000000011E+03,0.557924410940000016E+05,0.189761622667501517E+00,0.749183769059369009E+00,0.550066329676657333E+05,0.552031310846867345E+05,0.557924689368706677E+05,0.559889744240966320E+05,0.561853110939029793E+05,0.563816916005477251E+05,0.376264562911405119E+04
0.121332246884196499E+00,0.891201913326551676E+01,0.108016483839872413E+01,0.196435886000000011E+03,0.557924410940000016E+05,0.691519159949986584E+00,0.755762979503584065E+00,0.550066723977692236E+05,0.552031857995911414E+05,0.557924382323038517E+05,0.559888695351262286E+05,0.561853340327194092E+05,0.563818638232879312E+05,0.376273332746450251E+04
0.184284520987623102E+00,0.207377152390353103E+02,0.114708568497565344E+01,0.196435886000000011E+03,0.557924410940000016E+05,0.652831340218672285E+00,0.907915168781411763E+00,0.550067317658119136E+05,0.552031650496233779E+05,0.557924870237879804E+05,0.559888795217144943E+05,0.561853975914793045E+05,0.563817603623271280E+05,0.376275266736517460E+04
