seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_likelihood
0.191337811886685659E-01,0.305506469149476301E+01,0.183405624546413848E+00,0.164510491999999999E+03,0.557037788680000012E+05,0.209621134895539518E+00,0.960367765612836655E+00,0.553753135001545525E+05,0.561963829073864908E+05,0.412443811174265556E+04
0.197310076448087048E-01,0.274571632128024401E+01,0.187143002574470918E+00,0.164510491999999999E+03,0.557037788680000012E+05,0.670537220467729123E+00,0.794536129153002313E+00,0.553751369708651837E+05,0.561964419161788464E+05,0.412578555234118539E+04
0.192817373280379477E-01,0.246686639650385331E+01,0.190563117811825805E+00,0.164510491999999999E+03,0.557037788680000012E+05,0.668400172405076320E+00,0.733168498759059650E+00,0.553752617822297543E+05,0.561964641632681669E+05,0.412592931397317170E+04
0.184851133515887452E-01,0.142169034307374886E+01,0.436240601122439731E+00,0.164510491999999999E+03,0.557037788680000012E+05,0.512113905970582373E+00,0.180708748130488733E+00,0.553751735238642650E+05,0.561965749894356850E+05,0.412745273588755845E+04
0.225069639274778945E-01,0.149030784105726566E+01,0.491191125415624652E+00,0.164510491999999999E+03,0.557037788680000012E+05,0.586955053537332905E+00,0.926851984925756489E+00,0.553750737861670277E+05,0.561965436217810711E+05,0.412747139327730929E+04
0.210634360921315780E-01,0.152384106960296561E+01,0.424521206348635383E+00,0.164510491999999999E+03,0.557037788680000012E+05,0.737024999883808762E+00,0.565066573261092997E+00,0.553751228816665534E+05,0.561966818774585699E+05,0.412756237758278621E+04
0.214928763185851419E-01,0.181529222482556363E+01,0.443647370612808623E+00,0.164510491999999999E+03,0.557037788680000012E+05,0.497321545765368368E-04,0.800315197594033245E+00,0.553749178747176920E+05,0.561963838221783299E+05,0.412756875681847851E+04
0.211858006347835116E-01,0.146510473679214259E+01,0.781248257986281447E-01,0.164510491999999999E+03,0.557037788680000012E+05,0.997944986397817368E+00,0.206900095099124826E+00,0.553749212724881727E+05,0.561963558397722954E+05,0.412790548413468605E+04
0.183417905037073642E-01,0.180104050556890360E+01,0.156701805073661465E+00,0.164510491999999999E+03,0.557037788680000012E+05,0.606862038833307027E+00,0.689846703609882317E+00,0.553749857225028318E+05,0.561965599071909892E+05,0.412823477021312374E+04
0.167310730631817749E-01,0.135370116737675361E+01,0.257358685551731560E-01,0.164510491999999999E+03,0.557037788680000012E+05,0.797680585496136629E+00,0.759358360229703488E+00,0.553751553214111773E+05,0.561964504663765038E+05,0.412842185678127407E+04
