seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_likelihood
0.723219391682520918E+00,0.294075076515667666E+01,0.171888429689296784E+01,0.232916311000000007E+03,0.554609834219999975E+05,0.513281635348572240E-01,0.429953564577928049E+00,0.549958303433104811E+05,0.552283432353018798E+05,0.554608944983263063E+05,0.561597464715546812E+05,0.237841104733091424E+04
0.568035073102874710E+00,0.282882502990431384E+01,0.156161671416175940E+01,0.232916311000000007E+03,0.554609834219999975E+05,0.482251932864806443E+00,0.164069291229837017E+00,0.549948549624096704E+05,0.552270897234407676E+05,0.554608477256855040E+05,0.561597388692633322E+05,0.237964035009480040E+04
0.657209727135712671E-02,0.955103996545489281E+03,0.394134929637067200E+00,0.232916311000000007E+03,0.554609834219999975E+05,0.456692266819419490E+00,0.914582380297458308E+00,0.549948462970078981E+05,0.552271668880109573E+05,0.554608571797851109E+05,0.561597042090730756E+05,0.238007297101725590E+04
0.325160846704527218E-01,0.525025692303232017E+01,0.101700468630784657E+01,0.232916311000000007E+03,0.554609834219999975E+05,0.658571075772296455E+00,0.941090363221630088E+00,0.549947705253950844E+05,0.552271246074564697E+05,0.554608449312171215E+05,0.561597999837487660E+05,0.238039491505044225E+04
0.351655439268579117E+00,0.215484165812513284E+01,0.134702930696058942E+01,0.232916311000000007E+03,0.554609834219999975E+05,0.185661737323918802E+00,0.444470259698551640E+00,0.549959694310736595E+05,0.552271602795013023E+05,0.554609546511184308E+05,0.561597783353811319E+05,0.238108151920609907E+04
0.601268445613777763E-02,0.602672923638984457E+03,0.358269704002800615E+00,0.232916311000000007E+03,0.554609834219999975E+05,0.837279953990632375E+00,0.587585894383973906E+00,0.549951109285840212E+05,0.552271056976310792E+05,0.554608396877609484E+05,0.561597120522580153E+05,0.238116485793895345E+04
0.238817989945491749E+00,0.217784769239085874E+01,0.123004594119893684E+01,0.232916311000000007E+03,0.554609834219999975E+05,0.669401440933923286E+00,0.211253008349491594E+00,0.549958376035119145E+05,0.552272451538984242E+05,0.554609098705355646E+05,0.561597330620540451E+05,0.238147198988876062E+04
0.659502073495310884E-02,0.489215848493266151E+03,0.700348749773675672E+00,0.232916311000000007E+03,0.554609834219999975E+05,0.314745127792914747E+00,0.148922483837247072E+00,0.549949542633257151E+05,0.552271647667360157E+05,0.554608812892196875E+05,0.561596434783084260E+05,0.238158971917720737E+04
0.650876737479452849E+00,0.599217822822933410E+01,0.163329958091953098E+01,0.232916311000000007E+03,0.554609834219999975E+05,0.962730033409595509E+00,0.863289063141821855E+00,0.549958065115369391E+05,0.552270788377897989E+05,0.554608913228148667E+05,0.561596987887415235E+05,0.238201168040486527E+04
0.534304183824873435E+00,0.111083638900843518E+01,0.152612103336685556E+01,0.232916311000000007E+03,0.554609834219999975E+05,0.721798670173728674E+00,0.914583704342250559E+00,0.549959691407805512E+05,0.552270681394628700E+05,0.554608051313945543E+05,0.561597829724339463E+05,0.238219795748269053E+04
0.779605385882140272E-02,0.126442444731151431E+04,0.575049460764682441E+00,0.232916311000000007E+03,0.554609834219999975E+05,0.712625789383143138E+00,0.735859340616196844E+00,0.549957837615493918E+05,0.552270879587563395E+05,0.554608311639412204E+05,0.561598007619094642E+05,0.238264452863244651E+04
0.820250562215064427E+00,0.243082446850359757E+01,0.181349153988149236E+01,0.232916311000000007E+03,0.554609834219999975E+05,0.664065867974249380E+00,0.969056314377975792E+00,0.549960515891525793E+05,0.552271426269586082E+05,0.554609598051940193E+05,0.561597908685842922E+05,0.238284538865046034E+04
0.133260246897950237E-01,0.336606126948678774E+01,0.989793344957055954E+00,0.232916311000000007E+03,0.554609834219999975E+05,0.581048011054861591E+00,0.988258102820241402E+00,0.549961418816890873E+05,0.552271554180960884E+05,0.554608529798406889E+05,0.561598515381403631E+05,0.238287713740292384E+04
0.583836176829887088E+00,0.184940821965765023E+01,0.157742512178067495E+01,0.232916311000000007E+03,0.554609834219999975E+05,0.584734804225555904E+00,0.536115602489430021E+00,0.549947890459657574E+05,0.552271433378674046E+05,0.554608876377471752E+05,0.561597364648552029E+05,0.238298403200667326E+04
0.844954723791285001E+00,0.657707396344372341E+01,0.183785773821813314E+01,0.232916311000000007E+03,0.554609834219999975E+05,0.765344811806824343E+00,0.308466993335374418E+00,0.549951892484024647E+05,0.552270929644498901E+05,0.554608447410228109E+05,0.561597734733602920E+05,0.238304275106419891E+04
0.725257552827274110E+00,0.304518903959519260E+01,0.172046957758574637E+01,0.232916311000000007E+03,0.554609834219999975E+05,0.315348537654282945E+00,0.430000539006569205E+00,0.549947673729357339E+05,0.552271172463348703E+05,0.554609535163392720E+05,0.561597377283114984E+05,0.238310644391490723E+04
