seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_tau5,seg0_tau6,seg0_tau7,seg0_likelihood
0.434227533216543227E-01,0.322039936142229180E+04,0.334035428026806386E-01,0.198710196999999994E+03,0.557843616499999989E+05,0.932872520906893876E-01,0.779732752613510716E+00,0.549895236971999693E+05,0.551882219184097048E+05,0.553869223861860228E+05,0.555856468110120695E+05,0.557843679984697228E+05,0.559830671751589107E+05,0.561817792571923710E+05,0.563804896978869583E+05,0.855705830382017484E+04
0.455614205250980675E-01,0.109267823830934663E+04,0.717657942242192481E+00,0.198710196999999994E+03,0.557843616499999989E+05,0.413580015988064709E+00,0.407968505752249910E+00,0.549895241352550001E+05,0.551882348435170570E+05,0.553869312162195638E+05,0.555856329692598156E+05,0.557843689216957937E+05,0.559830730179813836E+05,0.561817823844996165E+05,0.563804809519341215E+05,0.855774986332646404E+04
0.408719041002202632E-01,0.242119644420421901E+04,0.343643587947120521E+00,0.198710196999999994E+03,0.557843616499999989E+05,0.255997405780899023E+00,0.618175292353456918E+00,0.549895256023400798E+05,0.551882239667354952E+05,0.553869260222433732E+05,0.555856512209814464E+05,0.557843623639581638E+05,0.559830671604643503E+05,0.561817849215533788E+05,0.563804950912104032E+05,0.855816633866814846E+04
0.408220334343889352E-01,0.293579979889084552E+04,0.108241960245542057E+00,0.198710196999999994E+03,0.557843616499999989E+05,0.150121227791956358E+00,0.828406672245201259E+00,0.549895218221133837E+05,0.551882304407067713E+05,0.553869250137794807E+05,0.555856495474789772E+05,0.557843637542433935E+05,0.559830723918142467E+05,0.561817766870795749E+05,0.563805002709973487E+05,0.855878520897133967E+04
0.448094656540993577E-01,0.115272511279526543E+04,0.686612914863971691E+00,0.198710196999999994E+03,0.557843616499999989E+05,0.315271146838868643E+00,0.707480058137731849E+00,0.549895339645612694E+05,0.551882395985046751E+05,0.553869330856319502E+05,0.555856514951021163E+05,0.557843604018037513E+05,0.559830649936089321E+05,0.561817805568454860E+05,0.563804916577185941E+05,0.855939271252895560E+04
0.441033560130086114E-01,0.184959409155303774E+04,0.547011213712487954E+00,0.198710196999999994E+03,0.557843616499999989E+05,0.325556092575916445E+00,0.810533352398578155E+00,0.549895273290525147E+05,0.551882226600596841E+05,0.553869277473490656E+05,0.555856445044469947E+05,0.557843487342450971E+05,0.559830672122759861E+05,0.561817749378961016E+05,0.563804929999686574E+05,0.855967936957758866E+04
0.457429640292130249E-01,0.115525976464449286E+04,0.700936756410497908E+00,0.198710196999999994E+03,0.557843616499999989E+05,0.262211956240449184E+00,0.676783759157139286E+00,0.549895210261197935E+05,0.551882373341664643E+05,0.553869283559893447E+05,0.555856528642987250E+05,0.557843500375141666E+05,0.559830771564745301E+05,0.561817789082987147E+05,0.563804882125888835E+05,0.855986559317022511E+04
0.434189153091504923E-01,0.152318475348287393E+04,0.577031593425873512E+00,0.198710196999999994E+03,0.557843616499999989E+05,0.731865670447512606E+00,0.477365601532793615E+00,0.549895201859497829E+05,0.551882314116712732E+05,0.553869366752056740E+05,0.555856458173657156E+05,0.557843670679698262E+05,0.559830661383684783E+05,0.561817917823787575E+05,0.563804881692144772E+05,0.856011844224477682E+04
0.427969111709972649E-01,0.179944092028681507E+04,0.543666309519526325E+00,0.198710196999999994E+03,0.557843616499999989E+05,0.340063454766224793E+00,0.489018057359395852E+00,0.549895196484798216E+05,0.551882415725748651E+05,0.553869319584894911E+05,0.555856384376967253E+05,0.557843697780046059E+05,0.559830801224640745E+05,0.561817831513956335E+05,0.563804893992627840E+05,0.856056813874064574E+04
0.429563699181657876E-01,0.293795864347183169E+04,0.233488958195527063E+00,0.198710196999999994E+03,0.557843616499999989E+05,0.252719301717547418E+00,0.205705345982352433E+00,0.549895259221366578E+05,0.551882317264523954E+05,0.553869339976976044E+05,0.555856386680121432E+05,0.557843608870522585E+05,0.559830641527282351E+05,0.561817916023198122E+05,0.563804986621853677E+05,0.856069364274957661E+04
