seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_tau5,seg0_tau6,seg0_tau7,seg0_likelihood
0.373622301191672113E+00,0.812509043803340347E+01,0.135364122302320555E+01,0.175138820000000010E+03,0.558295912800000006E+05,0.193923047306081120E+00,0.401538050597548102E+00,0.551290630983234878E+05,0.553041674675843096E+05,0.554792519487272002E+05,0.556544487951552946E+05,0.558295792807906328E+05,0.560047737973735566E+05,0.561798190761540391E+05,0.563550430774583729E+05,0.624460943961523753E+04
0.382269310358234859E+00,0.160613263770358436E+02,0.134954797934562354E+01,0.175138820000000010E+03,0.558295912800000006E+05,0.691834276870469278E+00,0.423641909256634142E+00,0.551290042666918889E+05,0.553041852907927168E+05,0.554793462321084589E+05,0.556544645996310064E+05,0.558295585161587660E+05,0.560047696271757377E+05,0.561798513022269181E+05,0.563551366083389439E+05,0.624493653046725012E+04
0.253423596208518370E-01,0.298721697951692590E+03,0.840305686985270972E+00,0.175138820000000010E+03,0.558295912800000006E+05,0.325580116604665626E+00,0.655170661444258839E+00,0.551289799832104982E+05,0.553041519738546776E+05,0.554792845540756243E+05,0.556545103295848603E+05,0.558295567362990259E+05,0.560047115972991814E+05,0.561798950426476949E+05,0.563550554741034430E+05,0.624540395443477064E+04
0.956602131325541061E+00,0.247224546662991145E+02,0.191953938470475505E+01,0.175138820000000010E+03,0.558295912800000006E+05,0.765872632267735387E+00,0.978206441657387904E+00,0.551289679393471743E+05,0.553042470007383599E+05,0.554793166332919864E+05,0.556544098916943622E+05,0.558295705685292269E+05,0.560047537996762549E+05,0.561798399742410111E+05,0.563549346519783066E+05,0.624595349330003592E+04
0.210873925507813836E+00,0.140930587177943156E+02,0.118199939323045666E+01,0.175138820000000010E+03,0.558295912800000006E+05,0.338300145700021260E+00,0.365021679367923402E+00,0.551290243482985825E+05,0.553041647199155050E+05,0.554793176412459725E+05,0.556544076725352279E+05,0.558295319728939940E+05,0.560046873504183022E+05,0.561798678541616173E+05,0.563549475929621622E+05,0.624605373005055935E+04
0.807553914112714599E+00,0.214169839837423730E+02,0.178296405720746320E+01,0.175138820000000010E+03,0.558295912800000006E+05,0.392408792656576910E+00,0.977588911266857208E+00,0.551290053029133487E+05,0.553042253864337326E+05,0.554792843607084433E+05,0.556543919224888814E+05,0.558295154174751660E+05,0.560047519223882337E+05,0.561798210356569252E+05,0.563550578579000721E+05,0.624668787554265600E+04
0.889308593011619020E+00,0.274917004579755577E+02,0.185453217075857735E+01,0.175138820000000010E+03,0.558295912800000006E+05,0.823454834152696935E+00,0.822768398916423283E+00,0.551290350948269916E+05,0.553041659582229404E+05,0.554792168702315466E+05,0.556544657867329297E+05,0.558295728368057535E+05,0.560047375580792650E+05,0.561798693599722828E+05,0.563549608566403331E+05,0.624685425769793892E+04
0.229375861215460261E-01,0.845317369737628155E+03,0.468350254239246699E+00,0.175138820000000010E+03,0.558295912800000006E+05,0.952719553536030106E+00,0.630564120211325796E+00,0.551289980174189259E+05,0.553042159511872014E+05,0.554793426522625887E+05,0.556545022111287835E+05,0.558295576620814754E+05,0.560047671832093620E+05,0.561799413401833517E+05,0.563549361746796276E+05,0.624685849691050316E+04
0.655603580550224718E+00,0.913526668096351457E+01,0.163354495748470963E+01,0.175138820000000010E+03,0.558295912800000006E+05,0.468969584169047604E+00,0.100345273206646435E+00,0.551290073515118056E+05,0.553042978906696808E+05,0.554792738013085473E+05,0.556544435262233164E+05,0.558295541932103006E+05,0.560047145991201178E+05,0.561798468875091930E+05,0.563550444209202615E+05,0.624695351492622558E+04
0.219400599011349839E-01,0.136366764172946660E+04,0.782581748648510933E-01,0.175138820000000010E+03,0.558295912800000006E+05,0.811974051570931166E+00,0.243107682070941356E+00,0.551289353639500841E+05,0.553042498782024122E+05,0.554793086549763539E+05,0.556544534902351879E+05,0.558295590964391449E+05,0.560047675347683980E+05,0.561798502573990627E+05,0.563550501516877484E+05,0.624698890645934171E+04
