seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_likelihood
0.581730866205135588E+00,0.194904658567167233E+01,0.156206853203396068E+01,0.380395289999999989E+03,0.557156233900000007E+05,0.462460626238607064E+00,0.984836806821122512E+00,0.553350731796046384E+05,0.557166120239519878E+05,0.560960706301797763E+05,0.116790726411081050E+05
0.819802212100619321E+00,0.205031671199003274E+01,0.178885531061854119E+01,0.380395289999999989E+03,0.557156233900000007E+05,0.831048359562360783E+00,0.814061395104544450E+00,0.553351361485923044E+05,0.557165848166855503E+05,0.560962598566784436E+05,0.116799647872663954E+05
0.186577117976885337E-01,0.874414122470630701E+02,0.369266316859151511E+00,0.380395289999999989E+03,0.557156233900000007E+05,0.724059819818386186E+00,0.977312271940268928E+00,0.553352525250472681E+05,0.557165910765227527E+05,0.560961317955602353E+05,0.116815258945345649E+05
0.970820817696489979E+00,0.223246687478982375E+01,0.194307054845321803E+01,0.380395289999999989E+03,0.557156233900000007E+05,0.802957675536033477E+00,0.540749285174640493E+00,0.553350343625589812E+05,0.557165983269786739E+05,0.560961338670847690E+05,0.116815927281561344E+05
0.218868156112254075E-01,0.216122465935108153E+03,0.291662415740005510E+00,0.380395289999999989E+03,0.557156233900000007E+05,0.782858432361242085E+00,0.435851493548744751E+00,0.553352918060630836E+05,0.557165971266136767E+05,0.560962778833088305E+05,0.116820665372123585E+05
0.213921274415348785E-01,0.228133710972225145E+03,0.485397247647063101E+00,0.380395289999999989E+03,0.557156233900000007E+05,0.964355341348120843E+00,0.641749627174861059E+00,0.553353136593392264E+05,0.557166063923744878E+05,0.560962844890287233E+05,0.116821345818980353E+05
0.298135173804840670E+00,0.251127518735756050E+01,0.126864605222270077E+01,0.380395289999999989E+03,0.557156233900000007E+05,0.554651838784762208E+00,0.735351450490989711E-01,0.553352011801735134E+05,0.557165588656707114E+05,0.560962414543738851E+05,0.116821810016206200E+05
0.705365841860367104E+00,0.385078658920364214E+01,0.168417048747805542E+01,0.380395289999999989E+03,0.557156233900000007E+05,0.407628069518513825E+00,0.995109673953287199E+00,0.553351654759792655E+05,0.557165843511044222E+05,0.560960300235505420E+05,0.116821950659271515E+05
0.998615445927184209E+00,0.251424995925417472E+01,0.198629434443795860E+01,0.380395289999999989E+03,0.557156233900000007E+05,0.192677063549535656E-01,0.503558656395146298E+00,0.553352712719179763E+05,0.557166127609879040E+05,0.560960859748123112E+05,0.116825849684351415E+05
0.814826223241977954E+00,0.228575380910089754E+01,0.179128407834107906E+01,0.380395289999999989E+03,0.557156233900000007E+05,0.663510027286525528E+00,0.869907767166235857E+00,0.553352396268907250E+05,0.557165515195424523E+05,0.560961306716824474E+05,0.116828486747686220E+05
