seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_tau5,seg0_tau6,seg0_tau7,seg0_likelihood
0.658042054507135599E+00,0.346902461917817178E+02,0.162466885384709459E+01,0.159390899999999988E+03,0.556975285999999978E+05,0.618105857452351470E+00,0.324415229669602068E+00,0.550599778840890140E+05,0.552193163817159439E+05,0.553786913366322115E+05,0.555380532714518922E+05,0.556974366355811653E+05,0.558568162548198598E+05,0.561756701466859959E+05,0.563351048511766276E+05,0.509515032417700604E+04
0.735230041511826249E+00,0.171652845375278247E+02,0.171062849716133281E+01,0.159390899999999988E+03,0.556975285999999978E+05,0.234542581729151267E+00,0.682789474494707505E+00,0.550599369921004836E+05,0.552193084069772376E+05,0.553786361773661265E+05,0.555380568626086824E+05,0.556974907937828539E+05,0.558568390637369812E+05,0.561756053614945849E+05,0.563351021011052871E+05,0.509695052052854953E+04
0.156637852850265158E+00,0.278411110612753987E+02,0.110482432792421248E+01,0.159390899999999988E+03,0.556975285999999978E+05,0.628902948568224485E+00,0.418765055208065451E+00,0.550599237461672310E+05,0.552192732866466540E+05,0.553786689038215409E+05,0.555380712635245945E+05,0.556974344406272430E+05,0.558568616396453217E+05,0.561756374168883412E+05,0.563351005986313758E+05,0.509787354673040500E+04
0.288528785535990401E-01,0.122934716381170301E+04,0.263458376494515756E+00,0.159390899999999988E+03,0.556975285999999978E+05,0.902750314039130530E+00,0.800171642848454989E+00,0.550598820067404667E+05,0.552193350005215107E+05,0.553787245112157543E+05,0.555381022959789916E+05,0.556975202013613307E+05,0.558567891630151935E+05,0.561756261165741380E+05,0.563350260197258685E+05,0.509815717106529155E+04
0.892368722271050130E+00,0.480888076471722599E+02,0.185046624681914418E+01,0.159390899999999988E+03,0.556975285999999978E+05,0.600982014011038235E+00,0.991225564366521872E+00,0.550599121098606847E+05,0.552193085861150175E+05,0.553787131865568153E+05,0.555381367892952039E+05,0.556974981539195069E+05,0.558568469847189554E+05,0.561756914511367213E+05,0.563349772237430370E+05,0.509841883488830899E+04
0.469111326527581862E+00,0.317898143664261674E+02,0.143154073386889236E+01,0.159390899999999988E+03,0.556975285999999978E+05,0.542420072813170062E+00,0.574923691364489287E+00,0.550599210549592681E+05,0.552193413184268575E+05,0.553787512130899268E+05,0.555380053253779261E+05,0.556974960825740272E+05,0.558568250814496860E+05,0.561756667054020290E+05,0.563350395342146439E+05,0.509927357409144497E+04
0.531392518555847682E-01,0.400338188996653912E+02,0.971789464296260008E+00,0.159390899999999988E+03,0.556975285999999978E+05,0.678425110715659585E+00,0.916131949812228341E+00,0.550599109385843039E+05,0.552192742160994458E+05,0.553786651024748862E+05,0.555381706420190021E+05,0.556975450961916649E+05,0.558568543272776151E+05,0.561756725697468573E+05,0.563350191292469317E+05,0.509952615924005113E+04
0.818295952216409606E+00,0.483375531799110618E+02,0.177554338830145730E+01,0.159390899999999988E+03,0.556975285999999978E+05,0.762425864669018294E+00,0.644096882207274679E+00,0.550599938103418099E+05,0.552193624102872564E+05,0.553787184644164081E+05,0.555380502105308915E+05,0.556975221616617710E+05,0.558568834793632777E+05,0.561756995996769620E+05,0.563350757676622670E+05,0.509991304940870759E+04
0.244830963213994272E-01,0.150592662378221144E+04,0.855328130266336112E-01,0.159390899999999988E+03,0.556975285999999978E+05,0.908428912268263833E+00,0.796127834215437868E+00,0.550599107298001181E+05,0.552193044359150153E+05,0.553787695585021647E+05,0.555381251142840993E+05,0.556975160475921512E+05,0.558568956149023434E+05,0.561756056823514446E+05,0.563350907176674664E+05,0.509993493981005668E+04
0.138680581382591567E+00,0.316244551033703765E+02,0.106511225821781386E+01,0.159390899999999988E+03,0.556975285999999978E+05,0.993934224727196391E+00,0.697976289790303350E+00,0.550598996803700502E+05,0.552193635163260915E+05,0.553787220230291423E+05,0.555381457478527445E+05,0.556974980260521043E+05,0.558568028526713751E+05,0.561757301294910940E+05,0.563350602790781559E+05,0.510024982130647913E+04
0.152336033370044727E+00,0.548434994229458326E+02,0.109869478603253445E+01,0.159390899999999988E+03,0.556975285999999978E+05,0.693189338070748784E+00,0.429245688977819451E+00,0.550599315495189221E+05,0.552193282103156016E+05,0.553787172902082239E+05,0.555380966672485083E+05,0.556975400833287349E+05,0.558568405665819155E+05,0.561756969206644644E+05,0.563351362838936548E+05,0.510077815449580066E+04
0.558011230352492116E+00,0.302543867362120977E+02,0.153019340474938526E+01,0.159390899999999988E+03,0.556975285999999978E+05,0.150298105433175289E+00,0.633668564046929950E+00,0.550599051636714867E+05,0.552193280709260362E+05,0.553787487967315683E+05,0.555381297952981258E+05,0.556975679771455980E+05,0.558568200504178167E+05,0.561756735228127145E+05,0.563350221396974302E+05,0.510078127482711079E+04
0.254324172063304932E-01,0.164860199859006116E+04,0.268204398105181596E+00,0.159390899999999988E+03,0.556975285999999978E+05,0.891788034360042836E+00,0.976008373897052639E+00,0.550599425339126028E+05,0.552192781726014218E+05,0.553786883400378720E+05,0.555380600482135997E+05,0.556975013781035523E+05,0.558568610111089729E+05,0.561756807731600638E+05,0.563351267428709107E+05,0.510088555887450275E+04
0.103338624030682072E+00,0.156222761490174058E+02,0.106627063223959517E+01,0.159390899999999988E+03,0.556975285999999978E+05,0.749359316408171744E-01,0.206242954579640814E+00,0.550598715146487812E+05,0.552192693803210568E+05,0.553786744705613964E+05,0.555380829869062291E+05,0.556975748840856249E+05,0.558568369030934482E+05,0.561756867660338248E+05,0.563350136927265994E+05,0.510091201135319352E+04
0.336443973712775776E-01,0.708519075672025338E+03,0.805978499753733812E+00,0.159390899999999988E+03,0.556975285999999978E+05,0.193423394051230380E+00,0.214282717906591619E+00,0.550599196218830912E+05,0.552193511069282904E+05,0.553787185043333011E+05,0.555381532306699883E+05,0.556975130665268443E+05,0.558568830553501830E+05,0.561757315131907235E+05,0.563350500722773286E+05,0.510106733606658963E+04
0.263422619128005978E-01,0.101903927190932848E+04,0.713421782001240762E-01,0.159390899999999988E+03,0.556975285999999978E+05,0.590583376629802981E+00,0.705300545456452488E+00,0.550598729289429102E+05,0.552192863679648581E+05,0.553786589794256652E+05,0.555381010679413230E+05,0.556975524064937345E+05,0.558569281049420897E+05,0.561756843492842381E+05,0.563350221914781650E+05,0.510107462374089300E+04
0.955579029721577294E-01,0.117407324556742836E+02,0.105765331979175392E+01,0.159390899999999988E+03,0.556975285999999978E+05,0.650505616708808854E-01,0.735942404691821817E+00,0.550599306034971305E+05,0.552193038211777093E+05,0.553787174546633469E+05,0.555381459773314564E+05,0.556975029193876690E+05,0.558568605683500064E+05,0.561757174274848658E+05,0.563350093366533838E+05,0.510107673412716758E+04
0.316137494067694924E+00,0.149791147087796048E+02,0.127417883760694872E+01,0.159390899999999988E+03,0.556975285999999978E+05,0.496602786366192595E+00,0.988840199469257053E+00,0.550598978635495369E+05,0.552192966733356589E+05,0.553786879909206473E+05,0.555381020136189109E+05,0.556975273084022338E+05,0.558568899824820037E+05,0.561756488388649959E+05,0.563350620068170028E+05,0.510110289613613077E+04
0.777508664647034498E+00,0.367877522839089863E+02,0.172736088863282622E+01,0.159390899999999988E+03,0.556975285999999978E+05,0.931267561045218351E+00,0.742617722283005044E+00,0.550599515539398708E+05,0.552192617866996516E+05,0.553787243038718007E+05,0.555380557805478747E+05,0.556975124098330853E+05,0.558567902421802428E+05,0.561756696272592235E+05,0.563350245866169062E+05,0.510118492877385142E+04
0.948092701227935208E+00,0.168709984171133520E+02,0.192370634399613438E+01,0.159390899999999988E+03,0.556975285999999978E+05,0.245471225681254401E+00,0.941897712701462164E+00,0.550599579914807400E+05,0.552193602512663347E+05,0.553787282173205895E+05,0.555380993951996134E+05,0.556974632212883807E+05,0.558568140634116135E+05,0.561756987265045827E+05,0.563350130502178945E+05,0.510119505486526577E+04
0.125742161889468268E+00,0.474852636853431420E+02,0.107770716194927418E+01,0.159390899999999988E+03,0.556975285999999978E+05,0.420405340039399500E+00,0.405977471310309646E+00,0.550599815705158035E+05,0.552193310629747284E+05,0.553786871259179898E+05,0.555381208749057914E+05,0.556975114763834936E+05,0.558568376211312643E+05,0.561756216774879795E+05,0.563351140978412732E+05,0.510121669376989485E+04
0.269310138693257650E+00,0.153114185975559138E+02,0.123691100077784810E+01,0.159390899999999988E+03,0.556975285999999978E+05,0.949620342145916507E-01,0.904776106727126272E+00,0.550598978623847797E+05,0.552192698504738000E+05,0.553787384737716784E+05,0.555381236422667789E+05,0.556974798760441699E+05,0.558568241524923869E+05,0.561756432389384427E+05,0.563350484694309562E+05,0.510126857996724175E+04
0.470504696020664692E+00,0.219025418505141865E+02,0.143545691450376922E+01,0.159390899999999988E+03,0.556975285999999978E+05,0.393171711183168293E+00,0.996516130744110162E+00,0.550599055924307686E+05,0.552193516172949603E+05,0.553787456159454232E+05,0.555380600733050014E+05,0.556975497495593590E+05,0.558568430816183973E+05,0.561756986550204601E+05,0.563349965590606516E+05,0.510130107769059759E+04
0.895976934915910572E+00,0.428890898247091314E+02,0.186407976158065458E+01,0.159390899999999988E+03,0.556975285999999978E+05,0.603328267289301445E+00,0.429631707130915586E+00,0.550599416336852300E+05,0.552193208527639654E+05,0.553786660585698410E+05,0.555380650306711832E+05,0.556975142966813873E+05,0.558568637037261942E+05,0.561756896061122025E+05,0.563349999680881447E+05,0.510133133194608308E+04
0.541153241580869193E+00,0.285814905215846586E+02,0.150217077874065263E+01,0.159390899999999988E+03,0.556975285999999978E+05,0.757421625657298647E+00,0.139415156505686144E+00,0.550598768663031879E+05,0.552193294868318044E+05,0.553787497489987582E+05,0.555381510992295807E+05,0.556975061426368484E+05,0.558568882655155394E+05,0.561757141743089087E+05,0.563350389083935370E+05,0.510144544892464910E+04
0.389182505477860874E+00,0.292549292791113231E+02,0.134206694540270721E+01,0.159390899999999988E+03,0.556975285999999978E+05,0.918010225160226234E+00,0.281721999747499507E+00,0.550598955690808434E+05,0.552193680121925063E+05,0.553786736281287594E+05,0.555381042291717604E+05,0.556975294032756283E+05,0.558569267316148762E+05,0.561757166122632989E+05,0.563350590137429390E+05,0.510148515965744809E+04
0.815079403166469652E+00,0.459600501041627254E+02,0.176407836946545915E+01,0.159390899999999988E+03,0.556975285999999978E+05,0.925766786016679388E+00,0.721424124154818935E+00,0.550598954435353589E+05,0.552193098392044412E+05,0.553786884589655601E+05,0.555381636748629317E+05,0.556974760643374539E+05,0.558569001900898802E+05,0.561756921976050726E+05,0.563351201062571490E+05,0.510149518460322088E+04
0.241747093884441488E+00,0.231575854730136790E+02,0.120948950173274206E+01,0.159390899999999988E+03,0.556975285999999978E+05,0.112031259142254286E+00,0.193319540835348636E+00,0.550599954473602702E+05,0.552193481489589103E+05,0.553786691800473636E+05,0.555381370868512313E+05,0.556975085486213138E+05,0.558567866497383293E+05,0.561756587792356659E+05,0.563350753475635211E+05,0.510154121259274871E+04
0.853844109839546728E+00,0.157240457811799637E+02,0.182741907939473891E+01,0.159390899999999988E+03,0.556975285999999978E+05,0.334431865021341590E+00,0.511614686457766865E+00,0.550599931796133969E+05,0.552192854273415433E+05,0.553786567236398405E+05,0.555380882806697555E+05,0.556975092221252780E+05,0.558568770715123028E+05,0.561756829512227851E+05,0.563350536379832265E+05,0.510154242479820095E+04
0.246118745543436435E+00,0.240079515420775316E+02,0.120573711688854823E+01,0.159390899999999988E+03,0.556975285999999978E+05,0.453609281495763017E+00,0.837950239039562228E+00,0.550599493520006436E+05,0.552193135429993272E+05,0.553787306446679140E+05,0.555381097626269548E+05,0.556975859750742457E+05,0.558569006223716569E+05,0.561756293059634845E+05,0.563350608689354776E+05,0.510155157967239575E+04
0.283442081381541575E-01,0.130332250925667699E+04,0.393633003913525792E+00,0.159390899999999988E+03,0.556975285999999978E+05,0.714922940368389992E+00,0.537970136223300477E+00,0.550599865792370838E+05,0.552193212708945357E+05,0.553787001676404034E+05,0.555380849792658191E+05,0.556975960146286598E+05,0.558568176364419924E+05,0.561756681657121808E+05,0.563350668539383842E+05,0.510155355277381204E+04
0.907092208368900921E+00,0.326878765295275002E+02,0.186689297935235099E+01,0.159390899999999988E+03,0.556975285999999978E+05,0.923512743361732280E+00,0.247944160957465298E+00,0.550599871409170955E+05,0.552192829516738639E+05,0.553787039519101163E+05,0.555380947587994960E+05,0.556975648177759795E+05,0.558568934569658013E+05,0.561756625996944276E+05,0.563351108138904456E+05,0.510167678050472841E+04
0.362958639695913021E+00,0.126225802259501592E+02,0.133650486674465463E+01,0.159390899999999988E+03,0.556975285999999978E+05,0.633803102072648950E-01,0.301390859448737281E+00,0.550599590176124257E+05,0.552193898194769135E+05,0.553786694467322377E+05,0.555381255175051192E+05,0.556975048744987653E+05,0.558568393371413185E+05,0.561756913685029358E+05,0.563351136347810825E+05,0.510167977086502833E+04
0.343111396068724872E-01,0.865940659372724554E+03,0.694892175635059561E+00,0.159390899999999988E+03,0.556975285999999978E+05,0.176830717657046221E+00,0.585625327990393907E+00,0.550599247763462263E+05,0.552192938265707053E+05,0.553787092264695821E+05,0.555381731576828388E+05,0.556974969501865271E+05,0.558567972466440842E+05,0.561756904748844900E+05,0.563350689583964995E+05,0.510175716569755150E+04
